ticker,entry_date,exit_date,entry,exit,pct_return,pnl,reason,score
HYUNDAI,2025-08-19,2025-08-20,2581.3,2488.1,-0.03610583814357117,-902.6459535892792,Stop Loss,8
JKCEMENT,2025-08-19,2025-08-21,7398.5,7134.0,-0.03575048996418193,-893.7622491045483,Stop Loss,7
MOTILALOFS,2025-08-19,2025-08-22,959.8,929.25,-0.031829547822462965,-795.7386955615741,Stop Loss,7
PAYTM,2025-08-19,2025-08-28,1226.2,1230.8,0.003751427173381103,93.78567933452759,Stop Loss,8
LTF,2025-08-19,2025-08-28,217.03,216.44,-0.0027185181772105397,-67.9629544302635,Stop Loss,7
ZFCVINDIA,2025-08-19,2025-08-29,14449.0,14075.0,-0.025884144231434703,-647.1036057858676,Stop Loss,7
INDIACEM,2025-09-03,2025-09-05,403.75,395.2,-0.02117647058823532,-529.411764705883,Stop Loss,7
NATIONALUM,2025-09-03,2025-09-09,207.12,206.62,-0.002414059482425647,-60.35148706064117,Stop Loss,7
NATIONALUM,2025-09-05,2025-09-09,212.14,206.62,-0.026020552465352984,-650.5138116338246,Stop Loss,7
DMART,2025-08-19,2025-09-10,4653.2,4631.3,-0.0047064385799019245,-117.66096449754811,Stop Loss,8
DMART,2025-09-03,2025-09-10,4758.5,4631.3,-0.026731112745613076,-668.2778186403269,Stop Loss,7
ADANIPOWER,2025-09-09,2025-09-10,128.73,126.89,-0.01429348248271568,-357.33706206789196,Stop Loss,7
AFFLE,2025-09-09,2025-09-10,2070.2,2028.4,-0.020191285866099765,-504.78214665249413,Stop Loss,7
DALBHARAT,2025-09-17,2025-09-18,2476.2,2448.2,-0.011307648816735322,-282.69122041838307,Stop Loss,7
TATACHEM,2025-09-17,2025-09-18,1005.15,989.25,-0.015818534547082503,-395.4633636770626,Stop Loss,6
MANAPPURAM,2025-09-03,2025-09-19,288.0,286.5,-0.005208333333333333,-130.20833333333331,Stop Loss,8
HYUNDAI,2025-09-19,2025-09-22,2809.3,2721.7,-0.031182145018332098,-779.5536254583025,Stop Loss,7
AFFLE,2025-09-17,2025-09-23,2145.7,2084.2,-0.028661975113016734,-716.5493778254183,Stop Loss,7
ADANIPOWER,2025-09-19,2025-09-24,141.88,144.5,0.01846630955737246,461.6577389343115,Stop Loss,7
ADANIENSOL,2025-09-22,2025-09-24,937.4,889.0,-0.05163217409857049,-1290.8043524642621,Stop Loss,7
SBIN,2025-09-17,2025-09-25,857.15,861.15,0.004666627778101849,116.66569445254622,Stop Loss,7
TATAINVEST,2025-09-24,2025-09-25,886.35,837.2,-0.05545213516105373,-1386.3033790263432,Stop Loss,8
NYKAA,2025-08-19,2025-09-26,226.83,230.62,0.01670854825199485,417.7137062998712,Stop Loss,7
NMDC,2025-09-03,2025-09-26,74.29,74.99,0.009422533315385498,235.56333288463745,Stop Loss,7
BANKBARODA,2025-09-19,2025-09-26,252.08,248.45,-0.01440019041574113,-360.0047603935282,Stop Loss,7
CANBK,2025-09-23,2025-09-26,121.9,118.08,-0.03133716160787536,-783.4290401968841,Stop Loss,7
GPIL,2025-08-19,2025-10-08,216.0,241.34,0.11731481481481483,2932.870370370371,Stop Loss,7
