Date,PortfolioValue
2024-10-16,1000000.0
2024-10-17,815103.68
2024-10-18,822383.81
2024-10-21,810945.6600000001
2024-10-22,598680.4100000001
2024-10-23,399080.72000000003
2024-10-24,185644.42000000004
2024-10-25,187927.02000000008
2024-10-29,181316.52000000008
2024-10-30,182853.32000000007
2024-10-31,196582.82000000007
2024-11-01,198673.32000000007
2024-11-04,200933.32000000007
2024-11-05,198910.62000000005
2024-11-06,199238.32000000007
2024-11-07,-96742.57999999994
2024-11-08,-96742.57999999994
2024-11-11,-96742.57999999994
2024-11-12,-96742.57999999994
2024-11-13,-96742.57999999994
2024-11-14,-96742.57999999994
2024-11-15,-96742.57999999994
2024-11-18,-96742.57999999994
2024-11-19,-96742.57999999994
2024-11-20,-96742.57999999994
2024-11-21,-96742.57999999994
2024-11-22,-96742.57999999994
2024-11-25,-96742.57999999994
2024-11-26,-96742.57999999994
2024-11-27,-96742.57999999994
2024-11-28,-96742.57999999994
2024-11-29,-96742.57999999994
2024-12-02,-96742.57999999994
2024-12-03,-96742.57999999994
2024-12-04,-96742.57999999994
2024-12-05,-96742.57999999994
2024-12-06,-96742.57999999994
2024-12-09,-96742.57999999994
2024-12-10,-96742.57999999994
2024-12-11,-96742.57999999994
2024-12-12,-96742.57999999994
2024-12-13,-96742.57999999994
2024-12-16,-96742.57999999994
2024-12-17,-96742.57999999994
2024-12-18,-96742.57999999994
2024-12-19,-96742.57999999994
2024-12-20,-96742.57999999994
2024-12-23,-96742.57999999994
2024-12-24,-96742.57999999994
2024-12-25,-96742.57999999994
2024-12-26,-96742.57999999994
2024-12-27,-96742.57999999994
2024-12-30,-96742.57999999994
2024-12-31,-96742.57999999994
2025-01-01,-96742.57999999994
2025-01-02,-96742.57999999994
2025-01-03,-96742.57999999994
2025-01-06,-96742.57999999994
2025-01-07,-96742.57999999994
2025-01-08,-96742.57999999994
2025-01-09,-96742.57999999994
2025-01-10,-96742.57999999994
2025-01-13,-96742.57999999994
2025-01-14,-96742.57999999994
2025-01-15,-96742.57999999994
2025-01-16,-96742.57999999994
2025-01-17,-96742.57999999994
2025-01-20,-96742.57999999994
2025-01-21,-96742.57999999994
2025-01-22,-96742.57999999994
2025-01-23,-96742.57999999994
