Rank,Ticker,Beta (6m),252d Sharpe,% off 252d High,Last Close (INR),Median 252d Turnover (INR),Weight %
1,SHRIRAMFIN,2.09,1.58,8.5,1044.2,5251152753.0,5.0
2,TMCV,1.965,1.11,8.9,460.35,3778657967.0,5.0
3,ABCAPITAL,1.874,1.08,5.3,402.0,1384442356.0,5.0
4,MTARTECH,1.784,2.73,18.6,6820.0,1128438128.0,5.0
5,REDINGTON,1.738,1.04,0.0,372.45,626612517.0,5.0
6,LTF,1.735,1.04,5.6,316.9,1405696662.0,5.0
7,IFCI,1.718,1.29,2.5,95.91,775938755.0,5.0
8,MOTHERSON,1.663,1.6,5.1,162.0,2025992795.0,5.0
9,J&KBANK,1.649,1.01,22.2,149.86,380396475.0,5.0
10,RATEGAIN,1.622,1.27,12.2,869.75,229044418.0,5.0
11,SKYGOLD,1.618,1.94,12.5,742.0,292966043.0,5.0
12,UNIONBANK,1.618,1.11,6.6,189.0,2022073620.0,5.0
13,MAHABANK,1.602,1.37,8.0,86.32,1055444178.0,5.0
14,UJJIVANSFB,1.6,1.02,13.1,62.99,633922675.0,5.0
15,DIACABS,1.579,1.81,12.4,322.9,283089584.0,5.0
16,HFCL,1.555,2.39,12.3,220.42,1843002298.0,5.0
17,DCBBANK,1.555,1.57,1.0,222.2,236740022.0,5.0
18,KRN,1.546,1.16,6.4,1505.9,186734698.0,5.0
19,PARAS,1.544,1.64,7.6,1411.5,667047342.0,5.0
20,JAYNECOIND,1.53,1.17,14.4,98.68,432061280.0,5.0
