YEAR,ANNUAL EXPENSE,MONTHLY EXPENSE,AMT TO WDRAW FROM DEBT,AMT TO WDRAW FROM EQTY,DEBT PF YEAR END,EQUITY PF YEAR END,TOTAL CORPUS REMAINING
0,1200000.0,100000.0,600000.0,600000.0,10000000.0,10000000.0,20000000.0
1,1272000.0,106000.0,636000.0,636000.0,9364000.0,9364000.0,18728000.0
2,1348320.0,112360.0,674160.0,674160.0,8689840.0,8689840.0,17379680.0
3,1429219.2,119101.6,714609.6,714609.6,7975230.4,7975230.4,15950460.8
4,1514972.35,126247.7,757486.18,757486.18,7217744.22,7217744.22,14435488.44
5,1605870.69,133822.56,802935.34,802935.34,6414808.88,6414808.88,12829617.76
6,1702222.93,141851.91,851111.46,851111.46,5563697.42,5563697.42,11127394.84
7,1804356.31,150363.03,902178.16,902178.16,4661519.26,4661519.26,9323038.52
8,1912617.69,159384.81,956308.84,956308.84,3705210.42,3705210.42,7410420.84
9,2027374.75,168947.9,1013687.38,1013687.38,2691523.04,2691523.04,5383046.08
10,2149017.24,179084.77,1074508.62,1074508.62,1617014.42,1617014.42,3234028.84
11,2277958.27,189829.86,1138979.14,1138979.14,478035.28,478035.28,956070.56
12,2414635.77,201219.65,1207317.88,1207317.88,-729282.6,-729282.6,0.0
