YEAR,ANNUAL EXPENSE,MONTHLY EXPENSE,DEBT PF YR START,EQUITY PF YR START,DEBT PF YEAR END,EQUITY PF YEAR END
1,1200000.0,100000.0,4000000,6000000,3731200.0,5913600.0
2,1272000.0,106000.0,4000000,6000000,3700672.0,5865216.0
3,1348320.0,112360.0,4000000,6000000,3668312.32,5813928.96
4,1429219.2,119101.6,4000000,6000000,3634011.06,5759564.7
5,1514972.35,126247.7,4000000,6000000,3597651.72,5701938.58
6,1605870.69,133822.56,4000000,6000000,3559110.83,5640854.9
7,1702222.93,141851.91,4000000,6000000,3518257.48,5576106.19
8,1804356.31,150363.03,4000000,6000000,3474952.92,5507472.56
9,1912617.69,159384.81,4000000,6000000,3429050.1,5434720.91
10,2027374.75,168947.9,4000000,6000000,3380393.11,5357604.17
11,2149017.24,179084.77,4000000,6000000,3328816.69,5275860.41
12,2277958.27,189829.86,4000000,6000000,3274145.69,5189212.04
13,2414635.77,201219.65,4000000,6000000,3216194.43,5097364.76
14,2559513.91,213292.83,4000000,6000000,3154766.1,5000006.65
15,2713084.75,226090.4,4000000,6000000,3089652.07,4896807.05
16,2875869.83,239655.82,4000000,6000000,3020631.19,4787415.47
17,3048422.02,254035.17,4000000,6000000,2947469.06,4671460.4
18,3231327.34,269277.28,4000000,6000000,2869917.21,4548548.03
19,3425206.98,285433.91,4000000,6000000,2787712.24,4418260.91
20,3630719.4,302559.95,4000000,6000000,2700574.97,4280156.56
21,3848562.57,320713.55,4000000,6000000,2608209.47,4133765.95
22,4079476.32,339956.36,4000000,6000000,2510302.04,3978591.91
23,4324244.9,360353.74,4000000,6000000,2406520.16,3814107.43
24,4583699.59,381974.97,4000000,6000000,2296511.37,3639753.88
25,4858721.57,404893.46,4000000,6000000,2179902.05,3454939.1
26,5150244.86,429187.07,4000000,6000000,2056296.18,3259035.45
27,5459259.56,454938.3,4000000,6000000,1925273.95,3051377.58
28,5786815.13,482234.59,4000000,6000000,1786390.38,2831260.23
29,6134024.04,511168.67,4000000,6000000,1639173.81,2597935.85
30,6502065.48,541838.79,4000000,6000000,1483124.24,2350612.0
31,6892189.41,574349.12,4000000,6000000,1317711.69,2088448.72
32,7305720.77,608810.06,4000000,6000000,1142374.39,1810555.64
33,7744064.02,645338.67,4000000,6000000,956516.86,1515988.98
34,8208707.86,684058.99,4000000,6000000,759507.87,1203748.32
35,8701230.33,725102.53,4000000,6000000,550678.34,872773.22
36,9223304.15,768608.68,4000000,6000000,329319.04,521939.61
37,9776702.4,814725.2,4000000,6000000,94678.18,150055.99
38,10363304.54,863608.71,4000000,6000000,-154041.12,-244140.65
39,10985102.82,915425.24,4000000,6000000,-417683.6,-661989.1
40,11644208.99,970350.75,4000000,6000000,-697144.61,-1104908.44
41,12342861.52,1028571.79,4000000,6000000,-993373.28,-1574402.94
42,13083433.22,1090286.1,4000000,6000000,-1307375.69,-2072067.12
43,13868439.21,1155703.27,4000000,6000000,-1640218.23,-2599591.15
44,14700545.56,1225045.46,4000000,6000000,-1993031.32,-3158766.62
45,15582578.3,1298548.19,4000000,6000000,-2367013.2,-3751492.62
46,16517532.99,1376461.08,4000000,6000000,-2763433.99,-4379782.17
47,17508584.97,1459048.75,4000000,6000000,-3183640.03,-5045769.1
48,18559100.07,1546591.67,4000000,6000000,-3629058.43,-5751715.25
49,19672646.08,1639387.17,4000000,6000000,-4101201.94,-6500018.17
50,20853004.84,1737750.4,4000000,6000000,-4601674.05,-7293219.25
