Date,PortfolioValue
2025-01-23,1000000.0
2025-01-24,1000000.0
2025-01-27,1000000.0
2025-01-28,1000000.0
2025-01-29,1000000.0
2025-01-30,1000000.0
2025-01-31,1000000.0
2025-02-03,1000000.0
2025-02-04,1000000.0
2025-02-05,1000000.0
2025-02-06,1000000.0
2025-02-07,1000000.0
2025-02-10,1000000.0
2025-02-11,1000000.0
2025-02-12,1000000.0
2025-02-13,1000000.0
2025-02-14,1000000.0
2025-02-17,1000000.0
2025-02-18,1000000.0
2025-02-19,1000000.0
2025-02-20,1000000.0
2025-02-21,1000000.0
2025-02-24,1000000.0
2025-02-25,1000000.0
2025-02-26,1000000.0
2025-02-27,1000000.0
2025-02-28,1000000.0
2025-03-03,1000000.0
2025-03-04,1000000.0
2025-03-05,1000000.0
2025-03-06,1000000.0
2025-03-07,1000000.0
2025-03-10,1000000.0
2025-03-11,1000000.0
2025-03-12,1000000.0
2025-03-13,1000000.0
2025-03-14,1000000.0
2025-03-17,1000000.0
2025-03-18,1000000.0
2025-03-19,1000000.0
2025-03-20,1000000.0
2025-03-21,1000000.0
2025-03-24,1000000.0
2025-03-25,1000000.0
2025-03-26,1000000.0
2025-03-27,1000000.0
2025-03-28,1000000.0
2025-03-31,1000000.0
2025-04-01,1000000.0
2025-04-02,1000000.0
2025-04-03,1000000.0
2025-04-04,1000000.0
2025-04-07,1000000.0
2025-04-08,1000000.0
2025-04-09,1000000.0
2025-04-10,1000000.0
2025-04-11,1000000.0
2025-04-14,1000000.0
2025-04-15,1000000.0
2025-04-16,1000000.0
2025-04-17,1000000.0
2025-04-21,1000000.0
2025-04-22,1000000.0
2025-04-23,1000000.0
2025-04-24,1000000.0
2025-04-25,1000000.0
2025-04-28,1000000.0
2025-04-29,1000000.0
2025-04-30,1000000.0
2025-05-01,1000000.0
2025-05-02,1000000.0
2025-05-05,1000000.0
2025-05-06,1000000.0
2025-05-07,1000000.0
2025-05-08,1000000.0
2025-05-09,1000000.0
2025-05-12,1000000.0
2025-05-13,809858.178
2025-05-14,625154.978
2025-05-15,633522.7779999999
2025-05-16,635381.678
2025-05-19,629926.3779999999
2025-05-20,622344.478
2025-05-21,642350.078
2025-05-22,660159.0779999999
2025-05-23,660743.5779999999
2025-05-26,666285.478
2025-05-27,672532.978
2025-05-28,670788.3779999999
2025-05-29,679081.678
2025-05-30,684708.978
2025-06-02,680552.678
2025-06-03,680997.178
2025-06-04,476017.278
2025-06-05,481816.67799999996
2025-06-06,470057.47799999994
2025-06-09,476432.47799999994
2025-06-10,479883.078
2025-06-11,466274.278
2025-06-12,464417.87799999997
2025-06-13,470896.87799999997
2025-06-16,471829.87799999997
2025-06-17,475883.278
2025-06-18,475354.97799999994
2025-06-19,469477.17799999996
2025-06-20,473328.87799999997
2025-06-23,477762.078
2025-06-24,468757.578
2025-06-25,462849.778
2025-06-26,468340.17799999996
2025-06-27,479208.97799999994
2025-06-30,487344.078
2025-07-01,485803.17799999996
2025-07-02,481331.078
2025-07-03,478378.17799999996
2025-07-04,480376.47799999994
2025-07-07,474141.17799999996
2025-07-08,474233.47799999994
2025-07-09,475986.078
2025-07-10,455835.67799999996
2025-07-11,444195.47799999994
2025-07-14,437157.97799999994
2025-07-15,438908.47799999994
2025-07-16,434138.87799999997
2025-07-17,426342.778
2025-07-18,202749.778
2025-07-21,203049.778
2025-07-22,203229.778
2025-07-23,201549.778
2025-07-24,200439.778
2025-07-25,196734.778
2025-07-28,196164.778
2025-07-29,196224.778
2025-07-30,196194.778
2025-07-31,192459.778
2025-08-01,186264.778
2025-08-04,194649.778
2025-08-05,202959.778
2025-08-06,204369.778
2025-08-07,202599.778
2025-08-08,196089.778
2025-08-11,202524.778
2025-08-12,198039.778
2025-08-13,204744.778
2025-08-14,205659.778
2025-08-15,202524.778
2025-08-18,203514.778
2025-08-19,199644.778
2025-08-20,196104.778
2025-08-21,197874.778
2025-08-22,201834.778
2025-08-25,198969.778
2025-08-26,192654.778
2025-08-27,197874.778
2025-08-28,186354.778
2025-08-29,186084.778
2025-09-01,189849.778
2025-09-02,189429.778
2025-09-03,193554.778
2025-09-04,190044.778
2025-09-05,187884.778
2025-09-08,188184.778
2025-09-09,187389.778
2025-09-10,189414.778
2025-09-11,188934.778
2025-09-12,195204.778
2025-09-15,196419.778
2025-09-16,198294.778
2025-09-17,201459.778
2025-09-18,198414.778
2025-09-19,199239.778
2025-09-22,196119.778
2025-09-23,192384.778
2025-09-24,189489.778
2025-09-25,191379.778
2025-09-26,185649.778
2025-09-29,182334.778
2025-09-30,179049.778
2025-10-01,179769.778
2025-10-02,185649.778
2025-10-03,186954.778
2025-10-06,191259.778
2025-10-07,191304.778
2025-10-08,189264.778
2025-10-09,192744.778
2025-10-10,190809.778
2025-10-13,189159.778
2025-10-14,188799.778
2025-10-15,189939.778
2025-10-16,189684.778
2025-10-17,190029.778
2025-10-20,190419.778
2025-10-21,190764.778
2025-10-22,189684.778
2025-10-23,189489.778
2025-10-24,189414.778
2025-10-27,189444.778
2025-10-28,186954.778
2025-10-29,188559.778
2025-10-30,187674.778
2025-10-31,187329.778
2025-11-03,191574.778
2025-11-04,183519.778
2025-11-05,187674.778
2025-11-06,179799.778
2025-11-07,182754.778
2025-11-10,180264.778
2025-11-11,185979.778
2025-11-12,190419.778
2025-11-13,185544.778
2025-11-14,187359.778
2025-11-17,187809.778
2025-11-18,185709.778
2025-11-19,186294.778
2025-11-20,188424.778
2025-11-21,185529.778
2025-11-24,179664.778
2025-11-25,178164.778
2025-11-26,181059.778
2025-11-27,179454.778
2025-11-28,178239.778
2025-12-01,177879.778
2025-12-02,178764.778
