Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%),Reason
BBETF0432,2022-03-21,1008.8699951171875,2022-05-11,985.2999877929688,-2.336277958339015,EMA Cross Down
LOWVOLIETF,2022-06-02,13.5,2022-06-03,13.345000267028809,-1.1481461701569733,EMA Cross Down
AXISCETF,2022-07-22,74.87999725341797,2023-02-27,72.23999786376953,-3.525640339854489,EMA Cross Down
NIF100IETF,2022-08-08,194.25,2023-03-14,184.91000366210938,-4.808234922981017,EMA Cross Down
METALIETF,2024-12-10,9.470000267028809,2024-12-20,8.829999923706055,-6.758187172929748,EMA Cross Down
SBISILVER,2024-10-24,97.37519836425781,2024-12-26,87.72959899902344,-9.905601762321908,EMA Cross Down
MOLOWVOL,2024-01-16,33.29999923706055,2025-01-15,35.59000015258789,6.876879783765083,EMA Cross Down
AUTOBEES,2022-06-27,117.17019653320312,2025-01-27,224.10760498046875,91.26673131162858,EMA Cross Down
ABSLBANETF,2023-12-27,48.59000015258789,2025-01-31,50.290000915527344,3.498663835358954,EMA Cross Down
SENSEXADD,2023-11-23,66.38999938964844,2025-02-21,76.5,15.228198076965066,EMA Cross Down
ITBETA,2024-07-15,393.0899963378906,2025-03-17,369.510009765625,-5.998622908733816,EMA Cross Down
NV20BEES,2025-02-01,151.74789428710938,2025-04-11,95.22000122070312,-37.251187788777216,EMA Cross Down
GROWWRAIL,2025-05-20,37.83000183105469,2025-08-29,33.150001525878906,-12.371134228531716,EMA Cross Down
MOPSE,2025-10-28,99.80000305175781,2025-12-11,96.12999725341797,-3.6773604069295693,EMA Cross Down
HDFCNIF100,2025-12-22,27.40999984741211,2026-01-23,26.389999389648438,-3.721271300408177,EMA Cross Down
GROWWGOLD,2025-01-28,79.82129669189453,2026-02-10,15.15999984741211,-81.00757507619952,EMA Cross Down
MIDCAP,2022-08-19,84.20999908447266,2026-02-27,17.219999313354492,-79.55112278759108,EMA Cross Down
NIFTYADD,2025-04-29,251.44000244140625,2026-03-18,248.83999633789062,-1.0340463244791416,EMA Cross Down
NIF100BEES,2023-06-28,197.24000549316406,2026-03-30,242.50999450683594,22.95172771896969,EMA Cross Down
BFSI,2023-12-05,21.360000610351562,2026-03-30,24.31999969482422,13.85767322046878,EMA Cross Down
EBANKNIFTY,2025-04-21,55.25,2026-04-01,51.880001068115234,-6.099545578071974,EMA Cross Down
