date,regime_score,dyn_n,n_held,exits,entries,exits_52h,exits_adtv,exits_reldd,exits_rank,exits_data
2017-11-06,0.6799814922008286,23,23,0,23,0,0,0,0,0
2017-11-13,0.6224074920865592,21,23,0,0,0,0,0,0,0
2017-11-20,0.6419048399777045,22,23,0,0,0,0,0,0,0
2017-11-27,0.6672970765975009,22,23,0,0,0,0,0,0,0
2017-12-04,0.6258392252282281,21,22,1,0,0,0,0,1,0
2017-12-11,0.6502857873746702,22,22,1,1,0,0,0,1,0
2017-12-18,0.6383993990897475,22,22,4,4,0,0,2,2,0
2017-12-22,0.7036183150487842,23,23,0,1,0,0,0,0,0
2018-01-01,0.7053469802716671,23,23,1,1,0,0,0,1,0
2018-01-08,0.7324328350943093,24,24,0,1,0,0,0,0,0
2018-01-15,0.7261708178983161,24,24,1,1,0,0,0,1,0
2018-01-22,0.6667323031322332,22,24,0,0,0,0,0,0,0
2018-01-29,0.6018033469575844,21,24,0,0,0,0,0,0,0
2018-02-05,0.4792802113320032,17,18,6,0,6,0,0,0,0
2018-02-12,0.5387788083346629,19,19,1,2,1,0,0,0,0
2018-02-19,0.47669129865709425,17,19,0,0,0,0,0,0,0
2018-02-26,0.5082011764093981,18,18,1,0,1,0,0,0,0
2018-03-05,0.4686777511992699,17,17,1,0,1,0,0,0,0
2018-03-12,0.4483000986912665,16,17,0,0,0,0,0,0,0
2018-03-19,0.41096555261943485,15,16,1,0,1,0,0,0,0
2018-03-26,0.40314308026226325,15,16,0,0,0,0,0,0,0
2018-04-02,0.45512045551351754,17,17,0,1,0,0,0,0,0
2018-04-09,0.5230020895081414,18,18,0,1,0,0,0,0,0
2018-04-16,0.5285760852466506,19,19,2,3,1,0,0,1,0
2018-04-23,0.5518105023263669,19,19,2,2,2,0,0,0,0
2018-04-30,0.5604283939319505,19,19,1,1,0,0,0,1,0
2018-05-07,0.5119245674249554,18,18,1,0,1,0,0,0,0
2018-05-14,0.47340183051979295,17,17,1,0,1,0,0,0,0
2018-05-21,0.40417862236309504,15,15,4,2,4,0,0,0,0
2018-05-28,0.45327156368668087,17,17,1,3,0,0,0,1,0
2018-06-04,0.4014834956523964,15,15,3,1,3,0,0,0,0
2018-06-11,0.444358272022068,16,16,0,1,0,0,0,0,0
2018-06-18,0.42976674009527366,16,16,2,2,0,0,0,2,0
2018-06-25,0.3911637377114333,15,15,1,0,1,0,0,0,0
2018-07-02,0.35647345039196554,14,14,1,0,1,0,0,0,0
2018-07-09,0.39456340312787547,15,14,0,0,0,0,0,0,0
2018-07-16,0.346341547031411,14,13,1,0,1,0,0,0,0
2018-07-23,0.3734430171653171,14,13,0,0,0,0,0,0,0
2018-07-30,0.47398352578709796,17,17,1,5,0,0,1,0,0
2018-08-06,0.5170937540695388,18,18,1,2,0,0,0,1,0
2018-08-13,0.4459694280290835,16,18,0,0,0,0,0,0,0
2018-08-20,0.48209442335751257,17,17,1,0,0,0,1,0,0
2018-08-27,0.491326196177955,18,18,0,1,0,0,0,0,0
2018-09-03,0.5079235585092323,18,18,0,0,0,0,0,0,0
2018-09-10,0.4450292856016401,16,17,1,0,0,0,0,1,0
2018-09-17,0.4542582135023153,17,17,0,0,0,0,0,0,0
2018-09-24,0.3450509383378016,14,17,0,0,0,0,0,0,0
2018-10-01,0.3088780305584298,13,12,5,0,4,0,0,1,0
2018-10-08,0.2698833352915416,12,8,4,0,4,0,0,0,0
2018-10-15,0.31301191776952225,13,7,1,0,0,0,0,1,0
2018-10-22,0.2853806854838115,12,7,0,0,0,0,0,0,0
2018-10-29,0.2948910057736418,12,6,1,0,1,0,0,0,0
