rank,ticker,signal,signal_reason,is_held,momentum_score,annualized_slope,r_squared,last_close,ma_100,below_ma100,atr_20,atr_method,highest_close_ref,stop_loss_level,distance_to_stop_pct,avg_daily_value_20d,position_weight_pct,allocated_amount,approx_shares,risk_amount_per_atr,entry_date,entry_price,52wk_high,disqualify_reason
1.0,CUPID,HOLD,"Held, rank 1 still within band (cutoff 138)",True,1552.9874,1650.2832,0.941,280.0,196.9524,False,11.215718,true_range,283.15,249.5028,10.89,5456658223.89,4.93,24920.0,89.0,998.2,2026-09-02,282.33,299.0,
2.0,DIACABS,HOLD,"Held, rank 2 still within band (cutoff 138)",True,856.6018,977.0506,0.8767,369.05,251.6445,False,17.213578,true_range,369.05,317.4093,13.99,342079017.0,4.24,21404.9,58.0,998.39,2026-09-02,349.4,379.0,
3.0,SHILPAMED,HOLD,"Held, rank 3 still within band (cutoff 138)",True,707.8144,756.204,0.936,961.15,628.2495,False,36.902918,true_range,964.15,853.4412,11.21,1148567423.41,5.15,25951.05,27.0,996.38,2026-09-02,903.8,980.1,
4.0,ATHERENERG,HOLD,"Held, rank 4 still within band (cutoff 138)",True,522.8899,557.6893,0.9376,1656.0,1192.0985,False,62.116691,true_range,1686.1,1499.7499,9.44,8215707708.86,5.27,26496.0,16.0,993.87,2026-09-02,1616.3,1744.0,
5.0,SUDEEPPHRM,HOLD,"Held, rank 5 still within band (cutoff 138)",True,508.8482,560.0534,0.9086,1202.8,877.414,False,57.852544,true_range,1344.2,1170.6424,2.67,301776478.88,4.11,20447.6,17.0,983.49,2026-09-02,1268.1,1378.0,
6.0,QUESS,HOLD,"Held, rank 6 still within band (cutoff 138)",True,489.3545,522.6868,0.9362,348.0,275.6649,False,16.357414,true_range,379.25,330.1778,5.12,305869048.29,4.2,21228.0,61.0,997.8,2026-09-02,364.7,388.75,
7.0,SKYGOLD,HOLD,"Held, rank 7 still within band (cutoff 138)",True,485.3532,535.2976,0.9067,827.4,606.898,False,33.883433,true_range,832.2,730.5497,11.71,695655732.96,4.82,23994.6,29.0,982.62,2026-09-02,811.4,868.8,
8.0,REDINGTON,HOLD,"Held, rank 8 still within band (cutoff 138)",True,421.6187,456.8599,0.9229,393.7,281.5218,False,14.241172,true_range,393.7,350.9765,10.85,2480831799.5,5.46,27559.0,70.0,996.88,2026-09-02,357.3,403.25,
9.0,UTLSOLAR,NO SIGNAL,,False,343.9697,380.5333,0.9039,447.8,354.7174,False,19.938402,true_range,447.8,387.9848,13.36,179849043.72,,,,,,,494.25,
10.0,EMIL,NO SIGNAL,,False,340.0859,437.6205,0.7771,188.38,137.8322,False,8.512537,true_range,188.38,162.8424,13.56,381254339.48,,,,,,,196.74,
11.0,CARTRADE,NO SIGNAL,,False,315.9827,404.9691,0.7803,3087.9,2474.494,False,122.81594,true_range,3087.9,2719.4522,11.93,1341499669.64,,,,,,,3290.5,
12.0,STYL,NO SIGNAL,,False,290.2168,346.0954,0.8385,387.4,327.3017,False,18.014977,true_range,387.4,333.3551,13.95,46152359.42,,,,,,,437.45,
13.0,AVALON,HOLD,"Held, rank 13 still within band (cutoff 138)",True,288.6474,329.6293,0.8757,2264.5,1714.6135,False,114.992437,true_range,2352.5,2007.5227,11.35,1277576577.5,3.89,18116.0,8.0,919.94,2026-09-02,2252.4,2424.0,
