ticker,entry_date,entry_price,shares,trade_id
AVALON,2026-09-02,2252.4,22,AVALON-20260902
QUESS,2026-09-02,364.7,137,QUESS-20260902
REDINGTON,2026-09-02,357.3,140,REDINGTON-20260902
SUDEEPPHRM,2026-09-02,1268.1,39,SUDEEPPHRM-20260902
HFCL,2026-09-02,251.47,178,HFCL-20260902
ATHERENERG,2026-09-02,1616.3,32,ATHERENERG-20260902
AEGISVOPAK,2026-09-02,269.9,178,AEGISVOPAK-20260902
RRKABEL,2026-09-02,2905.2,22,RRKABEL-20260902
SHILPAMED,2026-09-02,903.8,67,SHILPAMED-20260902
VARROC,2026-09-02,821.85,102,VARROC-20260902
GRWRHITECH,2026-09-02,7224.5,10,GRWRHITECH-20260902
LLOYDSENGG,2026-09-02,86.74,498,LLOYDSENGG-20260902
ASTRAMICRO,2026-09-02,1706.6,30,ASTRAMICRO-20260902
CUPID,2026-09-02,282.33,167,CUPID-20260902
LAURUSLABS,2026-09-02,1938.5,44,LAURUSLABS-20260902
DIACABS,2026-09-02,349.4,146,DIACABS-20260902
RATEGAIN,2026-09-02,933.95,51,RATEGAIN-20260902
STLTECH,2026-09-02,723.75,61,STLTECH-20260902
SANSERA,2026-09-02,3859.0,16,SANSERA-20260902
SKYGOLD,2026-09-02,811.4,56,SKYGOLD-20260902
