Code,Scheme Name,Scheme NAV Name
101705,ICICI Prudential BSE Sensex ETF,ICICI Prudential BSE Sensex ETF
106193,KOTAK GOLD ETF,KOTAK GOLD ETF
106929,Kotak Nifty PSU Bank ETF,Kotak Nifty PSU Bank ETF
108479,Quantum Nifty 50 ETF,Quantum Nifty 50 ETF
109010,Kotak BSE Sensex ETF,Kotak BSE Sensex ETF
111954,SBI Gold ETF,SBI Gold ETF
112351,Kotak Nifty 50 ETF,Kotak Nifty 50 ETF
113049,HDFC Gold ETF,HDFC Gold ETF - Growth Option
113069,Motilal Oswal Nifty 50 ETF,Motilal Oswal Nifty 50 ETF
113076,ICICI Prudential Gold ETF,ICICI Prudential Gold ETF
113126,Motilal Oswal Nifty 50 ETF,Motilal Oswal MOSt Shares M50 ETF (MOSt Shares M50)
113434,Axis Gold ETF,Axis Gold ETF
114456,Motilal Oswal Nifty Midcap 100 ETF,Motilal Oswal Nifty Midcap 100 ETF
114984,Motilal Oswal Nasdaq 100 ETF,Motilal Oswal Nasdaq 100 ETF (MOFN100)
115127,Aditya Birla Sun Life Gold ETF,Aditya Birla Sun Life Gold ETF
115512,Aditya Birla Sun Life Nifty 50 ETF,Aditya Birla Sun Life Nifty 50 ETF
115833,ICICI Prudential Gold ETF FOF,ICICI Prudential Gold ETF FOF - Growth
120685,ICICI Prudential Gold ETF FOF,ICICI Prudential Gold ETF FOF - Direct Plan - Growth
121109,SBI BSE SENSEX ETF,SBI BSE SENSEX ETF
121146,Nippon India ETF Nifty 100,Nippon India ETF Nifty 100
121366,ICICI Prudential Nifty 50 ETF,ICICI Prudential Nifty 50 ETF
123004,ICICI Prudential Nifty 100 ETF,ICICI Prudential Nifty 100 ETF
128331,Nippon India ETF Nifty India Consumption,Nippon India ETF Nifty India Consumption
128639,Nippon India ETF Nifty Dividend Opportunities 50,Nippon India ETF Nifty Dividend Opportunities 50
131331,Nippon India ETF BSE Sensex,Nippon India ETF BSE Sensex
133122,Kotak Nifty Bank ETF,Kotak Nifty Bank ETF
133307,LIC MF Nifty 8-13 yr G-Sec ETF,LIC MF Nifty 8-13 yr G-Sec ETF
