TICKER,PREV_DATE,PREV_PRICE,BAD_DATE,BAD_PRICE,LOG_RET
BSLNIFTY,2016-04-04,81.09,2016-04-05,9.0,-2.2
NV20BEES,2016-04-05,35.13,2016-04-06,351.56,2.3
NV20BEES,2016-04-07,349.61,2016-04-08,34.93,-2.3
NV20BEES,2016-04-11,34.92,2016-04-12,356.8,2.32
NV20BEES,2016-04-13,362.51,2016-04-18,36.3,-2.3
NV20BEES,2016-04-22,36.78,2016-04-25,364.87,2.29
NV20BEES,2016-04-25,364.87,2016-04-26,36.56,-2.3
NV20BEES,2016-04-27,36.58,2016-04-28,361.12,2.29
NV20BEES,2016-04-29,358.92,2016-05-02,34.84,-2.33
NV20BEES,2016-05-04,34.76,2016-05-05,348.85,2.31
NV20BEES,2016-05-05,348.85,2016-05-06,35.03,-2.3
NV20BEES,2016-05-10,35.17,2016-05-11,354.49,2.31
NV20BEES,2016-05-12,358.17,2016-05-13,35.5,-2.31
NV20BEES,2016-05-13,35.5,2016-05-16,352.7,2.3
NV20BEES,2016-05-17,354.25,2016-05-18,35.27,-2.31
NV20BEES,2016-05-19,35.34,2016-05-20,347.52,2.29
NV20BEES,2016-05-25,353.86,2016-05-26,35.7,-2.29
NV20BEES,2016-05-27,36.15,2016-05-30,366.5,2.32
NV20BEES,2016-05-31,364.19,2016-06-01,36.8,-2.29
NV20BEES,2016-06-02,36.57,2016-06-03,368.79,2.31
NV20BEES,2016-06-03,368.79,2016-06-06,36.57,-2.31
NV20BEES,2016-06-07,36.86,2016-06-08,371.89,2.31
NV20BEES,2016-06-09,370.18,2016-06-10,36.87,-2.31
NV20BEES,2016-06-10,36.87,2016-06-13,365.01,2.29
NV20BEES,2016-06-17,368.12,2016-06-20,36.98,-2.3
NV20BEES,2016-06-22,37.0,2016-06-23,372.96,2.31
NV20BEES,2016-06-23,372.96,2016-06-24,35.98,-2.34
NV20BEES,2016-06-24,35.98,2016-06-27,362.77,2.31
NV20BEES,2016-06-30,370.81,2016-07-01,37.12,-2.3
NV20BEES,2016-07-01,37.12,2016-07-04,375.69,2.31
