date,equity
01-04-2020,1000000
04-05-2020,1000000
01-06-2020,1000000
01-07-2020,1000000
03-08-2020,999900
04-08-2020,1001687.7672692452
05-08-2020,1005244.2724400281
06-08-2020,1017779.612223025
07-08-2020,1023854.1907039807
10-08-2020,1026489.1823362507
11-08-2020,1019249.1030239222
12-08-2020,1011080.9100246722
13-08-2020,1018140.1693408589
14-08-2020,1013553.2343021706
17-08-2020,1015952.794776076
18-08-2020,1025336.3265794913
19-08-2020,1024048.6904472827
20-08-2020,1023307.4934413154
21-08-2020,1026395.4893239671
24-08-2020,1022455.1901602879
25-08-2020,1023478.0964680167
26-08-2020,1025356.705385542
27-08-2020,1027540.858443006
28-08-2020,1026850.1379168434
31-08-2020,1011210.5332148431
01-09-2020,1012673.3328788285
02-09-2020,1021442.3349169249
03-09-2020,1032096.6644517827
04-09-2020,1019579.0293859084
07-09-2020,1008839.2280139372
08-09-2020,1006790.3446672193
09-09-2020,998884.7215860579
10-09-2020,1011075.3004939472
11-09-2020,1013468.8172229077
14-09-2020,1024757.1268060491
15-09-2020,1032619.5006429747
16-09-2020,1035942.14
17-09-2020,1036580.4346646629
18-09-2020,1040401.0034716141
21-09-2020,1014451.0093257804
22-09-2020,999131.3767
23-09-2020,995385.0461601398
24-09-2020,987761.4880078774
25-09-2020,1003120.0726185448
28-09-2020,1022950.7287155767
29-09-2020,1020921.7340548018
30-09-2020,1020730.3378013478
01-10-2020,1030471.7236962856
05-10-2020,1039827.4673740563
06-10-2020,1042735.3833197664
07-10-2020,1050227.309534554
08-10-2020,1055626.417
09-10-2020,1057754.954687489
12-10-2020,1063980.5359871879
13-10-2020,1063808.9551894362
14-10-2020,1055719.6652865468
15-10-2020,1047966.693002335
16-10-2020,1046359.859461216
19-10-2020,1055386.0902247953
20-10-2020,1059720.300185494
21-10-2020,1058671.6499123771
22-10-2020,1058698.8661483238
23-10-2020,1063103.5541484703
26-10-2020,1055865.933537337
27-10-2020,1062110.8141532145
28-10-2020,1057010.7727678947
29-10-2020,1051339.3321719787
30-10-2020,1051402.6314652718
02-11-2020,1048704.7566083134
03-11-2020,1054623.5882968123
04-11-2020,1063170.964805793
05-11-2020,1075273.1933132568
06-11-2020,1079973.682015262
09-11-2020,1094420.4494180446
10-11-2020,1095419.911619513
11-11-2020,1101668.6214422153
12-11-2020,1107019.8087956572
13-11-2020,1110866.9228125429
14-11-2020,1116181.74
17-11-2020,1123291.1192992737
18-11-2020,1130742.4478054226
19-11-2020,1128360.9192935843
20-11-2020,1134853.6706574194
23-11-2020,1144866.4810150187
24-11-2020,1150833.5945622646
25-11-2020,1136237.4627644063
26-11-2020,1142103.1003315991
27-11-2020,1153060.348858161
01-12-2020,1164741.5884839343
02-12-2020,1169220.298715166
03-12-2020,1173140.3081635775
04-12-2020,1179007.708528276
07-12-2020,1192889.7404291541
08-12-2020,1193803.5375448929
09-12-2020,1202529.1784612932
10-12-2020,1200124.7125999592
11-12-2020,1199978.321542273
14-12-2020,1208915.379220829
15-12-2020,1208084.971509132
16-12-2020,1216286.0036341576
17-12-2020,1220681.333453477
18-12-2020,1222519.0803787303
21-12-2020,1188048.4503655867
22-12-2020,1195270.7911527185
23-12-2020,1214549.424614832
24-12-2020,1218807.2534426902
28-12-2020,1233621.921
29-12-2020,1231474.8175576748
