TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,MONTHLY_REBALANCE,NV20,NV20,2020-08-03,,,5.78,,34598.6159,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,,,279.7,,714.9803,,20.0,,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,,,1109.54,,180.2369,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,,,5.907,,33854.7486,,20.0,,BULL
BUY,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,,,49.019,,4079.6426,,20.0,,BULL
SELL,MONTHLY_REBALANCE,NV20,NV20,2020-08-03,2020-09-01,29.0,5.78,5.834,34598.6159,1868.33,20.0,1848.33,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,2020-09-01,29.0,279.7,283.04,714.9803,2388.03,20.0,2368.03,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,2020-09-01,29.0,1109.54,1095.0,180.2369,-2620.64,20.0,-2640.64,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,2020-09-01,29.0,5.907,6.445,33854.7486,18213.85,20.0,18193.85,BULL
SELL,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,2020-09-01,29.0,49.019,47.3335,4079.6426,-6876.24,20.0,-6896.24,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-09-01,,,6.445,,31425.084,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-09-01,,,6.376,,31765.161,,20.0,,BULL
BUY,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-09-01,,,103.5,,1956.8567,,20.0,,BULL
