date,equity
2020-07-13,999899.9945205479
2020-07-14,998850.4151858446
2020-07-15,992670.3072389176
2020-07-16,991450.2157591798
2020-07-17,999992.9277232825
2020-07-20,997325.07841275
2020-07-21,1002697.8989242992
2020-07-22,1000581.9264470915
2020-07-23,1008640.5514064122
2020-07-24,1000996.896105551
2020-07-27,997234.2038253216
2020-07-28,1007016.4717644043
2020-07-29,1008324.6278611423
2020-07-30,1007654.7822567614
2020-07-31,1005798.3975225677
2020-08-03,1002999.9490298313
2020-08-04,1004793.4321653935
2020-08-05,1008361.3136490617
2020-08-06,1020936.7644804225
2020-08-07,1027030.7777995594
2020-08-10,1029474.1966490027
2020-08-11,1022156.6922480144
2020-08-12,1015125.5766817603
2020-08-13,1018671.8640247355
2020-08-14,1015657.9878494268
2020-08-17,1018769.4681603604
2020-08-18,1028107.5495945918
2020-08-19,1031968.3731949511
2020-08-20,1034221.9169499343
2020-08-21,1040287.1145438157
2020-08-24,1039502.9007177518
2020-08-25,1044100.0025342214
2020-08-26,1043338.9453561471
2020-08-27,1046782.7438419973
2020-08-28,1049535.5784731668
2020-08-31,1020796.5168162057
2020-09-01,1024400.3300784017
2020-09-02,1035906.9838980667
2020-09-03,1044910.3565605581
2020-09-04,1028747.8882223614
2020-09-07,1018899.3914043977
2020-09-08,1016837.2088066159
2020-09-09,1008816.3674846349
2020-09-10,1021144.6142397705
2020-09-11,1023570.3576626538
2020-09-14,1034736.868964652
2020-09-15,1041680.964633877
2020-09-16,1044765.5116807597
2020-09-17,1046135.1811513163
2020-09-18,1048979.6683305656
2020-09-21,1025854.8662598946
2020-09-22,1013013.7568923406
2020-09-23,1008953.72366613
2020-09-24,1000055.7709794458
2020-09-25,1013567.3841070178
2020-09-28,1029244.0827515072
2020-09-29,1029845.0186999652
2020-09-30,1030517.4149067932
2020-10-01,1033687.4941857576
2020-10-05,1039548.335424053
2020-10-06,1046254.0561364375
2020-10-07,1049116.126315527
2020-10-08,1058189.9265538056
2020-10-09,1058443.9374452499
2020-10-12,1062244.6310110514
2020-10-13,1080260.9828824706
2020-10-14,1059677.6425301898
2020-10-15,1044243.8685989027
2020-10-16,1044627.4139912142
2020-10-19,1049311.5895142432
2020-10-20,1055472.9661705056
2020-10-21,1053342.6641305347
2020-10-22,1051798.115163041
2020-10-23,1058172.4610072116
2020-10-26,1047846.9021599992
2020-10-27,1054244.9714891873
2020-10-28,1049156.2935916926
2020-10-29,1043482.372960387
2020-10-30,1043531.6149725422
2020-11-02,1040910.6094979043
2020-11-03,1046786.0103965108
2020-11-04,1055270.6709961987
2020-11-05,1067284.1023404268
2020-11-06,1071950.0989957748
2020-11-09,1086090.867813032
2020-11-10,1107270.9412720709
2020-11-11,1112030.815925838
2020-11-12,1106230.3031882595
2020-11-13,1109379.761228281
2020-11-14,1114315.6797180139
2020-11-17,1125077.0643944005
2020-11-18,1139628.2192953718
2020-11-19,1126875.0190047754
2020-11-20,1134645.8299899201
2020-11-23,1136409.3947645908
2020-11-24,1150479.6655584015
2020-11-25,1134658.0229727451
2020-11-26,1145600.0912447658
2020-11-27,1145294.8039749977
2020-12-01,1154155.7384775227
2020-12-02,1152073.7769992568
2020-12-03,1151707.334318928
2020-12-04,1165599.60193116
2020-12-07,1174810.7871379799
2020-12-08,1175718.2639574632
2020-12-09,1184316.143070507
2020-12-10,1181941.3057714922
2020-12-11,1181800.1626523891
2020-12-14,1190396.453983075
2020-12-15,1187470.1227540148
2020-12-16,1195906.0775149069
2020-12-17,1198787.7352231736
2020-12-18,1202103.7327107796
2020-12-21,1168416.902228509
2020-12-22,1176172.3393197178
2020-12-23,1194534.245057007
2020-12-24,1199827.3458965581
2020-12-28,1216022.1177876976
2020-12-29,1213966.7137833713
2020-12-30,1216243.0519810466
2020-12-31,1218713.9344073662
2021-01-01,1227678.204453267
2021-01-04,1237464.0382588871
2021-01-05,1245038.3919869775
2021-01-06,1247465.4153911874
2021-01-07,1254055.620474209
2021-01-08,1264201.8539418494
2021-01-11,1274855.9334612517
2021-01-12,1276821.2002902757
2021-01-13,1273359.5095068046
2021-01-14,1277020.5806621
2021-01-15,1264731.6553849217
2021-01-18,1242836.577572351
2021-01-19,1262592.142621174
2021-01-20,1270153.2368419576
2021-01-21,1268652.9936381367
2021-01-22,1257968.1218845786
2021-01-25,1266488.9422636328
2021-01-27,1228731.031373401
2021-01-28,1215951.5332230432
2021-01-29,1204313.8431621434
2021-02-01,1231572.8674944555
2021-02-02,1245104.8832258633
2021-02-03,1264596.3672644326
2021-02-04,1271859.4493784455
2021-02-05,1273913.6941620149
2021-02-08,1283974.2081534965
2021-02-09,1288582.2070853598
2021-02-10,1284662.4883138658
2021-02-11,1282471.6259869656
2021-02-12,1282180.8557323688
2021-02-15,1302208.7288185821
2021-02-16,1308988.493629597
2021-02-17,1321391.9189557016
2021-02-18,1338631.4301352461
2021-02-19,1315805.4578192853
2021-02-22,1285401.579112834
2021-02-23,1286552.8998293027
2021-02-24,1308776.9994699627
2021-02-25,1323881.7318849259
2021-02-26,1283312.4947209687
2021-03-01,1289693.0905491728
2021-03-02,1304922.708480049
2021-03-03,1329392.2043855384
2021-03-04,1332444.3970110992
2021-03-05,1305218.924834862
2021-03-08,1314237.3578875184
2021-03-09,1305197.0562794297
2021-03-10,1310552.832217496
2021-03-12,1301331.2061054804
2021-03-15,1291467.8284545878
2021-03-16,1291702.8057262308
2021-03-17,1266051.8158166923
2021-03-18,1253354.0975471998
2021-03-19,1260812.894209976
2021-03-22,1265901.2808095021
2021-03-23,1275778.4587080644
2021-03-24,1250640.7485085095
2021-03-25,1229819.6364250374
2021-03-26,1239766.3136186262
2021-03-30,1258552.9187943707
2021-03-31,1260286.6524544386
2021-04-01,1280007.5847949155
2021-04-05,1247532.4395956032
2021-04-06,1248808.677477784
2021-04-07,1265819.7633332242
2021-04-08,1265023.8514554638
2021-04-09,1269767.3403493662
2021-04-12,1212813.6280800458
2021-04-13,1218672.882384459
2021-04-15,1217435.0025530963
2021-04-16,1226581.5044049656
2021-04-19,1195444.1745403036
2021-04-20,1198596.4948607115
2021-04-22,1200882.804610201
2021-04-23,1209051.4496729213
2021-04-26,1220658.4808241758
2021-04-27,1230549.789124457
2021-04-28,1236635.0886483719
2021-04-29,1236579.9826278726
2021-04-30,1233756.068964551
2021-05-03,1235765.322974842
2021-05-04,1235552.9442663928
2021-05-05,1243372.154003451
2021-05-06,1253199.6294760648
2021-05-07,1256385.691208923
2021-05-10,1276131.8265370054
2021-05-11,1289733.5641390483
2021-05-12,1285621.7441209892
2021-05-14,1268427.5499462674
2021-05-17,1279023.568673663
2021-05-18,1291888.5853425763
2021-05-19,1300746.1404300702
2021-05-20,1297831.1302376853
2021-05-21,1300415.4884255764
2021-05-24,1304883.8683375467
2021-05-25,1309999.7166053017
2021-05-26,1308050.3611294024
2021-05-27,1310647.9555512762
2021-05-28,1311954.4108284146
2021-05-31,1316712.344402396
2021-06-01,1320598.3096622366
2021-06-02,1333812.331515111
2021-06-03,1344415.8511078726
2021-06-04,1349234.6081869719
2021-06-07,1364762.5114808215
2021-06-08,1375253.173969144
2021-06-09,1368644.4877527228
2021-06-10,1376982.8882304518
2021-06-11,1382853.6094814006
2021-06-14,1383299.201109676
2021-06-15,1389520.3621591958
2021-06-16,1383453.96122785
2021-06-17,1380447.7079472155
2021-06-18,1369695.442811552
2021-06-21,1369291.2853600518
2021-06-22,1376009.0780029611
2021-06-23,1371844.2356450136
2021-06-24,1372746.0362763507
2021-06-25,1374550.08052823
2021-06-28,1375657.8171301042
2021-06-29,1378415.1794149128
2021-06-30,1382095.3841033976
2021-07-01,1375320.8675332027
2021-07-02,1376088.940088791
2021-07-05,1378949.7323530202
2021-07-06,1376899.0831268341
2021-07-07,1380711.6397606723
2021-07-08,1378255.6636522415
2021-07-09,1380603.6577785332
2021-07-12,1378154.0712075217
2021-07-13,1379903.3808358975
2021-07-14,1382318.1337882257
2021-07-15,1386043.9760049307
2021-07-16,1387518.7740355171
2021-07-19,1383961.278081242
2021-07-20,1377801.7624188804
2021-07-22,1385833.2110545097
2021-07-23,1389013.7150932364
2021-07-26,1393547.2357853188
2021-07-27,1384404.2382166453
2021-07-28,1376938.3737187507
2021-07-29,1378118.3852955818
2021-07-30,1391901.587408306
2021-08-02,1397683.097642736
2021-08-03,1405660.5281274004
2021-08-04,1399356.7436771453
2021-08-05,1398086.696176662
2021-08-06,1402987.3927844688
2021-08-09,1397949.4558620348
2021-08-10,1397356.4522000933
2021-08-11,1393940.9459096289
2021-08-12,1411302.3483909175
2021-08-13,1422937.5049678755
2021-08-16,1419971.1297138806
2021-08-17,1437307.8500625093
2021-08-18,1450645.8460950025
2021-08-20,1443856.099455041
2021-08-23,1456349.1068622402
2021-08-24,1450298.876675451
2021-08-25,1458806.6778752825
2021-08-26,1460647.0791811454
2021-08-27,1466992.4275841538
2021-08-30,1472714.159952577
2021-08-31,1483046.3564264285
2021-09-01,1483547.5318639416
2021-09-02,1500237.018883363
2021-09-03,1506011.3073778406
2021-09-06,1521940.5158421884
2021-09-07,1511756.2467661912
2021-09-08,1504741.9320291549
2021-09-09,1513011.3540186351
2021-09-13,1520724.6254921507
2021-09-14,1529152.7343380249
2021-09-15,1549633.0295516273
2021-09-16,1549811.9048166007
2021-09-17,1545848.3976296817
2021-09-20,1537234.0118323949
2021-09-21,1553440.5203066696
2021-09-22,1566155.9981234337
2021-09-23,1578469.2247316698
2021-09-24,1583542.3668383218
2021-09-27,1560027.1438085672
2021-09-28,1541657.3331296514
2021-09-29,1541252.5270215066
2021-09-30,1530438.295245526
2021-10-01,1526271.7686668702
2021-10-04,1541364.9462636043
2021-10-05,1550698.5766906876
2021-10-06,1535496.7746320665
2021-10-07,1551525.033553888
2021-10-08,1560772.0322409875
2021-10-11,1552922.4752586486
2021-10-12,1545662.3627969474
2021-10-13,1560272.1901981095
2021-10-14,1574484.825301915
2021-10-18,1585729.481275076
2021-10-19,1577512.3640288643
2021-10-20,1556860.4260051602
2021-10-21,1542638.8714709885
2021-10-22,1540192.1506337642
2021-10-25,1518804.916588714
2021-10-26,1528950.9973914046
2021-10-27,1528591.4620894592
2021-10-28,1502477.9277892467
2021-10-29,1487680.649949281
2021-11-01,1506561.505255625
2021-11-02,1506116.4199489444
2021-11-03,1504291.9917114445
2021-11-04,1523357.9383661316
2021-11-08,1526356.136562674
2021-11-09,1524992.0021094172
2021-11-10,1525118.1064001592
2021-11-11,1513772.0813742487
2021-11-12,1529909.164643741
2021-11-15,1535097.969886399
2021-11-16,1529936.687792563
2021-11-17,1522919.1919756152
2021-11-18,1507147.2924593007
2021-11-22,1476024.1927013139
2021-11-23,1489662.5367819858
2021-11-24,1481236.0089528589
2021-11-25,1490912.3047667078
2021-11-26,1451504.815247082
2021-11-29,1445532.18920121
2021-11-30,1449681.317154466
2021-12-01,1453242.7703071865
2021-12-02,1456313.850889503
2021-12-03,1448829.908834056
2021-12-06,1431407.5623188678
2021-12-07,1437437.9901691577
2021-12-08,1448372.1184191662
2021-12-09,1453531.4437527244
2021-12-10,1450951.9482958065
2021-12-13,1449903.002251125
2021-12-14,1446303.780203502
2021-12-15,1436185.673966653
2021-12-16,1433542.909255391
2021-12-17,1426946.5819278911
2021-12-20,1382614.0528152613
2021-12-21,1388242.5758375574
2021-12-22,1390861.4184846287
2021-12-23,1393028.8118984448
2021-12-24,1397528.713498193
2021-12-27,1398528.1631371945
2021-12-28,1401670.193612604
2021-12-29,1402519.0564458396
2021-12-30,1400009.2378384573
2021-12-31,1398356.4662982575
2022-01-03,1397541.5605153523
2022-01-04,1396897.1562809283
2022-01-05,1389865.8556686172
2022-01-06,1376055.955469805
2022-01-07,1380957.7393334708
2022-01-10,1383139.0912364868
2022-01-11,1391450.1141912467
2022-01-12,1397563.1191273432
2022-01-13,1402822.8380582083
2022-01-14,1405006.7036095087
2022-01-17,1407486.9907075337
2022-01-18,1386664.2709750892
2022-01-19,1374284.2570540209
2022-01-20,1364013.0166782516
2022-01-21,1342459.9992145803
2022-01-24,1311529.500188634
2022-01-25,1317754.2780840397
2022-01-27,1293038.6088683945
2022-01-28,1306801.2623951456
2022-01-31,1332625.799796898
2022-02-01,1332195.343299869
2022-02-02,1333475.9468737242
2022-02-03,1330764.0876187778
2022-02-04,1329355.8939422187
2022-02-07,1331667.966631571
2022-02-08,1328388.8960302025
2022-02-09,1330399.4626736348
2022-02-10,1335244.6032343002
2022-02-11,1325569.1266284506
2022-02-14,1298141.2463666846
2022-02-15,1298606.7459725346
2022-02-16,1299725.999703975
2022-02-17,1301417.2886852392
2022-02-18,1299186.074739966
2022-02-21,1297650.2966852672
2022-02-22,1297871.0204679046
2022-02-23,1295961.826356187
2022-02-24,1284959.511044208
2022-02-25,1296157.529390037
2022-02-28,1303465.5483437644
2022-03-02,1310047.8848306374
2022-03-03,1315824.6444651724
2022-03-04,1309920.4974740571
2022-03-07,1318719.1234037932
2022-03-08,1316619.5788321672
2022-03-09,1315444.6167930353
2022-03-10,1313190.9819957989
2022-03-11,1315020.9092283905
2022-03-14,1312958.157245397
2022-03-15,1306029.1688538587
2022-03-16,1309462.2475889048
2022-03-17,1310540.3149385129
2022-03-21,1311352.5596409913
2022-03-22,1316283.3837061294
2022-03-23,1317009.48801346
2022-03-24,1322579.7322725374
2022-03-25,1320892.5280441432
2022-03-28,1323345.575904282
2022-03-29,1320368.6553700068
2022-03-30,1318247.7440866376
2022-03-31,1319473.0415373186
2022-04-01,1327468.572011308
2022-04-04,1330530.481065215
2022-04-05,1337620.636790127
2022-04-06,1346206.962931246
2022-04-07,1345301.0485391095
2022-04-08,1349863.52849865
2022-04-11,1354464.4662684703
2022-04-12,1340822.7841364602
2022-04-13,1348010.4253108744
2022-04-18,1352013.9877788015
2022-04-19,1348034.9435257334
2022-04-20,1340126.638635848
2022-04-21,1345388.3446105297
