TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,WEEKLY_REBALANCE,MON100,MON100,2020-07-13,,,80.398,,2487.6241,,20.0,,BULL
BUY,WEEKLY_REBALANCE,EBBETF0430,EBBETF0430,2020-07-13,,,1104.22,,181.1233,,20.0,,BULL
BUY,WEEKLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-07-13,,,273.29,,731.8233,,20.0,,BULL
BUY,WEEKLY_REBALANCE,INFRABEES,INFRABEES,2020-07-13,,,316.41,,632.0913,,20.0,,BULL
BUY,WEEKLY_REBALANCE,GOLDBETA,GOLDBETA,2020-07-13,,,44.3375,,4510.8542,,20.0,,BULL
SELL,WEEKLY_REBALANCE,MON100,MON100,2020-07-13,2020-07-20,7.0,80.398,78.595,2487.6241,-4485.19,20.0,-4505.19,BULL
SELL,WEEKLY_REBALANCE,EBBETF0430,EBBETF0430,2020-07-13,2020-07-20,7.0,1104.22,1112.25,181.1233,1454.42,20.0,1434.42,BULL
SELL,WEEKLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-07-13,2020-07-20,7.0,273.29,276.22,731.8233,2144.24,20.0,2124.24,BULL
SELL,WEEKLY_REBALANCE,INFRABEES,INFRABEES,2020-07-13,2020-07-20,7.0,316.41,316.0,632.0913,-259.16,20.0,-279.16,BULL
SELL,WEEKLY_REBALANCE,GOLDBETA,GOLDBETA,2020-07-13,2020-07-20,7.0,44.3375,44.065,4510.8542,-1229.21,20.0,-1249.21,BULL
BUY,WEEKLY_REBALANCE,EBBETF0430,EBBETF0430,2020-07-20,,,1112.25,,179.3527,,20.0,,BULL
BUY,WEEKLY_REBALANCE,NV20,NV20,2020-07-20,,,5.734,,34789.8529,,20.0,,BULL
BUY,WEEKLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-07-20,,,98.33,,2028.73,,20.0,,BULL
BUY,WEEKLY_REBALANCE,INFRABEES,INFRABEES,2020-07-20,,,316.0,,631.2817,,20.0,,BULL
BUY,WEEKLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-07-20,,,276.22,,722.1961,,20.0,,BULL
SELL,WEEKLY_REBALANCE,EBBETF0430,EBBETF0430,2020-07-20,2020-07-27,7.0,1112.25,1107.1801,179.3527,-909.3,20.0,-929.3,BULL
SELL,WEEKLY_REBALANCE,NV20,NV20,2020-07-20,2020-07-27,7.0,5.734,5.752,34789.8529,626.22,20.0,606.22,BULL
