date,equity
2022-01-21,150000.0
2022-01-24,146139.90158566897
2022-01-25,145677.70233291265
2022-01-27,142741.276536797
2022-01-28,143408.86387121308
2022-01-31,146679.45021293248
2022-02-01,150166.25107272033
2022-02-02,151353.93371807697
2022-02-03,150710.5066111321
2022-02-04,149964.78064471725
2022-02-07,150360.14534260504
2022-02-08,149889.9589025138
2022-02-09,150256.4148407665
2022-02-10,150858.8464320135
2022-02-11,149848.11314264708
2022-02-14,147023.27139695556
2022-02-15,148371.21828772846
2022-02-16,148134.44088036416
2022-02-17,148196.81099701242
2022-02-18,147721.20665973623
2022-02-21,146905.23674911004
2022-02-22,146330.49411783516
2022-02-23,146235.496261413
2022-02-24,141876.40496211388
2022-02-25,145180.80909208427
2022-02-28,146746.5233887412
2022-03-02,147535.04642315896
2022-03-03,147543.13053529177
2022-03-04,147551.2150903896
2022-03-07,147559.3000884768
2022-03-08,147567.3855295775
2022-03-09,147575.4714137161
2022-03-10,147583.55774091688
2022-03-11,147591.64451120404
2022-03-14,147599.73172460197
2022-03-15,147607.81938113482
2022-03-16,147615.90748082695
2022-03-17,147623.99602370264
2022-03-21,147632.08500978615
2022-03-22,147640.17443910174
2022-03-23,147648.26431167376
2022-03-24,147656.35462752645
2022-03-25,147664.44538668415
2022-03-28,147672.53658917113
2022-03-29,147680.62823501162
2022-03-30,147688.72032423
2022-03-31,147696.81285685053
2022-04-01,147700.2178682991
2022-04-04,148155.1066414474
2022-04-05,148858.0919193811
2022-04-06,149719.1895827441
2022-04-07,149662.70918742262
2022-04-08,150113.04639138415
2022-04-11,150729.51313891172
2022-04-12,150160.4655478185
2022-04-13,150964.42178052815
2022-04-18,152080.9344256211
2022-04-19,151669.88665420446
2022-04-20,151058.9088598319
2022-04-21,151502.34797880976
2022-04-22,150965.38136589932
2022-04-25,149219.46711562958
2022-04-26,149434.29082259766
2022-04-27,148746.9515154128
2022-04-28,149344.5545410178
2022-04-29,148646.61878288435
2022-05-02,148010.65451607725
2022-05-04,148018.76468892745
2022-05-05,148026.8753061707
2022-05-06,148034.9863678313
2022-05-09,148043.09787393364
2022-05-10,148051.20982450212
2022-05-11,148059.322219561
2022-05-12,148067.4350591347
2022-05-13,148075.54834324753
2022-05-16,148083.66207192387
2022-05-17,148091.77624518808
2022-05-18,148099.89086306456
2022-05-19,148108.0059255776
2022-05-20,148116.12143275162
2022-05-23,148124.23738461095
2022-05-24,148132.35378117996
2022-05-25,148140.47062248306
2022-05-26,148148.5879085446
2022-05-27,148156.7056393889
2022-05-30,148164.8238150404
2022-05-31,148172.9424355234
2022-06-01,148181.06150086236
2022-06-02,148189.1810110816
2022-06-03,148197.30096620554
2022-06-06,148205.42136625847
2022-06-07,148213.54221126484
2022-06-08,148221.66350124902
2022-06-09,148229.7852362354
2022-06-10,148237.90741624837
2022-06-13,148246.03004131227
2022-06-14,148254.1531114515
2022-06-15,148262.27662669052
2022-06-16,148270.40058705362
2022-06-17,148278.52499256528
2022-06-20,148286.6498432498
2022-06-21,148294.77513913164
2022-06-22,148302.9008802352
2022-06-23,148311.02706658476
2022-06-24,148319.15369820487
2022-06-27,148327.28077511984
2022-06-28,148335.40829735412
2022-06-29,148343.53626493207
2022-06-30,148351.6646778781
2022-07-01,148359.79353621663
2022-07-04,148367.92283997205
2022-07-05,148376.0525891688
2022-07-06,148384.18278383117
2022-07-07,148392.31342398375
2022-07-08,148400.44450965084
2022-07-11,148408.57604085683
2022-07-12,148416.70801762625
2022-07-13,148424.84043998338
2022-07-14,148432.97330795275
2022-07-15,148441.10662155863
2022-07-18,148449.2403808256
2022-07-19,148457.3745857779
2022-07-20,148465.5092364402
2022-07-21,148473.64433283673
2022-07-22,148481.77987499197
2022-07-25,148489.91586293033
2022-07-26,148498.05229667627
2022-07-27,148506.18917625418
2022-07-28,148514.32650168848
2022-07-29,148522.46427300366
2022-08-01,148525.91452562573
2022-08-02,149037.63231686052
2022-08-03,148825.0600878571
2022-08-04,148693.62067474084
2022-08-05,148826.58067696667
2022-08-08,149424.2807535397
2022-08-10,149406.33146341462
2022-08-11,149820.05156096118
2022-08-12,150279.9172489244
2022-08-16,151010.8733132832
2022-08-17,151557.20747844086
2022-08-18,151988.53128392386
2022-08-19,150932.0002010475
2022-08-22,149772.17788889867
2022-08-23,150577.89771985426
2022-08-24,150909.05145682557
2022-08-25,150853.3968914153
2022-08-26,151285.99668625323
2022-08-29,150645.21042459024
2022-08-30,152676.25159890822
2022-09-01,152312.86959876248
2022-09-02,152501.54977589843
2022-09-05,152830.67234138958
2022-09-06,153028.38409977886
2022-09-07,152995.33990752135
2022-09-08,153460.96626302242
2022-09-09,153847.91533558082
2022-09-12,154560.6425858212
2022-09-13,155611.06380104442
2022-09-14,155767.94443657174
2022-09-15,155799.9699536263
2022-09-16,152790.53188285613
2022-09-19,153418.75209893723
2022-09-20,154875.93989760283
2022-09-21,154736.95022875952
2022-09-22,155858.5109901229
2022-09-23,153791.3184997173
2022-09-26,150185.14616115973
2022-09-27,150411.56076555888
2022-09-28,149876.58451227943
2022-09-29,149789.21066662736
2022-09-30,151090.4602856762
2022-10-03,148052.30782247713
2022-10-04,149661.26502280662
2022-10-06,149557.48142816164
2022-10-07,149376.11167915087
2022-10-10,148261.61746776706
2022-10-11,147000.65045718098
2022-10-12,147616.65263156596
2022-10-13,147270.99016414644
2022-10-14,147200.5889220237
2022-10-17,147357.37128795675
2022-10-18,148496.20182913513
2022-10-19,148493.71941752112
2022-10-20,148942.05203793495
2022-10-21,148923.97502739905
2022-10-24,149576.0101986838
2022-10-25,148586.36929128828
2022-10-27,149167.2564551855
2022-10-28,149367.00745642156
2022-10-31,150422.02745697365
2022-11-01,150861.1284185194
2022-11-02,150551.1181114147
2022-11-03,151603.44903813265
2022-11-04,151943.22306533292
2022-11-07,154863.5634233251
2022-11-09,156558.12286347488
2022-11-10,155295.62515354643
2022-11-11,155996.95348348643
2022-11-14,155396.36702394322
2022-11-15,156198.49999815805
2022-11-16,156262.82524597438
2022-11-17,156925.5257432436
2022-11-18,157174.94871722267
2022-11-21,157757.23697152696
2022-11-22,158966.59204340138
2022-11-23,159751.11169584043
2022-11-24,161060.06124298138
2022-11-25,161496.99645927228
2022-11-28,161778.5339771389
2022-11-29,161846.47608550268
2022-11-30,161573.8924820852
2022-12-01,162550.03955365156
2022-12-02,162562.20177068052
2022-12-05,163686.25761146267
2022-12-06,164184.89602606438
2022-12-07,164047.41986984757
2022-12-08,166979.2840025842
2022-12-09,166091.73415559583
2022-12-12,167058.93208090562
2022-12-13,169604.6286989388
2022-12-14,170232.92503582526
2022-12-15,168069.95366764034
2022-12-16,165593.70957480895
2022-12-19,166462.9314948328
2022-12-20,165771.2686040975
2022-12-21,162799.0705291512
2022-12-22,161310.75128868254
2022-12-23,156488.60327570818
2022-12-26,162188.10314187888
2022-12-27,162986.95354059854
2022-12-28,163425.1750293269
2022-12-29,164357.1147809582
2022-12-30,165010.87823108095
2023-01-02,165797.71402303164
2023-01-03,166428.257388856
2023-01-04,165064.65975634797
2023-01-05,164792.78141716754
2023-01-06,163983.40252462914
2023-01-09,164936.5968958198
2023-01-10,162946.0582330732
2023-01-11,163470.2616556908
2023-01-12,163113.4826547368
2023-01-13,164170.87057427148
2023-01-16,164683.51224093064
2023-01-17,164009.2933486647
2023-01-18,163647.15327438535
2023-01-19,163526.5840687193
2023-01-20,163810.01933983056
2023-01-23,164491.65711110792
2023-01-24,163581.4191351276
2023-01-25,160989.72963166752
2023-01-27,157643.4474775208
2023-01-30,157200.9525571065
2023-01-31,159302.97702121994
2023-02-01,156656.66028878358
2023-02-02,156665.24421537473
2023-02-03,156673.82861231806
2023-02-06,156682.41347963928
2023-02-07,156690.9988173642
2023-02-08,156699.5846255186
2023-02-09,156708.1709041282
2023-02-10,156716.75765321887
2023-02-13,156725.3448728163
2023-02-14,156733.93256294634
2023-02-15,156742.52072363472
2023-02-16,156751.10935490727
2023-02-17,156759.69845678975
2023-02-20,156768.28802930797
2023-02-21,156776.87807248763
2023-02-22,156785.4685863546
2023-02-23,156794.0595709347
2023-02-24,156802.6510262537
2023-02-27,156811.24295233734
2023-02-28,156819.83534921144
2023-03-01,156828.42821690184
2023-03-02,156837.02155543424
2023-03-03,156845.61536483458
2023-03-06,156854.20964512852
2023-03-08,156862.804396342
2023-03-09,156871.3996185007
2023-03-10,156879.99531163048
2023-03-13,156888.59147575716
2023-03-14,156897.18811090654
2023-03-15,156905.78521710442
2023-03-16,156914.3827943766
2023-03-17,156922.98084274892
2023-03-20,156931.57936224714
2023-03-21,156940.17835289714
2023-03-22,156948.7778147247
2023-03-23,156957.3777477557
2023-03-24,156965.97815201583
2023-03-27,156974.57902753103
2023-03-28,156983.18037432706
2023-03-29,156991.78219242973
2023-03-31,157000.38448186498
2023-04-03,157008.9872426585
2023-04-05,157017.59047483624
2023-04-06,157026.19417842387
2023-04-10,157034.79835344735
2023-04-11,157043.40299993247
2023-04-12,157052.0081179051
2023-04-13,157060.61370739102
2023-04-17,157069.21976841614
2023-04-18,157077.82630100616
2023-04-19,157086.43330518706
2023-04-20,157095.0407809846
2023-04-21,157103.64872842468
2023-04-24,157112.2571475331
2023-04-25,157120.86603833572
2023-04-26,157129.47540085838
2023-04-27,157138.08523512693
2023-04-28,157146.69554116722
2023-05-02,157150.61835440673
2023-05-03,157296.52532002018
2023-05-04,157441.4394891769
2023-05-05,157646.8318492376
2023-05-08,157732.64603917388
2023-05-09,157900.9851219133
2023-05-10,157925.38726564538
2023-05-11,158267.74464428407
2023-05-12,158443.05822887638
2023-05-15,158714.9210843986
2023-05-16,158728.46319066238
2023-05-17,158852.6039149699
2023-05-18,158821.71313746934
2023-05-19,159180.8429199378
2023-05-22,159222.74721804203
2023-05-23,159383.6797309859
2023-05-24,160408.34560632144
2023-05-25,159731.4406902339
2023-05-26,160034.1410032719
2023-05-29,160495.1605697078
2023-05-30,160529.82870126257
2023-05-31,160736.82855734753
2023-06-01,160638.2415120489
2023-06-02,161274.8685501529
2023-06-05,161237.2722177483
2023-06-06,161237.9633745061
2023-06-07,161457.77210836473
2023-06-08,161069.50627525715
2023-06-09,160958.5323329858
2023-06-12,161285.57205686887
