TICKER,ETF_NAME,SECTOR,CLOSE,52WK_HIGH,PCT_FROM_HIGH,EMA_100,EOM_PCT,SHARPE_6M,SHARPE_3M,SCREEN_PASS,WTD_SHARPE,RANK_INVESTABLE
PHARMABEES,Nippon India Nifty Pharma ETF,NIFTY PHARMA,27.18,27.49,1.1276827937431748,25.544418430298744,0.33222591362125353,1.9231769691796714,1.8154984218620338,True,1.9444037233988978,1.0
MOHEALTH,Motilal Oswal BSE HC ETF,HEALTHCARE,51.76,52.31,1.0514242018734548,48.65561246326478,0.07733952049497894,1.8664473005075832,1.8342040143790879,True,1.9114188257584899,2.0
HEALTHCARE,Mirae Asset Nifty 500 Hthc ETF,HEALTHCARE,21.57,21.83,1.1910215300045717,20.39471479928068,0.139275766016711,1.8781524316132123,1.6901048720195138,True,1.8682001909855432,3.0
EVINDIA,Mirae Asst Nfty EV New Atm ETF,EV,34.16,34.24,0.23364485981309988,31.432203634314067,5.529811553907926,0.8035121450991984,3.586037504737556,True,1.7932573009243784,4.0
GROWWSC250,Groww Nifty Smallcap 250 ETF,SMALLCAP,10.63,10.69,0.5612722170252453,10.011491414994811,3.103782735208549,1.1376351350474179,2.7346178847606337,True,1.7231210926952896,5.0
SML100CASE,Zerodha Nifty Smallcap 100 ETF,SMALLCAP,11.21,11.3,0.7964601769911492,10.535042533454984,2.374429223744312,1.2622790094437193,2.3937885031207817,True,1.6886780782908513,6.0
DEFENCE,Mirae Asset BSE IN Defence ETF,DEFENCE,82.69,82.69,0.0,76.04068625938282,7.250324254215301,1.4717351498277025,1.9830628757600484,True,1.6885912466478457,7.0
INTERNET,Mirae Nifty IN Internet ETF,EQUITY INDEX,14.27,15.0092,4.9249793460011215,12.980192508395957,4.695524578136445,0.888253423097137,3.0273900148060986,True,1.6532227839274247,8.0
GROWWEV,Groww Nifty EV&New Age Atm ETF,EV,34.2,34.2,0.0,31.346415557554383,5.915144007432649,0.8052435660331512,3.1565998310665795,True,1.6412841652805952,9.0
SELECTIPO,Mirae Asset BSE Select IPO ETF,SENSEX,48.55,50.566,3.9868686469169115,45.222087799552625,3.8724860932819682,0.9346701086205061,2.913009179918765,True,1.6448702650666562,10.0
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,SMALLCAP,184.64,185.47,0.4475117269639362,174.79245901716098,2.6633305532387963,1.1597353098661747,2.3844080398253986,True,1.6136480279626126,11.0
MOSMALL250,Motilal Oswal Nifty SC 250 ETF,SMALLCAP,18.43,18.48,0.2705627705627744,17.423553583951442,2.616926503340755,1.1582116811404026,2.2779869720493764,True,1.5746217651088124,12.0
GROWWNET,Groww Nifty India Internet ETF,INDEX,10.62,11.1269,4.555626454807718,9.619518771527513,5.357142857142838,0.8653482306411407,2.770807079597948,True,1.5456857570774623,13.0
GILT5YBEES,Nippon ETF Nifty 5 yr BM G-Sec,NIFTY GSEC,66.53,66.53,0.0,65.3251810181641,0.8183058039096913,0.4674879091401222,3.4701584022670113,True,1.5170220347438512,14.0
CONSUMER,MiraeAs Nifty IN NA Cnsmp ETF,CONSUMPTION,12.29,12.44,1.2057877813504851,11.507101437819669,2.0764119601328845,0.47992291266853093,3.2890793611786635,True,1.4611226278063218,15.0
SMALLADD,DSP Nifty Smallcap 250 ETF,SMALLCAP,18.44,18.8,1.9148936170212734,17.425301969601176,2.6154702281580455,1.0231282441934018,2.268592158406051,True,1.4768394390883892,16.0
SMALLCAP,MiraeAs NftSmC250 Mt Ql100 ETF,SMALLCAP,48.44,48.61,0.349722279366389,45.73357028947106,3.526394528745458,1.1551839452791324,1.8203539440172032,True,1.4092642186734587,17.0
GROWWDEFNC,Groww Nifty India Defence ETF,DEFENCE,98.09,98.09,0.0,91.13893481681288,7.389971534924467,1.323434340642987,1.4914699449400888,True,1.4095656860038035,18.0
MODEFENCE,Motilal Oswal Nft INR Dfnc ETF,NIFTY DEFENCE,107.64,107.64,0.0,99.97955097586518,6.859922565273502,1.2907226446037305,1.5291347070566075,True,1.4001336109857192,19.0
HEALTHY,BSL Nifty Healthcare ETF,HEALTHCARE,17.03,17.24,1.2180974477958082,16.259910352114492,-1.045903544450899,1.5074225010453421,1.0330004011250857,True,1.3746446671076251,20.0
MIDSELIETF,ICICI Pru BSE MC Sel ETF,MIDCAP,19.95,19.95,0.0,18.763033156262797,2.570694087403602,0.8009875747687111,2.190245008101152,True,1.2936032835799085,21.0
MOIPO,Motilal Oswal BSE Sel IPO ETF,SELECT IPO,48.43,48.96,1.0825163398692832,45.325438454224,3.1083670427932697,0.6750664636210787,2.3217644083119184,True,1.2524910637466444,22.0
AUTOBEES,Nippon India Nifty Auto ETF,NIFTY AUTO,302.93,307.43,1.463747845037895,280.6819597067553,3.8178141814318556,0.2509178658021855,2.8589931570104254,True,1.1476200319432257,23.0
AUTOIETF,ICICI Prudential Nifty AutoETF,AUTO,30.38,30.72,1.1067708333333328,28.10794776395359,3.7922787837376237,0.25339864152596614,2.7515224742732265,True,1.1110186740188075,24.0
GROWWRLTY,Groww Nifty Realty ETF,NIFTY REALTY,10.04,10.5,4.3809523809523885,9.44768282236912,-0.3968253968254065,0.4377772181428541,2.4142941231711577,True,1.1196181818280015,25.0
HEALTHIETF,ICICI Pru Nifty Healthcare ETF,HEALTHCARE,168.59,171.89,1.919832450986086,162.18024543090357,-1.582019848219507,1.2772164251520135,0.7703494002418713,True,1.1200278207212326,26.0
LICNETFGSC,LIC MF Nifty 8-13 yr G-Sec ETF,GSEC10 NSE INDEX,29.73,29.73,0.0,29.158370409739025,0.8480325644504738,0.23794480918704414,2.6504362501714516,True,1.064157370854123,27.0
MOREALTY,Motilal Oswal Nifty Realty ETF,NIFTY REALTY,89.67,97.07,7.623364582260217,84.40945388461728,0.011153245594464067,0.4325413679270781,2.297111874358584,True,1.0741582711565556,28.0
JUNIORBEES,NipponETFNifty Next 50 Jr BeES,NIFTY NEXT 50,807.81,809.0,0.1470951792336285,769.5116876385639,2.9910116657104524,0.5534908092141873,2.002232483742843,True,1.0535233259536325,29.0
ALPHA,Kotak Nifty Alpha 50 ETF,NIFTY ALPHA,53.97,54.4,0.7904411764705876,50.73829817349868,5.000000000000004,0.6989927679964304,1.6978294060280477,True,1.0466548418050603,30.0
ABSLNN50ET,BSL Nifty Next 50 ETF,NIFTY NEXT 50,78.48,78.78,0.3808073115003772,74.82734855117272,2.7090694935218096,0.5771992588446632,1.9146040185197468,True,1.0388392001228552,31.0
TNIDETF,Tata Nifty India Digital ETF,DIGITAL,91.51,100.8,9.216269841269833,84.9787161845669,2.8780213603147864,0.30908944981655345,2.387557198441659,True,1.0201207423302652,32.0
NEXT50IETF,ICICI Pru Nifty Next 50 ETF,NIFTY NEXT 50,78.92,78.94,0.025335697998474817,75.0987121055727,3.1633986928104596,0.5417898486802015,1.9627940503358738,True,1.0312757062452103,33.0
MOALPHA50,MotiOs Nifty Alpha 50 ETF,NIFTY 50,56.15,56.4,0.44326241134751776,52.7164389533768,5.525277203533174,0.6809382889597815,1.6496036120934325,True,1.0168312309679506,34.0
MONEXT50,Motilal Oswal Nifty Next50 ETF,NIFTY NEXT 50,74.66,74.87,0.2804861760384773,71.06504208740772,2.8658032515844534,0.5391675141993434,1.8932107427069955,True,1.0046216778909023,35.0
SETFNN50,SBI Nifty Next 50 ETF,NIFTY NEXT 50,799.65,803.25,0.4481792717086863,762.4709085573087,2.698294462139117,0.5377095380765055,1.8935804846511424,True,1.0037343579318097,36.0
NEXT50,Mirae Asset Nifty Next 50 ETF,NIFTY NEXT 50,770.26,771.91,0.21375548962961707,734.2652556762135,2.8384512683578,0.5329385299423895,1.8590024316504659,True,0.9880649079760921,37.0
MOMNC,Motilal Oswal Nifty MNC ETF,MNC,33.76,33.9,0.4129793510324501,32.08746098945271,3.3363942454851525,0.6873952094241669,1.5309714876884153,True,0.9790280616760324,38.0
NEXT50BETA,UTI Nifty Next 50 ETF,NIFTY NEXT 50,80.47,80.5,0.037267080745343024,76.76018205996226,2.784519095669946,0.367477476490451,1.9824896800360052,True,0.9164468573692763,39.0
HDFCNEXT50,HDFC Nifty Next 50 ETF,NIFTY NEXT 50,76.05,76.22,0.2230385725531379,72.65867214888956,2.6177304007556357,0.456279706862734,1.8187152784867573,True,0.9201052441523516,40.0
SBIETFCON,SBI Nifty Consumption ETF,CONSUMPTION,125.56,130.14,3.519286921776536,120.25547577620766,0.6896551724137945,0.18239848015325216,2.2951148197146676,True,0.8985815736847443,41.0
NEXT50ETF,Kotak Nifty Next 50 ETF,NIFTY NEXT 50,75.24,76.79,2.018491991144695,71.83315192891197,3.139136394790931,0.4655239968251553,1.7799191567926376,True,0.912728682116086,42.0
CONSUMIETF,Pru Nifty IN Consump ETF,CONSUMPTION,126.0,130.55,3.4852546916890166,120.68981287693175,0.7838745800671898,0.19064083192955406,2.2674879969195776,True,0.8944887680010697,43.0
LTGILTBEES,Nippon 8-13 yr G-Sec LT Glt,NIFTY GSEC,30.05,30.12,0.23240371845949628,29.62923059890669,0.2669336002669498,-0.0034989200457357394,2.5982749056583785,True,0.8767679258386969,44.0
