date,equity
2020-04-01,1000000.0
2020-05-04,1000000.0
2020-06-01,1000000.0
2020-07-01,1000000.0
2020-08-03,999900.0
2020-08-04,1004102.9122040012
2020-08-05,1005504.7105558852
2020-08-06,1011418.6108380803
2020-08-07,1016198.9009252195
2020-08-10,1022529.0270926371
2020-08-11,1024100.0805225086
2020-08-12,1020723.4477867258
2020-08-13,1026040.756374042
2020-08-14,1019870.467581346
2020-08-17,1028166.0862005708
2020-08-18,1037449.8062530325
2020-08-19,1037461.446494375
2020-08-20,1037333.7100445002
2020-08-21,1045091.6353264442
2020-08-24,1040420.5344418851
2020-08-25,1042324.2809090868
2020-08-26,1046111.7232177624
2020-08-27,1048350.4589313903
2020-08-28,1046582.5331809311
2020-08-31,1027913.4512625881
2020-09-01,1027109.2275342745
2020-09-02,1036003.2337425662
2020-09-03,1046809.4432310042
2020-09-04,1034113.3663564246
2020-09-07,1023220.4666098916
2020-09-08,1021142.3759529836
2020-09-09,1013124.0563701174
2020-09-10,1025488.414824865
2020-09-11,1027916.0516932952
2020-09-14,1039365.278763537
2020-09-15,1047339.7325740991
2020-09-16,1050709.7371326387
2020-09-17,1051357.1306345034
2020-09-18,1055232.162541282
2020-09-21,1028912.2451737772
2020-09-22,1013374.2276267493
2020-09-23,1009574.4922543952
2020-09-24,1001842.2585018056
2020-09-25,1017419.7833198409
2020-09-28,1037533.1300467835
2020-09-29,1035475.2115936773
2020-09-30,1035281.0869419702
2020-10-01,1045164.1896125445
2020-10-05,1050657.853248539
2020-10-06,1054643.659605863
2020-10-07,1061630.8446335904
2020-10-08,1062614.9545438024
2020-10-09,1063552.00407751
2020-10-12,1066275.6779278314
2020-10-13,1067081.194221598
2020-10-14,1058566.84323996
2020-10-15,1050331.4032105033
2020-10-16,1050627.21622573
2020-10-19,1059891.3394289517
2020-10-20,1062118.5814928194
2020-10-21,1062557.4981868472
2020-10-22,1062771.7952692742
2020-10-23,1069558.3806695342
2020-10-26,1060814.0693523693
2020-10-27,1069457.2806851126
2020-10-28,1064498.1444379026
2020-10-29,1059086.1533712975
2020-10-30,1059356.7434307137
2020-11-02,1057740.2951172625
2020-11-03,1063025.1137729273
2020-11-04,1070595.5810454641
2020-11-05,1082803.1076675954
2020-11-06,1087874.0539264986
2020-11-09,1103183.6797228672
2020-11-10,1104486.4690691426
2020-11-11,1113808.3721887805
2020-11-12,1116850.4470415085
2020-11-13,1119621.53099251
2020-11-14,1125311.8704716773
2020-11-17,1131151.6059867295
2020-11-18,1133538.6904012242
2020-11-19,1131628.7864473478
2020-11-20,1138838.8786350817
2020-11-23,1150765.1055800056
2020-11-24,1157674.9642354627
