date,equity
2020-04-01,1000054.794520548
2020-04-03,1000109.5920435354
2020-04-07,1000164.3925691269
2020-04-08,1000219.1960974869
2020-04-09,1000274.00262878
2020-04-13,1000328.8121631707
2020-04-15,1000383.6247008236
2020-04-16,1000438.4402419032
2020-04-17,1000493.258786574
2020-04-20,1000548.0803350008
2020-04-21,1000602.904887348
2020-04-22,1000657.7324437802
2020-04-23,1000712.563004462
2020-04-24,1000767.3965695583
2020-04-27,1000822.2331392334
2020-04-28,1000877.072713652
2020-04-29,1000931.9152929789
2020-04-30,1000986.7608773785
2020-05-04,1001041.6094670157
2020-05-05,1001096.4610620551
2020-05-06,1001151.3156626613
2020-05-07,1001206.1732689991
2020-05-08,1001261.0338812331
2020-05-11,1001315.897499528
2020-05-12,1001370.7641240486
2020-05-13,1001425.6337549596
2020-05-14,1001480.5063924256
2020-05-15,1001535.3820366116
2020-05-18,1001590.2606876821
2020-05-19,1001645.142345802
2020-05-20,1001700.0270111362
2020-05-21,1001754.9146838492
2020-05-22,1001809.805364106
2020-05-26,1001864.6990520712
2020-05-27,1001919.5957479097
2020-05-28,1001974.4954517864
2020-05-29,1002029.398163866
2020-06-01,1002084.3038843134
2020-06-02,1002139.2126132934
2020-06-03,1002194.124350971
2020-06-04,1002249.0390975109
2020-06-05,1002303.9568530779
2020-06-08,1002358.877617837
2020-06-09,1002413.8013919531
2020-06-10,1002468.7281755911
2020-06-11,1002523.6579689159
2020-06-12,1002578.5907720923
2020-06-15,1002633.5265852854
2020-06-16,1002688.46540866
2020-06-17,1002743.4072423811
2020-06-18,1002798.3520866137
2020-06-19,1002853.2999415225
2020-06-22,1002908.2508072729
2020-06-23,1002963.2046840294
2020-06-24,1003018.1615719574
2020-06-25,1003073.1214712217
2020-06-26,1003128.0843819873
2020-06-29,1003183.0503044194
2020-06-30,1003238.0192386827
2020-07-01,1003292.9911849424
2020-07-02,1003347.9661433636
2020-07-03,1003402.9441141112
2020-07-06,1003457.9250973505
2020-07-07,1003512.9090932463
2020-07-08,1003567.8961019638
2020-07-09,1003622.8861236682
2020-07-10,1003677.8791585243
2020-07-13,1003732.8752066975
2020-07-14,1003787.8742683528
2020-07-15,1003842.8763436552
2020-07-16,1003897.8814327699
2020-07-17,1003952.8895358623
2020-07-20,1004007.9006530972
2020-07-21,1004062.91478464
2020-07-22,1004117.9319306556
2020-07-23,1004172.9520913095
2020-07-24,1004227.9752667666
2020-07-27,1004283.0014571922
2020-07-28,1004338.0306627516
2020-07-29,1004393.0628836099
2020-07-30,1004448.0981199323
2020-07-31,1004503.1363718841
2020-08-03,1004458.1776396306
2020-08-04,1006254.2679997992
2020-08-05,1009827.3361805406
2020-08-06,1022421.0681627351
2020-08-07,1028523.9404589178
2020-08-10,1031171.2020971853
2020-08-11,1023897.3883554466
2020-08-12,1015691.1371756877
2020-08-13,1022783.2775828765
2020-08-14,1018174.9681672126
2020-08-17,1020585.7018557773
2020-08-18,1030012.9427062178
2020-08-19,1028719.3024535509
2020-08-20,1027974.6469919102
2020-08-21,1031077.0232631647
2020-08-24,1027118.3621667258
2020-08-25,1028146.0283463228
2020-08-26,1030033.3835488204
2020-08-27,1032227.7063121786
2020-08-28,1031533.7624804649
2020-08-31,1015821.2929504552
2020-09-01,1017291.8335198336
2020-09-02,1026101.6888039864
2020-09-03,1036805.6561735818
2020-09-04,1024229.690334429
2020-09-07,1013439.8419158738
2020-09-08,1011381.4064192353
2020-09-09,1003438.942002591
2020-09-10,1015686.3168206757
2020-09-11,1018090.9805393213
2020-09-14,1029431.8819533591
2020-09-15,1037330.8846449739
2020-09-16,1040669.0003913714
2020-09-17,1041310.2634750094
2020-09-18,1045148.6285477801
2020-09-21,1019077.7162214388
2020-09-22,1003686.6970679075
2020-09-23,999922.9051883687
2020-09-24,992263.8199647181
2020-09-25,1007693.9616460731
2020-09-28,1027617.0122064501
2020-09-29,1025578.5580615838
2020-09-30,1025386.264521419
2020-10-01,1035173.9663199275
2020-10-05,1044573.304502634
2020-10-06,1047494.7665465529
2020-10-07,1055021.601434267
2020-10-08,1060445.8646733915
2020-10-09,1062584.3162378983
2020-10-12,1068838.9047419867
2020-10-13,1068666.5188557708
2020-10-14,1060539.5254618884
2020-10-15,1052750.4170062486
2020-10-16,1051136.0897575892
2020-10-19,1060204.3794147721
2020-10-20,1064558.7823390525
2020-10-21,1063505.2396239042
2020-10-22,1063532.5772106086
2020-10-23,1067957.7866178143
2020-10-26,1060686.4314941696
2020-10-27,1066960.4092505225
2020-10-28,1061836.5949782403
2020-10-29,1056138.7186392243
2020-10-30,1056202.3074370772
2020-11-02,1053492.7864054183
2020-11-03,1059439.2003844979
2020-11-04,1068026.4108735933
2020-11-05,1080185.0425834127
2020-11-06,1084907.4348587734
2020-11-09,1099421.5333969442
2020-11-10,1100425.648626912
2020-11-11,1106703.478305701
2020-11-12,1112079.6021482137
2020-11-13,1115944.6421437715
2020-11-14,1121284.2261467676
2020-11-17,1128426.737046249
2020-11-18,1135912.790832077
2020-11-19,1133520.15649435
2020-11-20,1140043.1651937312
2020-11-23,1150102.6399383617
2020-11-24,1156097.5608142056
2020-11-25,1141433.3907261917
2020-11-26,1147326.3626402004
2020-11-27,1158334.6775941404
2020-12-01,1170071.2903844186
2020-12-02,1174570.8736398034
2020-12-03,1178509.1516041385
2020-12-04,1184403.8986802287
2020-12-07,1198350.639279195
2020-12-08,1199268.6907827228
2020-12-09,1208035.0027334886
2020-12-10,1205619.322438644
2020-12-11,1205472.2434649377
2020-12-14,1214450.9577432047
2020-12-15,1213616.6734191596
2020-12-16,1221855.9309965186
2020-12-17,1226271.7451403572
2020-12-18,1228118.0536484788
2020-12-21,1193486.7256454658
2020-12-22,1200742.7294964406
2020-12-23,1220111.2291111758
2020-12-24,1224388.9012706052
2020-12-28,1239272.6256759162
2020-12-29,1237115.5070829866
2020-12-30,1239414.5664162224
2020-12-31,1241921.6185077892
2021-01-01,1250834.2149711691
2021-01-04,1258068.2607327185
2021-01-05,1268013.258253127
2021-01-06,1270577.783750474
2021-01-07,1274863.5671882993
2021-01-08,1283457.3166374087
2021-01-11,1293558.779749363
2021-01-12,1299325.0479245177
2021-01-13,1298795.3535941746
2021-01-14,1299969.2738499255
2021-01-15,1288951.1444938367
2021-01-18,1269941.8687387165
2021-01-19,1291252.4902452875
2021-01-20,1296797.263891517
2021-01-21,1292210.9788874937
2021-01-22,1277287.0081531901
2021-01-25,1287796.4955992769
2021-01-27,1244287.3410728865
2021-01-28,1231693.7220217243
2021-01-29,1223623.1179158879
2021-02-01,1273276.8339676873
2021-02-02,1287364.811682296
2021-02-03,1293160.848638382
2021-02-04,1298778.7148325187
2021-02-05,1301319.2713673064
2021-02-08,1306648.2142013484
2021-02-09,1306951.2799246972
2021-02-10,1305120.7568560243
2021-02-11,1306269.0797341997
2021-02-12,1307033.462309036
2021-02-15,1318081.8221733067
2021-02-16,1316688.1490800825
2021-02-17,1313568.7973659148
2021-02-18,1312109.3997211303
2021-02-19,1303332.1463105641
2021-02-22,1293655.6181955496
2021-02-23,1292823.9016231871
2021-02-24,1306583.3316740443
2021-02-25,1309023.9945994178
2021-02-26,1289595.7486982082
2021-03-01,1296545.6862450675
2021-03-02,1311856.2182148634
2021-03-03,1336455.7190542445
2021-03-04,1339524.1278181388
2021-03-05,1312154.0084369322
2021-03-08,1321421.4184769376
2021-03-09,1312352.7572428833
2021-03-10,1317770.530598686
2021-03-12,1308537.2299377033
2021-03-15,1298785.5023350539
2021-03-16,1299923.3125682746
2021-03-17,1270816.2143211574
2021-03-18,1254974.7725116613
2021-03-19,1262143.7211355893
2021-03-22,1269677.7396155049
2021-03-23,1283040.7906513528
2021-03-24,1259906.3474421075
2021-03-25,1241307.3720481682
2021-03-26,1248240.8035872527
2021-03-30,1266901.8243851326
