date,equity
2020-04-01,1000000.0
2020-05-04,1000000.0
2020-06-01,1000000.0
2020-07-01,1000000.0
2020-08-03,1000000.0
2020-09-01,1000000.0
2020-10-01,1000000.0
2020-11-02,1000000.0
2020-12-01,1000000.0
2021-01-01,1000000.0
2021-02-01,1000000.0
2021-03-01,999899.9945205479
2021-03-02,1005030.2539359593
2021-03-03,1010683.4693075941
2021-03-04,1011504.8291063448
2021-03-05,1001826.1130369037
2021-03-08,1004870.5919479154
2021-03-09,1001829.0617102798
2021-03-10,1005300.060976873
2021-03-12,1003673.2423655622
2021-03-15,1006341.9103221296
2021-03-16,1012762.7200812534
2021-03-17,1004255.9056991359
2021-03-18,999577.7863584235
2021-03-19,1000040.1197438303
2021-03-22,1001515.0685501595
2021-03-23,1009358.8971045827
2021-03-24,1004547.5797616142
2021-03-25,998268.9594352287
2021-03-26,999077.1243469398
2021-03-30,997506.572345625
2021-03-31,1001832.9997522857
2021-04-01,1016288.5530711784
2021-04-05,1011029.9457750226
2021-04-06,1015635.0367914052
2021-04-07,1019406.4697064373
2021-04-08,1023550.3056381596
2021-04-09,1029101.0729360199
2021-04-12,1012419.7536392008
2021-04-13,1014509.3600191717
2021-04-15,1016815.7282461459
2021-04-16,1020114.4656828166
2021-04-19,1016925.4851739003
2021-04-20,1016023.5728606489
2021-04-22,1014560.0131957366
2021-04-23,1013705.9401327263
2021-04-26,1015710.2198314486
2021-04-27,1018658.8741314363
2021-04-28,1019467.7691900592
2021-04-29,1022870.8522480009
2021-04-30,1021126.9966908832
2021-05-03,1026052.1226533192
2021-05-04,1023089.9711066572
2021-05-05,1026074.4664732333
2021-05-06,1031494.9485671086
2021-05-07,1035842.9755893315
2021-05-10,1043690.9927462239
2021-05-11,1042272.6585095323
2021-05-12,1040491.0145607855
2021-05-14,1033680.9598744017
2021-05-17,1041059.8244423124
2021-05-18,1052136.1505907946
2021-05-19,1054559.2070882656
2021-05-20,1055847.4085264488
2021-05-21,1059240.4379069607
2021-05-24,1064618.0172942544
2021-05-25,1065684.8519557356
2021-05-26,1070631.6461361006
2021-05-27,1075753.803110192
2021-05-28,1077617.8772174476
2021-05-31,1076636.3694846819
2021-06-01,1077848.2533290845
2021-06-02,1081606.7731867349
2021-06-03,1086474.1842569567
2021-06-04,1088227.6937631185
2021-06-07,1097179.4625795558
2021-06-08,1100632.3831678743
2021-06-09,1099908.2847625273
2021-06-10,1102232.4026138773
2021-06-11,1103126.9773677087
2021-06-14,1104022.740973682
2021-06-15,1109166.8656771337
2021-06-16,1107199.4356619483
2021-06-17,1106139.6372586712
2021-06-18,1091867.1142999216
2021-06-21,1093663.5426782032
