TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-03-01,,,1111.72,,179.90141402511424,,20.0,,BULL
BUY,MONTHLY_REBALANCE,NETF,NETF,2021-03-01,,,172.67,,1158.278797706608,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-03-01,,,9.0,,22222.222222222223,,20.0,,BULL
BUY,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2021-03-01,,,41.4735,,4822.356444476593,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-03-01,,,361.41,,553.3881187570903,,20.0,,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-03-01,2021-04-01,31.0,1111.72,1136.75,179.90141402511424,4502.932393048599,20.0,4482.932393048599,BULL
SELL,MONTHLY_REBALANCE,NETF,NETF,2021-03-01,2021-04-01,31.0,172.67,182.64,1158.278797706608,11548.039613134897,20.0,11528.039613134897,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-03-01,2021-04-01,31.0,9.0,9.296,22222.222222222223,6577.777777777781,20.0,6557.777777777781,BULL
SELL,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2021-03-01,2021-04-01,31.0,41.4735,40.05,4822.356444476593,-6864.624398712447,20.0,-6884.624398712447,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-03-01,2021-04-01,31.0,361.41,362.9,553.3881187570903,824.5482969480217,20.0,804.5482969480217,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-04-01,,,1136.75,,178.8235862855739,,20.0,,BULL
BUY,MONTHLY_REBALANCE,NETF,NETF,2021-04-01,,,182.64,,1112.9966694597356,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-04-01,,,9.296,,21867.223720968817,,20.0,,BULL
BUY,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2021-04-01,,,40.05,,5075.598294884548,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-04-01,,,11.863,,17135.43890332345,,20.0,,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-04-01,2021-05-03,32.0,1136.75,1150.59,178.8235862855739,2474.91843419231,20.0,2454.91843419231,BULL
SELL,MONTHLY_REBALANCE,NETF,NETF,2021-04-01,2021-05-03,32.0,182.64,183.36,1112.9966694597356,801.3576020110631,20.0,781.3576020110631,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-04-01,2021-05-03,32.0,9.296,9.216,21867.223720968817,-1749.3778976775066,20.0,-1769.3778976775066,BULL
SELL,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2021-04-01,2021-05-03,32.0,40.05,41.8,5075.598294884548,8882.29701604796,20.0,8862.29701604796,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-04-01,2021-05-03,32.0,11.863,11.837,17135.43890332345,-445.5214114864066,20.0,-465.5214114864066,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-05-03,,,1150.59,,178.36972824946702,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MOM100,MOM100,2021-05-03,,,25.54,,8035.6470488079185,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-05-03,,,9.216,,22268.92639177021,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-05-03,,,11.837,,17338.043898500822,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-05-03,,,52.367,,3919.0792985382827,,20.0,,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-05-03,2021-06-01,29.0,1150.59,1158.05,178.36972824946702,1330.638172741048,20.0,1310.638172741048,BULL
SELL,MONTHLY_REBALANCE,MOM100,MOM100,2021-05-03,2021-06-01,29.0,25.54,27.13,8035.6470488079185,12776.678807604592,20.0,12756.678807604592,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-05-03,2021-06-01,29.0,9.216,9.742,22268.92639177021,11713.45528207114,20.0,11693.45528207114,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-05-03,2021-06-01,29.0,11.837,12.686,17338.043898500822,14719.999269827182,20.0,14699.999269827182,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-05-03,2021-06-01,29.0,52.367,55.29,3919.0792985382827,11455.468789627426,20.0,11435.468789627426,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-06-01,,,1158.05,,186.1660997035597,,20.0,,BULL
BUY,MONTHLY_REBALANCE,NETF,NETF,2021-06-01,,,190.08,,1134.2048177699246,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-06-01,,,9.742,,22129.91703569157,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-06-01,,,12.686,,16994.297001553467,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-06-01,,,55.29,,3899.252157021293,,20.0,,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-06-01,2021-07-01,30.0,1158.05,1160.4301,186.1660997035597,443.0939339044562,20.0,423.0939339044562,BULL
SELL,MONTHLY_REBALANCE,NETF,NETF,2021-06-01,2021-07-01,30.0,190.08,194.62,1134.2048177699246,5149.289872675436,20.0,5129.289872675436,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-06-01,2021-07-01,30.0,9.742,10.278,22129.91703569157,11861.635531130683,20.0,11841.635531130683,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-06-01,2021-07-01,30.0,12.686,12.964,16994.297001553467,4724.414566431893,20.0,4704.414566431893,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-06-01,2021-07-01,30.0,55.29,56.296,3899.252157021293,3922.6476699634222,20.0,3902.6476699634222,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-07-01,,,1160.4301,,190.24829151972455,,20.0,,BULL
BUY,MONTHLY_REBALANCE,NETF,NETF,2021-07-01,,,194.62,,1134.3636006220486,,20.0,,BULL
BUY,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-07-01,,,29.47,,7491.341837565766,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-07-01,,,10.278,,21479.84471230425,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-07-01,,,12.964,,17029.454177187836,,20.0,,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-07-01,2021-08-02,32.0,1160.4301,1160.98,190.24829151972455,104.61753550669528,20.0,84.61753550669528,BULL
SELL,MONTHLY_REBALANCE,NETF,NETF,2021-07-01,2021-08-02,32.0,194.62,195.25,1134.3636006220486,714.6490683918819,20.0,694.6490683918819,BULL
SELL,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-07-01,2021-08-02,32.0,29.47,31.33,7491.341837565766,13933.895817872311,20.0,13913.895817872311,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-07-01,2021-08-02,32.0,10.278,10.708,21479.84471230425,9236.333226290822,20.0,9216.333226290822,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-07-01,2021-08-02,32.0,12.964,13.118,17029.454177187836,2622.53594328693,20.0,2602.53594328693,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-08-02,,,1160.98,,194.7081149072504,,20.0,,BULL
BUY,MONTHLY_REBALANCE,NETF,NETF,2021-08-02,,,195.25,,1157.757886018026,,20.0,,BULL
BUY,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-08-02,,,31.33,,7215.200358921787,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-08-02,,,10.708,,21110.5927572861,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-08-02,,,13.118,,17232.217353637716,,20.0,,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-08-02,2021-09-01,30.0,1160.98,1169.3199,194.7081149072504,1623.8462075149582,20.0,1603.8462075149582,BULL
SELL,MONTHLY_REBALANCE,NETF,NETF,2021-08-02,2021-09-01,30.0,195.25,209.54,1157.757886018026,16544.3601911976,20.0,16524.3601911976,BULL
SELL,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-08-02,2021-09-01,30.0,31.33,34.78,7215.200358921787,24892.441238280182,20.0,24872.441238280182,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-08-02,2021-09-01,30.0,10.708,10.871,21110.5927572861,3441.0266194376163,20.0,3421.0266194376163,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-08-02,2021-09-01,30.0,13.118,13.944,17232.217353637716,14233.811534104752,20.0,14213.811534104752,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-09-01,,,1169.3199,,203.67335010446106,,20.0,,BULL
BUY,MONTHLY_REBALANCE,NETF,NETF,2021-09-01,,,209.54,,1136.5815661774047,,20.0,,BULL
BUY,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-09-01,,,34.78,,6847.593484094692,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-09-01,,,13.944,,17079.697459610827,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-09-01,,,61.923,,3846.0556073964985,,20.0,,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-09-01,2021-10-01,30.0,1169.3199,1184.34,203.67335010446106,3059.1940859040187,20.0,3039.1940859040187,BULL
SELL,MONTHLY_REBALANCE,NETF,NETF,2021-09-01,2021-10-01,30.0,209.54,219.2,1136.5815661774047,10979.37792927373,20.0,10959.37792927373,BULL
SELL,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-09-01,2021-10-01,30.0,34.78,35.43,6847.593484094692,4450.935764661554,20.0,4430.935764661554,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-09-01,2021-10-01,30.0,13.944,14.432,17079.697459610827,8334.892360290076,20.0,8314.892360290076,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-09-01,2021-10-01,30.0,61.923,63.499,3846.0556073964985,6061.383637256891,20.0,6041.383637256891,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-10-01,,,1184.34,,206.60995584543073,,20.0,,BULL
BUY,MONTHLY_REBALANCE,NETF,NETF,2021-10-01,,,219.2,,1116.3158535856635,,20.0,,BULL
BUY,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-10-01,,,35.43,,6906.475729776387,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-10-01,,,63.499,,3853.547852816224,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-10-01,,,11.519,,21242.853989580468,,20.0,,BULL
SELL,TSL_HIT (10.7%),NETF,NETF,2021-10-01,2021-10-14,13.0,219.2,198.35,1116.3158535856635,-23275.18554726109,20.0,-23295.18554726109,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-10-01,2021-11-01,31.0,1184.34,1182.9399,206.60995584543073,-289.27459917913075,20.0,-309.27459917913075,BULL
SELL,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-10-01,2021-11-01,31.0,35.43,35.97,6906.475729776387,3729.4968940792314,20.0,3709.4968940792314,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-10-01,2021-11-01,31.0,63.499,64.794,3853.547852816224,4990.34446939698,20.0,4970.34446939698,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-10-01,2021-11-01,31.0,11.519,11.675,21242.853989580468,3313.885222374578,20.0,3293.885222374578,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2021-11-01,,,1182.9399,,204.89167336298647,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LICNETFSEN,LICNETFSEN,2021-11-01,,,645.42,,375.52994267119686,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-11-01,,,11.675,,20760.131528808895,,20.0,,BULL
BUY,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-11-01,,,35.97,,6738.241189848315,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-11-01,,,64.794,,3740.6941321548893,,20.0,,BULL
