date,equity
2020-04-01,1000000.0
2020-05-04,1000000.0
2020-06-01,1000000.0
2020-07-01,1000000.0
2020-08-03,999899.9835616439
2020-08-04,1001687.9131844371
2020-08-05,1005244.7575975447
2020-08-06,1017781.3345934215
2020-08-07,1023856.5041438099
2020-08-10,1026491.742849724
2020-08-11,1019250.9230024802
2020-08-12,1011081.8966449593
2020-08-13,1018141.8454976911
2020-08-14,1013554.4352569331
2020-08-17,1015954.2192454856
2020-08-18,1025338.6730278214
2020-08-19,1024050.8916483101
2020-08-20,1023309.60404171
2020-08-21,1026397.892278606
2020-08-24,1022457.1825666673
2020-08-25,1023480.1746936125
2020-08-26,1025358.9550064637
2020-08-27,1027543.3100140132
2020-08-28,1026852.5039191162
2020-08-31,1011211.3186077495
2020-09-01,1012674.2681299747
2020-09-02,1021444.1278939749
2020-09-03,1032099.5030971388
2020-09-04,1019580.6037229603
2020-09-07,1008839.715269212
2020-09-08,1006790.6112209114
2020-09-09,998884.183586998
2020-09-10,1011075.961295772
2020-09-11,1013469.7001703752
2020-09-14,1024759.1186032892
2020-09-15,1032622.2597615488
2020-09-16,1035945.2140781195
2020-09-17,1036583.555703125
2020-09-18,1040404.4889025906
2020-09-21,1014451.8913695619
2020-09-22,999130.7150928711
2020-09-23,995383.9945897629
2020-09-24,987759.6599735453
2020-09-25,1003119.7591684378
2020-09-28,1022952.3756602174
2020-09-29,1020923.1622399163
2020-09-30,1020731.7304112982
2020-10-01,1030474.0909078032
2020-10-05,1039830.747694704
2020-10-06,1042738.9361158354
2020-10-07,1050231.5902527166
2020-10-08,1055631.21783541
2020-10-09,1057759.950422064
2020-10-12,1063986.1338166546
2020-10-13,1063814.5195140236
2020-10-14,1055724.4094308652
2020-10-15,1047970.6503788852
2020-10-16,1046363.6407236567
2020-10-19,1055390.751830202
2020-10-20,1059725.3759502799
2020-10-21,1058676.605013844
2020-10-22,1058703.807477662
2020-10-23,1063108.9166314872
2020-10-26,1055870.5604369643
2020-10-27,1062116.04503546
2020-10-28,1057015.4804428634
2020-10-29,1051343.459864964
2020-10-30,1051406.7489549434
2020-11-02,1048708.6094805289
2020-11-03,1054628.010960618
2020-11-04,1063176.2176035799
2020-11-05,1075279.6283338175
2020-11-06,1079980.5661481183
2020-11-09,1094428.7479839
2020-11-10,1095428.2927228573
2020-11-11,1101677.6049938165
2020-11-12,1107029.3058973993
2020-11-13,1110876.7844902775
2020-11-14,1116192.111469853
2020-11-17,1123302.1786021683
2020-11-18,1130754.2286568098
2020-11-19,1128372.4477921703
2020-11-20,1134865.8257564912
2020-11-23,1144879.611357279
2020-11-24,1150847.2994376211
2020-11-25,1136249.7054766922
