date,equity
2020-10-05,999899.9945205479
2020-10-06,1006349.9836479231
2020-10-07,1009102.9048513826
2020-10-08,1017830.6637136784
2020-10-09,1018074.9873605808
2020-10-12,1021882.8566932955
2020-10-13,1039818.8547453058
2020-10-14,1019499.3427931217
2020-10-15,1004374.7668166617
2020-10-16,1004725.2125773766
2020-10-19,1009282.7936778401
2020-10-20,1015244.9609352651
2020-10-21,1013171.2073302693
2020-10-22,1011652.6280190875
2020-10-23,1017759.4253395172
2020-10-26,1007998.4309733685
2020-10-27,1014115.2770659744
2020-10-28,1009211.2278876556
2020-10-29,1003782.784489394
2020-10-30,1003824.9395961051
2020-11-02,1001449.2554768726
2020-11-03,1007100.5634672651
2020-11-04,1015265.4987608888
2020-11-05,1026823.2598223691
2020-11-06,1031340.8694673912
2020-11-09,1044971.1503200915
2020-11-10,1065343.0921039677
2020-11-11,1069937.1235759826
2020-11-12,1064358.0482979484
2020-11-13,1067393.4079740222
2020-11-14,1072147.0171499713
2020-11-17,1082491.6911547899
2020-11-18,1096483.0388885234
2020-11-19,1084214.746602602
2020-11-20,1091708.7801037754
2020-11-23,1093484.7453654027
2020-11-24,1106959.0014900034
2020-11-25,1091791.1096716656
2020-11-26,1102289.3829956104
2020-11-27,1102003.623218115
2020-12-01,1110498.6343915486
2020-12-02,1108494.2477254053
2020-12-03,1108140.6693654207
2020-12-04,1121457.8279990514
2020-12-07,1130412.9191767895
2020-12-08,1131283.9799705886
2020-12-09,1139529.1209686014
2020-12-10,1137240.9919296892
2020-12-11,1137113.2544737074
2020-12-14,1145513.6655384041
2020-12-15,1142692.0922269092
2020-12-16,1150783.6899777316
2020-12-17,1153541.0577746595
2020-12-18,1156731.215611618
2020-12-21,1124591.6704196315
2020-12-22,1132045.2109455243
2020-12-23,1149622.3190609764
2020-12-24,1154700.7585293532
2020-12-28,1170434.2412091976
2020-12-29,1168414.2904467573
2020-12-30,1170572.5250249212
2020-12-31,1172942.746249127
2021-01-01,1181531.8087137225
2021-01-04,1191050.688304753
2021-01-05,1198345.2930148917
2021-01-06,1200677.5673967712
2021-01-07,1206992.7414184087
2021-01-08,1216720.7367512332
2021-01-11,1227089.6021306622
2021-01-12,1228987.4226716864
2021-01-13,1225644.986686337
2021-01-14,1229169.9625401178
2021-01-15,1217329.7951560344
2021-01-18,1196452.1300716333
2021-01-19,1215423.1880055387
2021-01-20,1222696.5060471704
2021-01-21,1221232.3468002481
2021-01-22,1211004.1814737634
2021-01-25,1219419.0965047057
2021-01-27,1181560.9527447687
2021-01-28,1169080.257853326
2021-01-29,1158062.2251908525
2021-02-01,1183916.8487667085
2021-02-02,1196925.6871462376
2021-02-03,1215663.135307804
2021-02-04,1222645.344455614
2021-02-05,1224619.8386578008
2021-02-08,1234324.9686372986
2021-02-09,1238774.0199096391
2021-02-10,1235018.7134099272
2021-02-11,1232905.4591337882
2021-02-12,1232636.5640724995
2021-02-15,1252015.6514251442
2021-02-16,1258620.9113185196
2021-02-17,1270745.6638972294
2021-02-18,1287582.3052019842
2021-02-19,1265425.636235934
2021-02-22,1236120.8753562013
2021-02-23,1237055.3577118323
2021-02-24,1258715.064474742
2021-02-25,1273576.8474369212
2021-02-26,1234117.384489934
2021-03-01,1239998.7815621847
2021-03-02,1254374.6269093065
2021-03-03,1268443.2059172292
2021-03-04,1274617.2950438482
2021-03-05,1257207.7909235086
2021-03-08,1262737.3581257013
2021-03-09,1253959.149351642
2021-03-10,1259248.2765578788
2021-03-12,1250303.2497113768
2021-03-15,1240845.8620132145
2021-03-16,1241136.8570889723
2021-03-17,1216051.0778237602
2021-03-18,1203544.644554309
2021-03-19,1210829.8415690742
2021-03-22,1215973.004492071
2021-03-23,1225646.3885761234
2021-03-24,1201136.7330040021
2021-03-25,1180773.7076659997
2021-03-26,1190591.5936711458
2021-03-30,1208883.2532574006
2021-03-31,1210731.4622496443
2021-04-01,1230123.757301695
2021-04-05,1198624.799979373
2021-04-06,1199894.2506636104
2021-04-07,1216453.7503954957
2021-04-08,1215919.2731586332
2021-04-09,1220585.51861677
2021-04-12,1164579.1091545168
2021-04-13,1169935.470229497
2021-04-15,1168851.875098139
2021-04-16,1178070.7386518854
2021-04-19,1147375.564793832
2021-04-20,1150545.336479944
2021-04-22,1152786.0728681632
2021-04-23,1160791.5763764598
2021-04-26,1172340.9343306564
2021-04-27,1182313.756610428
2021-04-28,1188365.8770103275
2021-04-29,1188324.1335129505
2021-04-30,1185533.260578365
2021-05-03,1187573.02716706
2021-05-04,1187385.7141474045
2021-05-05,1195125.4180660867
2021-05-06,1204857.7845655242
2021-05-07,1207813.126886674
2021-05-10,1227319.9510149895
2021-05-11,1240739.1671380347
2021-05-12,1236671.3236788986
2021-05-14,1219573.255063486
2021-05-17,1230347.0543739537
2021-05-18,1243212.8413545804
2021-05-19,1251904.8078202214
2021-05-20,1248881.7089020296
2021-05-21,1251565.9492879172
2021-05-24,1256277.647115813
2021-05-25,1261152.0465103835
2021-05-26,1259216.8390502648
2021-05-27,1261801.3922489092
2021-05-28,1263025.722810194
2021-05-31,1267887.8002469596
2021-06-01,1271587.5209478575
2021-06-02,1284880.7202627657
2021-06-03,1295441.1620918391
2021-06-04,1300173.700849115
2021-06-07,1316017.4291868631
2021-06-08,1326657.9650677214
2021-06-09,1319964.630445804
2021-06-10,1328090.227704273
2021-06-11,1333902.5695065034
2021-06-14,1334357.2150089154
2021-06-15,1340638.6761081435
2021-06-16,1334512.6230488445
2021-06-17,1331505.0128062202
2021-06-18,1320360.620582111
2021-06-21,1320336.323985069
2021-06-22,1327000.19252692
2021-06-23,1323000.534158805
2021-06-24,1323786.5315393873
2021-06-25,1325724.1604421174
2021-06-28,1326937.512542053
2021-06-29,1329701.8120159355
2021-06-30,1333804.6633713865
2021-07-01,1326790.6797934559
2021-07-02,1327638.399499212
2021-07-05,1330837.8236175424
2021-07-06,1328862.0002436128
2021-07-07,1332439.942425597
2021-07-08,1330101.3932297886
2021-07-09,1332535.8400492605
2021-07-12,1330510.8960608158
2021-07-13,1332333.3578395518
2021-07-14,1334841.9568683903
2021-07-15,1338491.554706192
2021-07-16,1339843.1317110944
2021-07-19,1336242.2669454475
2021-07-20,1329965.950568208
2021-07-22,1338087.3971848653
2021-07-23,1341163.6402659642
2021-07-26,1345669.3645826154
2021-07-27,1336836.3213949983
2021-07-28,1329288.3992156694
2021-07-29,1330675.4195130677
2021-07-30,1344566.538596815
2021-08-02,1350420.339313689
2021-08-03,1358425.7600530328
2021-08-04,1351883.1430624144
2021-08-05,1350406.6811633448
2021-08-06,1355477.4490694113
2021-08-09,1350444.8377850247
2021-08-10,1349316.8846301688
2021-08-11,1345725.1900482303
2021-08-12,1363182.472566338
2021-08-13,1374595.266927862
2021-08-16,1371625.2320064406
2021-08-17,1388786.4270316274
2021-08-18,1401709.4079469016
2021-08-20,1395077.3574800359
2021-08-23,1407673.0664761728
2021-08-24,1401661.6131744077
2021-08-25,1410030.8839767855
2021-08-26,1411817.955897519
2021-08-27,1418088.8692166668
2021-08-30,1423585.6068343155
2021-08-31,1433736.1839540394
2021-09-01,1434037.096701642
2021-09-02,1450459.5319059915
2021-09-03,1456191.3132578568
2021-09-06,1472023.5700946022
2021-09-07,1461862.403177942
2021-09-08,1454888.9391619363
2021-09-09,1462936.4233165793
2021-09-13,1470742.4262968712
2021-09-14,1479025.274142072
2021-09-15,1499232.6462514284
2021-09-16,1499338.0583796832
2021-09-17,1495378.9682193403
2021-09-20,1487035.0990273145
2021-09-21,1502999.1964788774
2021-09-22,1515531.3239655723
2021-09-23,1527639.3784726595
2021-09-24,1532730.8694463873
2021-09-27,1509627.776842
2021-09-28,1491336.2490505574
2021-09-29,1490938.4328417052
2021-09-30,1480325.7758571368
2021-10-01,1476120.3951977089
2021-10-04,1491019.3373469494
2021-10-05,1500157.850264947
2021-10-06,1485303.9855273087
2021-10-07,1501007.7762658
2021-10-08,1510170.4663517443
2021-10-11,1502393.0795843217
2021-10-12,1495280.9390321593
2021-10-13,1509501.1641316547
2021-10-14,1523398.7594202189
2021-10-18,1534492.9328440307
2021-10-19,1526568.5107631509
2021-10-20,1506649.7740011206
2021-10-21,1492933.8152116712
2021-10-22,1490580.8292855653
2021-10-25,1470056.2917165991
2021-10-26,1479934.2989231942
2021-10-27,1479518.0552278839
2021-10-28,1454154.892578283
2021-10-29,1439752.402722009
2021-11-01,1458246.7056913027
2021-11-02,1457776.5459491385
2021-11-03,1456079.1718140347
2021-11-04,1474878.4325477006
2021-11-08,1477692.344836542
2021-11-09,1476384.9199758074
2021-11-10,1476600.7262704743
2021-11-11,1465533.346340623
2021-11-12,1481290.4888338493
2021-11-15,1486437.9084419268
2021-11-16,1481255.361327158
2021-11-17,1474333.8605126059
2021-11-18,1458981.1507759735
2021-11-22,1428674.4365287456
2021-11-23,1442011.218999159
2021-11-24,1433785.1873522697
2021-11-25,1443349.1502155114
2021-11-26,1404692.4589370072
2021-11-29,1398969.4019055928
2021-11-30,1402892.707272401
2021-12-01,1406411.2377798534
2021-12-02,1409546.8535595713
2021-12-03,1402212.7110434242
2021-12-06,1385135.2112241709
2021-12-07,1391072.2093606214
2021-12-08,1401683.1862783353
2021-12-09,1406675.2824767032
2021-12-10,1404152.7368792568
2021-12-13,1403188.187763569
2021-12-14,1399751.9323853531
2021-12-15,1389887.2039389722
2021-12-16,1387357.7005359638
2021-12-17,1380973.4006630767
2021-12-20,1337790.5787136443
2021-12-21,1337863.8823069986
2021-12-22,1337937.1899169881
2021-12-23,1338010.501543833
2021-12-24,1338083.8171877533
2021-12-27,1338157.1368489692
2021-12-28,1338230.4605277006
2021-12-29,1338303.788224168
2021-12-30,1338377.1199385913
2021-12-31,1338450.4556711907
2022-01-03,1338350.4501917388
2022-01-04,1337733.336701028
2022-01-05,1330999.8164181071
2022-01-06,1317774.7750427055
2022-01-07,1322468.9646555122
2022-01-10,1324709.3666894457
2022-01-11,1332652.3730187733
2022-01-12,1338551.9822629823
2022-01-13,1343609.5647090024
2022-01-14,1345658.3173900726
2022-01-17,1348143.7872570658
2022-01-18,1328262.15128412
2022-01-19,1316553.0768336004
2022-01-20,1306832.9587108358
2022-01-21,1286298.1025699526
2022-01-24,1256842.0290588539
2022-01-25,1266347.2329576327
2022-01-27,1259430.3683273364
2022-01-28,1268251.1927507096
2022-01-31,1279543.4397132122
2022-02-01,1279613.5516825116
2022-02-02,1279683.6674935627
2022-02-03,1279753.7871465762
2022-02-04,1279823.9106417624
2022-02-07,1279791.9582891192
2022-02-08,1276640.620173028
2022-02-09,1278572.8672610454
2022-02-10,1283229.2705357168
2022-02-11,1273930.6914238534
2022-02-14,1247601.790411491
2022-02-15,1247670.1521534314
2022-02-16,1247738.5176412207
2022-02-17,1247806.886875064
2022-02-18,1247875.259855167
2022-02-21,1247943.6365817345
2022-02-22,1248012.017054972
2022-02-23,1248080.4012750846
2022-02-24,1248148.7892422779
2022-02-25,1248217.180956757
2022-02-28,1248285.5764187272
2022-03-02,1248353.975628394
2022-03-03,1248422.3785859628
2022-03-04,1248490.785291639
2022-03-07,1248559.1957456276
2022-03-08,1248627.6099481343
2022-03-09,1248696.0278993645
2022-03-10,1248764.4495995233
2022-03-11,1248832.8750488164
2022-03-14,1248901.3042474494
2022-03-15,1248969.7371956275
2022-03-16,1249038.1738935562
2022-03-17,1249106.6143414408
2022-03-21,1249073.9887329882
2022-03-22,1253770.649355119
2022-03-23,1254462.2710407004
2022-03-24,1259767.985992483
2022-03-25,1258160.906407049
2022-03-28,1260527.4746563726
2022-03-29,1260596.544654984
2022-03-30,1260665.618438253
2022-03-31,1260734.6960063865
2022-04-01,1260803.7773595925
2022-04-04,1260771.4081273153
2022-04-05,1267489.8469900307
2022-04-06,1275626.0163113312
2022-04-07,1274767.5962606296
2022-04-08,1279090.878205895
2022-04-11,1283561.7211473188
2022-04-12,1270545.7406077406
2022-04-13,1277415.971663955
2022-04-18,1281500.6875866319
2022-04-19,1277785.552325932
2022-04-20,1270285.3800380067
2022-04-21,1275369.3592154551
2022-04-22,1263850.9864731967
2022-04-25,1243141.7913244902
2022-04-26,1251356.3359852429
2022-04-27,1243567.4129936148
2022-04-28,1250907.8456433518
2022-04-29,1238102.828652182
2022-05-02,1236002.1591804759
2022-05-04,1236069.8853261846
2022-05-05,1236137.6151829148
2022-05-06,1236205.34875087
2022-05-09,1236273.0860302537
2022-05-10,1236340.8270212691
2022-05-11,1236408.5717241196
2022-05-12,1236476.3201390086
2022-05-13,1236544.0722661396
2022-05-16,1236611.8281057158
2022-05-17,1236679.5876579408
2022-05-18,1236747.350923018
2022-05-19,1236815.1179011508
2022-05-20,1236882.8885925428
2022-05-23,1236950.6629973974
2022-05-24,1237018.4411159179
2022-05-25,1237086.2229483079
2022-05-26,1237154.0084947709
2022-05-27,1237221.7977555103
2022-05-30,1237289.59073073
2022-05-31,1237357.387420633
2022-06-01,1237425.1878254234
2022-06-02,1237492.9919453044
2022-06-03,1237560.7997804796
2022-06-06,1237628.6113311527
2022-06-07,1237696.4265975272
2022-06-08,1237764.2455798066
