TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,NEW_ENTRY,ITBEES,ITBEES,2020-10-05,,,20.87,,9583.1337,,20.0,,BULL
BUY,NEW_ENTRY,MIDSELIETF,MIDSELIETF,2020-10-05,,,6.48,,30864.1975,,20.0,,BULL
BUY,NEW_ENTRY,LOWVOLIETF,LOWVOLIETF,2020-10-05,,,9.745,,20523.3453,,20.0,,BULL
BUY,NEW_ENTRY,SBIETFQLTY,SBIETFQLTY,2020-10-05,,,107.15,,1866.5422,,20.0,,BULL
BUY,NEW_ENTRY,MIDCAPIETF,MIDCAPIETF,2020-10-05,,,6.54,,30581.0398,,20.0,,BULL
SELL,RANK_DROP,MIDSELIETF,MIDSELIETF,2020-10-05,2020-10-12,7.0,6.48,6.474,30864.1975,-185.19,20.0,-205.19,BULL
BUY,NEW_ENTRY,NV20,NV20,2020-10-12,,,6.201,,32959.3006,,20.0,,BULL
SELL,RANK_DROP,NV20,NV20,2020-10-12,2020-10-19,7.0,6.201,6.193,32959.3006,-263.67,20.0,-283.67,BULL
BUY,NEW_ENTRY,NV20IETF,NV20IETF,2020-10-19,,,6.062,,33299.3378,,20.0,,BULL
SELL,RANK_DROP,ITBEES,ITBEES,2020-10-05,2020-10-26,21.0,20.87,21.43,9583.1337,5366.55,20.0,5346.55,BULL
BUY,NEW_ENTRY,HDFCSENSEX,HDFCSENSEX,2020-10-26,,,43.2485,,4661.5183,,20.0,,BULL
SELL,RANK_DROP,NV20IETF,NV20IETF,2020-10-19,2020-11-02,14.0,6.062,5.964,33299.3378,-3263.34,20.0,-3283.34,BULL
BUY,NEW_ENTRY,MIDSELIETF,MIDSELIETF,2020-11-02,,,6.531,,30668.1759,,20.0,,BULL
SELL,RANK_DROP,HDFCSENSEX,HDFCSENSEX,2020-10-26,2020-11-09,14.0,43.2485,44.7975,4661.5183,7220.69,20.0,7200.69,BULL
SELL,RANK_DROP,SBIETFQLTY,SBIETFQLTY,2020-10-05,2020-11-09,35.0,107.15,111.08,1866.5422,7335.51,20.0,7315.51,BULL
SELL,RANK_DROP,MIDSELIETF,MIDSELIETF,2020-11-02,2020-11-09,7.0,6.531,6.833,30668.1759,9261.79,20.0,9241.79,BULL
BUY,NEW_ENTRY,NIFTY1,NIFTY1,2020-11-09,,,129.76,,1610.714,,20.0,,BULL
BUY,NEW_ENTRY,BANKNIFTY1,BANKNIFTY1,2020-11-09,,,27.796,,7519.2924,,20.0,,BULL
BUY,NEW_ENTRY,PVTBANIETF,PVTBANIETF,2020-11-09,,,15.33,,13633.8063,,20.0,,BULL
SELL,RANK_DROP,MIDCAPIETF,MIDCAPIETF,2020-10-05,2020-11-23,49.0,6.54,7.344,30581.0398,24587.16,20.0,24567.16,BULL
SELL,RANK_DROP,BANKNIFTY1,BANKNIFTY1,2020-11-09,2020-11-23,14.0,27.796,29.354,7519.2924,11715.06,20.0,11695.06,BULL
SELL,RANK_DROP,NIFTY1,NIFTY1,2020-11-09,2020-11-23,14.0,129.76,134.55,1610.714,7715.32,20.0,7695.32,BULL
BUY,NEW_ENTRY,SETFNIF50,SETFNIF50,2020-11-23,,,130.4758,,1676.2412,,20.0,,BULL
BUY,NEW_ENTRY,HDFCSENSEX,HDFCSENSEX,2020-11-23,,,46.9397,,4659.3589,,20.0,,BULL
BUY,NEW_ENTRY,BANKBEES,BANKBEES,2020-11-23,,,292.12,,748.6954,,20.0,,BULL
SELL,RANK_DROP,PVTBANIETF,PVTBANIETF,2020-11-09,2020-12-07,28.0,15.33,16.472,13633.8063,15569.81,20.0,15549.81,BULL
SELL,RANK_DROP,BANKBEES,BANKBEES,2020-11-23,2020-12-07,14.0,292.12,303.13,748.6954,8243.14,20.0,8223.14,BULL
BUY,NEW_ENTRY,MIDCAPIETF,MIDCAPIETF,2020-12-07,,,7.78,,29060.482,,20.0,,BULL
BUY,NEW_ENTRY,JUNIORBEES,JUNIORBEES,2020-12-07,,,330.59,,683.9001,,20.0,,BULL
SELL,RANK_DROP,SETFNIF50,SETFNIF50,2020-11-23,2020-12-14,21.0,130.4758,136.791,1676.2412,10585.8,20.0,10565.8,BULL
BUY,NEW_ENTRY,NV20IETF,NV20IETF,2020-12-14,,,6.976,,32842.1298,,20.0,,BULL
SELL,RANK_DROP,JUNIORBEES,JUNIORBEES,2020-12-07,2020-12-21,14.0,330.59,325.63,683.9001,-3392.14,20.0,-3412.14,BULL
BUY,NEW_ENTRY,BANKBEES,BANKBEES,2020-12-21,,,296.22,,759.3084,,20.0,,BULL
SELL,RANK_DROP,NV20IETF,NV20IETF,2020-12-14,2020-12-28,14.0,6.976,7.148,32842.1298,5648.85,20.0,5628.85,BULL
SELL,RANK_DROP,BANKBEES,BANKBEES,2020-12-21,2020-12-28,7.0,296.22,310.1,759.3084,10539.2,20.0,10519.2,BULL
BUY,NEW_ENTRY,SETFNIF50,SETFNIF50,2020-12-28,,,140.241,,1669.2324,,20.0,,BULL
BUY,NEW_ENTRY,JUNIORBEES,JUNIORBEES,2020-12-28,,,338.36,,691.8513,,20.0,,BULL
SELL,RANK_DROP,SETFNIF50,SETFNIF50,2020-12-28,2021-01-11,14.0,140.241,146.069,1669.2324,9728.29,20.0,9708.29,BULL
BUY,NEW_ENTRY,NV20IETF,NV20IETF,2021-01-11,,,7.587,,32347.6876,,20.0,,BULL
SELL,RANK_DROP,NV20IETF,NV20IETF,2021-01-11,2021-01-25,14.0,7.587,7.513,32347.6876,-2393.73,20.0,-2413.73,BULL
BUY,NEW_ENTRY,NIFTY1,NIFTY1,2021-01-25,,,149.05,,1636.2819,,20.0,,BULL
SELL,TSL_HIT (11.4%),HDFCSENSEX,HDFCSENSEX,2020-11-23,2021-01-28,66.0,46.9397,49.7409,4659.3589,13051.8,20.0,13031.8,BULL
SELL,RANK_DROP,LOWVOLIETF,LOWVOLIETF,2020-10-05,2021-02-01,119.0,9.745,11.483,20523.3453,35669.57,20.0,35649.57,PARTIAL
SELL,RANK_DROP,JUNIORBEES,JUNIORBEES,2020-12-28,2021-02-01,35.0,338.36,341.85,691.8513,2414.56,20.0,2394.56,PARTIAL
SELL,RANK_DROP,NIFTY1,NIFTY1,2021-01-25,2021-02-01,7.0,149.05,148.4,1636.2819,-1063.58,20.0,-1083.58,PARTIAL
BUY,NEW_ENTRY,AXISNIFTY,AXISNIFTY,2021-02-01,,,145.76,,1624.4936,,20.0,,PARTIAL
BUY,NEW_ENTRY,BANKBEES,BANKBEES,2021-02-01,,,332.97,,711.1337,,20.0,,PARTIAL
SELL,RANK_DROP,AXISNIFTY,AXISNIFTY,2021-02-01,2021-02-08,7.0,145.76,155.91,1624.4936,16488.61,20.0,16468.61,BULL
SELL,RANK_DROP,BANKBEES,BANKBEES,2021-02-01,2021-02-08,7.0,332.97,361.28,711.1337,20132.19,20.0,20112.19,BULL
BUY,NEW_ENTRY,ICICIB22,ICICIB22,2021-02-08,,,36.87,,6695.9869,,20.0,,BULL
BUY,NEW_ENTRY,BANKNIFTY1,BANKNIFTY1,2021-02-08,,,36.367,,6788.6005,,20.0,,BULL
BUY,NEW_ENTRY,PSUBANK,PSUBANK,2021-02-08,,,219.05,,1127.0533,,20.0,,BULL
BUY,NEW_ENTRY,LOWVOLIETF,LOWVOLIETF,2021-02-08,,,11.966,,20631.8766,,20.0,,BULL
SELL,RANK_DROP,LOWVOLIETF,LOWVOLIETF,2021-02-08,2021-02-15,7.0,11.966,11.917,20631.8766,-1010.96,20.0,-1030.96,BULL
SELL,RANK_DROP,BANKNIFTY1,BANKNIFTY1,2021-02-08,2021-02-15,7.0,36.367,37.517,6788.6005,7806.89,20.0,7786.89,BULL
SELL,RANK_DROP,ICICIB22,ICICIB22,2021-02-08,2021-02-15,7.0,36.87,36.61,6695.9869,-1740.96,20.0,-1760.96,BULL
BUY,NEW_ENTRY,AXISNIFTY,AXISNIFTY,2021-02-15,,,159.01,,1574.8395,,20.0,,BULL
BUY,NEW_ENTRY,BANKBEES,BANKBEES,2021-02-15,,,376.7,,664.7604,,20.0,,BULL
BUY,NEW_ENTRY,JUNIORBEES,JUNIORBEES,2021-02-15,,,365.32,,685.4682,,20.0,,BULL
SELL,RANK_DROP,AXISNIFTY,AXISNIFTY,2021-02-15,2021-02-22,7.0,159.01,153.15,1574.8395,-9228.56,20.0,-9248.56,BULL
BUY,NEW_ENTRY,NV20IETF,NV20IETF,2021-02-22,,,7.487,,33021.0159,,20.0,,BULL
SELL,RANK_DROP,NV20IETF,NV20IETF,2021-02-22,2021-03-01,7.0,7.487,7.527,33021.0159,1320.84,20.0,1300.84,BULL
SELL,RANK_DROP,BANKBEES,BANKBEES,2021-02-15,2021-03-01,14.0,376.7,354.96,664.7604,-14451.89,20.0,-14471.89,BULL
BUY,NEW_ENTRY,MID150BEES,MID150BEES,2021-03-01,,,90.39,,2743.7997,,20.0,,BULL
BUY,NEW_ENTRY,INFRABEES,INFRABEES,2021-03-01,,,434.47,,570.8382,,20.0,,BULL
SELL,TSL_HIT (10.3%),PSUBANK,PSUBANK,2021-02-08,2021-03-01,21.0,219.05,232.36,1127.0533,15001.08,20.0,14981.08,BULL
BUY,NEW_ENTRY,PSUBANK,PSUBANK,2021-03-08,,,233.69,,1080.7123,,20.0,,BULL
SELL,RANK_DROP,PSUBANK,PSUBANK,2021-03-08,2021-03-15,7.0,233.69,226.87,1080.7123,-7370.46,20.0,-7390.46,BULL
BUY,NEW_ENTRY,BANKNIFTY1,BANKNIFTY1,2021-03-15,,,35.54,,6982.9319,,20.0,,BULL
SELL,RANK_DROP,MID150BEES,MID150BEES,2021-03-01,2021-03-22,21.0,90.39,89.94,2743.7997,-1234.71,20.0,-1254.71,BULL
SELL,RANK_DROP,BANKNIFTY1,BANKNIFTY1,2021-03-15,2021-03-22,7.0,35.54,33.908,6982.9319,-11396.14,20.0,-11416.14,BULL
SELL,RANK_DROP,JUNIORBEES,JUNIORBEES,2021-02-15,2021-03-22,35.0,365.32,359.75,685.4682,-3818.06,20.0,-3838.06,BULL
BUY,NEW_ENTRY,ICICIB22,ICICIB22,2021-03-22,,,36.75,,6617.8728,,20.0,,BULL
BUY,NEW_ENTRY,BANKBEES,BANKBEES,2021-03-22,,,337.91,,719.7385,,20.0,,BULL
BUY,NEW_ENTRY,PSUBNKBEES,PSUBNKBEES,2021-03-22,,,23.64,,10287.9368,,20.0,,BULL
SELL,RANK_DROP,PSUBNKBEES,PSUBNKBEES,2021-03-22,2021-04-05,14.0,23.64,23.23,10287.9368,-4218.05,20.0,-4238.05,BULL
SELL,RANK_DROP,ICICIB22,ICICIB22,2021-03-22,2021-04-05,14.0,36.75,35.72,6617.8728,-6816.41,20.0,-6836.41,BULL
SELL,RANK_DROP,BANKBEES,BANKBEES,2021-03-22,2021-04-05,14.0,337.91,328.97,719.7385,-6434.46,20.0,-6454.46,BULL
BUY,NEW_ENTRY,MID150BEES,MID150BEES,2021-04-05,,,90.87,,2638.2443,,20.0,,BULL
BUY,NEW_ENTRY,PSUBANK,PSUBANK,2021-04-05,,,208.34,,1150.702,,20.0,,BULL
BUY,NEW_ENTRY,BANKNIFTY1,BANKNIFTY1,2021-04-05,,,33.033,,7257.508,,20.0,,BULL
SELL,RANK_DROP,BANKNIFTY1,BANKNIFTY1,2021-04-05,2021-04-12,7.0,33.033,31.127,7257.508,-13832.81,20.0,-13852.81,BULL
SELL,RANK_DROP,PSUBANK,PSUBANK,2021-04-05,2021-04-12,7.0,208.34,196.86,1150.702,-13210.06,20.0,-13230.06,BULL
BUY,NEW_ENTRY,PSUBNKBEES,PSUBNKBEES,2021-04-12,,,21.84,,10665.0308,,20.0,,BULL
BUY,NEW_ENTRY,JUNIORBEES,JUNIORBEES,2021-04-12,,,353.62,,658.6852,,20.0,,BULL
