date,equity
2020-10-05,999899.9945205479
2020-10-06,1006349.9836479231
2020-10-07,1009102.9048513826
2020-10-08,1017830.6637136784
2020-10-09,1018074.9873605808
2020-10-12,1021923.1090663419
2020-10-13,1034874.2789950267
2020-10-14,1016941.6301103403
2020-10-15,1003284.4308883342
2020-10-16,1004505.0495691948
2020-10-19,1008362.428984935
2020-10-20,1013506.9119034882
2020-10-21,1010963.8135531994
2020-10-22,1010399.7202443709
2020-10-23,1017621.0447297661
2020-10-26,1006303.0799190167
2020-10-27,1016593.582927513
2020-10-28,1012012.148289921
2020-10-29,1007972.5312545773
2020-10-30,1007060.7191770987
2020-11-02,1008114.8861697348
2020-11-03,1013791.3279901752
2020-11-04,1021998.914759058
2020-11-05,1033593.3581729367
2020-11-06,1038106.3677622919
2020-11-09,1051962.550322804
2020-11-10,1052949.0099906058
2020-11-11,1058939.1568715137
2020-11-12,1064072.5357668896
2020-11-13,1067753.0549837246
2020-11-14,1072849.9886469578
2020-11-17,1079666.708629495
2020-11-18,1086804.14587693
2020-11-19,1084532.0099141086
2020-11-20,1090767.3753697772
2020-11-23,1100344.2760044052
2020-11-24,1106058.6433009414
2020-11-25,1092065.7260913635
2020-11-26,1097695.7198393806
2020-11-27,1108185.5414950128
2020-12-01,1119576.9494096125
2020-12-02,1123536.5305647177
2020-12-03,1130298.0326773825
2020-12-04,1136001.2147352905
2020-12-07,1148909.5752111827
2020-12-08,1148684.5428750585
2020-12-09,1155856.0377907949
2020-12-10,1156062.8337395398
2020-12-11,1155137.3393001
2020-12-14,1163676.907712176
2020-12-15,1166816.7464078236
2020-12-16,1175133.3410051335
2020-12-17,1179846.5956239928
2020-12-18,1180433.5778874268
2020-12-21,1143233.6694798335
2020-12-22,1153204.7716995224
2020-12-23,1173511.1480817408
2020-12-24,1175445.5405178277
2020-12-28,1187263.3672486064
2020-12-29,1185509.826154583
2020-12-30,1187619.8799455084
2020-12-31,1191270.231060659
2021-01-01,1201639.9254199392
2021-01-04,1207851.7154482568
2021-01-05,1221124.4453247862
2021-01-06,1223902.3837445106
2021-01-07,1230835.7167365367
2021-01-08,1243786.848516014
2021-01-11,1256394.5871231738
2021-01-12,1259916.595448706
2021-01-13,1253190.342878091
2021-01-14,1255766.65676336
2021-01-15,1240822.7821309846
2021-01-18,1220070.270353153
2021-01-19,1240889.1580203099
2021-01-20,1250485.9983375673
2021-01-21,1252633.0196126897
2021-01-22,1240000.3757596323
2021-01-25,1248205.9832686142
2021-01-27,1209997.3997323131
2021-01-28,1197516.312997457
2021-01-29,1189164.8596799597
2021-02-01,1209348.2619365575
2021-02-02,1223367.4240666723
2021-02-03,1229766.383004665
2021-02-04,1234739.967284268
2021-02-05,1232338.334605958
2021-02-08,1240423.9369441303
2021-02-09,1241314.9375986415
2021-02-10,1236156.83923644
2021-02-11,1237514.774905712
2021-02-12,1236066.5571502277
2021-02-15,1249924.8339169251
2021-02-16,1251375.8189080642
2021-02-17,1249408.3398435784
2021-02-18,1255037.3705230681
2021-02-19,1238415.9061324077
2021-02-22,1213587.3988774784
2021-02-23,1220227.5098404356
2021-02-24,1243300.7933881334
2021-02-25,1253325.4977061849
2021-02-26,1223705.3196935537
2021-03-01,1237860.699270499
2021-03-02,1249700.1776613216
2021-03-03,1269756.65759502
2021-03-04,1264612.5874984348
2021-03-05,1246651.4977876577
2021-03-08,1252998.1871814316
2021-03-09,1253118.1445246448
2021-03-10,1260428.4251821996
2021-03-12,1254559.6657956531
2021-03-15,1246574.9537403916
2021-03-16,1246633.4464350662
2021-03-17,1224120.5592297378
2021-03-18,1210915.2139465697
2021-03-19,1222033.4420132826
2021-03-22,1224038.4435675873
2021-03-23,1228365.5072173588
2021-03-24,1212193.9081975175
2021-03-25,1192116.0499777836
2021-03-26,1203252.0995648147
2021-03-30,1219347.061852533
2021-03-31,1222286.3731800553
2021-04-01,1231427.3399418853
2021-04-05,1220489.1876961389
2021-04-06,1224446.371776753
2021-04-07,1230631.1801638503
2021-04-08,1242169.143381631
2021-04-09,1245192.8630245165
2021-04-12,1205127.5604925125
2021-04-13,1198866.1957994727
2021-04-15,1198440.608334027
2021-04-16,1208857.9665007908
2021-04-19,1191071.9732307573
2021-04-20,1192480.908557921
2021-04-22,1193539.0211321807
2021-04-23,1191633.5224576471
2021-04-26,1200166.2013189553
2021-04-27,1210831.467049662
2021-04-28,1218244.802399653
2021-04-29,1218144.5599980836
2021-04-30,1215667.296359496
2021-05-03,1215776.4052702049
2021-05-04,1215594.58036151
2021-05-05,1223544.577974491
2021-05-06,1233547.303186449
2021-05-07,1236560.0904305154
2021-05-10,1256607.9098528307
2021-05-11,1270356.2629685747
2021-05-12,1266150.9316060687
2021-05-14,1248581.0943339285
2021-05-17,1259733.6738510504
2021-05-18,1278512.1349804024
2021-05-19,1282593.9122571123
2021-05-20,1276139.059472108
2021-05-21,1282239.484993012
2021-05-24,1291506.6835895877
2021-05-25,1292063.5872833333
2021-05-26,1289107.0603714627
2021-05-27,1291990.1561924508
2021-05-28,1293887.5962961037
2021-05-31,1300070.3058356252
2021-06-01,1300843.4188828962
2021-06-02,1318097.9491092812
2021-06-03,1326406.7309957363
2021-06-04,1340963.8847857786
2021-06-07,1358328.0510061602
2021-06-08,1367439.856869355
2021-06-09,1357894.9792942263
2021-06-10,1368765.5043247046
2021-06-11,1374394.8094805728
2021-06-14,1372332.3764385644
2021-06-15,1377096.328798528
2021-06-16,1364750.5171276855
2021-06-17,1353164.3608127814
2021-06-18,1329417.8918466507
2021-06-21,1342777.656958062
2021-06-22,1352213.195322639
2021-06-23,1349335.559203895
2021-06-24,1342601.295526103
2021-06-25,1350058.0297298264
2021-06-28,1353484.953731535
2021-06-29,1350667.1482459796
2021-06-30,1354891.709443202
2021-07-01,1350867.1728190803
2021-07-02,1352583.4299205744
2021-07-05,1359250.1333877859
2021-07-06,1357980.7653180398
2021-07-07,1362609.6778702666
2021-07-08,1357126.3682749497
2021-07-09,1361689.4274368673
2021-07-12,1363819.609782762
2021-07-13,1368961.1324441922
2021-07-14,1373189.9154095403
2021-07-15,1373296.6389258944
2021-07-16,1378401.6558243413
2021-07-19,1371193.1756310547
2021-07-20,1359241.8480066764
2021-07-22,1371623.6730259953
2021-07-23,1373003.1937313993
2021-07-26,1375054.156405663
2021-07-27,1367643.613468798
2021-07-28,1367254.89223804
2021-07-29,1367179.267194311
2021-07-30,1382761.1394776758
2021-08-02,1390791.0101135096
2021-08-03,1398309.1039390406
2021-08-04,1389302.4281689513
2021-08-05,1387880.282634483
2021-08-06,1393688.6106591043
2021-08-09,1380977.758426069
2021-08-10,1365431.6412294924
2021-08-11,1365422.9662474976
2021-08-12,1381071.8988398695
2021-08-13,1384900.734937293
2021-08-16,1381550.540260739
2021-08-17,1378942.7547497149
2021-08-18,1381837.1787341873
2021-08-20,1359592.9410235637
2021-08-23,1350142.4299150116
2021-08-24,1363965.0282124402
2021-08-25,1370431.3082350045
2021-08-26,1369263.5546007473
2021-08-27,1385199.7980595639
2021-08-30,1406138.174452159
2021-08-31,1420342.8057782997
2021-09-01,1429106.530082324
2021-09-02,1439007.8027972546
2021-09-03,1450683.532324465
2021-09-06,1456321.484163724
2021-09-07,1453078.1212962933
2021-09-08,1454979.6772382185
2021-09-09,1462983.416630994
2021-09-13,1469496.0322484656
2021-09-14,1482640.2697501136
2021-09-15,1504370.012667894
2021-09-16,1508793.7274389474
2021-09-17,1498053.3280669362
2021-09-20,1477351.6846218198
2021-09-21,1482652.1586654708
2021-09-22,1501026.3276555256
2021-09-23,1519612.020082938
2021-09-24,1510238.6581070889
2021-09-27,1511781.1905515287
2021-09-28,1517197.9003534247
2021-09-29,1533846.7433690676
2021-09-30,1534312.5079485008
2021-10-01,1534233.7125658249
2021-10-04,1556443.0996691943
2021-10-05,1572506.4968944928
2021-10-06,1559493.2881789948
2021-10-07,1572473.5751209597
2021-10-08,1575443.9417172906
2021-10-11,1590273.720259512
2021-10-12,1592692.3155098904
2021-10-13,1610816.6417784193
2021-10-14,1622948.314253964
2021-10-18,1637205.6449873904
2021-10-19,1613349.7271785373
2021-10-20,1580008.988542077
2021-10-21,1569512.3062855008
2021-10-22,1553679.542992701
2021-10-25,1542346.305425998
2021-10-26,1558372.0785530172
2021-10-27,1558203.796473427
2021-10-28,1532955.072631167
2021-10-29,1525113.1037072255
2021-11-01,1546043.352641553
2021-11-02,1553849.3448577602
2021-11-03,1553426.0735726766
2021-11-04,1574720.4394661
2021-11-08,1586450.1360412457
2021-11-09,1597735.3419147476
2021-11-10,1596210.9499179248
2021-11-11,1583541.3844834235
2021-11-12,1595379.3539199773
2021-11-15,1600441.4951996808
2021-11-16,1594298.968868608
2021-11-17,1588210.9132859593
2021-11-18,1567253.2092959827
2021-11-22,1529437.3823504834
2021-11-23,1549389.7836625313
2021-11-24,1544566.3356705199
2021-11-25,1555236.674618118
2021-11-26,1515105.8061541067
2021-11-29,1503570.5732687141
2021-11-30,1504977.7177801006
2021-12-01,1507284.8413757575
2021-12-02,1517826.5398647026
2021-12-03,1516908.7393351542
2021-12-06,1501480.2218762087
2021-12-07,1512772.27099011
2021-12-08,1524699.9784510734
2021-12-09,1527719.6814186736
2021-12-10,1532954.2999248137
2021-12-13,1530603.7786770219
2021-12-14,1530167.4746569414
2021-12-15,1518875.394138986
2021-12-16,1519603.2245407323
2021-12-17,1508133.6756453323
2021-12-20,1471067.0675154484
2021-12-21,1471147.673930107
2021-12-22,1471228.2847615553
2021-12-23,1471308.9000100354
2021-12-24,1471389.5196757894
2021-12-27,1471470.1437590595
2021-12-28,1471550.7722600875
2021-12-29,1471631.4051791157
2021-12-30,1471712.042516386
2021-12-31,1471792.6842721403
2022-01-03,1471692.6787926883
2022-01-04,1471014.08633044
2022-01-05,1463609.7441531953
2022-01-06,1449067.1674502054
2022-01-07,1454229.0130995861
2022-01-10,1456736.7066306171
2022-01-11,1465707.7041459868
2022-01-12,1468014.4586872442
2022-01-13,1471940.2870791436
2022-01-14,1474418.8764884197
2022-01-17,1475568.2762871317
2022-01-18,1454890.8316309673
2022-01-19,1440662.4545815964
2022-01-20,1432383.004170857
2022-01-21,1409557.386035915
2022-01-24,1377565.5706125274
2022-01-25,1381674.7285180357
2022-01-27,1370061.748118898
2022-01-28,1373053.8491190968
2022-01-31,1380232.0389247441
2022-02-01,1380307.668077562
2022-02-02,1380383.301374443
2022-02-03,1380458.9388156144
2022-02-04,1380534.580401303
2022-02-07,1380504.8354058047
2022-02-08,1377105.5154864753
2022-02-09,1379189.8133588992
2022-02-10,1384212.6340912546
2022-02-11,1374182.3404120943
2022-02-14,1345786.3128751318
2022-02-15,1345860.054590906
2022-02-16,1345933.8003473221
2022-02-17,1346007.5501446016
2022-02-18,1346081.3039829659
2022-02-21,1346155.0618626364
2022-02-22,1346228.8237838345
2022-02-23,1346302.5897467816
2022-02-24,1346376.3597516993
2022-02-25,1346450.133798809
2022-02-28,1346523.9118883323
2022-03-02,1346597.6940204906
2022-03-03,1346671.4801955055
2022-03-04,1346745.2704135985
2022-03-07,1346819.0646749912
2022-03-08,1346892.862979905
2022-03-09,1346966.6653285616
2022-03-10,1347040.4717211823
2022-03-11,1347114.282157989
2022-03-14,1347188.0966392031
2022-03-15,1347261.9151650465
2022-03-16,1347335.7377357406
2022-03-17,1347409.564351507
2022-03-21,1347379.09332826
2022-03-22,1352445.3748556492
2022-03-23,1353191.426462925
2022-03-24,1358914.6940470657
2022-03-25,1357181.1397963974
2022-03-28,1359738.676103239
2022-03-29,1359813.1823320666
2022-03-30,1359887.6926434273
2022-03-31,1359962.2070375448
2022-04-01,1360036.725514643
2022-04-04,1360006.5312510924
2022-04-05,1367253.7524934148
2022-04-06,1376030.2882295535
2022-04-07,1375104.3055433196
2022-04-08,1379767.856408424
2022-04-11,1384593.7305331912
2022-04-12,1370553.2858217098
2022-04-13,1377964.2469405588
2022-04-18,1382456.551018987
2022-04-19,1375633.4577345226
2022-04-20,1374498.8978892963
2022-04-21,1384657.4188417
2022-04-22,1372334.1645192339
2022-04-25,1346533.3210403312
2022-04-26,1359468.0474297043
2022-04-27,1349694.214256617
2022-04-28,1359232.6271275713
2022-04-29,1344868.5139222315
2022-05-02,1342610.8868015993
2022-05-04,1342684.4545214241
2022-05-05,1342758.026272357
2022-05-06,1342831.6020546185
2022-05-09,1342905.1818684298
2022-05-10,1342978.7657140116
2022-05-11,1343052.353591585
2022-05-12,1343125.945501371
2022-05-13,1343199.5414435903
2022-05-16,1343273.141418464
2022-05-17,1343346.7454262131
2022-05-18,1343420.3534670584
2022-05-19,1343493.965541221
2022-05-20,1343567.581648922
2022-05-23,1343641.2017903824
2022-05-24,1343714.8259658231
2022-05-25,1343788.4541754653
2022-05-26,1343862.0864195297
2022-05-27,1343935.7226982377
2022-05-30,1344009.3630118105
2022-05-31,1344083.0073604689
2022-06-01,1344156.6557444339
2022-06-02,1344230.3081639267
2022-06-03,1344303.9646191685
2022-06-06,1344377.6251103806
2022-06-07,1344451.289637784
2022-06-08,1344524.9582015998
2022-06-09,1344598.6308020493
