TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,NEW_ENTRY,ITBEES,ITBEES,2020-10-05,,,20.87,,9583.1337,,20.0,,BULL
BUY,NEW_ENTRY,MIDSELIETF,MIDSELIETF,2020-10-05,,,6.48,,30864.1975,,20.0,,BULL
BUY,NEW_ENTRY,LOWVOLIETF,LOWVOLIETF,2020-10-05,,,9.745,,20523.3453,,20.0,,BULL
BUY,NEW_ENTRY,SBIETFQLTY,SBIETFQLTY,2020-10-05,,,107.15,,1866.5422,,20.0,,BULL
BUY,NEW_ENTRY,MIDCAPIETF,MIDCAPIETF,2020-10-05,,,6.54,,30581.0398,,20.0,,BULL
SELL,TSL_HIT (10.3%),ITBEES,ITBEES,2020-10-05,2020-10-27,22.0,20.87,21.26,9583.1337,3737.42,20.0,3717.42,BULL
BUY,NEW_ENTRY,HDFCSENSEX,HDFCSENSEX,2020-11-02,,,42.6364,,4728.9864,,20.0,,BULL
SELL,TSL_HIT (11.4%),HDFCSENSEX,HDFCSENSEX,2020-11-02,2021-01-28,87.0,42.6364,49.7409,4728.9864,33597.08,20.0,33577.08,BULL
SELL,REGIME_TRIM,MIDSELIETF,MIDSELIETF,2020-10-05,2021-02-01,119.0,6.48,8.143,30864.1975,51327.16,20.0,51307.16,PARTIAL
BUY,NEW_ENTRY,ICICIB22,ICICIB22,2021-02-08,,,36.87,,6728.8546,,20.0,,BULL
BUY,NEW_ENTRY,BANKNIFTY1,BANKNIFTY1,2021-02-08,,,36.367,,6821.9229,,20.0,,BULL
SELL,TSL_HIT (10.6%),BANKNIFTY1,BANKNIFTY1,2021-02-08,2021-03-24,44.0,36.367,33.541,6821.9229,-19278.75,20.0,-19298.75,BULL
BUY,NEW_ENTRY,MID150BEES,MID150BEES,2021-04-05,,,90.87,,2686.2781,,20.0,,BULL
SELL,TSL_HIT (12.4%),ICICIB22,ICICIB22,2021-02-08,2021-04-12,63.0,36.87,33.8,6728.8546,-20657.58,20.0,-20677.58,BULL
BUY,NEW_ENTRY,INFRABEES,INFRABEES,2021-04-19,,,409.23,,582.1146,,20.0,,BULL
SELL,REGIME_TRIM,LOWVOLIETF,LOWVOLIETF,2020-10-05,2021-04-26,203.0,9.745,11.758,20523.3453,41313.49,20.0,41293.49,PARTIAL
SELL,REGIME_TRIM,SBIETFQLTY,SBIETFQLTY,2020-10-05,2021-04-26,203.0,107.15,124.99,1866.5422,33299.11,20.0,33279.11,PARTIAL
BUY,NEW_ENTRY,CPSEETF,CPSEETF,2021-05-03,,,23.13,,10512.9173,,20.0,,BULL
BUY,NEW_ENTRY,JUNIORBEES,JUNIORBEES,2021-05-03,,,366.46,,663.5479,,20.0,,BULL
SELL,TSL_HIT (10.4%),CPSEETF,CPSEETF,2021-05-03,2021-11-22,203.0,23.13,29.18,10512.9173,63603.15,20.0,63583.15,BULL
SELL,REGIME_TRIM,MIDCAPIETF,MIDCAPIETF,2020-10-05,2021-11-29,420.0,6.54,11.298,30581.0398,145504.59,20.0,145484.59,PARTIAL
BUY,NEW_ENTRY,SBIETFIT,SBIETFIT,2021-12-13,,,368.77,,830.1348,,20.0,,BULL
BUY,NEW_ENTRY,ITBEES,ITBEES,2021-12-13,,,36.83,,8311.9417,,20.0,,BULL
SELL,REGIME_BEAR,MID150BEES,MID150BEES,2021-04-05,2021-12-20,259.0,90.87,111.2,2686.2781,54612.03,20.0,54592.03,BEAR
SELL,REGIME_BEAR,INFRABEES,INFRABEES,2021-04-19,2021-12-20,245.0,409.23,494.16,582.1146,49438.99,20.0,49418.99,BEAR
SELL,REGIME_BEAR,JUNIORBEES,JUNIORBEES,2021-05-03,2021-12-20,231.0,366.46,422.66,663.5479,37291.39,20.0,37271.39,BEAR
SELL,REGIME_BEAR,SBIETFIT,SBIETFIT,2021-12-13,2021-12-20,7.0,368.77,366.37,830.1348,-1992.32,20.0,-2012.32,BEAR
SELL,REGIME_BEAR,ITBEES,ITBEES,2021-12-13,2021-12-20,7.0,36.83,36.75,8311.9417,-664.96,20.0,-684.96,BEAR
BUY,NEW_ENTRY,SBIETFIT,SBIETFIT,2022-01-03,,,400.65,,734.7025,,20.0,,BULL
BUY,NEW_ENTRY,ITBEES,ITBEES,2022-01-03,,,40.0,,7358.9634,,20.0,,BULL
BUY,NEW_ENTRY,SBIETFQLTY,SBIETFQLTY,2022-01-03,,,158.36,,1858.7935,,20.0,,BULL
BUY,NEW_ENTRY,MIDCAPIETF,MIDCAPIETF,2022-01-03,,,11.831,,24880.2753,,20.0,,BULL
BUY,NEW_ENTRY,AXISGOLD,AXISGOLD,2022-01-03,,,41.76,,7048.8155,,20.0,,BULL
SELL,TSL_HIT (10.4%),SBIETFIT,SBIETFIT,2022-01-03,2022-01-24,21.0,400.65,359.2,734.7025,-30453.42,20.0,-30473.42,BULL
SELL,TSL_HIT (11.0%),ITBEES,ITBEES,2022-01-03,2022-01-24,21.0,40.0,35.73,7358.9634,-31422.77,20.0,-31442.77,BULL
SELL,REGIME_BEAR,SBIETFQLTY,SBIETFQLTY,2022-01-03,2022-01-31,28.0,158.36,148.03,1858.7935,-19201.34,20.0,-19221.34,BEAR
SELL,REGIME_BEAR,MIDCAPIETF,MIDCAPIETF,2022-01-03,2022-01-31,28.0,11.831,11.567,24880.2753,-6568.39,20.0,-6588.39,BEAR
SELL,REGIME_BEAR,AXISGOLD,AXISGOLD,2022-01-03,2022-01-31,28.0,41.76,41.21,7048.8155,-3876.85,20.0,-3896.85,BEAR
BUY,NEW_ENTRY,CPSEETF,CPSEETF,2022-02-07,,,32.57,,8477.3385,,20.0,,PARTIAL
BUY,NEW_ENTRY,ICICIB22,ICICIB22,2022-02-07,,,48.1,,5740.2685,,20.0,,PARTIAL
BUY,NEW_ENTRY,PSUBNKBEES,PSUBNKBEES,2022-02-07,,,33.01,,8364.3416,,20.0,,PARTIAL
SELL,REGIME_BEAR,CPSEETF,CPSEETF,2022-02-07,2022-02-14,7.0,32.57,31.77,8477.3385,-6781.87,20.0,-6801.87,BEAR
SELL,REGIME_BEAR,ICICIB22,ICICIB22,2022-02-07,2022-02-14,7.0,48.1,46.94,5740.2685,-6658.71,20.0,-6678.71,BEAR
SELL,REGIME_BEAR,PSUBNKBEES,PSUBNKBEES,2022-02-07,2022-02-14,7.0,33.01,30.45,8364.3416,-21412.71,20.0,-21432.71,BEAR
BUY,NEW_ENTRY,CPSEETF,CPSEETF,2022-03-21,,,33.23,,8109.5971,,20.0,,PARTIAL
BUY,NEW_ENTRY,GOLDBEES,GOLDBEES,2022-03-21,,,44.14,,6105.1634,,20.0,,PARTIAL
BUY,NEW_ENTRY,ICICIB22,ICICIB22,2022-03-21,,,47.96,,5618.8889,,20.0,,PARTIAL
SELL,REGIME_BEAR,CPSEETF,CPSEETF,2022-03-21,2022-03-28,7.0,33.23,34.01,8109.5971,6325.49,20.0,6305.49,BEAR
SELL,REGIME_BEAR,GOLDBEES,GOLDBEES,2022-03-21,2022-03-28,7.0,44.14,44.49,6105.1634,2136.81,20.0,2116.81,BEAR
SELL,REGIME_BEAR,ICICIB22,ICICIB22,2022-03-21,2022-03-28,7.0,47.96,48.63,5618.8889,3764.66,20.0,3744.66,BEAR
BUY,NEW_ENTRY,CPSEETF,CPSEETF,2022-04-04,,,34.91,,7791.6742,,20.0,,PARTIAL
BUY,NEW_ENTRY,QGOLDHALF,QGOLDHALF,2022-04-04,,,43.96,,6187.6102,,20.0,,PARTIAL
BUY,NEW_ENTRY,ICICIB22,ICICIB22,2022-04-04,,,50.33,,5404.4774,,20.0,,PARTIAL
BUY,NEW_ENTRY,PSUBNKBEES,PSUBNKBEES,2022-04-11,,,31.96,,8664.7952,,20.0,,BULL
BUY,NEW_ENTRY,INFRABEES,INFRABEES,2022-04-11,,,542.86,,510.1257,,20.0,,BULL
SELL,REGIME_BEAR,CPSEETF,CPSEETF,2022-04-04,2022-05-02,28.0,34.91,35.6,7791.6742,5376.26,20.0,5356.26,BEAR
SELL,REGIME_BEAR,QGOLDHALF,QGOLDHALF,2022-04-04,2022-05-02,28.0,43.96,44.54,6187.6102,3588.81,20.0,3568.81,BEAR
SELL,REGIME_BEAR,ICICIB22,ICICIB22,2022-04-04,2022-05-02,28.0,50.33,49.23,5404.4774,-5944.93,20.0,-5964.93,BEAR
SELL,REGIME_BEAR,PSUBNKBEES,PSUBNKBEES,2022-04-11,2022-05-02,21.0,31.96,29.94,8664.7952,-17502.89,20.0,-17522.89,BEAR
SELL,REGIME_BEAR,INFRABEES,INFRABEES,2022-04-11,2022-05-02,21.0,542.86,537.06,510.1257,-2958.73,20.0,-2978.73,BEAR
BUY,NEW_ENTRY,FMCGIETF,FMCGIETF,2022-07-25,,,43.255,,6227.6476,,20.0,,PARTIAL
BUY,NEW_ENTRY,AUTOIETF,AUTOIETF,2022-07-25,,,12.502,,21546.7043,,20.0,,PARTIAL
BUY,NEW_ENTRY,CONSUMIETF,CONSUMIETF,2022-07-25,,,74.62,,3609.9825,,20.0,,PARTIAL
BUY,NEW_ENTRY,CONSUMBEES,CONSUMBEES,2022-08-22,,,84.17,,3250.3826,,20.0,,BULL
BUY,NEW_ENTRY,AUTOBEES,AUTOBEES,2022-08-22,,,128.55,,2128.2357,,20.0,,BULL
SELL,REGIME_TRIM,AUTOIETF,AUTOIETF,2022-07-25,2022-10-03,70.0,12.502,12.539,21546.7043,797.23,20.0,777.23,PARTIAL
SELL,REGIME_TRIM,CONSUMIETF,CONSUMIETF,2022-07-25,2022-10-03,70.0,74.62,77.86,3609.9825,11696.34,20.0,11676.34,PARTIAL
BUY,NEW_ENTRY,MIDCAPIETF,MIDCAPIETF,2022-10-10,,,11.985,,22803.5341,,20.0,,BULL
BUY,NEW_ENTRY,CPSEETF,CPSEETF,2022-10-10,,,36.13,,7564.3608,,20.0,,BULL
SELL,REGIME_TRIM,FMCGIETF,FMCGIETF,2022-07-25,2022-10-17,84.0,43.255,44.043,6227.6476,4907.39,20.0,4887.39,PARTIAL
SELL,REGIME_TRIM,CONSUMBEES,CONSUMBEES,2022-08-22,2022-10-17,56.0,84.17,83.51,3250.3826,-2145.25,20.0,-2165.25,PARTIAL
BUY,NEW_ENTRY,SBIETFPB,SBIETFPB,2022-10-24,,,212.13,,1293.2586,,20.0,,BULL
BUY,NEW_ENTRY,PVTBANIETF,PVTBANIETF,2022-10-24,,,21.128,,12984.6155,,20.0,,BULL
SELL,REGIME_BEAR,AUTOBEES,AUTOBEES,2022-08-22,2022-12-26,126.0,128.55,125.97,2128.2357,-5490.85,20.0,-5510.85,BEAR
SELL,REGIME_BEAR,MIDCAPIETF,MIDCAPIETF,2022-10-10,2022-12-26,77.0,11.985,11.889,22803.5341,-2189.14,20.0,-2209.14,BEAR
SELL,REGIME_BEAR,CPSEETF,CPSEETF,2022-10-10,2022-12-26,77.0,36.13,37.38,7564.3608,9455.45,20.0,9435.45,BEAR
SELL,REGIME_BEAR,SBIETFPB,SBIETFPB,2022-10-24,2022-12-26,63.0,212.13,217.21,1293.2586,6569.75,20.0,6549.75,BEAR
SELL,REGIME_BEAR,PVTBANIETF,PVTBANIETF,2022-10-24,2022-12-26,63.0,21.128,21.498,12984.6155,4804.31,20.0,4784.31,BEAR
BUY,NEW_ENTRY,PSUBANK,PSUBANK,2023-01-02,,,432.66,,636.1012,,20.0,,PARTIAL
BUY,NEW_ENTRY,SETFNIFBK,SETFNIFBK,2023-01-02,,,432.81,,635.8807,,20.0,,PARTIAL
BUY,NEW_ENTRY,BANKBEES,BANKBEES,2023-01-02,,,437.18,,629.5245,,20.0,,PARTIAL
SELL,REGIME_BEAR,PSUBANK,PSUBANK,2023-01-02,2023-01-09,7.0,432.66,430.69,636.1012,-1253.12,20.0,-1273.12,BEAR
