TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,MONTHLY_REBALANCE,NV20,NV20,2020-08-03,,,5.78,,34602.0761,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,,,279.7,,715.0518,,20.0,,BULL
BUY,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,,,1109.54,,180.2549,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,,,5.907,,33858.1344,,20.0,,BULL
BUY,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,,,49.019,,4080.0506,,20.0,,BULL
SELL,MONTHLY_REBALANCE,NV20,NV20,2020-08-03,2020-09-01,29.0,5.78,5.834,34602.0761,1868.51,20.0,1848.51,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,2020-09-01,29.0,279.7,283.04,715.0518,2388.27,20.0,2368.27,BULL
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,2020-09-01,29.0,1109.54,1095.0,180.2549,-2620.91,20.0,-2640.91,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,2020-09-01,29.0,5.907,6.445,33858.1344,18215.68,20.0,18195.68,BULL
SELL,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,2020-09-01,29.0,49.019,47.3335,4080.0506,-6876.93,20.0,-6896.93,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-09-01,,,6.445,,31428.2239,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-09-01,,,6.376,,31768.3349,,20.0,,BULL
BUY,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-09-01,,,103.5,,1957.0522,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-09-01,,,9.436,,21466.183,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-09-01,,,41.2927,,4905.3441,,20.0,,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-09-01,2020-10-01,30.0,6.445,6.53,31428.2239,2671.4,20.0,2651.4,BULL
SELL,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-09-01,2020-10-01,30.0,6.376,6.544,31768.3349,5337.08,20.0,5317.08,BULL
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-09-01,2020-10-01,30.0,103.5,106.96,1957.0522,6771.4,20.0,6751.4,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-09-01,2020-10-01,30.0,9.436,9.658,21466.183,4765.49,20.0,4745.49,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-09-01,2020-10-01,30.0,41.2927,40.9777,4905.3441,-1545.18,20.0,-1565.18,BULL
BUY,MONTHLY_REBALANCE,NV20IETF,NV20IETF,2020-10-01,,,5.836,,35317.8404,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-10-01,,,9.658,,21341.3664,,20.0,,BULL
BUY,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-10-01,,,106.96,,1927.028,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-10-01,,,6.53,,31564.3058,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-10-01,,,40.9777,,5029.9289,,20.0,,BULL
SELL,MONTHLY_REBALANCE,NV20IETF,NV20IETF,2020-10-01,2020-11-02,32.0,5.836,5.964,35317.8404,4520.68,20.0,4500.68,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-10-01,2020-11-02,32.0,9.658,9.931,21341.3664,5826.19,20.0,5806.19,BULL
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-10-01,2020-11-02,32.0,106.96,106.5,1927.028,-886.43,20.0,-906.43,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-10-01,2020-11-02,32.0,6.53,6.55,31564.3058,631.29,20.0,611.29,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-10-01,2020-11-02,32.0,40.9777,42.6364,5029.9289,8343.14,20.0,8323.14,BULL
BUY,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-11-02,,,6.531,,32117.8791,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-11-02,,,42.6364,,4919.7838,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-11-02,,,6.55,,32024.7127,,20.0,,BULL
BUY,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-11-02,,,106.5,,1969.595,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-11-02,,,9.931,,21121.9281,,20.0,,BULL
SELL,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-11-02,2020-12-01,29.0,6.531,7.446,32117.8791,29387.86,20.0,29367.86,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-11-02,2020-12-01,29.0,42.6364,47.25,4919.7838,22697.91,20.0,22677.91,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-11-02,2020-12-01,29.0,6.55,7.595,32024.7127,33465.82,20.0,33445.82,BULL
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-11-02,2020-12-01,29.0,106.5,114.6,1969.595,15953.72,20.0,15933.72,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-11-02,2020-12-01,29.0,9.931,10.629,21121.9281,14743.11,20.0,14723.11,BULL
BUY,MONTHLY_REBALANCE,SETFNIF50,SETFNIF50,2020-12-01,,,132.2203,,1761.9952,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-12-01,,,10.629,,21918.4807,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-12-01,,,7.595,,30674.3293,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-12-01,,,47.25,,4930.6144,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-12-01,,,321.77,,724.0312,,20.0,,BULL
SELL,MONTHLY_REBALANCE,SETFNIF50,SETFNIF50,2020-12-01,2021-01-01,31.0,132.2203,141.6639,1761.9952,16639.58,20.0,16619.58,BULL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-12-01,2021-01-01,31.0,10.629,11.419,21918.4807,17315.6,20.0,17295.6,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-12-01,2021-01-01,31.0,7.595,8.027,30674.3293,13251.31,20.0,13231.31,BULL
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-12-01,2021-01-01,31.0,47.25,51.0232,4930.6144,18604.19,20.0,18584.19,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-12-01,2021-01-01,31.0,321.77,342.19,724.0312,14784.72,20.0,14764.72,BULL
BUY,MONTHLY_REBALANCE,SETFNIF50,SETFNIF50,2021-01-01,,,141.6639,,1758.0385,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-01-01,,,11.419,,21810.1924,,20.0,,BULL
BUY,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-01-01,,,51.0232,,4881.1244,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-01-01,,,342.19,,727.8137,,20.0,,BULL
BUY,MONTHLY_REBALANCE,BANKBEES,BANKBEES,2021-01-01,,,313.65,,794.0398,,20.0,,BULL
SELL,TSL_HIT (11.4%),HDFCSENSEX,HDFCSENSEX,2021-01-01,2021-01-28,27.0,51.0232,49.7409,4881.1244,-6259.07,20.0,-6279.07,BULL
BUY,TSL_REPLACEMENT,MIDCAPIETF,MIDCAPIETF,2021-01-28,,,7.965,,30479.7892,,20.0,,BULL
SELL,MONTHLY_REBALANCE,SETFNIF50,SETFNIF50,2021-01-01,2021-02-01,31.0,141.6639,144.1101,1758.0385,4300.51,20.0,4280.51,PARTIAL
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-01-01,2021-02-01,31.0,11.419,11.483,21810.1924,1395.85,20.0,1375.85,PARTIAL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-01-01,2021-02-01,31.0,342.19,341.85,727.8137,-247.46,20.0,-267.46,PARTIAL
SELL,MONTHLY_REBALANCE,BANKBEES,BANKBEES,2021-01-01,2021-02-01,31.0,313.65,332.97,794.0398,15340.85,20.0,15320.85,PARTIAL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-01-28,2021-02-01,4.0,7.965,8.149,30479.7892,5608.28,20.0,5588.28,PARTIAL
BUY,MONTHLY_REBALANCE,AXISNIFTY,AXISNIFTY,2021-02-01,,,145.76,,1735.9383,,20.0,,PARTIAL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-02-01,,,8.149,,31050.4798,,20.0,,PARTIAL
BUY,MONTHLY_REBALANCE,BANKBEES,BANKBEES,2021-02-01,,,332.97,,759.9194,,20.0,,PARTIAL
SELL,MONTHLY_REBALANCE,AXISNIFTY,AXISNIFTY,2021-02-01,2021-03-01,28.0,145.76,153.93,1735.9383,14182.62,20.0,14162.62,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-02-01,2021-03-01,28.0,8.149,9.0,31050.4798,26423.96,20.0,26403.96,BULL
SELL,MONTHLY_REBALANCE,BANKBEES,BANKBEES,2021-02-01,2021-03-01,28.0,332.97,354.96,759.9194,16710.63,20.0,16690.63,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-03-01,,,9.0,,29397.8624,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-03-01,,,90.39,,2927.1021,,20.0,,BULL
BUY,MONTHLY_REBALANCE,PSUBANK,PSUBANK,2021-03-01,,,232.36,,1138.6674,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-03-01,,,361.41,,732.0793,,20.0,,BULL
BUY,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-03-01,,,434.47,,608.9736,,20.0,,BULL
SELL,TSL_HIT (12.1%),PSUBANK,PSUBANK,2021-03-01,2021-03-18,17.0,232.36,212.55,1138.6674,-22557.0,20.0,-22577.0,BULL
BUY,TSL_REPLACEMENT,PSUBNKBEES,PSUBNKBEES,2021-03-18,,,23.36,,10359.75,,20.0,,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-03-01,2021-04-01,31.0,9.0,9.296,29397.8624,8701.77,20.0,8681.77,BULL
SELL,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-03-01,2021-04-01,31.0,90.39,92.5,2927.1021,6176.19,20.0,6156.19,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-03-01,2021-04-01,31.0,361.41,362.9,732.0793,1090.8,20.0,1070.8,BULL
SELL,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-03-01,2021-04-01,31.0,434.47,430.31,608.9736,-2533.33,20.0,-2553.33,BULL
SELL,MONTHLY_REBALANCE,PSUBNKBEES,PSUBNKBEES,2021-03-18,2021-04-01,14.0,23.36,24.02,10359.75,6837.44,20.0,6817.44,BULL
BUY,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-04-01,,,92.5,,2854.8747,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-04-01,,,9.296,,28407.4772,,20.0,,BULL
BUY,MONTHLY_REBALANCE,PSUBANK,PSUBANK,2021-04-01,,,217.55,,1213.8631,,20.0,,BULL
BUY,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-04-01,,,430.31,,613.6876,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-04-01,,,362.9,,727.6823,,20.0,,BULL
SELL,TSL_HIT (12.6%),PSUBANK,PSUBANK,2021-04-01,2021-04-19,18.0,217.55,190.17,1213.8631,-33235.57,20.0,-33255.57,BULL
BUY,TSL_REPLACEMENT,PSUBNKBEES,PSUBNKBEES,2021-04-19,,,21.33,,10821.3942,,20.0,,BULL
SELL,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-04-01,2021-05-03,32.0,92.5,92.4,2854.8747,-285.49,20.0,-305.49,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-04-01,2021-05-03,32.0,9.296,9.216,28407.4772,-2272.6,20.0,-2292.6,BULL
SELL,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-04-01,2021-05-03,32.0,430.31,420.4,613.6876,-6081.64,20.0,-6101.64,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-04-01,2021-05-03,32.0,362.9,366.46,727.6823,2590.55,20.0,2570.55,BULL
SELL,MONTHLY_REBALANCE,PSUBNKBEES,PSUBNKBEES,2021-04-19,2021-05-03,14.0,21.33,22.27,10821.3942,10172.11,20.0,10152.11,BULL
BUY,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-05-03,,,92.4,,2794.4303,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-05-03,,,9.216,,28017.0743,,20.0,,BULL
BUY,MONTHLY_REBALANCE,CPSEETF,CPSEETF,2021-05-03,,,23.13,,11163.2234,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-05-03,,,366.46,,704.5936,,20.0,,BULL
BUY,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-05-03,,,420.4,,614.1897,,20.0,,BULL
SELL,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-05-03,2021-06-01,29.0,92.4,98.13,2794.4303,16012.09,20.0,15992.09,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-05-03,2021-06-01,29.0,9.216,9.742,28017.0743,14736.98,20.0,14716.98,BULL
SELL,MONTHLY_REBALANCE,CPSEETF,CPSEETF,2021-05-03,2021-06-01,29.0,23.13,25.01,11163.2234,20986.86,20.0,20966.86,BULL
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-05-03,2021-06-01,29.0,366.46,394.21,704.5936,19552.47,20.0,19532.47,BULL
SELL,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-05-03,2021-06-01,29.0,420.4,446.96,614.1897,16312.88,20.0,16292.88,BULL
BUY,MONTHLY_REBALANCE,LICNETFN50,LICNETFN50,2021-06-01,,,195.91,,1407.2053,,20.0,,BULL
BUY,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-06-01,,,9.742,,28298.6646,,20.0,,BULL
BUY,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-06-01,,,12.686,,21731.4828,,20.0,,BULL
BUY,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-06-01,,,394.21,,699.3369,,20.0,,BULL
BUY,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2021-06-01,,,134.22,,2053.9829,,20.0,,BULL
SELL,MONTHLY_REBALANCE,LICNETFN50,LICNETFN50,2021-06-01,2021-07-01,30.0,195.91,200.62,1407.2053,6627.94,20.0,6607.94,BULL
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-06-01,2021-07-01,30.0,9.742,10.278,28298.6646,15168.08,20.0,15148.08,BULL
