date,equity,regime,n_holdings
2020-04-01,1000054.794520548,BEAR,0
2020-04-03,1000109.5920435354,BEAR,0
2020-04-07,1000164.3925691269,BEAR,0
2020-04-08,1000219.1960974869,BEAR,0
2020-04-09,1000274.00262878,BEAR,0
2020-04-13,1000328.8121631707,BEAR,0
2020-04-15,1000383.6247008236,BEAR,0
2020-04-16,1000438.4402419032,BEAR,0
2020-04-17,1000493.258786574,BEAR,0
2020-04-20,1000548.0803350008,BEAR,0
2020-04-21,1000602.904887348,BEAR,0
2020-04-22,1000657.7324437802,BEAR,0
2020-04-23,1000712.563004462,BEAR,0
2020-04-24,1000767.3965695583,BEAR,0
2020-04-27,1000822.2331392334,BEAR,0
2020-04-28,1000877.072713652,BEAR,0
2020-04-29,1000931.9152929789,BEAR,0
2020-04-30,1000986.7608773785,BEAR,0
2020-05-04,1000941.6094670156,BULL,5
2020-05-05,1005200.3105137026,BULL,5
2020-05-06,1009434.5322164807,BULL,5
2020-05-07,986917.5625229803,BULL,5
2020-05-08,1001788.5209042617,BULL,5
2020-05-11,995314.8208247459,BULL,5
2020-05-12,991513.7195165305,BULL,5
2020-05-13,1007844.2479050066,BULL,5
2020-05-14,1007274.5592833982,BULL,5
2020-05-15,978411.0263244166,BULL,5
2020-05-18,967460.832213865,BULL,5
2020-05-19,952235.5934343701,BULL,5
2020-05-20,963442.8463082445,BULL,5
2020-05-21,967303.2389576661,BULL,5
2020-05-22,956721.431553766,BULL,5
2020-05-26,967730.2294023875,BULL,5
2020-05-27,971576.0056243273,BULL,5
2020-05-28,979893.2060211843,BULL,5
2020-05-29,997759.8445947269,BULL,5
2020-06-01,1034021.3616750084,BULL,5
2020-06-02,1027686.0618155879,BULL,5
2020-06-03,1044217.3892806828,BULL,5
2020-06-04,1045336.2936476652,BULL,5
2020-06-05,1054730.1865613952,BULL,5
2020-06-08,1059705.0826802705,BULL,5
2020-06-09,1051747.9345310116,BULL,5
2020-06-10,1054441.0033603837,BULL,5
2020-06-11,1042824.3777734317,BULL,5
2020-06-12,1041420.9758218548,BULL,5
2020-06-15,1039120.0416554821,BULL,5
2020-06-16,1041474.1610098397,BULL,5
2020-06-17,1038932.269863216,BULL,5
2020-06-18,1040806.6225668731,BULL,5
2020-06-19,1042215.595607087,BULL,5
2020-06-22,1064660.16554376,BULL,5
2020-06-23,1072787.8190290506,BULL,5
2020-06-24,1083935.057766681,BULL,5
2020-06-25,1078574.4806808108,BULL,5
2020-06-26,1077079.177274949,BULL,5
2020-06-29,1070768.8590044167,BULL,5
2020-06-30,1073403.6111351978,BULL,5
2020-07-01,1078036.8888933738,BULL,5
2020-07-02,1079368.1106198053,BULL,5
2020-07-03,1086585.9159175823,BULL,5
2020-07-06,1107570.8103367602,BULL,5
2020-07-07,1106577.2347220618,BULL,5
2020-07-08,1103783.0946809005,BULL,5
2020-07-09,1112448.3679331155,BULL,5
2020-07-10,1110383.8916992175,BULL,5
2020-07-13,1112122.37191395,BULL,5
2020-07-14,1107001.7468880387,BULL,5
2020-07-15,1109936.1904534386,BULL,5
2020-07-16,1107610.6687284852,BULL,5
2020-07-17,1110845.2175165394,BULL,5
2020-07-20,1125408.7573715283,BULL,5
