date,equity,regime,n_holdings
2016-04-01,1000054.794520548,BEAR,0
2016-04-04,1000109.5920435354,BEAR,0
2016-04-05,1000164.3925691269,BEAR,0
2016-04-06,1000219.1960974869,BEAR,0
2016-04-07,1000274.00262878,BEAR,0
2016-04-08,1000328.8121631707,BEAR,0
2016-04-11,1000383.6247008236,BEAR,0
2016-04-12,1000438.4402419032,BEAR,0
2016-04-13,1000493.258786574,BEAR,0
2016-04-18,1000488.0803350005,PARTIAL,3
2016-04-20,1022857.0607359853,PARTIAL,3
2016-04-21,1032507.1292940527,PARTIAL,3
2016-04-22,1028322.5656124975,PARTIAL,3
2016-04-25,1022307.4450592329,BULL,5
2016-04-26,1033440.9885059112,BULL,5
2016-04-27,1012103.1237383375,BULL,5
2016-04-28,1001623.1586652527,BULL,5
2016-04-29,1009388.7488025214,BULL,5
2016-05-02,1003824.4995499037,BULL,5
2016-05-03,996850.0797570624,BULL,5
2016-05-04,987469.4119879348,BULL,5
2016-05-05,985142.1102759348,BULL,5
2016-05-06,985659.011392321,BULL,5
2016-05-09,1003579.3513832288,BULL,5
2016-05-10,1002832.9812925082,BULL,5
2016-05-11,1000662.6836547795,BULL,5
2016-05-12,1002323.3298328513,BULL,5
2016-05-13,994094.5582074495,BULL,5
2016-05-16,993946.4181286353,BULL,5
2016-05-17,1004174.2663833138,BULL,5
2016-05-18,1000651.4914010597,BULL,5
2016-05-19,992654.8420080811,BULL,5
2016-05-20,986952.9136694835,BULL,5
2016-05-23,985839.0390847124,PARTIAL,3
2016-05-24,986050.6665273607,PARTIAL,3
2016-05-25,985332.6541563959,PARTIAL,3
2016-05-26,989666.715413426,PARTIAL,3
2016-05-27,989902.154206382,PARTIAL,3
2016-05-30,996855.8260980397,BULL,5
2016-05-31,994143.6910444293,BULL,5
2016-06-01,994482.869808151,BULL,5
2016-06-02,1001467.4886212792,BULL,5
2016-06-03,999146.7783358182,BULL,5
2016-06-06,999171.2710805349,BULL,5
2016-06-07,1014021.7120644237,BULL,5
2016-06-08,1011313.9312420464,BULL,5
2016-06-09,1010681.215077859,BULL,5
2016-06-10,1006339.4654882168,BULL,5
2016-06-13,1004633.4659601985,BULL,5
2016-06-14,1004966.7055360648,BULL,5
2016-06-15,1012543.1913840771,BULL,5
2016-06-16,1011848.6059481599,BULL,5
2016-06-17,1006083.1418558093,BULL,5
2016-06-20,1009942.2136003054,BULL,5
2016-06-21,1011850.9556658563,BULL,5
2016-06-22,1012930.9843207609,BULL,5
2016-06-23,1014954.5217398196,BULL,5
2016-06-24,1009000.2226982692,BULL,5
2016-06-27,1010710.8828263404,BULL,5
2016-06-28,1013565.9329893021,BULL,5
2016-06-29,1019549.709932937,BULL,5
2016-06-30,1026705.0312376975,BULL,5
2016-07-01,1040732.743168364,BULL,5
2016-07-04,1047000.9705828095,BULL,5
2016-07-05,1047769.4346878221,BULL,5
2016-07-07,1048129.8912257821,BULL,5
2016-07-08,1041559.7378988502,BULL,5
2016-07-11,1053357.0141563984,BULL,5
2016-07-12,1058276.2204170346,BULL,5
2016-07-13,1061204.7394813467,BULL,5
2016-07-14,1065060.0087795532,BULL,5
2016-07-15,1066460.7102162282,BULL,5
2016-07-18,1059445.1870053918,BULL,5
2016-07-19,1062111.0722402094,BULL,5
2016-07-20,1069480.0574101754,BULL,5
