TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,NEW BUY (rank=164),BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-04-18,,,2724.6499,,73.4442,,20.0,,PARTIAL
BUY,NEW BUY (rank=164),CPSEETF,CPSE ETF,2016-04-18,,,19.52,,10251.5172,,20.0,,PARTIAL
BUY,NEW BUY (rank=164),NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-04-18,,,89.03,,2247.665,,20.0,,PARTIAL
SELL,Rank 164,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-04-18,2016-04-25,7.0,2724.6499,2731.3,73.4442,488.41,20.0,468.41,BULL
SELL,Rank 164,CPSEETF,CPSE ETF,2016-04-18,2016-04-25,7.0,19.52,19.97,10251.5172,4613.18,20.0,4593.18,BULL
SELL,Rank 164,NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-04-18,2016-04-25,7.0,89.03,96.5,2247.665,16790.06,20.0,16770.06,BULL
BUY,NEW BUY (rank=164),BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-04-25,,,2731.3,,74.8704,,20.0,,BULL
BUY,NEW BUY (rank=164),CPSEETF,CPSE ETF,2016-04-25,,,19.97,,10240.0345,,20.0,,BULL
BUY,NEW BUY (rank=164),NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-04-25,,,96.5,,2119.1035,,20.0,,BULL
BUY,NEW BUY (rank=164),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-04-25,,,79.2097,,2581.6723,,20.0,,BULL
BUY,NEW BUY (rank=164),BANKNIFTY1,Kotak Nifty Bank ETF,2016-04-25,,,167.6,,1220.1282,,20.0,,BULL
SELL,Rank 164,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-04-25,2016-05-02,7.0,2731.3,2870.0,74.8704,10384.52,20.0,10364.52,BULL
SELL,Rank 164,CPSEETF,CPSE ETF,2016-04-25,2016-05-02,7.0,19.97,20.2,10240.0345,2355.21,20.0,2335.21,BULL
SELL,Rank 164 | TSL 14.4%,NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-04-25,2016-05-02,7.0,96.5,82.64,2119.1035,-29370.77,20.0,-29390.77,BULL
SELL,Rank 164,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-04-25,2016-05-02,7.0,79.2097,78.74,2581.6723,-1212.61,20.0,-1232.61,BULL
SELL,Rank 164,BANKNIFTY1,Kotak Nifty Bank ETF,2016-04-25,2016-05-02,7.0,167.6,167.24,1220.1282,-439.25,20.0,-459.25,BULL
BUY,NEW BUY (rank=164),BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-05-02,,,2870.0,,69.9669,,20.0,,BULL
BUY,NEW BUY (rank=164),CPSEETF,CPSE ETF,2016-05-02,,,20.2,,9940.8366,,20.0,,BULL
BUY,NEW BUY (rank=164),NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-05-02,,,82.64,,2429.8754,,20.0,,BULL
BUY,NEW BUY (rank=164),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-05-02,,,78.74,,2550.2273,,20.0,,BULL
BUY,NEW BUY (rank=164),BANKNIFTY1,Kotak Nifty Bank ETF,2016-05-02,,,167.24,,1200.699,,20.0,,BULL
SELL,Rank 164,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-05-02,2016-05-09,7.0,2870.0,2846.0,69.9669,-1679.2,20.0,-1699.2,BULL
SELL,Rank 164,CPSEETF,CPSE ETF,2016-05-02,2016-05-09,7.0,20.2,19.94,9940.8366,-2584.62,20.0,-2604.62,BULL
SELL,Rank 164,NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-05-02,2016-05-09,7.0,82.64,82.93,2429.8754,704.66,20.0,684.66,BULL
SELL,Rank 164,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-05-02,2016-05-09,7.0,78.74,79.52,2550.2273,1989.18,20.0,1969.18,BULL
SELL,Rank 164,BANKNIFTY1,Kotak Nifty Bank ETF,2016-05-02,2016-05-09,7.0,167.24,168.51,1200.699,1524.89,20.0,1504.89,BULL
BUY,NEW BUY (rank=164),BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-05-09,,,2846.0,,70.5397,,20.0,,BULL
BUY,NEW BUY (rank=164),CPSEETF,CPSE ETF,2016-05-09,,,19.94,,10067.9975,,20.0,,BULL
BUY,NEW BUY (rank=164),NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-05-09,,,82.93,,2420.7871,,20.0,,BULL
BUY,NEW BUY (rank=164),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-05-09,,,79.52,,2524.596,,20.0,,BULL
BUY,NEW BUY (rank=164),BANKNIFTY1,Kotak Nifty Bank ETF,2016-05-09,,,168.51,,1191.3588,,20.0,,BULL
SELL,Rank 164,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-05-09,2016-05-16,7.0,2846.0,2805.45,70.5397,-2860.38,20.0,-2880.38,BULL
SELL,Rank 164,CPSEETF,CPSE ETF,2016-05-09,2016-05-16,7.0,19.94,19.58,10067.9975,-3624.48,20.0,-3644.48,BULL
SELL,Rank 164,NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-05-09,2016-05-16,7.0,82.93,82.0,2420.7871,-2251.33,20.0,-2271.33,BULL
