date,equity,regime,n_holdings
2016-04-01,1000054.794520548,BEAR,0
2016-04-04,1000109.5920435354,BEAR,0
2016-04-05,1000164.3925691269,BEAR,0
2016-04-06,1000219.1960974869,BEAR,0
2016-04-07,1000274.00262878,BEAR,0
2016-04-08,1000328.8121631707,BEAR,0
2016-04-11,1000383.6247008236,BEAR,0
2016-04-12,1000438.4402419032,BEAR,0
2016-04-13,1000493.258786574,BEAR,0
2016-04-18,1000548.0803350008,BEAR,0
2016-04-20,1000602.904887348,BEAR,0
2016-04-21,1000657.7324437802,BEAR,0
2016-04-22,1000712.563004462,BEAR,0
2016-04-25,1000767.3965695583,BEAR,0
2016-04-26,1000822.2331392334,BEAR,0
2016-04-27,1000877.072713652,BEAR,0
2016-04-28,1000931.9152929789,BEAR,0
2016-04-29,1000986.7608773785,BEAR,0
2016-05-02,1000941.6094670156,BULL,5
2016-05-03,993816.5292280768,BULL,5
2016-05-04,985495.3808413496,BULL,5
2016-05-05,983359.8711755435,BULL,5
2016-05-06,984318.4278961854,BULL,5
2016-05-09,999096.4944401104,BULL,5
2016-05-10,993856.7988781016,BULL,5
2016-05-11,991358.2482256717,BULL,5
2016-05-12,994143.0770505698,BULL,5
2016-05-13,987278.0913760824,BULL,5
2016-05-16,987820.7376959968,BULL,5
2016-05-17,997910.9841049208,BULL,5
2016-05-18,993873.0647586134,BULL,5
2016-05-19,986581.8189240467,BULL,5
2016-05-20,981556.4769147633,BULL,5
2016-05-23,980160.1761419456,BULL,5
2016-05-24,979029.5064331846,BULL,5
2016-05-25,979163.9540531088,BULL,5
2016-05-26,986342.7705435219,BULL,5
2016-05-27,988115.6082087111,BULL,5
2016-05-30,994177.8626161662,BULL,5
2016-05-31,990887.9286273668,BULL,5
2016-06-01,995031.9464601199,BULL,5
2016-06-02,998397.7055121739,BULL,5
2016-06-03,996213.562310603,BULL,5
2016-06-06,999393.977920779,BULL,5
2016-06-07,1009278.4261884411,BULL,5
2016-06-08,1009846.6313275872,BULL,5
2016-06-09,1006485.3752740994,BULL,5
2016-06-10,1012830.6007101635,BULL,5
2016-06-13,1008601.7396690021,BULL,5
2016-06-14,1007945.4571609375,BULL,5
2016-06-15,1013285.3277937301,BULL,5
2016-06-16,1021403.5110725773,BULL,5
2016-06-17,1016447.1244878534,BULL,5
2016-06-20,1017114.194629229,BULL,5
2016-06-21,1022811.5211223734,BULL,5
2016-06-22,1023037.2380788963,BULL,5
2016-06-23,1020886.1795154958,BULL,5
2016-06-24,1021867.4824451183,BULL,5
2016-06-27,1025005.8741186047,BULL,5
2016-06-28,1025406.9075393147,BULL,5
2016-06-29,1030020.9609120155,BULL,5
2016-06-30,1035423.5117767865,BULL,5
2016-07-01,1048183.0966787954,BULL,5
2016-07-04,1054566.5299117619,BULL,5
2016-07-05,1053739.0291329448,BULL,5
2016-07-07,1055928.5542090088,BULL,5
2016-07-08,1051165.4047478102,BULL,5
2016-07-11,1058796.063262006,BULL,5
2016-07-12,1062856.560467908,BULL,5
2016-07-13,1068018.1814263577,BULL,5
2016-07-14,1069038.9694222992,BULL,5
2016-07-15,1066716.0514365858,BULL,5
2016-07-18,1063023.284885394,BULL,5
2016-07-19,1064958.5196981302,BULL,5
2016-07-20,1068877.094189917,BULL,5
2016-07-21,1062961.1120918854,BULL,5
