TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,NEW BUY (rank=164),BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-05-02,,,2870.0,,69.759,,20.0,,BULL
BUY,NEW BUY (rank=164),GOLDAXIS,Axis Gold ETF,2016-05-02,,,27.909,,7173.6114,,20.0,,BULL
BUY,NEW BUY (rank=164),CPSEETF,CPSE ETF,2016-05-02,,,20.2,,9911.3031,,20.0,,BULL
BUY,NEW BUY (rank=164),NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-05-02,,,82.64,,2422.6564,,20.0,,BULL
BUY,NEW BUY (rank=164),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-05-02,,,78.74,,2542.6508,,20.0,,BULL
SELL,MONTHLY_FLUSH,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-05-02,2016-06-01,30.0,2870.0,2743.7,69.759,-8810.56,20.0,-8830.56,BULL
SELL,MONTHLY_FLUSH,GOLDAXIS,Axis Gold ETF,2016-05-02,2016-06-01,30.0,27.909,26.3,7173.6114,-11542.34,20.0,-11562.34,BULL
SELL,MONTHLY_FLUSH,CPSEETF,CPSE ETF,2016-05-02,2016-06-01,30.0,20.2,20.1,9911.3031,-991.13,20.0,-1011.13,BULL
SELL,MONTHLY_FLUSH,NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-05-02,2016-06-01,30.0,82.64,85.63,2422.6564,7243.74,20.0,7223.74,BULL
SELL,MONTHLY_FLUSH,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-05-02,2016-06-01,30.0,78.74,82.04,2542.6508,8390.75,20.0,8370.75,BULL
BUY,NEW BUY (rank=164),BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-06-01,,,2743.7,,72.5394,,20.0,,BULL
BUY,NEW BUY (rank=164),GOLDAXIS,Axis Gold ETF,2016-06-01,,,26.3,,7567.5433,,20.0,,BULL
BUY,NEW BUY (rank=164),CPSEETF,CPSE ETF,2016-06-01,,,20.1,,9901.8104,,20.0,,BULL
BUY,NEW BUY (rank=164),NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-06-01,,,85.63,,2324.2601,,20.0,,BULL
BUY,NEW BUY (rank=164),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-06-01,,,82.04,,2425.9677,,20.0,,BULL
SELL,MONTHLY_FLUSH,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-06-01,2016-07-01,30.0,2743.7,2914.1001,72.5394,12360.72,20.0,12340.72,BULL
SELL,MONTHLY_FLUSH,GOLDAXIS,Axis Gold ETF,2016-06-01,2016-07-01,30.0,26.3,28.323,7567.5433,15309.14,20.0,15289.14,BULL
SELL,MONTHLY_FLUSH,CPSEETF,CPSE ETF,2016-06-01,2016-07-01,30.0,20.1,21.48,9901.8104,13664.5,20.0,13644.5,BULL
SELL,MONTHLY_FLUSH,NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-06-01,2016-07-01,30.0,85.63,88.41,2324.2601,6461.44,20.0,6441.44,BULL
SELL,MONTHLY_FLUSH,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-06-01,2016-07-01,30.0,82.04,84.33,2425.9677,5555.47,20.0,5535.47,BULL
BUY,NEW BUY (rank=164),BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-07-01,,,2914.1001,,71.9456,,20.0,,BULL
BUY,NEW BUY (rank=164),GOLDAXIS,Axis Gold ETF,2016-07-01,,,28.323,,7402.3451,,20.0,,BULL
BUY,NEW BUY (rank=164),CPSEETF,CPSE ETF,2016-07-01,,,21.48,,9760.5502,,20.0,,BULL
BUY,NEW BUY (rank=164),NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-07-01,,,88.41,,2371.413,,20.0,,BULL
BUY,NEW BUY (rank=164),NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-07-01,,,84.33,,2486.1451,,20.0,,BULL
SELL,MONTHLY_FLUSH,BSLGOLDETF,Aditya Birla Sun Life Gold ETF,2016-07-01,2016-08-01,31.0,2914.1001,2916.2,71.9456,151.08,20.0,131.08,BULL
SELL,MONTHLY_FLUSH,GOLDAXIS,Axis Gold ETF,2016-07-01,2016-08-01,31.0,28.323,28.651,7402.3451,2427.97,20.0,2407.97,BULL
SELL,MONTHLY_FLUSH,CPSEETF,CPSE ETF,2016-07-01,2016-08-01,31.0,21.48,22.53,9760.5502,10248.58,20.0,10228.58,BULL
SELL,MONTHLY_FLUSH,NIF100IETF,ICICI Prudential Nifty 100 ETF,2016-07-01,2016-08-01,31.0,88.41,90.84,2371.413,5762.53,20.0,5742.53,BULL
SELL,MONTHLY_FLUSH,NIFTYIETF,ICICI Prudential Nifty 50 ETF,2016-07-01,2016-08-01,31.0,84.33,86.38,2486.1451,5096.6,20.0,5076.6,BULL
BUY,NEW BUY (rank=1),JUNIORBEES,NipponETFNifty Next 50 Jr BeES,2016-08-01,,,225.35,,1030.4683,,20.0,,BULL
BUY,NEW BUY (rank=2),SETFNIF50,SBI Nifty 50 ETF,2016-08-01,,,83.034,,2741.8414,,20.0,,BULL
BUY,NEW BUY (rank=2),BANKBEES,Nippon IN ETF Nifty Bank BeES,2016-08-01,,,190.742,,940.3995,,20.0,,BULL
BUY,NEW BUY (rank=4),NIFTYBEES,Nippon India ETF Nifty 50 BeES,2016-08-01,,,87.969,,2680.4497,,20.0,,BULL
BUY,NEW BUY (rank=6),LICNFNHGP,LIC MF Nifty 100 ETF,2016-08-01,,,88.6943,,2217.927,,20.0,,BULL
SELL,MONTHLY_FLUSH,JUNIORBEES,NipponETFNifty Next 50 Jr BeES,2016-08-01,2016-09-01,31.0,225.35,231.13,1030.4683,5956.11,20.0,5936.11,BULL
SELL,MONTHLY_FLUSH,SETFNIF50,SBI Nifty 50 ETF,2016-08-01,2016-09-01,31.0,83.034,84.9151,2741.8414,5157.68,20.0,5137.68,BULL
SELL,MONTHLY_FLUSH,BANKBEES,Nippon IN ETF Nifty Bank BeES,2016-08-01,2016-09-01,31.0,190.742,199.971,940.3995,8678.95,20.0,8658.95,BULL
SELL,MONTHLY_FLUSH,NIFTYBEES,Nippon India ETF Nifty 50 BeES,2016-08-01,2016-09-01,31.0,87.969,89.434,2680.4497,3926.86,20.0,3906.86,BULL
SELL,MONTHLY_FLUSH,LICNFNHGP,LIC MF Nifty 100 ETF,2016-08-01,2016-09-01,31.0,88.6943,90.2626,2217.927,3478.37,20.0,3458.37,BULL
BUY,NEW BUY (rank=1),JUNIORBEES,NipponETFNifty Next 50 Jr BeES,2016-09-01,,,231.13,,1341.4992,,20.0,,BULL
BUY,NEW BUY (rank=2),CPSEETF,CPSE ETF,2016-09-01,,,23.67,,10500.1911,,20.0,,BULL
BUY,NEW BUY (rank=3),PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2016-09-01,,,34.31,,3992.9863,,20.0,,BULL
BUY,NEW BUY (rank=4),BANKBEES,Nippon IN ETF Nifty Bank BeES,2016-09-01,,,199.971,,1381.7868,,20.0,,BULL
BUY,NEW BUY (rank=5),PSUBANK,Kotak Nifty PSU Bank ETF,2016-09-01,,,315.86,,401.6042,,20.0,,BULL
