date,equity,regime
2020-04-01,1000054.794520548,BEAR
2020-04-03,1000109.5920435354,BEAR
2020-04-07,1000164.3925691269,BEAR
2020-04-08,1000219.1960974869,BEAR
2020-04-09,1000274.00262878,BEAR
2020-04-13,1000328.8121631707,BULL
2020-04-15,1000383.6247008236,BULL
2020-04-16,1000438.4402419032,BULL
2020-04-17,1000493.258786574,BULL
2020-04-20,1000548.0803350008,BULL
2020-04-21,1000602.904887348,BULL
2020-04-22,1000657.7324437802,BULL
2020-04-23,1000712.563004462,BULL
2020-04-24,1000767.3965695583,BULL
2020-04-27,1000822.2331392334,BULL
2020-04-28,1000877.072713652,BULL
2020-04-29,1000931.9152929789,BULL
2020-04-30,1000986.7608773785,BULL
2020-05-04,1001041.6094670157,BULL
2020-05-05,1001096.4610620551,BULL
2020-05-06,1001151.3156626613,BULL
2020-05-07,1001206.1732689991,BULL
2020-05-08,1001261.0338812331,BULL
2020-05-11,1001315.897499528,BULL
2020-05-12,1001370.7641240486,BULL
2020-05-13,1001425.6337549596,BULL
2020-05-14,1001480.5063924256,BULL
2020-05-15,1001535.3820366116,BULL
2020-05-18,1001590.2606876821,BULL
2020-05-19,1001645.142345802,BULL
2020-05-20,1001700.0270111362,BULL
2020-05-21,1001754.9146838492,BULL
2020-05-22,1001809.805364106,BULL
2020-05-26,1001864.6990520712,BULL
2020-05-27,1001919.5957479097,BULL
2020-05-28,1001974.4954517864,BULL
2020-05-29,1002029.398163866,BULL
2020-06-01,1002084.3038843134,BULL
2020-06-02,1002139.2126132934,BULL
2020-06-03,1002194.124350971,BULL
2020-06-04,1002249.0390975109,BULL
2020-06-05,1002303.9568530779,BULL
2020-06-08,1002358.877617837,BULL
2020-06-09,1002413.8013919531,BULL
2020-06-10,1002468.7281755911,BULL
2020-06-11,1002523.6579689159,BULL
2020-06-12,1002578.5907720923,BULL
2020-06-15,1002633.5265852854,BULL
2020-06-16,1002688.46540866,BULL
2020-06-17,1002743.4072423811,BULL
2020-06-18,1002798.3520866137,BULL
2020-06-19,1002853.2999415225,BULL
2020-06-22,1002908.2508072729,BULL
2020-06-23,1002963.2046840294,BULL
2020-06-24,1003018.1615719574,BULL
2020-06-25,1003073.1214712217,BULL
2020-06-26,1003128.0843819873,BULL
2020-06-29,1003183.0503044194,BULL
2020-06-30,1003238.0192386827,BULL
2020-07-01,1003292.9911849424,BULL
2020-07-02,1003347.9661433636,BULL
2020-07-03,1003402.9441141112,BULL
2020-07-06,1003457.9250973505,BULL
2020-07-07,1003512.9090932463,BULL
2020-07-08,1003567.8961019638,BULL
2020-07-09,1003622.8861236682,BULL
2020-07-10,1003677.8791585243,BULL
2020-07-13,1003632.8752066975,BULL
2020-07-14,993748.0622776136,BULL
2020-07-15,992314.6518330333,BULL
2020-07-16,990540.521283679,BULL
2020-07-17,1004965.9925186692,BULL
2020-07-20,1011066.2968164445,BULL
2020-07-21,1022155.2280657514,BULL
2020-07-22,1015762.6901481921,BULL
2020-07-23,1025128.811297296,BULL
2020-07-24,1019307.8589593583,BULL
2020-07-27,1015431.7868386307,BULL
2020-07-28,1021314.8844182679,BULL
2020-07-29,1025368.5240914063,BULL
2020-07-30,1021804.1328313501,BULL
2020-07-31,1026661.8847918467,BULL
2020-08-03,1020377.4659194082,BULL
2020-08-04,1026161.8585941216,BULL
2020-08-05,1033374.8950477081,BULL
2020-08-06,1040180.1117192336,BULL
2020-08-07,1046177.3207189736,BULL
2020-08-10,1051168.1786906114,BULL
2020-08-11,1044473.4934436679,BULL
2020-08-12,1037290.7787990569,BULL
2020-08-13,1043595.911498297,BULL
2020-08-14,1040060.1023385196,BULL
2020-08-17,1044670.9226545235,BULL
2020-08-18,1055522.1885694133,BULL
2020-08-19,1057946.0242817954,BULL
2020-08-20,1051460.6874674477,BULL
2020-08-21,1035367.6654227858,BULL
2020-08-24,1037379.7271643206,BULL
2020-08-25,1038334.4350362783,BULL
2020-08-26,1040975.4231998973,BULL
2020-08-27,1043966.7785158766,BULL
2020-08-28,1043117.8768397006,BULL
2020-08-31,1017353.048857911,BULL
2020-09-01,1019150.3255901202,BULL
2020-09-02,1031534.331387508,BULL
2020-09-03,1036413.8787737595,BULL
2020-09-04,1021418.0153874175,BULL
2020-09-07,1010950.2846869947,BULL
2020-09-08,1005199.8732170027,BULL
2020-09-09,997772.1061119575,BULL
2020-09-10,1009427.3079484844,BULL
2020-09-11,1010849.52061862,BULL
2020-09-14,1020980.9017596655,BULL
2020-09-15,1024506.5340116274,BULL
2020-09-16,1022853.0189514855,BULL
2020-09-17,1028156.8795329,BULL
2020-09-18,1028601.659859581,BULL
2020-09-21,1012476.1139751656,BULL
2020-09-22,1002723.321480027,BULL
2020-09-23,1001902.3866859829,BULL
2020-09-24,991186.6947548863,BULL
2020-09-25,1000390.5996707284,BULL
2020-09-28,1011871.4409066174,PARTIAL
2020-09-29,1013181.8395810104,PARTIAL
2020-09-30,1008756.3818492091,PARTIAL
2020-10-01,1010644.00032897,PARTIAL
2020-10-05,1027057.6157132408,BULL
2020-10-06,1034000.0390458298,BULL
2020-10-07,1042127.3300315847,BULL
2020-10-08,1059801.8417525098,BULL
2020-10-09,1056580.259266862,BULL
2020-10-12,1069433.9125368434,BULL
2020-10-13,1086012.0448678273,BULL
2020-10-14,1067483.384785635,BULL
2020-10-15,1051262.4666653243,BULL
2020-10-16,1051894.2083068094,BULL
2020-10-19,1055464.5272065105,BULL
2020-10-20,1062549.7499030235,BULL
2020-10-21,1075744.9761859714,BULL
2020-10-22,1073637.5935686708,BULL
2020-10-23,1058260.7369802485,BULL
2020-10-26,1059852.8216120577,BULL
2020-10-27,1072858.83864017,BULL
2020-10-28,1058993.0536531473,BULL
2020-10-29,1055541.4078938605,BULL
2020-10-30,1052691.3574541546,BULL
2020-11-02,1067266.092533776,BULL
2020-11-03,1081361.064748635,BULL
2020-11-04,1092092.4232685298,BULL
2020-11-05,1106494.8420901832,BULL
2020-11-06,1118329.0094437997,BULL
2020-11-09,1145567.1372643416,BULL
2020-11-10,1171327.0347648337,BULL
2020-11-11,1183195.5522183739,BULL
2020-11-12,1172741.943068632,BULL
2020-11-13,1177617.075610223,BULL
2020-11-14,1186190.282983178,BULL
2020-11-17,1196260.5247892847,BULL
2020-11-18,1215671.7423287234,BULL
2020-11-19,1201664.2101684252,BULL
2020-11-20,1212521.594522724,BULL
2020-11-23,1212156.4755030263,BULL
2020-11-24,1230670.995952407,BULL
2020-11-25,1213456.4001883974,BULL
2020-11-26,1223112.776114968,BULL
