date,equity,regime,n_holdings
2020-04-01,1000054.794520548,BEAR,0
2020-04-03,1000109.5920435354,BEAR,0
2020-04-07,1000164.3925691269,BEAR,0
2020-04-08,1000219.1960974869,BEAR,0
2020-04-09,1000274.00262878,BEAR,0
2020-04-13,1000228.8121631707,BULL,5
2020-04-15,1022796.4606527371,BULL,5
2020-04-16,1004920.8155991806,BULL,5
2020-04-17,1026933.2491357969,BULL,5
2020-04-20,1028604.7097116313,BULL,5
2020-04-21,1019332.3504733355,BULL,5
2020-04-22,1025862.8747771104,BULL,5
2020-04-23,1027140.9182465186,BULL,5
2020-04-24,1022436.1626168574,BULL,5
2020-04-27,1028926.1629821304,BULL,5
2020-04-28,1028123.8415630205,BULL,5
2020-04-29,1032970.4032320868,BULL,5
2020-04-30,1039703.2768008724,BULL,5
2020-05-04,1013254.8365339525,BULL,5
2020-05-05,1013047.537059951,BULL,5
2020-05-06,1021661.8140236962,BULL,5
2020-05-07,997264.9083658672,BULL,5
2020-05-08,1019505.4776855665,BULL,5
2020-05-11,1009939.7339455131,BULL,5
2020-05-12,1010037.6579127348,BULL,5
2020-05-13,1042290.2829972992,BULL,5
2020-05-14,1036512.2412440573,BULL,5
2020-05-15,1016300.3757029042,BULL,5
2020-05-18,996681.2199951318,BULL,5
2020-05-19,992397.0140781491,BULL,5
2020-05-20,991612.5046454925,BULL,5
2020-05-21,987457.1417210072,BULL,5
2020-05-22,969248.4385811938,BULL,5
2020-05-26,969805.2667872724,BULL,5
2020-05-27,998637.3365380279,BULL,5
2020-05-28,1003833.7431724608,BULL,5
2020-05-29,1009365.9107960359,BULL,5
2020-06-01,1064733.7540147756,BULL,5
2020-06-02,1058813.712129515,BULL,5
2020-06-03,1087643.0335287666,BULL,5
2020-06-04,1113344.6113200164,BULL,5
2020-06-05,1156594.7324398595,BULL,5
2020-06-08,1151802.397196937,BULL,5
2020-06-09,1143620.9151952092,BULL,5
2020-06-10,1149479.0745457553,BULL,5
2020-06-11,1146629.9150533483,BULL,5
2020-06-12,1147492.2106587617,BULL,5
2020-06-15,1143548.979149841,BULL,5
2020-06-16,1130052.3447599618,BULL,5
2020-06-17,1137926.6776316208,BULL,5
2020-06-18,1140536.4255978793,BULL,5
2020-06-19,1140372.7772255722,BULL,5
2020-06-22,1150835.2681717433,BULL,5
2020-06-23,1153026.84239477,BULL,5
2020-06-24,1160737.6927869958,BULL,5
2020-06-25,1188825.334973427,BULL,5
2020-06-26,1201204.2380994384,BULL,5
2020-06-29,1177056.6741862097,BULL,5
2020-06-30,1175059.9529712144,BULL,5
2020-07-01,1187123.6113846786,BULL,5
2020-07-02,1176342.0457987168,BULL,5
2020-07-03,1180088.9498211255,BULL,5
2020-07-06,1194194.7629444054,BULL,5
2020-07-07,1182572.3453839577,BULL,5
2020-07-08,1169500.8295615006,BULL,5
2020-07-09,1184878.6251734225,BULL,5
2020-07-10,1166500.2880148694,BULL,5
2020-07-13,1169729.3383770213,BULL,5
2020-07-14,1158903.0285115144,BULL,5
2020-07-15,1168865.1530625464,BULL,5
2020-07-16,1169085.6051057614,BULL,5
2020-07-17,1166186.738164911,BULL,5
2020-07-20,1170949.8722636478,BULL,5
2020-07-21,1185028.6588529055,BULL,5
