date,equity,regime,n_holdings
2020-04-01,1000054.794520548,BEAR,0
2020-04-03,1000109.5920435354,BEAR,0
2020-04-07,1000164.3925691269,BEAR,0
2020-04-08,1000219.1960974869,BEAR,0
2020-04-09,1000274.00262878,BEAR,0
2020-04-13,1000328.8121631707,BULL,0
2020-04-15,1000383.6247008236,BULL,0
2020-04-16,1000438.4402419032,BULL,0
2020-04-17,1000493.258786574,BULL,0
2020-04-20,1000548.0803350008,BULL,0
2020-04-21,1000602.904887348,BULL,0
2020-04-22,1000657.7324437802,BULL,0
2020-04-23,1000712.563004462,BULL,0
2020-04-24,1000767.3965695583,BULL,0
2020-04-27,1000822.2331392334,BULL,0
2020-04-28,1000877.072713652,BULL,0
2020-04-29,1000931.9152929789,BULL,0
2020-04-30,1000986.7608773785,BULL,0
2020-05-04,1001041.6094670157,BULL,0
2020-05-05,1001096.4610620551,BULL,0
2020-05-06,1001151.3156626613,BULL,0
2020-05-07,1001206.1732689991,BULL,0
2020-05-08,1001261.0338812331,BULL,0
2020-05-11,1001315.897499528,BULL,0
2020-05-12,1001370.7641240486,BULL,0
2020-05-13,1001425.6337549596,BULL,0
2020-05-14,1001480.5063924256,BULL,0
2020-05-15,1001535.3820366116,BULL,0
2020-05-18,1001590.2606876821,BULL,0
2020-05-19,1001645.142345802,BULL,0
2020-05-20,1001700.0270111362,BULL,0
2020-05-21,1001754.9146838492,BULL,0
2020-05-22,1001809.805364106,BULL,0
2020-05-26,1001864.6990520712,BULL,0
2020-05-27,1001919.5957479097,BULL,0
2020-05-28,1001974.4954517864,BULL,0
2020-05-29,1002029.398163866,BULL,0
2020-06-01,1002084.3038843134,BULL,0
2020-06-02,1002139.2126132934,BULL,0
2020-06-03,1002194.124350971,BULL,0
2020-06-04,1002249.0390975109,BULL,0
2020-06-05,1002303.9568530779,BULL,0
2020-06-08,1002358.877617837,BULL,0
2020-06-09,1002413.8013919531,BULL,0
2020-06-10,1002468.7281755911,BULL,0
2020-06-11,1002523.6579689159,BULL,0
2020-06-12,1002578.5907720923,BULL,0
2020-06-15,1002633.5265852854,BULL,0
2020-06-16,1002688.46540866,BULL,0
2020-06-17,1002743.4072423811,BULL,0
2020-06-18,1002798.3520866137,BULL,0
2020-06-19,1002853.2999415225,BULL,0
2020-06-22,1002908.2508072729,BULL,0
2020-06-23,1002963.2046840294,BULL,0
2020-06-24,1003018.1615719574,BULL,0
2020-06-25,1003073.1214712217,BULL,0
2020-06-26,1003128.0843819873,BULL,0
2020-06-29,1003183.0503044194,BULL,0
2020-06-30,1003238.0192386827,BULL,0
2020-07-01,1003292.9911849424,BULL,0
2020-07-02,1003347.9661433636,BULL,0
2020-07-03,1003402.9441141112,BULL,0
2020-07-06,1003457.9250973505,BULL,0
2020-07-07,1003512.9090932463,BULL,0
2020-07-08,1003567.8961019638,BULL,0
2020-07-09,1003622.8861236682,BULL,0
2020-07-10,1003677.8791585243,BULL,0
2020-07-13,1003632.8752066975,BULL,5
2020-07-14,996071.1207827354,BULL,5
2020-07-15,991323.638296493,BULL,5
2020-07-16,995006.3449380335,BULL,5
2020-07-17,1008794.1954515631,BULL,5
2020-07-20,1015746.0232567665,BULL,5
2020-07-21,1028793.8068644318,BULL,5
