TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,"NEW BUY (SharpeRk=3,ClenowRk=1)",INFRABEES,Nippon IN ETF Nifty Infra BeES,2020-07-13,,,316.41,,634.4508,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=4)",SETFNIF50,SBI Nifty 50 ETF,2020-07-13,,,108.6941,,1846.8949,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=9,ClenowRk=2)",MID150BEES,Nippon IndiaETF NiftyMidcap150,2020-07-13,,,58.19,,3449.8466,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=6,ClenowRk=16)",JUNIORBEES,NipponETFNifty Next 50 Jr BeES,2020-07-13,,,273.29,,734.5551,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=12,ClenowRk=17)",HDFCSENSEX,HDFC BSE Sensex ETF,2020-07-13,,,38.51,,5212.8428,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=21, ClenowRk=15)",HDFCSENSEX,HDFC BSE Sensex ETF,2020-07-13,2020-07-20,7.0,38.51,39.5899,5212.8428,5629.35,20.0,5609.35,BULL
BUY,"NEW BUY (SharpeRk=14,ClenowRk=1)",LICNFNHGP,LIC MF Nifty 100 ETF,2020-07-20,,,115.6,,1757.4153,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=21.0, ClenowRk=18.0)",INFRABEES,Nippon IN ETF Nifty Infra BeES,2020-07-13,2020-07-27,14.0,316.41,320.01,634.4508,2284.02,20.0,2264.02,BULL
SELL,"Dropped intersection (SharpeRk=13.0, ClenowRk=23.0)",JUNIORBEES,NipponETFNifty Next 50 Jr BeES,2020-07-13,2020-07-27,14.0,273.29,272.05,734.5551,-910.85,20.0,-930.85,BULL
SELL,"Dropped intersection (SharpeRk=21.0, ClenowRk=1.0)",LICNFNHGP,LIC MF Nifty 100 ETF,2020-07-20,2020-07-27,7.0,115.6,115.0,1757.4153,-1054.45,20.0,-1074.45,BULL
BUY,"NEW BUY (SharpeRk=9,ClenowRk=14)",HDFCSENSEX,HDFC BSE Sensex ETF,2020-07-27,,,39.8343,,5104.0631,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=19,ClenowRk=2)",SHARIABEES,NipponETFNifty 50 Shariah BeES,2020-08-17,,,332.97,,622.1198,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=38, ClenowRk=1) | TSL 15.2%",SHARIABEES,NipponETFNifty 50 Shariah BeES,2020-08-17,2020-08-24,7.0,332.97,282.33,622.1198,-31504.15,20.0,-31524.15,BULL
BUY,"NEW BUY (SharpeRk=17,ClenowRk=20)",SBIETFQLTY,SBI Nifty 200 Quality 30 ETF,2020-08-24,,,105.37,,1943.0903,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=21, ClenowRk=16)",SBIETFQLTY,SBI Nifty 200 Quality 30 ETF,2020-08-24,2020-08-31,7.0,105.37,103.89,1943.0903,-2875.77,20.0,-2895.77,BULL
BUY,"NEW BUY (SharpeRk=13,ClenowRk=19)",LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-08-31,,,9.438,,21480.6306,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=15,ClenowRk=7)",SBIETFQLTY,SBI Nifty 200 Quality 30 ETF,2020-09-07,,,103.8,,1952.3298,,20.0,,BULL
SELL,REGIME_SLOT_CUT,LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-08-31,2020-09-28,28.0,9.438,9.579,21480.6306,3028.77,20.0,3008.77,PARTIAL
SELL,REGIME_SLOT_CUT,SBIETFQLTY,SBI Nifty 200 Quality 30 ETF,2020-09-07,2020-09-28,21.0,103.8,106.68,1952.3298,5622.71,20.0,5602.71,PARTIAL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=5)",ITBEES,Nippon India ETF Nifty IT,2020-10-05,,,20.87,,9888.4135,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=6,ClenowRk=7)",SBIETFQLTY,SBI Nifty 200 Quality 30 ETF,2020-10-05,,,107.15,,1926.0027,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=47, ClenowRk=4)",ITBEES,Nippon India ETF Nifty IT,2020-10-05,2020-10-12,7.0,20.87,22.31,9888.4135,14239.32,20.0,14219.32,BULL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=11)",LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-10-12,,,10.015,,21250.4458,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=18, ClenowRk=28)",MID150BEES,Nippon IndiaETF NiftyMidcap150,2020-07-13,2020-11-17,127.0,58.19,70.86,3449.8466,43709.56,20.0,43689.56,BULL
SELL,"Dropped intersection (SharpeRk=26, ClenowRk=23)",SBIETFQLTY,SBI Nifty 200 Quality 30 ETF,2020-10-05,2020-11-17,43.0,107.15,111.9,1926.0027,9148.51,20.0,9128.51,BULL
BUY,"NEW BUY (SharpeRk=3,ClenowRk=5)",SETFNIFBK,SBI Nifty Bank ETF,2020-11-17,,,290.28,,781.7113,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=18,ClenowRk=11)",NPBET,Tata Nifty Private Bank ETF,2020-11-17,,,158.61,,1430.6485,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=26, ClenowRk=5)",NPBET,Tata Nifty Private Bank ETF,2020-11-17,2020-12-01,14.0,158.61,158.84,1430.6485,329.05,20.0,309.05,BULL
BUY,"NEW BUY (SharpeRk=3,ClenowRk=18)",MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-12-01,,,7.446,,30924.0499,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=1, ClenowRk=23)",LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-10-12,2020-12-07,56.0,10.015,10.914,21250.4458,19104.15,20.0,19084.15,BULL
SELL,"Dropped intersection (SharpeRk=8, ClenowRk=21)",SETFNIF50,SBI Nifty 50 ETF,2020-07-13,2021-01-11,182.0,108.6941,146.069,1846.8949,69027.51,20.0,69007.51,BULL
SELL,"Dropped intersection (SharpeRk=21, ClenowRk=1)",SETFNIFBK,SBI Nifty Bank ETF,2020-11-17,2021-01-11,55.0,290.28,318.49,781.7113,22052.08,20.0,22032.08,BULL
BUY,"NEW BUY (SharpeRk=4,ClenowRk=20)",QNIFTY,Quantum Nifty 50 ETF,2021-01-11,,,1495.7,,167.839,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=8, ClenowRk=22)",HDFCSENSEX,HDFC BSE Sensex ETF,2020-07-27,2021-01-18,175.0,39.8343,51.4343,5104.0631,59207.13,20.0,59187.13,BULL
SELL,"Dropped intersection (SharpeRk=8, ClenowRk=21)",QNIFTY,Quantum Nifty 50 ETF,2021-01-11,2021-01-18,7.0,1495.7,1483.95,167.839,-1972.11,20.0,-1992.11,BULL
BUY,"NEW BUY (SharpeRk=18,ClenowRk=2)",SETFNIFBK,SBI Nifty Bank ETF,2021-01-18,,,316.21,,784.1615,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=2,ClenowRk=18)",NV20IETF,ICICI Pru Nifty50 Value 20 ETF,2021-01-18,,,7.478,,33158.5574,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=13,ClenowRk=16)",ICICIB22,Bharat 22 ETF,2021-01-18,,,33.59,,7381.9498,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=24, ClenowRk=7)",SETFNIFBK,SBI Nifty Bank ETF,2021-01-18,2021-01-25,7.0,316.21,311.04,784.1615,-4054.11,20.0,-4074.11,BULL
SELL,"Dropped intersection (SharpeRk=2, ClenowRk=22)",ICICIB22,Bharat 22 ETF,2021-01-18,2021-02-01,14.0,33.59,33.9,7381.9498,2288.4,20.0,2268.4,PARTIAL
BUY,"NEW BUY (SharpeRk=16,ClenowRk=12)",SETFNIFBK,SBI Nifty Bank ETF,2021-02-01,,,329.08,,750.8678,,20.0,,PARTIAL
BUY,"NEW BUY (SharpeRk=11,ClenowRk=4)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-02-08,,,219.05,,1172.3381,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=18)",ICICIB22,Bharat 22 ETF,2021-02-08,,,36.87,,6965.0299,,20.0,,BULL
SELL,TSL 5.2%,SETFNIFBK,SBI Nifty Bank ETF,2021-02-01,2021-02-22,21.0,329.08,352.51,750.8678,17592.83,20.0,17572.83,BULL
BUY,"NEW BUY (SharpeRk=5,ClenowRk=2)",PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2021-02-22,,,26.17,,9837.9378,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=8, ClenowRk=32)",NV20IETF,ICICI Pru Nifty50 Value 20 ETF,2021-01-18,2021-03-01,42.0,7.478,7.527,33158.5574,1624.77,20.0,1604.77,BULL
BUY,"NEW BUY (SharpeRk=10,ClenowRk=15)",INFRABEES,Nippon IN ETF Nifty Infra BeES,2021-03-01,,,434.47,,596.3624,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=22, ClenowRk=1)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-02-08,2021-03-15,35.0,219.05,226.87,1172.3381,9167.68,20.0,9147.68,BULL
SELL,"Dropped intersection (SharpeRk=26, ClenowRk=2)",PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2021-02-22,2021-03-15,21.0,26.17,25.22,9837.9378,-9346.04,20.0,-9366.04,BULL
BUY,"NEW BUY (SharpeRk=15,ClenowRk=4)",SETFNIFBK,SBI Nifty Bank ETF,2021-03-15,,,350.4,,729.6789,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=15,ClenowRk=18)",CPSEETF,CPSE ETF,2021-03-15,,,23.94,,10680.0125,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=30, ClenowRk=13)",CPSEETF,CPSE ETF,2021-03-15,2021-03-22,7.0,23.94,23.33,10680.0125,-6514.81,20.0,-6534.81,BULL
BUY,"NEW BUY (SharpeRk=8,ClenowRk=1)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-03-22,,,213.08,,1174.2658,,20.0,,BULL
SELL,TSL 6.0%,ICICIB22,Bharat 22 ETF,2021-02-08,2021-03-30,50.0,36.87,35.84,6965.0299,-7173.98,20.0,-7193.98,PARTIAL
SELL,REGIME_SLOT_CUT,PSUBANK,Kotak Nifty PSU Bank ETF,2021-03-22,2021-03-30,8.0,213.08,211.25,1174.2658,-2148.91,20.0,-2168.91,PARTIAL
SELL,TSL 6.8%,SETFNIFBK,SBI Nifty Bank ETF,2021-03-15,2021-04-05,21.0,350.4,326.54,729.6789,-17410.14,20.0,-17430.14,BULL
BUY,"NEW BUY (SharpeRk=4,ClenowRk=3)",ICICIB22,Bharat 22 ETF,2021-04-05,,,35.72,,6894.3876,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=7,ClenowRk=1)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-04-05,,,208.34,,1182.0463,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=9,ClenowRk=2)",PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2021-04-05,,,23.23,,10601.2709,,20.0,,BULL
SELL,TSL 5.2%,MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-12-01,2021-04-12,132.0,7.446,8.398,30924.0499,29439.7,20.0,29419.7,BULL
SELL,TSL 6.8%,INFRABEES,Nippon IN ETF Nifty Infra BeES,2021-03-01,2021-04-12,42.0,434.47,414.11,596.3624,-12141.94,20.0,-12161.94,BULL
SELL,TSL 5.4%,ICICIB22,Bharat 22 ETF,2021-04-05,2021-04-12,7.0,35.72,33.8,6894.3876,-13237.22,20.0,-13257.22,BULL
SELL,TSL 5.5%,PSUBANK,Kotak Nifty PSU Bank ETF,2021-04-05,2021-04-12,7.0,208.34,196.86,1182.0463,-13569.89,20.0,-13589.89,BULL
SELL,TSL 6.0%,PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2021-04-05,2021-04-12,7.0,23.23,21.84,10601.2709,-14735.77,20.0,-14755.77,BULL
BUY,"NEW BUY (SharpeRk=1,ClenowRk=4)",MID150BEES,Nippon IndiaETF NiftyMidcap150,2021-04-12,,,93.25,,2527.8686,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=6,ClenowRk=2)",PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2021-04-12,,,21.84,,10793.2118,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=9,ClenowRk=1)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-04-12,,,196.86,,1197.4182,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=3,ClenowRk=11)",NV20IETF,ICICI Pru Nifty50 Value 20 ETF,2021-04-12,,,7.869,,29955.9976,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=6,ClenowRk=9)",INFRABEES,Nippon IN ETF Nifty Infra BeES,2021-04-12,,,414.11,,569.2298,,20.0,,BULL
SELL,"52wk high DD 25.4% | Dropped intersection (SharpeRk=nan, ClenowRk=nan)",PSUBNKBEES,NipponINETFNifty PSU Bank BeES,2021-04-12,2021-04-26,14.0,21.84,21.89,10793.2118,539.66,20.0,519.66,PARTIAL
SELL,"52wk high DD 25.1% | Dropped intersection (SharpeRk=nan, ClenowRk=nan)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-04-12,2021-04-26,14.0,196.86,196.78,1197.4182,-95.79,20.0,-115.79,PARTIAL
BUY,"NEW BUY (SharpeRk=4,ClenowRk=11)",CPSEETF,CPSE ETF,2021-05-03,,,23.13,,10193.8233,,20.0,,BULL
BUY,"NEW BUY (SharpeRk=11,ClenowRk=6)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-05-03,,,200.04,,1178.6799,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=20, ClenowRk=22)",PSUBANK,Kotak Nifty PSU Bank ETF,2021-05-03,2021-05-10,7.0,200.04,211.29,1178.6799,13260.15,20.0,13240.15,BULL
BUY,"NEW BUY (SharpeRk=12,ClenowRk=5)",ABSLNN50ET,BSL Nifty Next 50 ETF,2021-05-10,,,36.4,,6733.165,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=22, ClenowRk=16)",INFRABEES,Nippon IN ETF Nifty Infra BeES,2021-04-12,2021-05-24,42.0,414.11,436.0,569.2298,12460.44,20.0,12440.44,BULL
BUY,"NEW BUY (SharpeRk=11,ClenowRk=12)",ICICIB22,Bharat 22 ETF,2021-05-24,,,38.79,,6439.7809,,20.0,,BULL
SELL,"Dropped intersection (SharpeRk=24, ClenowRk=10)",CPSEETF,CPSE ETF,2021-05-03,2021-06-07,35.0,23.13,26.28,10193.8233,32110.54,20.0,32090.54,BULL
SELL,"Dropped intersection (SharpeRk=30, ClenowRk=5)",ABSLNN50ET,BSL Nifty Next 50 ETF,2021-05-10,2021-06-07,28.0,36.4,39.678,6733.165,22071.31,20.0,22051.31,BULL
SELL,"Dropped intersection (SharpeRk=24, ClenowRk=15)",ICICIB22,Bharat 22 ETF,2021-05-24,2021-06-07,14.0,38.79,40.42,6439.7809,10496.84,20.0,10476.84,BULL
BUY,"NEW BUY (SharpeRk=3,ClenowRk=6)",ALPL30IETF,ICICI Nifty Alp Lw- Vol 30 ETF,2021-06-07,,,15.52,,16791.9782,,20.0,,BULL
