TICKER,TYPE,DATE,BAD_PRICE,REF_PRICE
AUTOIETF,TRANSIENT_NULLED,2023-09-06,16.18,161.8
AUTOIETF,PERMANENT_RESCALE_x10,2023-12-19,18.23,183.7
BSE500IETF,PERMANENT_RESCALE_x0.1,2018-05-17,148.13,14.79
BSE500IETF,TRANSIENT_NULLED,2019-11-01,15.75,15.734000000000002
BSE500IETF,TRANSIENT_NULLED,2019-11-04,15.75,15.734000000000002
BSE500IETF,TRANSIENT_NULLED,2019-11-05,15.66,15.734000000000002
BSE500IETF,TRANSIENT_NULLED,2019-11-08,15.71,15.816
BSE500IETF,TRANSIENT_NULLED,2019-11-11,15.72,15.816
BSE500IETF,TRANSIENT_NULLED,2019-11-12,15.72,15.816
BSE500IETF,TRANSIENT_NULLED,2021-04-30,20.32,20.299000000000003
BSE500IETF,PERMANENT_RESCALE_x10,2021-10-28,2.545,25.579
BSLGOLDETF,TRANSIENT_NULLED,2016-10-28,2924.0,28.4
BSLGOLDETF,TRANSIENT_NULLED,2016-10-31,2924.0,28.4
BSLGOLDETF,TRANSIENT_NULLED,2017-04-28,2777.25,27.52
BSLGOLDETF,TRANSIENT_NULLED,2017-05-01,2777.25,27.52
BSLGOLDETF,TRANSIENT_NULLED,2017-10-17,2796.95,27.63
BSLGOLDETF,TRANSIENT_NULLED,2018-04-18,2930.05,29.11
BSLGOLDETF,TRANSIENT_NULLED,2018-11-05,2985.0,29.35
BSLSENETFG,PERMANENT_RESCALE_x10,2021-11-09,57.6,579.26
GOLDADD,PERMANENT_RESCALE_x0.1,2024-02-14,61.17,6.21
GOLDADD,TRANSIENT_NULLED,2025-01-08,7.63,7.595000000000001
GOLDADD,TRANSIENT_NULLED,2025-09-02,10.18,10.181000000000001
GOLDADD,PERMANENT_RESCALE_x10,2025-12-15,1.302,12.873
GOLDBETA,TRANSIENT_NULLED,2016-10-28,2709.8,27.14
GOLDBETA,TRANSIENT_NULLED,2016-10-31,2709.8,27.14
GOLDBETA,TRANSIENT_NULLED,2017-04-28,2615.25,26.02
GOLDBETA,TRANSIENT_NULLED,2017-05-01,2615.25,26.02
GOLDBETA,TRANSIENT_NULLED,2017-10-17,2670.8,26.68
GOLDBETA,TRANSIENT_NULLED,2018-04-18,2816.7,28.08
GOLDBETA,TRANSIENT_NULLED,2018-11-05,2849.95,28.3
GOLDIETF,TRANSIENT_NULLED,2018-04-12,284.05,28.24
GOLDIETF,TRANSIENT_NULLED,2018-04-13,282.5,28.24
GOLDIETF,TRANSIENT_NULLED,2018-04-16,286.0,28.24
GOLDIETF,TRANSIENT_NULLED,2018-04-17,286.75,28.24
GOLDIETF,PERMANENT_RESCALE_x0.1,2018-04-19,285.55,28.92
GOLDIETF,TRANSIENT_NULLED,2018-11-05,28.95,28.8
GOLDIETF,PERMANENT_RESCALE_x10,2018-11-15,2.845,27.855000000000004
IVZINGOLD,TRANSIENT_NULLED,2016-10-28,2818.1,27.58
IVZINGOLD,TRANSIENT_NULLED,2016-10-31,2818.1,27.58
IVZINGOLD,TRANSIENT_NULLED,2017-04-28,2765.0,27.01
IVZINGOLD,TRANSIENT_NULLED,2017-05-01,2765.0,27.01
IVZINGOLD,TRANSIENT_NULLED,2017-10-17,2909.2,27.41
IVZINGOLD,TRANSIENT_NULLED,2018-04-18,2882.85,28.69
IVZINGOLD,TRANSIENT_NULLED,2018-11-05,2915.0,28.75
IVZINGOLD,TRANSIENT_NULLED,2018-11-06,2915.0,28.75
MIDCAPIETF,TRANSIENT_NULLED,2020-02-03,6.7,66.91
MIDCAPIETF,TRANSIENT_NULLED,2022-09-12,12.46,123.5
MIDCAPIETF,PERMANENT_RESCALE_x10,2023-12-19,17.23,173.02
NEXT50IETF,PERMANENT_RESCALE_x0.1,2018-09-03,313.11,31.15
NEXT50IETF,PERMANENT_RESCALE_x10,2018-11-16,2.9930000000000003,27.283
NV20,TRANSIENT_NULLED,2018-08-03,5.42,5170.15
NV20,TRANSIENT_NULLED,2018-08-13,5.54,5341.95
NV20,TRANSIENT_NULLED,2018-11-14,5.38,5141.2
NV20,TRANSIENT_NULLED,2018-12-06,5.33,5177.3
NV20,TRANSIENT_NULLED,2020-10-06,6.09,5738.35
NV20,TRANSIENT_NULLED,2020-10-07,6.04,5738.35
NV20,TRANSIENT_NULLED,2020-10-21,6.26,5882.9
NV20,TRANSIENT_NULLED,2020-10-22,6.18,5882.9
NV20,TRANSIENT_NULLED,2020-11-05,6.16,5773.9
NV20,TRANSIENT_NULLED,2021-01-05,7.48,7026.45
NV20,TRANSIENT_NULLED,2021-04-26,7.84,7301.1
NV20,TRANSIENT_NULLED,2021-04-30,7.92,7470.6
NV20,PERMANENT_RESCALE_x1000,2023-08-03,11.23,10059.9
QGOLDHALF,TRANSIENT_NULLED,2016-10-28,1386.6,27.6
QGOLDHALF,TRANSIENT_NULLED,2016-10-31,1386.6,27.6
QGOLDHALF,TRANSIENT_NULLED,2017-04-28,1312.7,26.12
QGOLDHALF,TRANSIENT_NULLED,2017-05-01,1312.7,26.12
QGOLDHALF,TRANSIENT_NULLED,2017-10-17,1331.45,26.76
QGOLDHALF,TRANSIENT_NULLED,2018-04-18,1395.85,27.77
QGOLDHALF,TRANSIENT_NULLED,2018-11-05,1411.5,28.06
