TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,"NEW BUY (rank=1, cutoff=40)",SETFNN50,SETFNN50,2017-09-11,,295.35,,686.8486,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",IVZINNIFTY,IVZINNIFTY,2017-09-11,,103.23,,1965.1336,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",SETFGOLD,SETFGOLD,2017-09-11,,27.59,,7352.691,,RISK-ON
BUY,"NEW BUY (rank=6, cutoff=40)",MIDSELIETF,MIDSELIETF,2017-09-11,,7.05,,28774.5738,,RISK-ON
BUY,"NEW BUY (rank=7, cutoff=40)",LICNETFSEN,LICNETFSEN,2017-09-11,,350.0,,579.6021,,RISK-ON
SELL,Rank 9999 > 40,MIDSELIETF,MIDSELIETF,2017-09-11,2017-09-25,7.05,6.84,28774.5738,-6062.66,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",SHARIABEES,SHARIABEES,2017-09-25,,243.0,,823.5468,,RISK-ON
SELL,Rank 9999 > 40 | TSL 5.7% >= 5%,SETFNN50,SETFNN50,2017-09-11,2017-10-02,295.35,281.0,686.8486,-9876.28,RISK-OFF
SELL,Rank 9999 > 40,IVZINNIFTY,IVZINNIFTY,2017-09-11,2017-10-02,103.23,102.35,1965.1336,-1749.32,RISK-OFF
SELL,Rank 9999 > 40,SHARIABEES,SHARIABEES,2017-09-25,2017-10-02,243.0,239.0,823.5468,-3314.19,RISK-OFF
SELL,Rank 9999 > 40,SETFGOLD,SETFGOLD,2017-09-11,2017-10-09,27.59,27.22,7352.691,-2740.5,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",MIDSELIETF,MIDSELIETF,2017-10-09,,7.06,,28161.4299,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",HNGSNGBEES,HNGSNGBEES,2017-10-09,,280.45,,708.931,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",NIFTYBEES,NIFTYBEES,2017-10-09,,103.08,,1928.7902,,RISK-ON
BUY,"NEW BUY (rank=5, cutoff=40)",SHARIABEES,SHARIABEES,2017-10-09,,243.25,,817.3472,,RISK-ON
SELL,Rank 9999 > 40,SHARIABEES,SHARIABEES,2017-10-09,2017-10-16,243.25,251.0,817.3472,6314.44,RISK-ON
BUY,"NEW BUY (rank=6, cutoff=40)",NIF100BEES,NIF100BEES,2017-10-16,,108.48,,1856.2752,,RISK-ON
SELL,Rank 9999 > 40,NIFTYBEES,NIFTYBEES,2017-10-09,2017-10-23,103.08,105.16,1928.7902,3991.88,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",NV20BEES,NV20BEES,2017-10-23,,45.69,,4390.0487,,RISK-ON
SELL,Rank 9999 > 40,HNGSNGBEES,HNGSNGBEES,2017-10-09,2017-10-30,280.45,271.3,708.931,-6506.72,RISK-ON
SELL,Rank 9999 > 40,NV20BEES,NV20BEES,2017-10-23,2017-10-30,45.69,46.4,4390.0487,3096.93,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",QNIFTY,QNIFTY,2017-10-30,,111.59,,1807.1169,,RISK-ON
BUY,"NEW BUY (rank=9, cutoff=40)",SETFNN50,SETFNN50,2017-10-30,,306.9,,657.0745,,RISK-ON
SELL,Rank 9999 > 40,NIF100BEES,NIF100BEES,2017-10-16,2017-11-06,108.48,111.52,1856.2752,5623.08,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=40)",INFRABEES,INFRABEES,2017-11-06,,370.95,,547.8544,,RISK-ON
SELL,Rank 9999 > 40,SETFNN50,SETFNN50,2017-10-30,2017-11-13,306.9,296.68,657.0745,-6735.3,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",BANKBEES,BANKBEES,2017-11-13,,257.8,,775.2781,,RISK-ON
SELL,Rank 9999 > 40,LICNETFSEN,LICNETFSEN,2017-09-11,2017-11-27,350.0,413.0,579.6021,36494.93,RISK-ON
SELL,Rank 9999 > 40,INFRABEES,INFRABEES,2017-11-06,2017-11-27,370.95,360.83,547.8544,-5564.29,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",JUNIORBEES,JUNIORBEES,2017-11-27,,305.32,,682.7992,,RISK-ON
BUY,"NEW BUY (rank=7, cutoff=40)",CONSUMBEES,CONSUMBEES,2017-11-27,,50.0,,4169.445,,RISK-ON
SELL,Rank 9999 > 40,QNIFTY,QNIFTY,2017-10-30,2017-12-04,111.59,110.87,1807.1169,-1321.12,RISK-ON
SELL,Rank 9999 > 40,JUNIORBEES,JUNIORBEES,2017-11-27,2017-12-04,305.32,300.14,682.7992,-3556.9,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",LICNETFSEN,LICNETFSEN,2017-12-04,,333.0,,616.0437,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",NV20BEES,NV20BEES,2017-12-04,,47.38,,4329.7292,,RISK-ON
SELL,Rank 9999 > 40,LICNETFSEN,LICNETFSEN,2017-12-04,2017-12-18,333.0,341.9,616.0437,5462.79,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",JUNIORBEES,JUNIORBEES,2017-12-18,,304.94,,690.0014,,RISK-ON
SELL,Rank 9999 > 40,BANKBEES,BANKBEES,2017-11-13,2017-12-25,257.8,260.15,775.2781,1801.9,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",CPSEETF,CPSEETF,2017-12-25,,30.47,,7049.9966,,RISK-ON
SELL,Rank 9999 > 40,NV20BEES,NV20BEES,2017-12-04,2018-01-01,47.38,48.6,4329.7292,5262.27,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",NV20,NV20,2018-01-01,,4685.05,,45.8152,,RISK-ON
SELL,Rank 9999 > 40,CONSUMBEES,CONSUMBEES,2017-11-27,2018-01-08,50.0,53.5,4169.445,14573.06,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",LOWVOLIETF,LOWVOLIETF,2018-01-08,,8.28,,26427.6354,,RISK-ON
SELL,Rank 9999 > 40,MIDSELIETF,MIDSELIETF,2017-10-09,2018-01-22,7.06,7.77,28161.4299,19974.62,RISK-ON
SELL,Rank 9999 > 40,JUNIORBEES,JUNIORBEES,2017-12-18,2018-01-22,304.94,320.11,690.0014,10447.32,RISK-ON
SELL,Rank 9999 > 40,CPSEETF,CPSEETF,2017-12-25,2018-01-22,30.47,30.31,7049.9966,-1148.0,RISK-ON
BUY,"NEW BUY (rank=9, cutoff=40)",BANKBEES,BANKBEES,2018-01-22,,274.16,,798.7379,,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=40)",NEXT50BETA,NEXT50BETA,2018-01-22,,31.39,,6976.1703,,RISK-ON
BUY,"NEW BUY (rank=14, cutoff=40)",GOLDIETF,GOLDIETF,2018-01-22,,27.37,,8000.8033,,RISK-ON
