TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,"NEW BUY (rank=1, cutoff=40)",SETFNN50,SETFNN50,2017-09-11,,295.35,,686.8486,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",IVZINNIFTY,IVZINNIFTY,2017-09-11,,103.23,,1965.1336,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",SETFGOLD,SETFGOLD,2017-09-11,,27.59,,7352.691,,RISK-ON
BUY,"NEW BUY (rank=6, cutoff=40)",MIDSELIETF,MIDSELIETF,2017-09-11,,7.05,,28774.5738,,RISK-ON
BUY,"NEW BUY (rank=7, cutoff=40)",LICNETFSEN,LICNETFSEN,2017-09-11,,350.0,,579.6021,,RISK-ON
SELL,TSL 5.7% >= 5%,SETFNN50,SETFNN50,2017-09-11,2017-10-02,295.35,281.0,686.8486,-9876.28,RISK-OFF
BUY,"NEW BUY (rank=3, cutoff=40)",HNGSNGBEES,HNGSNGBEES,2017-10-09,,280.45,,716.1256,,RISK-ON
SELL,TSL 5.8% >= 5%,SETFGOLD,SETFGOLD,2017-09-11,2017-12-11,27.59,25.97,7352.691,-11931.36,RISK-ON
SELL,TSL 6.0% >= 5%,LICNETFSEN,LICNETFSEN,2017-09-11,2017-12-11,350.0,331.3,579.6021,-10858.56,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",CONSUMBEES,CONSUMBEES,2017-12-11,,51.37,,3912.5033,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",JUNIORBEES,JUNIORBEES,2017-12-11,,306.13,,656.5358,,RISK-ON
SELL,TSL 9.9% >= 5%,MIDSELIETF,MIDSELIETF,2017-09-11,2018-02-05,7.05,7.09,28774.5738,1130.98,RISK-OFF
SELL,TSL 5.3% >= 5%,CONSUMBEES,CONSUMBEES,2017-12-11,2018-02-05,51.37,50.95,3912.5033,-1663.25,RISK-OFF
SELL,TSL 6.0% >= 5%,JUNIORBEES,JUNIORBEES,2017-12-11,2018-02-05,306.13,300.78,656.5358,-3532.47,RISK-OFF
SELL,TSL 5.7% >= 5%,IVZINNIFTY,IVZINNIFTY,2017-09-11,2018-02-19,103.23,108.6,1965.1336,10532.77,RISK-OFF
SELL,TSL 6.8% >= 5%,HNGSNGBEES,HNGSNGBEES,2017-10-09,2018-02-26,280.45,306.3,716.1256,18491.85,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=40)",HNGSNGBEES,HNGSNGBEES,2018-04-09,,353.3,,570.9589,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",NEXT50BETA,NEXT50BETA,2018-04-09,,30.3,,6657.4185,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",CONSUMBEES,CONSUMBEES,2018-04-09,,51.46,,3919.9336,,RISK-ON
BUY,"NEW BUY (rank=5, cutoff=40)",LOWVOLIETF,LOWVOLIETF,2018-04-09,,8.25,,24450.8826,,RISK-ON
BUY,"NEW BUY (rank=6, cutoff=40)",HDFCNIFTY,HDFCNIFTY,2018-04-09,,106.51,,1893.9046,,RISK-ON
SELL,TSL 8.5% >= 5%,HNGSNGBEES,HNGSNGBEES,2018-04-09,2018-06-18,353.3,346.29,570.9589,-4022.42,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",SENSEXBETA,SENSEXBETA,2018-06-18,,370.5,,552.1687,,RISK-ON
SELL,TSL 5.5% >= 5%,NEXT50BETA,NEXT50BETA,2018-04-09,2018-06-25,30.3,29.0,6657.4185,-8674.64,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",SETFNIFBK,SETFNIFBK,2018-06-25,,269.11,,756.4494,,RISK-ON
SELL,TSL 6.2% >= 5%,CONSUMBEES,CONSUMBEES,2018-04-09,2018-09-24,51.46,51.6,3919.9336,528.79,RISK-OFF
SELL,TSL 8.8% >= 5%,SETFNIFBK,SETFNIFBK,2018-06-25,2018-09-24,269.11,251.55,756.4494,-13303.25,RISK-OFF
SELL,TSL 5.6% >= 5%,LOWVOLIETF,LOWVOLIETF,2018-04-09,2018-10-01,8.25,8.81,24450.8826,13672.49,RISK-OFF
SELL,TSL 5.8% >= 5%,HDFCNIFTY,HDFCNIFTY,2018-04-09,2018-10-01,106.51,113.75,1893.9046,13691.87,RISK-OFF
SELL,TSL 6.4% >= 5%,SENSEXBETA,SENSEXBETA,2018-06-18,2018-10-01,370.5,379.45,552.1687,4921.91,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=40)",SETF10GILT,SETF10GILT,2018-11-19,,166.0,,1225.6162,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",SHARIABEES,SHARIABEES,2018-11-19,,245.5,,828.7262,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",PSUBANK,PSUBANK,2018-11-19,,29.81,,6824.9678,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",PSUBNKBEES,PSUBNKBEES,2018-11-19,,33.26,,6117.0262,,RISK-ON
BUY,"NEW BUY (rank=5, cutoff=40)",LICNETFGSC,LICNETFGSC,2018-11-19,,15.85,,12836.1066,,RISK-ON
SELL,52wk high DD 25.9% > 25%,PSUBANK,PSUBANK,2018-11-19,2018-11-26,29.81,29.17,6824.9678,-4387.98,RISK-OFF
SELL,52wk high DD 26.4% > 25%,PSUBNKBEES,PSUBNKBEES,2018-11-19,2018-11-26,33.26,32.72,6117.0262,-3323.19,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=40)",HDFCSENSEX,HDFCSENSEX,2018-12-03,,37.81,,5376.5213,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",BSLNIFTY,BSLNIFTY,2018-12-03,,11.75,,17300.9591,,RISK-ON
SELL,TSL 5.3% >= 5%,SHARIABEES,SHARIABEES,2018-11-19,2019-05-13,245.5,249.18,828.7262,3029.71,RISK-OFF
SELL,TSL 5.7% >= 5%,BSLNIFTY,BSLNIFTY,2018-12-03,2019-05-13,11.75,12.06,17300.9591,5343.3,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=40)",SETFNIFBK,SETFNIFBK,2019-05-27,,319.63,,685.5477,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",CPSEETF,CPSEETF,2019-05-27,,27.99,,7828.5674,,RISK-ON
SELL,TSL 8.1% >= 5%,LICNETFGSC,LICNETFGSC,2018-11-19,2019-07-01,15.85,20.0,12836.1066,53249.84,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",IDFNIFTYET,IDFNIFTYET,2019-07-01,,131.93,,1681.4782,,RISK-ON
SELL,TSL 8.6% >= 5%,IDFNIFTYET,IDFNIFTYET,2019-07-01,2019-07-08,131.93,117.01,1681.4782,-25107.65,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",MOM50,MOM50,2019-07-08,,112.51,,1889.2662,,RISK-ON
