TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,"NEW BUY (rank=1, cutoff=40)",NIFTY1,NIFTY1,2017-09-11,,100.99,,2008.7211,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",SETFNN50,SETFNN50,2017-09-11,,295.35,,686.8486,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=40)",BANKBEES,BANKBEES,2017-09-11,,250.35,,810.3085,,RISK-ON
BUY,"NEW BUY (rank=13, cutoff=40)",SETFGOLD,SETFGOLD,2017-09-11,,27.59,,7352.691,,RISK-ON
BUY,"NEW BUY (rank=16, cutoff=40)",MIDSELIETF,MIDSELIETF,2017-09-11,,7.05,,28774.5738,,RISK-ON
SELL,TSL 5.7% >= 5%,SETFNN50,SETFNN50,2017-09-11,2017-10-02,295.35,281.0,686.8486,-9876.28,RISK-OFF
BUY,"NEW BUY (rank=2, cutoff=40)",LICNETFSEN,LICNETFSEN,2017-10-09,,356.0,,560.9617,,RISK-ON
SELL,Rank 48 > 40,NIFTY1,NIFTY1,2017-09-11,2017-10-30,100.99,100.99,2008.7211,-20.0,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",QNIFTY,QNIFTY,2017-10-30,,111.59,,1803.609,,RISK-ON
SELL,Rank 44 > 40,SETFGOLD,SETFGOLD,2017-09-11,2017-12-04,27.59,26.6,7352.691,-7299.16,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=40)",JUNIORBEES,JUNIORBEES,2017-12-04,,300.14,,662.4657,,RISK-ON
SELL,TSL 6.0% >= 5%,LICNETFSEN,LICNETFSEN,2017-10-09,2017-12-11,356.0,331.3,560.9617,-13875.75,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",CONSUMBEES,CONSUMBEES,2017-12-11,,51.37,,3914.1687,,RISK-ON
SELL,TSL 9.9% >= 5%,MIDSELIETF,MIDSELIETF,2017-09-11,2018-02-05,7.05,7.09,28774.5738,1130.98,RISK-OFF
SELL,TSL 6.0% >= 5%,JUNIORBEES,JUNIORBEES,2017-12-04,2018-02-05,300.14,300.78,662.4657,403.98,RISK-OFF
SELL,TSL 5.3% >= 5%,CONSUMBEES,CONSUMBEES,2017-12-11,2018-02-05,51.37,50.95,3914.1687,-1663.95,RISK-OFF
SELL,TSL 6.7% >= 5%,BANKBEES,BANKBEES,2017-09-11,2018-02-12,250.35,261.59,810.3085,9087.87,RISK-OFF
SELL,TSL 5.9% >= 5%,QNIFTY,QNIFTY,2017-10-30,2018-02-12,111.59,113.68,1803.609,3749.54,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=40)",HNGSNGBEES,HNGSNGBEES,2018-04-09,,353.3,,565.0105,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=40)",NEXT50BETA,NEXT50BETA,2018-04-09,,30.3,,6588.0591,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=40)",CONSUMBEES,CONSUMBEES,2018-04-09,,51.46,,3879.0943,,RISK-ON
BUY,"NEW BUY (rank=5, cutoff=40)",SENSEXBETA,SENSEXBETA,2018-04-09,,351.3,,568.2271,,RISK-ON
BUY,"NEW BUY (rank=6, cutoff=40)",NV20,NV20,2018-04-09,,4596.1,,43.4321,,RISK-ON
SELL,TSL 8.5% >= 5%,HNGSNGBEES,HNGSNGBEES,2018-04-09,2018-06-18,353.3,346.29,565.0105,-3980.72,RISK-ON
