date,cutoff,screen_pass
2017-09-11,57,283
2017-09-18,57,283
2017-09-25,57,283
2017-10-02,57,283
2017-10-09,57,283
2017-10-16,57,283
2017-10-23,57,283
2017-10-30,57,283
2017-11-06,57,283
2017-11-13,57,283
2017-11-20,57,283
2017-11-27,57,283
2017-12-04,57,283
2017-12-11,57,283
2017-12-18,57,283
2017-12-25,57,283
2018-01-01,57,283
2018-01-08,57,283
2018-01-15,57,283
2018-01-22,57,283
2018-01-29,57,283
2018-02-05,57,283
2018-02-12,57,283
2018-02-19,57,283
2018-02-26,57,283
2018-03-05,56,281
2018-03-12,56,281
2018-03-19,56,281
2018-03-26,56,281
2018-04-02,56,281
2018-04-09,56,281
2018-04-16,56,281
2018-04-23,56,280
2018-04-30,56,280
2018-05-07,56,280
2018-05-14,56,280
2018-05-21,56,280
2018-05-28,56,280
2018-06-04,56,280
2018-06-11,56,280
2018-06-18,56,280
2018-06-25,56,280
2018-07-02,56,280
2018-07-09,56,280
2018-07-16,56,280
2018-07-23,56,280
2018-07-30,56,282
2018-08-06,56,282
2018-08-13,56,282
2018-08-20,56,282
2018-08-27,56,282
2018-09-03,56,281
2018-09-10,56,281
2018-09-17,56,281
2018-09-24,56,279
2018-10-01,56,279
2018-10-08,56,279
2018-10-15,56,279
2018-10-22,56,278
2018-10-29,56,278
2018-11-05,56,279
2018-11-12,56,279
2018-11-19,56,281
2018-11-26,56,279
2018-12-03,56,278
2018-12-10,55,277
2018-12-17,56,281
2018-12-24,56,281
2018-12-31,56,281
2019-01-07,56,281
2019-01-14,56,281
2019-01-21,56,281
2019-01-28,56,281
2019-02-04,56,281
2019-02-11,56,281
2019-02-18,56,281
2019-02-25,56,281
2019-03-04,56,281
2019-03-11,56,281
2019-03-18,56,281
2019-03-25,56,281
2019-04-01,56,281
2019-04-08,56,281
2019-04-15,56,282
2019-04-22,56,282
2019-04-29,56,282
2019-05-06,56,282
2019-05-13,56,282
2019-05-20,56,282
2019-05-27,56,282
2019-06-03,56,282
2019-06-10,56,282
2019-06-17,56,282
2019-06-24,56,282
2019-07-01,56,282
2019-07-08,56,282
2019-07-15,56,282
2019-07-22,56,282
2019-07-29,56,282
2019-08-05,56,282
2019-08-12,56,282
2019-08-19,56,282
2019-08-26,56,280
2019-09-02,56,281
2019-09-09,56,281
2019-09-16,56,281
2019-09-23,56,281
2019-09-30,56,280
2019-10-07,56,281
2019-10-14,56,281
2019-10-21,56,281
2019-10-28,56,281
2019-11-04,56,281
2019-11-11,56,281
2019-11-18,56,281
2019-11-25,56,282
2019-12-02,57,283
2019-12-09,56,281
2019-12-16,56,281
2019-12-23,56,282
2019-12-30,56,281
2020-01-06,56,281
2020-01-13,56,281
2020-01-20,56,281
2020-01-27,56,281
2020-02-03,56,280
2020-02-10,56,280
2020-02-17,56,280
2020-02-24,56,280
2020-03-02,56,280
2020-03-09,56,279
2020-03-16,55,273
2020-03-23,50,249
2020-03-30,50,252
2020-04-06,49,245
2020-04-13,50,252
2020-04-20,51,257
2020-04-27,50,251
2020-05-04,53,266
2020-05-11,51,256
2020-05-18,51,253
2020-05-25,50,250
2020-06-01,52,262
2020-06-08,54,270
2020-06-15,54,268
2020-06-22,54,270
2020-06-29,54,270
2020-07-06,54,270
2020-07-13,54,271
2020-07-20,54,271
2020-07-27,54,271
2020-08-03,54,271
2020-08-10,54,271
2020-08-17,54,271
2020-08-24,55,273
2020-08-31,55,274
2020-09-07,54,271
2020-09-14,54,271
2020-09-21,54,271
2020-09-28,54,271
2020-10-05,54,271
2020-10-12,54,271
2020-10-19,54,271
2020-10-26,54,271
2020-11-02,54,271
2020-11-09,56,278
2020-11-16,56,279
2020-11-23,56,281
2020-11-30,56,281
2020-12-07,56,281
2020-12-14,56,281
2020-12-21,56,281
2020-12-28,56,281
2021-01-04,56,281
2021-01-11,56,281
2021-01-18,57,283
2021-01-25,57,283
2021-02-01,57,283
2021-02-08,57,283
2021-02-15,57,283
2021-02-22,57,283
2021-03-01,57,283
2021-03-08,57,283
2021-03-15,57,283
2021-03-22,57,283
2021-03-29,57,283
2021-04-05,57,283
2021-04-12,57,283
2021-04-19,57,283
2021-04-26,56,281
2021-05-03,57,283
2021-05-10,57,283
2021-05-17,57,283
2021-05-24,57,283
2021-05-31,57,283
2021-06-07,57,283
2021-06-14,57,283
2021-06-21,57,283
2021-06-28,57,283
2021-07-05,57,283
2021-07-12,57,283
2021-07-19,57,283
2021-07-26,57,283
2021-08-02,57,283
2021-08-09,57,283
2021-08-16,57,283
2021-08-23,57,283
2021-08-30,57,283
2021-09-06,57,283
2021-09-13,57,283
2021-09-20,57,283
2021-09-27,57,283
2021-10-04,57,283
2021-10-11,57,283
2021-10-18,57,283
2021-10-25,57,283
2021-11-01,57,283
2021-11-08,57,283
2021-11-15,57,283
2021-11-22,57,283
2021-11-29,57,283
2021-12-06,57,283
2021-12-13,57,283
2021-12-20,57,283
2021-12-27,57,283
2022-01-03,57,283
2022-01-10,57,283
2022-01-17,57,283
2022-01-24,57,283
2022-01-31,57,283
2022-02-07,57,283
2022-02-14,57,283
2022-02-21,57,283
2022-02-28,57,283
2022-03-07,57,283
2022-03-14,56,282
2022-03-21,56,282
2022-03-28,56,282
2022-04-04,56,282
2022-04-11,56,282
2022-04-18,56,282
2022-04-25,56,282
2022-05-02,56,282
2022-05-09,56,282
2022-05-16,56,281
2022-05-23,55,277
2022-05-30,55,277
2022-06-06,56,282
2022-06-13,56,280
2022-06-20,55,275
2022-06-27,55,275
2022-07-04,55,275
2022-07-11,55,277
2022-07-18,55,277
2022-07-25,55,277
2022-08-01,57,283
2022-08-08,56,282
2022-08-15,56,282
2022-08-22,56,282
2022-08-29,55,277
2022-09-05,55,274
2022-09-12,55,277
2022-09-19,55,277
2022-09-26,55,276
2022-10-03,55,276
2022-10-10,55,276
2022-10-17,55,275
2022-10-24,55,275
2022-10-31,55,275
2022-11-07,55,276
2022-11-14,56,282
2022-11-21,56,282
2022-11-28,56,282
2022-12-05,56,282
2022-12-12,57,283
2022-12-19,56,278
2022-12-26,55,276
2023-01-02,56,282
2023-01-09,57,283
2023-01-16,57,283
2023-01-23,57,283
2023-01-30,56,282
2023-02-06,56,282
2023-02-13,56,282
2023-02-20,56,282
2023-02-27,56,282
2023-03-06,56,282
2023-03-13,56,282
2023-03-20,56,282
2023-03-27,56,282
2023-04-03,56,282
2023-04-10,56,282
2023-04-17,57,283
2023-04-24,57,283
2023-05-01,57,283
2023-05-08,57,283
2023-05-15,57,283
2023-05-22,57,283
2023-05-29,57,283
2023-06-05,57,283
2023-06-12,57,283
2023-06-19,57,283
2023-06-26,57,283
2023-07-03,57,283
2023-07-10,57,283
2023-07-17,57,283
2023-07-24,57,283
2023-07-31,57,283
2023-08-07,57,283
2023-08-14,57,283
2023-08-21,57,283
2023-08-28,57,283
2023-09-04,57,283
2023-09-11,57,283
2023-09-18,57,283
2023-09-25,57,283
