TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,"NEW BUY (rank=1, cutoff=57)",NIFTY1,NIFTY1,2017-09-11,,100.99,,2008.7211,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=57)",SETFNN50,SETFNN50,2017-09-11,,295.35,,686.8486,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=57)",BANKBEES,BANKBEES,2017-09-11,,250.35,,810.3085,,RISK-ON
BUY,"NEW BUY (rank=13, cutoff=57)",SETFGOLD,SETFGOLD,2017-09-11,,27.59,,7352.691,,RISK-ON
BUY,"NEW BUY (rank=16, cutoff=57)",MIDSELIETF,MIDSELIETF,2017-09-11,,7.05,,28774.5738,,RISK-ON
SELL,TSL 5.7% >= 5%,SETFNN50,SETFNN50,2017-09-11,2017-10-02,295.35,281.0,686.8486,-9876.28,RISK-OFF
BUY,"NEW BUY (rank=2, cutoff=57)",LICNETFSEN,LICNETFSEN,2017-10-09,,356.0,,560.9617,,RISK-ON
SELL,TSL 5.8% >= 5%,SETFGOLD,SETFGOLD,2017-09-11,2017-12-11,27.59,25.97,7352.691,-11931.36,RISK-ON
SELL,TSL 6.0% >= 5%,LICNETFSEN,LICNETFSEN,2017-10-09,2017-12-11,356.0,331.3,560.9617,-13875.75,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=57)",CONSUMBEES,CONSUMBEES,2017-12-11,,51.37,,3883.6581,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=57)",JUNIORBEES,JUNIORBEES,2017-12-11,,306.13,,651.6954,,RISK-ON
SELL,TSL 9.9% >= 5%,MIDSELIETF,MIDSELIETF,2017-09-11,2018-02-05,7.05,7.09,28774.5738,1130.98,RISK-OFF
SELL,TSL 5.3% >= 5%,CONSUMBEES,CONSUMBEES,2017-12-11,2018-02-05,51.37,50.95,3883.6581,-1651.14,RISK-OFF
SELL,TSL 6.0% >= 5%,JUNIORBEES,JUNIORBEES,2017-12-11,2018-02-05,306.13,300.78,651.6954,-3506.57,RISK-OFF
SELL,TSL 6.7% >= 5%,BANKBEES,BANKBEES,2017-09-11,2018-02-12,250.35,261.59,810.3085,9087.87,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=56)",HNGSNGBEES,HNGSNGBEES,2018-04-09,,353.3,,557.8055,,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=56)",NEXT50BETA,NEXT50BETA,2018-04-09,,30.3,,6504.0492,,RISK-ON
BUY,"NEW BUY (rank=3, cutoff=56)",CONSUMBEES,CONSUMBEES,2018-04-09,,51.46,,3829.6287,,RISK-ON
BUY,"NEW BUY (rank=5, cutoff=56)",SENSEXBETA,SENSEXBETA,2018-04-09,,351.3,,560.9812,,RISK-ON
SELL,TSL 8.5% >= 5%,HNGSNGBEES,HNGSNGBEES,2018-04-09,2018-06-18,353.3,346.29,557.8055,-3930.22,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=56)",GOLDBETA,GOLDBETA,2018-06-18,,28.16,,7054.8376,,RISK-ON
SELL,TSL 5.5% >= 5%,NEXT50BETA,NEXT50BETA,2018-04-09,2018-06-25,30.3,29.0,6504.0492,-8475.26,RISK-ON
BUY,"NEW BUY (rank=2, cutoff=56)",HNGSNGBEES,HNGSNGBEES,2018-06-25,,319.43,,617.4865,,RISK-ON
SELL,TSL 5.4% >= 5%,GOLDBETA,GOLDBETA,2018-06-18,2018-08-06,28.16,26.54,7054.8376,-11448.84,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=56)",LICNFNHGP,LICNFNHGP,2018-08-06,,118.55,,1717.6652,,RISK-ON
SELL,TSL 5.4% >= 5%,HNGSNGBEES,HNGSNGBEES,2018-06-25,2018-09-03,319.43,342.5,617.4865,14225.41,RISK-ON
BUY,"NEW BUY (rank=9, cutoff=56)",BANKNIFTY1,BANKNIFTY1,2018-09-03,,28.6,,7228.5914,,RISK-ON
SELL,TSL 6.2% >= 5%,CONSUMBEES,CONSUMBEES,2018-04-09,2018-09-24,51.46,51.6,3829.6287,516.15,RISK-OFF
SELL,TSL 8.6% >= 5%,BANKNIFTY1,BANKNIFTY1,2018-09-03,2018-09-24,28.6,25.62,7228.5914,-21561.2,RISK-OFF
SELL,TSL 6.4% >= 5%,SENSEXBETA,SENSEXBETA,2018-04-09,2018-10-01,351.3,379.45,560.9812,15771.62,RISK-OFF
SELL,TSL 9.0% >= 5%,LICNFNHGP,LICNFNHGP,2018-08-06,2018-10-08,118.55,108.5,1717.6652,-17282.54,RISK-OFF
BUY,"NEW BUY (rank=5, cutoff=56)",HDFCSENSEX,HDFCSENSEX,2018-11-19,,37.16,,5136.6298,,RISK-ON
BUY,"NEW BUY (rank=7, cutoff=56)",SETF10GILT,SETF10GILT,2018-11-19,,166.0,,1149.8624,,RISK-ON
BUY,"NEW BUY (rank=14, cutoff=56)",SHARIABEES,SHARIABEES,2018-11-19,,245.5,,777.5037,,RISK-ON
BUY,"NEW BUY (rank=15, cutoff=56)",PSUBANK,PSUBANK,2018-11-19,,29.81,,6403.1252,,RISK-ON
SELL,52wk high DD 25.9% > 25%,PSUBANK,PSUBANK,2018-11-19,2018-11-26,29.81,29.17,6403.1252,-4118.0,RISK-OFF
BUY,"NEW BUY (rank=7, cutoff=56)",LICNETFGSC,LICNETFGSC,2018-12-03,,16.39,,11635.3279,,RISK-ON
SELL,Rank 57 > 56,NIFTY1,NIFTY1,2017-09-11,2019-05-06,100.99,100.99,2008.7211,-20.0,RISK-ON
BUY,"NEW BUY (rank=1, cutoff=56)",SETFNIFBK,SETFNIFBK,2019-05-06,,299.43,,671.2322,,RISK-ON
SELL,TSL 5.3% >= 5%,SHARIABEES,SHARIABEES,2018-11-19,2019-05-13,245.5,249.18,777.5037,2841.21,RISK-OFF
BUY,"NEW BUY (rank=3, cutoff=56)",CPSEETF,CPSEETF,2019-05-27,,27.99,,7397.7576,,RISK-ON
SELL,TSL 8.1% >= 5%,LICNETFGSC,LICNETFGSC,2018-12-03,2019-07-01,16.39,20.0,11635.3279,41983.53,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=56)",NIFTYBEES,NIFTYBEES,2019-07-01,,124.93,,1677.3601,,RISK-ON
SELL,TSL 8.5% >= 5%,CPSEETF,CPSEETF,2019-05-27,2019-07-15,27.99,25.97,7397.7576,-14963.47,RISK-OFF
SELL,TSL 5.1% >= 5%,SETFNIFBK,SETFNIFBK,2019-05-06,2019-07-22,299.43,296.68,671.2322,-1865.89,RISK-OFF
SELL,TSL 6.6% >= 5%,HDFCSENSEX,HDFCSENSEX,2018-11-19,2019-08-05,37.16,39.65,5136.6298,12770.21,RISK-OFF
SELL,TSL 7.8% >= 5%,SETF10GILT,SETF10GILT,2018-11-19,2019-08-05,166.0,207.86,1149.8624,48113.24,RISK-OFF
SELL,TSL 6.9% >= 5%,NIFTYBEES,NIFTYBEES,2019-07-01,2019-08-05,124.93,115.15,1677.3601,-16424.58,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=56)",SETFGOLD,SETFGOLD,2019-09-23,,33.67,,6087.1538,,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=56)",LICNETFGSC,LICNETFGSC,2019-09-23,,20.97,,9773.699,,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=56)",LICNETFSEN,LICNETFSEN,2019-09-23,,435.1,,471.0514,,RISK-ON
BUY,"NEW BUY (rank=13, cutoff=56)",SETF10GILT,SETF10GILT,2019-09-23,,175.25,,1169.4977,,RISK-ON
BUY,"NEW BUY (rank=15, cutoff=56)",CONSUMBEES,CONSUMBEES,2019-09-23,,53.52,,3829.493,,RISK-ON
SELL,TSL 5.6% >= 5%,LICNETFGSC,LICNETFGSC,2019-09-23,2019-09-30,20.97,20.69,9773.699,-2756.64,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=56)",LICNETFGSC,LICNETFGSC,2019-09-30,,20.69,,10163.7754,,RISK-ON
SELL,TSL 9.6% >= 5%,LICNETFSEN,LICNETFSEN,2019-09-23,2019-10-07,435.1,475.0,471.0514,18774.95,RISK-OFF
SELL,TSL 5.1% >= 5%,SETF10GILT,SETF10GILT,2019-09-23,2019-10-07,175.25,180.01,1169.4977,5546.81,RISK-OFF
BUY,"NEW BUY (rank=12, cutoff=56)",LICNETFSEN,LICNETFSEN,2019-10-14,,477.34,,435.2745,,RISK-ON
BUY,"NEW BUY (rank=13, cutoff=56)",SETF10GILT,SETF10GILT,2019-10-14,,178.09,,1166.6795,,RISK-ON
SELL,TSL 5.9% >= 5%,LICNETFGSC,LICNETFGSC,2019-09-30,2019-12-02,20.69,20.66,10163.7754,-324.91,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=57)",HNGSNGBEES,HNGSNGBEES,2019-12-02,,323.19,,654.6365,,RISK-ON
SELL,TSL 5.3% >= 5%,CONSUMBEES,CONSUMBEES,2019-09-23,2019-12-09,53.52,52.09,3829.493,-5496.18,RISK-ON
BUY,"NEW BUY (rank=13, cutoff=56)",LICNFNHGP,LICNFNHGP,2019-12-09,,123.5,,1725.1995,,RISK-ON
SELL,TSL 7.3% >= 5%,HNGSNGBEES,HNGSNGBEES,2019-12-02,2019-12-30,323.19,361.0,654.6365,24731.81,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=56)",HNGSNGBEES,HNGSNGBEES,2019-12-30,,361.0,,613.7442,,RISK-ON
SELL,TSL 5.5% >= 5%,SETF10GILT,SETF10GILT,2019-10-14,2020-01-13,178.09,189.99,1166.6795,13863.49,RISK-ON
BUY,"NEW BUY (rank=9, cutoff=56)",ABSLNN50ET,ABSLNN50ET,2020-01-13,,28.91,,7697.3225,,RISK-ON
SELL,TSL 7.0% >= 5%,LICNFNHGP,LICNFNHGP,2019-12-09,2020-02-03,123.5,138.37,1725.1995,25633.72,RISK-OFF
SELL,TSL 9.1% >= 5%,HNGSNGBEES,HNGSNGBEES,2019-12-30,2020-02-03,361.0,362.2,613.7442,716.49,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=56)",MID150BEES,MID150BEES,2020-02-10,,67.35,,3373.4396,,RISK-ON
BUY,"NEW BUY (rank=4, cutoff=56)",CONSUMBEES,CONSUMBEES,2020-02-10,,54.61,,4160.4313,,RISK-ON
SELL,TSL 8.6% >= 5%,ABSLNN50ET,ABSLNN50ET,2020-01-13,2020-03-02,28.91,27.0,7697.3225,-14721.89,RISK-OFF
SELL,TSL 7.2% >= 5%,MID150BEES,MID150BEES,2020-02-10,2020-03-02,67.35,62.56,3373.4396,-16178.78,RISK-OFF
SELL,TSL 12.5% >= 5%,LICNETFSEN,LICNETFSEN,2019-10-14,2020-03-09,477.34,454.0,435.2745,-10179.31,RISK-OFF
SELL,TSL 6.2% >= 5%,CONSUMBEES,CONSUMBEES,2020-02-10,2020-03-09,54.61,50.15,4160.4313,-18575.52,RISK-OFF
SELL,TSL 5.7% >= 5%,SETFGOLD,SETFGOLD,2019-09-23,2020-03-16,33.67,36.92,6087.1538,19763.25,RISK-OFF
BUY,"NEW BUY (rank=1, cutoff=53)",GOLDBETA,GOLDBETA,2020-05-04,,43.92,,4863.2709,,RISK-ON
BUY,"NEW BUY (rank=11, cutoff=53)",LICNETFGSC,LICNETFGSC,2020-05-04,,22.14,,9647.4642,,RISK-ON
BUY,"NEW BUY (rank=12, cutoff=53)",LTGILTBEES,LTGILTBEES,2020-05-04,,21.48,,9943.8947,,RISK-ON
BUY,"NEW BUY (rank=14, cutoff=53)",HNGSNGBEES,HNGSNGBEES,2020-05-04,,347.48,,614.6968,,RISK-ON
BUY,"NEW BUY (rank=15, cutoff=53)",ABSLNN50ET,ABSLNN50ET,2020-05-04,,24.34,,8775.4666,,RISK-ON
SELL,52wk high DD 31.8% > 25% | TSL 5.3% >= 5%,ABSLNN50ET,ABSLNN50ET,2020-05-04,2020-05-11,24.34,24.98,8775.4666,5596.3,RISK-OFF
BUY,"NEW BUY (rank=15, cutoff=52)",SHARIABEES,SHARIABEES,2020-06-01,,238.67,,901.8252,,RISK-ON
