TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,MONTHLY PICK (rank=1),NIFTY1,NIFTY1,2017-10-02,,100.99,,2010.3729,,PARTIAL
BUY,MONTHLY PICK (rank=2),BANKNIFTY1,BANKNIFTY1,2017-10-02,,24.6,,8253.1529,,PARTIAL
BUY,MONTHLY PICK (rank=5),LICNETFSEN,LICNETFSEN,2017-10-02,,352.0,,576.7828,,PARTIAL
SELL,INTRA-MONTH EXIT: Rank 43 > 40 (moved to cash),NIFTY1,NIFTY1,2017-10-02,2017-10-20,100.99,100.99,2010.3729,-20.0,PARTIAL
SELL,MONTH-END FLUSH,BANKNIFTY1,BANKNIFTY1,2017-10-02,2017-10-31,24.6,25.6,8253.1529,8233.15,PARTIAL
SELL,MONTH-END FLUSH,LICNETFSEN,LICNETFSEN,2017-10-02,2017-10-31,352.0,356.0,576.7828,2287.13,PARTIAL
BUY,MONTHLY PICK (rank=1),SETFNIF50,SETFNIF50,2017-11-01,,106.0,,1936.1882,,BULL
BUY,MONTHLY PICK (rank=7),SETFNN50,SETFNN50,2017-11-01,,308.95,,664.3015,,BULL
BUY,MONTHLY PICK (rank=9),NIF100BEES,NIF100BEES,2017-11-01,,111.4,,1842.3335,,BULL
BUY,MONTHLY PICK (rank=10),SENSEXBETA,SENSEXBETA,2017-11-01,,349.5,,587.2273,,BULL
BUY,MONTHLY PICK (rank=11),BANKNIFTY1,BANKNIFTY1,2017-11-01,,25.91,,7921.1095,,BULL
SELL,INTRA-MONTH EXIT: TSL 5.6% >= 5% (moved to cash),SETFNN50,SETFNN50,2017-11-01,2017-11-15,308.95,292.93,664.3015,-10662.11,BULL
SELL,MONTH-END FLUSH,SETFNIF50,SETFNIF50,2017-11-01,2017-11-30,106.0,104.02,1936.1882,-3853.65,BULL
SELL,MONTH-END FLUSH,NIF100BEES,NIF100BEES,2017-11-01,2017-11-30,111.4,109.95,1842.3335,-2691.38,BULL
SELL,MONTH-END FLUSH,SENSEXBETA,SENSEXBETA,2017-11-01,2017-11-30,349.5,346.95,587.2273,-1517.43,BULL
SELL,MONTH-END FLUSH,BANKNIFTY1,BANKNIFTY1,2017-11-01,2017-11-30,25.91,26.05,7921.1095,1088.96,BULL
BUY,MONTHLY PICK (rank=1),JUNIORBEES,JUNIORBEES,2017-12-01,,300.88,,670.4445,,BULL
BUY,MONTHLY PICK (rank=2),NV20,NV20,2017-12-01,,4535.95,,44.4721,,BULL
BUY,MONTHLY PICK (rank=3),CONSUMBEES,CONSUMBEES,2017-12-01,,49.87,,4044.9838,,BULL
BUY,MONTHLY PICK (rank=6),MIDSELIETF,MIDSELIETF,2017-12-01,,7.35,,27445.3523,,BULL
BUY,MONTHLY PICK (rank=7),LICNETFSEN,LICNETFSEN,2017-12-01,,368.0,,548.1612,,BULL
SELL,INTRA-MONTH EXIT: TSL 9.5% >= 5% (moved to cash),LICNETFSEN,LICNETFSEN,2017-12-01,2017-12-04,368.0,333.0,548.1612,-19205.64,BULL
SELL,INTRA-MONTH EXIT: TSL 8.0% >= 5% (moved to cash),CONSUMBEES,CONSUMBEES,2017-12-01,2017-12-22,49.87,52.98,4044.9838,12559.9,BULL
SELL,MONTH-END FLUSH,JUNIORBEES,JUNIORBEES,2017-12-01,2017-12-29,300.88,314.31,670.4445,8984.07,BULL
SELL,MONTH-END FLUSH,NV20,NV20,2017-12-01,2017-12-29,4535.95,4732.0,44.4721,8698.76,BULL
SELL,MONTH-END FLUSH,MIDSELIETF,MIDSELIETF,2017-12-01,2017-12-29,7.35,7.81,27445.3523,12604.86,BULL
BUY,MONTHLY PICK (rank=1),NV20,NV20,2018-01-01,,4685.05,,44.0748,,BULL
BUY,MONTHLY PICK (rank=2),MOM100,MOM100,2018-01-01,,21.8,,9472.1472,,BULL
BUY,MONTHLY PICK (rank=3),JUNIORBEES,JUNIORBEES,2018-01-01,,315.5,,654.4939,,BULL
BUY,MONTHLY PICK (rank=5),CPSEETF,CPSEETF,2018-01-01,,30.15,,6848.8494,,BULL
BUY,MONTHLY PICK (rank=11),INFRABEES,INFRABEES,2018-01-01,,371.7,,555.5362,,BULL
SELL,MONTH-END FLUSH,NV20,NV20,2018-01-01,2018-01-31,4685.05,5022.75,44.0748,14864.07,BULL
SELL,MONTH-END FLUSH,MOM100,MOM100,2018-01-01,2018-01-31,21.8,23.18,9472.1472,13051.56,BULL
SELL,MONTH-END FLUSH,JUNIORBEES,JUNIORBEES,2018-01-01,2018-01-31,315.5,309.59,654.4939,-3888.06,BULL
SELL,MONTH-END FLUSH,CPSEETF,CPSEETF,2018-01-01,2018-01-31,30.15,31.04,6848.8494,6075.48,BULL
SELL,MONTH-END FLUSH,INFRABEES,INFRABEES,2018-01-01,2018-01-31,371.7,369.96,555.5362,-986.63,BULL
BUY,MONTHLY PICK (rank=1),NV20,NV20,2018-02-01,,4984.0,,42.5979,,BULL
BUY,MONTHLY PICK (rank=2),MOM100,MOM100,2018-02-01,,22.87,,9283.2413,,BULL
BUY,MONTHLY PICK (rank=3),LOWVOLIETF,LOWVOLIETF,2018-02-01,,8.42,,25214.6945,,BULL
BUY,MONTHLY PICK (rank=7),CPSEETF,CPSEETF,2018-02-01,,30.6,,6938.161,,BULL
BUY,MONTHLY PICK (rank=9),HNGSNGBEES,HNGSNGBEES,2018-02-01,,326.0,,651.2507,,BULL
SELL,INTRA-MONTH EXIT: TSL 5.5% >= 5% (moved to cash),NV20,NV20,2018-02-01,2018-02-19,4984.0,4709.85,42.5979,-11698.2,BULL
SELL,INTRA-MONTH EXIT: TSL 5.7% >= 5% (moved to cash),MOM100,MOM100,2018-02-01,2018-02-19,22.87,21.56,9283.2413,-12181.05,BULL
SELL,INTRA-MONTH EXIT: TSL 7.4% >= 5% (moved to cash),HNGSNGBEES,HNGSNGBEES,2018-02-01,2018-02-19,326.0,310.0,651.2507,-10440.01,BULL
SELL,MONTH-END FLUSH,LOWVOLIETF,LOWVOLIETF,2018-02-01,2018-02-28,8.42,8.14,25214.6945,-7080.11,BULL
SELL,MONTH-END FLUSH,CPSEETF,CPSEETF,2018-02-01,2018-02-28,30.6,29.79,6938.161,-5639.91,BULL
BUY,MONTHLY PICK (rank=1),NV20,NV20,2018-03-01,,4743.55,,42.7817,,PARTIAL
BUY,MONTHLY PICK (rank=2),HNGSNGBEES,HNGSNGBEES,2018-03-01,,325.0,,624.4222,,PARTIAL
BUY,MONTHLY PICK (rank=5),CPSEETF,CPSEETF,2018-03-01,,29.84,,6800.8454,,PARTIAL
SELL,INTRA-MONTH EXIT: TSL 8.3% >= 5% (moved to cash),HNGSNGBEES,HNGSNGBEES,2018-03-01,2018-03-09,325.0,322.52,624.4222,-1568.57,PARTIAL
SELL,INTRA-MONTH EXIT: TSL 6.5% >= 5% (moved to cash),CPSEETF,CPSEETF,2018-03-01,2018-03-19,29.84,27.89,6800.8454,-13281.65,PARTIAL
SELL,INTRA-MONTH EXIT: TSL 5.5% >= 5% (moved to cash),NV20,NV20,2018-03-01,2018-03-23,4743.55,4483.85,42.7817,-11130.41,PARTIAL
BUY,MONTHLY PICK (rank=1),GOLD1,GOLD1,2018-05-01,,27.96,,7085.966,,BULL
BUY,MONTHLY PICK (rank=2),HNGSNGBEES,HNGSNGBEES,2018-05-01,,360.0,,550.3434,,BULL
BUY,MONTHLY PICK (rank=3),LOWVOLIETF,LOWVOLIETF,2018-05-01,,8.62,,22984.1775,,BULL
BUY,MONTHLY PICK (rank=11),CONSUMBEES,CONSUMBEES,2018-05-01,,53.0,,3738.1813,,BULL
BUY,MONTHLY PICK (rank=14),HDFCNIFTY,HDFCNIFTY,2018-05-01,,110.57,,1791.8387,,BULL
SELL,INTRA-MONTH EXIT: TSL 6.1% >= 5% (moved to cash),HNGSNGBEES,HNGSNGBEES,2018-05-01,2018-05-07,360.0,338.17,550.3434,-12034.0,BULL
SELL,MONTH-END FLUSH,GOLD1,GOLD1,2018-05-01,2018-05-31,27.96,27.38,7085.966,-4129.86,BULL
SELL,MONTH-END FLUSH,LOWVOLIETF,LOWVOLIETF,2018-05-01,2018-05-31,8.62,8.5,22984.1775,-2778.1,BULL
SELL,MONTH-END FLUSH,CONSUMBEES,CONSUMBEES,2018-05-01,2018-05-31,53.0,52.7,3738.1813,-1141.45,BULL
SELL,MONTH-END FLUSH,HDFCNIFTY,HDFCNIFTY,2018-05-01,2018-05-31,110.57,109.99,1791.8387,-1059.27,BULL
BUY,MONTHLY PICK (rank=1),GOLDBETA,GOLDBETA,2018-06-01,,28.03,,6918.3884,,BULL
BUY,MONTHLY PICK (rank=2),HNGSNGBEES,HNGSNGBEES,2018-06-01,,375.41,,516.5617,,BULL
BUY,MONTHLY PICK (rank=8),NIFTYBEES,NIFTYBEES,2018-06-01,,110.99,,1747.2063,,BULL
BUY,MONTHLY PICK (rank=11),SETFNIFBK,SETFNIFBK,2018-06-01,,269.64,,719.1901,,BULL
BUY,MONTHLY PICK (rank=14),LOWVOLIETF,LOWVOLIETF,2018-06-01,,8.59,,22575.3697,,BULL
SELL,INTRA-MONTH EXIT: TSL 9.7% >= 5% (moved to cash),HNGSNGBEES,HNGSNGBEES,2018-06-01,2018-06-15,375.41,354.25,516.5617,-10950.45,BULL
SELL,INTRA-MONTH EXIT: TSL 5.3% >= 5% (moved to cash),LOWVOLIETF,LOWVOLIETF,2018-06-01,2018-06-29,8.59,8.43,22575.3697,-3632.06,BULL
SELL,MONTH-END FLUSH,GOLDBETA,GOLDBETA,2018-06-01,2018-06-29,28.03,27.58,6918.3884,-3133.27,BULL
SELL,MONTH-END FLUSH,NIFTYBEES,NIFTYBEES,2018-06-01,2018-06-29,110.99,111.19,1747.2063,329.44,BULL
SELL,MONTH-END FLUSH,SETFNIFBK,SETFNIFBK,2018-06-01,2018-06-29,269.64,266.14,719.1901,-2537.17,BULL
BUY,MONTHLY PICK (rank=1),HDFCNIFTY,HDFCNIFTY,2018-08-01,,117.15,,1623.366,,BULL
BUY,MONTHLY PICK (rank=3),CONSUMBEES,CONSUMBEES,2018-08-01,,54.9,,3464.0679,,BULL
BUY,MONTHLY PICK (rank=4),SENSEXBETA,SENSEXBETA,2018-08-01,,392.05,,485.0844,,BULL
BUY,MONTHLY PICK (rank=6),NIF100IETF,NIF100IETF,2018-08-01,,12.27,,15499.3745,,BULL
BUY,MONTHLY PICK (rank=11),BANKBEES,BANKBEES,2018-08-01,,279.99,,679.229,,BULL
SELL,MONTH-END FLUSH,HDFCNIFTY,HDFCNIFTY,2018-08-01,2018-08-31,117.15,120.69,1623.366,5726.72,BULL
SELL,MONTH-END FLUSH,CONSUMBEES,CONSUMBEES,2018-08-01,2018-08-31,54.9,56.82,3464.0679,6631.01,BULL
SELL,MONTH-END FLUSH,SENSEXBETA,SENSEXBETA,2018-08-01,2018-08-31,392.05,404.75,485.0844,6140.57,BULL
SELL,MONTH-END FLUSH,NIF100IETF,NIF100IETF,2018-08-01,2018-08-31,12.27,12.62,15499.3745,5404.78,BULL
SELL,MONTH-END FLUSH,BANKBEES,BANKBEES,2018-08-01,2018-08-31,279.99,286.29,679.229,4259.14,BULL
BUY,MONTHLY PICK (rank=1),NV20,NV20,2018-09-03,,5445.0,,35.9597,,BULL
BUY,MONTHLY PICK (rank=7),SENSEXBETA,SENSEXBETA,2018-09-03,,404.0,,484.6547,,BULL
BUY,MONTHLY PICK (rank=8),NIF100IETF,NIF100IETF,2018-09-03,,12.73,,15381.029,,BULL
BUY,MONTHLY PICK (rank=9),BANKNIFTY1,BANKNIFTY1,2018-09-03,,28.6,,6846.1713,,BULL
BUY,MONTHLY PICK (rank=10),CONSUMBEES,CONSUMBEES,2018-09-03,,57.0,,3435.0965,,BULL
SELL,INTRA-MONTH EXIT: TSL 5.0% >= 5% (moved to cash),CONSUMBEES,CONSUMBEES,2018-09-03,2018-09-06,57.0,54.15,3435.0965,-9810.02,BULL
SELL,INTRA-MONTH EXIT: TSL 5.2% >= 5% (moved to cash),BANKNIFTY1,BANKNIFTY1,2018-09-03,2018-09-18,28.6,27.12,6846.1713,-10152.33,BULL
SELL,INTRA-MONTH EXIT: TSL 6.4% >= 5% (moved to cash),SENSEXBETA,SENSEXBETA,2018-09-03,2018-09-21,404.0,385.99,484.6547,-8748.63,BULL
SELL,INTRA-MONTH EXIT: TSL 5.4% >= 5% (moved to cash),NIF100IETF,NIF100IETF,2018-09-03,2018-09-21,12.73,12.04,15381.029,-10632.91,BULL
