TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,NEW BUY (rank=2),SETFNN50,SETFNN50,2017-09-11,,295.35,,686.8486,,BULL
BUY,NEW BUY (rank=4),BANKBEES,BANKBEES,2017-09-11,,250.35,,810.3085,,BULL
BUY,NEW BUY (rank=13),SETFGOLD,SETFGOLD,2017-09-11,,27.59,,7352.691,,BULL
BUY,NEW BUY (rank=16),MIDSELIETF,MIDSELIETF,2017-09-11,,7.05,,28774.5738,,BULL
BUY,NEW BUY (rank=1),NIFTY1,NIFTY1,2017-09-11,,100.99,,2008.7211,,BULL
SELL,Regime slot reduction / sector cap / rank cut,SETFGOLD,SETFGOLD,2017-09-11,2017-10-02,27.59,27.11,7352.691,-3549.29,PARTIAL
SELL,TSL 5.7% >= 5%,SETFNN50,SETFNN50,2017-09-11,2017-10-02,295.35,281.0,686.8486,-9876.28,PARTIAL
BUY,NEW BUY (rank=2),LICNETFSEN,LICNETFSEN,2017-10-09,,356.0,,560.5268,,BULL
BUY,NEW BUY (rank=4),HNGSNGBEES,HNGSNGBEES,2017-10-09,,280.45,,711.5263,,BULL
SELL,Rank 48 > 40,NIFTY1,NIFTY1,2017-09-11,2017-10-30,100.99,100.99,2008.7211,-20.0,BULL
BUY,NEW BUY (rank=1),QNIFTY,QNIFTY,2017-10-30,,111.59,,1797.6332,,BULL
SELL,TSL 10.0% >= 5%,LICNETFSEN,LICNETFSEN,2017-10-09,2017-12-11,356.0,331.3,560.5268,-13865.01,BULL
BUY,NEW BUY (rank=3),CONSUMBEES,CONSUMBEES,2017-12-11,,51.37,,3933.1194,,BULL
SELL,TSL 10.3% >= 5%,MIDSELIETF,MIDSELIETF,2017-09-11,2018-02-05,7.05,7.09,28774.5738,1130.98,PARTIAL
SELL,TSL 5.2% >= 5%,CONSUMBEES,CONSUMBEES,2017-12-11,2018-02-05,51.37,50.95,3933.1194,-1671.91,PARTIAL
SELL,TSL 5.9% >= 5%,BANKBEES,BANKBEES,2017-09-11,2018-02-12,250.35,261.59,810.3085,9087.87,BEAR
SELL,Regime slot reduction / sector cap / rank cut,QNIFTY,QNIFTY,2017-10-30,2018-02-12,111.59,113.68,1797.6332,3737.05,BEAR
SELL,Regime slot reduction / sector cap / rank cut,HNGSNGBEES,HNGSNGBEES,2017-10-09,2018-02-12,280.45,325.0,711.5263,31678.49,BEAR
BUY,NEW BUY (rank=2),NEXT50BETA,NEXT50BETA,2018-04-09,,30.3,,6819.7463,,PARTIAL
BUY,NEW BUY (rank=3),CONSUMBEES,CONSUMBEES,2018-04-09,,51.46,,4015.5133,,PARTIAL
BUY,NEW BUY (rank=1),HNGSNGBEES,HNGSNGBEES,2018-04-09,,353.3,,584.8806,,PARTIAL
BUY,NEW BUY (rank=2),GOLDBETA,GOLDBETA,2018-04-23,,28.22,,7367.4657,,BULL
BUY,NEW BUY (rank=3),LOWVOLIETF,LOWVOLIETF,2018-04-23,,8.55,,24316.9454,,BULL
SELL,Regime slot reduction / sector cap / rank cut,CONSUMBEES,CONSUMBEES,2018-04-09,2018-05-21,51.46,51.49,4015.5133,100.47,BEAR
SELL,Regime slot reduction / sector cap / rank cut,GOLDBETA,GOLDBETA,2018-04-23,2018-05-21,28.22,27.96,7367.4657,-1935.54,BEAR
