TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,ENTRY_PRICE,EXIT_PRICE,SHARES,NET_PNL,REGIME
BUY,NEW BUY (rank=17),NIF100BEES,NIF100BEES,2017-09-11,,106.88,,1898.0234,,BULL
BUY,NEW BUY (rank=4),BANKBEES,BANKBEES,2017-09-11,,250.35,,810.3085,,BULL
BUY,NEW BUY (rank=2),JUNIORBEES,JUNIORBEES,2017-09-11,,291.58,,695.7293,,BULL
BUY,NEW BUY (rank=1),NIFTY1,NIFTY1,2017-09-11,,100.99,,2008.7211,,BULL
BUY,NEW BUY (rank=10),MIDSELIETF,MIDSELIETF,2017-09-11,,7.05,,28774.5738,,BULL
SELL,Regime slot reduction / sector cap / rank cut,JUNIORBEES,JUNIORBEES,2017-09-11,2017-10-02,291.58,279.13,695.7293,-8681.83,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,NIF100BEES,NIF100BEES,2017-09-11,2017-10-02,106.88,103.65,1898.0234,-6150.62,PARTIAL
BUY,NEW BUY (rank=10),JUNIORBEES,JUNIORBEES,2017-10-09,,285.99,,696.7589,,BULL
BUY,NEW BUY (rank=8),HNGSNGBEES,HNGSNGBEES,2017-10-09,,280.45,,710.5227,,BULL
SELL,Rank 48 > 40,NIFTY1,NIFTY1,2017-09-11,2017-10-30,100.99,100.99,2008.7211,-20.0,BULL
BUY,NEW BUY (rank=1),QNIFTY,QNIFTY,2017-10-30,,111.59,,1814.4324,,BULL
SELL,TSL 6.7% >= 5%,JUNIORBEES,JUNIORBEES,2017-10-09,2018-02-05,285.99,300.78,696.7589,10285.06,PARTIAL
SELL,TSL 10.3% >= 5%,MIDSELIETF,MIDSELIETF,2017-09-11,2018-02-05,7.05,7.09,28774.5738,1130.98,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,QNIFTY,QNIFTY,2017-10-30,2018-02-12,111.59,113.68,1814.4324,3772.16,BEAR
SELL,TSL 5.9% >= 5%,BANKBEES,BANKBEES,2017-09-11,2018-02-12,250.35,261.59,810.3085,9087.87,BEAR
SELL,Regime slot reduction / sector cap / rank cut,HNGSNGBEES,HNGSNGBEES,2017-10-09,2018-02-12,280.45,325.0,710.5227,31633.79,BEAR
BUY,NEW BUY (rank=3),NEXT50BETA,NEXT50BETA,2018-04-09,,30.3,,6981.5275,,PARTIAL
BUY,NEW BUY (rank=2),NV20,NV20,2018-04-09,,4596.1,,46.026,,PARTIAL
BUY,NEW BUY (rank=1),HNGSNGBEES,HNGSNGBEES,2018-04-09,,353.3,,598.7554,,PARTIAL
BUY,NEW BUY (rank=3),GOLDBETA,GOLDBETA,2018-04-23,,28.22,,7562.3361,,BULL
BUY,NEW BUY (rank=2),LOWVOLIETF,LOWVOLIETF,2018-04-23,,8.55,,24960.1315,,BULL
SELL,Regime slot reduction / sector cap / rank cut,NV20,NV20,2018-04-09,2018-05-21,4596.1,4740.15,46.026,6610.05,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LOWVOLIETF,LOWVOLIETF,2018-04-23,2018-05-21,8.55,8.46,24960.1315,-2266.41,BEAR
SELL,TSL 6.4% >= 5%,NEXT50BETA,NEXT50BETA,2018-04-09,2018-05-21,30.3,28.56,6981.5275,-12167.86,BEAR
SELL,Regime slot reduction / sector cap / rank cut,GOLDBETA,GOLDBETA,2018-04-23,2018-05-21,28.22,27.96,7562.3361,-1986.21,BEAR
SELL,Regime slot reduction / sector cap / rank cut,HNGSNGBEES,HNGSNGBEES,2018-04-09,2018-05-21,353.3,360.0,598.7554,3991.66,BEAR
BUY,NEW BUY (rank=3),NV20,NV20,2018-06-04,,4801.2,,43.8468,,PARTIAL
BUY,NEW BUY (rank=1),HNGSNGBEES,HNGSNGBEES,2018-06-04,,368.82,,570.7865,,PARTIAL
BUY,NEW BUY (rank=2),LOWVOLIETF,LOWVOLIETF,2018-06-04,,8.52,,24708.6232,,PARTIAL
BUY,NEW BUY (rank=12),SENSEXBETA,SENSEXBETA,2018-06-11,,371.5,,576.6384,,BULL
BUY,NEW BUY (rank=6),QGOLDHALF,QGOLDHALF,2018-06-11,,27.54,,7778.5464,,BULL
SELL,Regime slot reduction / sector cap / rank cut,NV20,NV20,2018-06-04,2018-07-02,4801.2,4813.15,43.8468,503.97,BEAR
SELL,Regime slot reduction / sector cap / rank cut,SENSEXBETA,SENSEXBETA,2018-06-11,2018-07-02,371.5,363.15,576.6384,-4834.93,BEAR
SELL,Regime slot reduction / sector cap / rank cut,QGOLDHALF,QGOLDHALF,2018-06-11,2018-07-02,27.54,27.04,7778.5464,-3909.27,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LOWVOLIETF,LOWVOLIETF,2018-06-04,2018-07-02,8.52,8.45,24708.6232,-1749.6,BEAR
SELL,TSL 11.9% >= 5%,HNGSNGBEES,HNGSNGBEES,2018-06-04,2018-07-02,368.82,340.86,570.7865,-15979.19,BEAR
BUY,NEW BUY (rank=3),NV20,NV20,2018-07-16,,4970.15,,41.3344,,BULL
BUY,NEW BUY (rank=4),SENSEXBETA,SENSEXBETA,2018-07-16,,380.5,,539.9161,,BULL
BUY,NEW BUY (rank=2),LOWVOLIETF,LOWVOLIETF,2018-07-16,,8.75,,23478.6384,,BULL
BUY,NEW BUY (rank=11),CONSUMBEES,CONSUMBEES,2018-07-16,,54.11,,3796.675,,BULL
BUY,NEW BUY (rank=1),HNGSNGBEES,HNGSNGBEES,2018-07-16,,333.16,,616.6349,,BULL
SELL,Regime slot reduction / sector cap / rank cut,HNGSNGBEES,HNGSNGBEES,2018-07-16,2018-09-03,333.16,342.5,616.6349,5739.37,BULL
BUY,NEW BUY (rank=12),BANKNIFTY1,BANKNIFTY1,2018-09-03,,28.6,,7600.9652,,BULL
SELL,Regime slot reduction / sector cap / rank cut,NV20,NV20,2018-07-16,2018-09-24,4970.15,5317.4,41.3344,14333.36,BEAR
SELL,TSL 5.8% >= 5%,SENSEXBETA,SENSEXBETA,2018-07-16,2018-09-24,380.5,381.22,539.9161,368.74,BEAR
SELL,TSL 5.3% >= 5%,LOWVOLIETF,LOWVOLIETF,2018-07-16,2018-09-24,8.75,8.76,23478.6384,214.79,BEAR
SELL,TSL 9.2% >= 5%,CONSUMBEES,CONSUMBEES,2018-07-16,2018-09-24,54.11,51.6,3796.675,-9549.65,BEAR
SELL,TSL 10.4% >= 5%,BANKNIFTY1,BANKNIFTY1,2018-09-03,2018-09-24,28.6,25.62,7600.9652,-22670.88,BEAR
BUY,NEW BUY (rank=5),SETF10GILT,SETF10GILT,2018-12-31,,170.0,,1199.2987,,PARTIAL
BUY,NEW BUY (rank=1),LICNETFGSC,LICNETFGSC,2018-12-31,,17.85,,11421.892,,PARTIAL
BUY,NEW BUY (rank=2),NV20IETF,NV20IETF,2018-12-31,,5.26,,38760.6032,,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,SETF10GILT,SETF10GILT,2018-12-31,2019-01-07,170.0,170.0,1199.2987,-20.0,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2018-12-31,2019-01-07,17.85,17.92,11421.892,779.53,BEAR
SELL,Regime slot reduction / sector cap / rank cut,NV20IETF,NV20IETF,2018-12-31,2019-01-07,5.26,5.22,38760.6032,-1570.42,BEAR
BUY,NEW BUY (rank=11),SETF10GILT,SETF10GILT,2019-01-14,,171.0,,1191.7238,,PARTIAL
BUY,NEW BUY (rank=9),LICNETFGSC,LICNETFGSC,2019-01-14,,17.95,,11352.912,,PARTIAL
BUY,NEW BUY (rank=1),GOLDBETA,GOLDBETA,2019-01-14,,28.78,,7080.7773,,PARTIAL
SELL,Regime slot reduction / sector cap / rank cut,SETF10GILT,SETF10GILT,2019-01-14,2019-01-28,171.0,168.0,1191.7238,-3595.17,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2019-01-14,2019-01-28,17.95,17.75,11352.912,-2290.58,BEAR
SELL,Regime slot reduction / sector cap / rank cut,GOLDBETA,GOLDBETA,2019-01-14,2019-01-28,28.78,29.06,7080.7773,1962.62,BEAR
BUY,NEW BUY (rank=1),IVZINGOLD,IVZINGOLD,2019-03-11,,28.97,,7019.9128,,PARTIAL
BUY,NEW BUY (rank=3),SETFNIFBK,SETFNIFBK,2019-03-11,,282.1,,720.9035,,PARTIAL
BUY,NEW BUY (rank=6),LICNETFGSC,LICNETFGSC,2019-03-11,,17.9,,11361.2779,,PARTIAL
BUY,NEW BUY (rank=4),NV20BEES,NV20BEES,2019-03-18,,58.31,,3520.5564,,BULL
BUY,NEW BUY (rank=13),PSUBANK,PSUBANK,2019-03-18,,30.93,,6637.0398,,BULL
SELL,Rank 44 > 40,IVZINGOLD,IVZINGOLD,2019-03-11,2019-04-08,28.97,29.05,7019.9128,541.59,BULL
BUY,NEW BUY (rank=12),SNXT50BETA,SNXT50BETA,2019-04-08,,37.5,,5554.854,,BULL
SELL,TSL 5.5% >= 5%,PSUBANK,PSUBANK,2019-03-18,2019-04-29,30.93,31.29,6637.0398,2369.33,BULL
BUY,NEW BUY (rank=12),SENSEXBETA,SENSEXBETA,2019-04-29,,412.57,,506.4716,,BULL
SELL,TSL 15.5% >= 5%,SNXT50BETA,SNXT50BETA,2019-04-08,2019-05-06,37.5,32.68,5554.854,-26794.4,BULL
BUY,NEW BUY (rank=12),NIF100IETF,NIF100IETF,2019-05-06,,12.44,,16147.79,,BULL
SELL,TSL 5.2% >= 5%,SENSEXBETA,SENSEXBETA,2019-04-29,2019-05-13,412.57,391.31,506.4716,-10787.59,BEAR
SELL,Regime slot reduction / sector cap / rank cut,LICNETFGSC,LICNETFGSC,2019-03-11,2019-05-13,17.9,17.7,11361.2779,-2292.26,BEAR
SELL,TSL 6.2% >= 5%,NV20BEES,NV20BEES,2019-03-18,2019-05-13,58.31,56.54,3520.5564,-6251.38,BEAR
SELL,Regime slot reduction / sector cap / rank cut,NIF100IETF,NIF100IETF,2019-05-06,2019-05-13,12.44,11.99,16147.79,-7286.51,BEAR
SELL,TSL 5.5% >= 5%,SETFNIFBK,SETFNIFBK,2019-03-11,2019-05-13,282.1,289.85,720.9035,5567.0,BEAR
BUY,NEW BUY (rank=4),QNIFTY,QNIFTY,2019-05-27,,121.35,,1602.5778,,BULL
BUY,NEW BUY (rank=10),LICNETFSEN,LICNETFSEN,2019-05-27,,449.9,,432.2579,,BULL
BUY,NEW BUY (rank=8),LICNETFGSC,LICNETFGSC,2019-05-27,,19.3,,10076.3116,,BULL
BUY,NEW BUY (rank=1),SETFNIFBK,SETFNIFBK,2019-05-27,,319.63,,608.431,,BULL
BUY,NEW BUY (rank=15),CPSEETF,CPSEETF,2019-05-27,,27.99,,6947.939,,BULL
SELL,TSL 10.3% >= 5%,LICNETFSEN,LICNETFSEN,2019-05-27,2019-06-24,449.9,450.0,432.2579,23.23,PARTIAL
SELL,TSL 6.7% >= 5%,LICNETFGSC,LICNETFGSC,2019-05-27,2019-06-24,19.3,19.5,10076.3116,1995.26,PARTIAL
BUY,NEW BUY (rank=4),ICICIB22,ICICIB22,2019-07-01,,38.93,,4993.4756,,BULL
BUY,NEW BUY (rank=14),GOLD1,GOLD1,2019-07-01,,29.12,,6675.687,,BULL
SELL,TSL 5.3% >= 5%,ICICIB22,ICICIB22,2019-07-01,2019-07-15,38.93,36.87,4993.4756,-10306.56,BEAR
SELL,Regime slot reduction / sector cap / rank cut,QNIFTY,QNIFTY,2019-05-27,2019-07-15,121.35,118.15,1602.5778,-5148.25,BEAR
SELL,Regime slot reduction / sector cap / rank cut,GOLD1,GOLD1,2019-07-01,2019-07-15,29.12,30.29,6675.687,7790.55,BEAR
SELL,Regime slot reduction / sector cap / rank cut,SETFNIFBK,SETFNIFBK,2019-05-27,2019-07-15,319.63,308.39,608.431,-6858.76,BEAR
SELL,TSL 8.9% >= 5%,CPSEETF,CPSEETF,2019-05-27,2019-07-15,27.99,25.97,6947.939,-14054.84,BEAR
BUY,NEW BUY (rank=1),SETFGOLD,SETFGOLD,2019-09-23,,33.67,,5633.3113,,PARTIAL
BUY,NEW BUY (rank=11),LICNETFGSC,LICNETFGSC,2019-09-23,,20.97,,9044.9973,,PARTIAL
BUY,NEW BUY (rank=12),BANKNIFTY1,BANKNIFTY1,2019-09-23,,31.36,,6048.2651,,PARTIAL
