CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,150,"6,120.70","7,537.90",150,"46,500.00",150,39.05,41.00,30,18.05,39.05,44.03,"59,901",118,"17,889",
,-,-,-,-,-,-,150,"5,733.20","8,011.30",150,"47,000.00",90,50.45,56.00,30,28.85,54.60,42.98,"17,980","1,311","4,002",
,-,-,-,-,-,-,150,"5,227.30","7,169.80",570,"47,500.00","43,050",20.05,-,-,-,-,-,-,-,-,
,213,-21,24,-,"5,727.10","-1,107.20","1,170","5,009.20","6,015.75",210,"48,000.00",90,76.95,80.00,60,44.35,76.95,40.21,"57,032",-721,"15,566",
,-,-,-,-,-,-,-,-,-,-,"48,100.00","10,500",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"48,200.00","10,500",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"48,300.00","22,560",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"48,400.00","12,510",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"4,524.90","5,781.10",570,"48,500.00","1,92,990",20.05,-,-,16.10,20.05,30.21,226,190,190,
,-,-,-,-,-,-,-,-,-,-,"48,600.00","31,680",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"48,700.00","28,560",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"4,350.65","5,724.45",570,"48,800.00","35,550",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,180,"4,270.55","5,612.20",570,"48,900.00","37,020",20.05,-,-,-,-,-,-,-,-,
,8,1,3,34.76,"4,550.00",-500.00,30,"4,694.25","5,040.95",210,"49,000.00",150,117.30,125.00,60,77.60,120.00,37.81,"47,575","3,790","5,686",
,-,-,-,-,-,-,150,"4,173.60","5,424.65",570,"49,100.00","85,860",20.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"4,055.40","5,068.85",570,"49,200.00","36,000",21.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"3,991.80","4,941.30",570,"49,300.00","53,010",23.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,600,"2,861.15","5,072.45",570,"49,400.00","53,010",23.25,-,-,-,-,-,-,-,-,
,127,-20,46,-,"4,435.20",-371.75,30,"4,323.35","4,422.05",90,"49,500.00",30,146.05,152.00,300,96.15,145.90,37.11,"40,167","1,562","12,370",
,-,-,-,-,-,-,600,"2,741.60","4,575.00",570,"49,600.00","1,26,120",36.70,-,-,14.20,24.15,25.51,1,-,-,
,-,-,-,-,-,-,600,"2,574.55","4,569.15",570,"49,700.00","3,000",25.55,-,-,-,-,-,-,-,-,
,41,-,-,-,-,-,180,"2,914.40","4,457.80",570,"49,800.00","53,010",27.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,600,"2,398.55","4,360.20",570,"49,900.00","53,010",27.65,-,-,-,-,-,-,-,-,
,713,164,297,32.60,"3,900.00","-1,574.10",30,"3,814.30","3,975.35",150,"50,000.00",90,180.05,187.55,210,130.55,187.60,36.11,"1,02,495","5,164","15,884",
,-,-,-,-,-,-,150,"2,436.25","4,182.15",570,"50,100.00","57,870",31.05,-,-,-,-,-,-,-,-,
,1,-,-,-,-,-,570,"2,957.75","4,074.80",570,"50,200.00","4,470",36.50,-,-,-,-,-,-,-,-,
,46,-,-,-,-,-,150,"2,589.05","3,868.70",570,"50,300.00",720,37.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"3,783.05",570,"50,400.00","52,020",37.90,-,-,-,-,-,-,-,-,
,22,-16,20,14.40,"3,440.30",-373.00,30,"3,380.20","3,609.25",570,"50,500.00",150,222.85,230.60,390,153.65,223.10,35.07,"62,608",935,"9,080",
,1,-,-,-,-,-,570,"2,641.95","3,676.45",570,"50,600.00",600,122.25,-,-,-,-,-,-,-,-,
,62,-,-,-,-,-,150,"2,137.95","3,456.40",570,"50,700.00",210,224.70,296.40,210,227.15,250.00,34.36,"1,919",151,151,
,54,-,5,35.33,"3,454.45",14.80,600,"2,440.90","3,483.15",210,"50,800.00","60,450",187.20,-,-,162.65,187.20,30.39,4,3,3,
,62,-,8,30.35,"3,266.75",-731.30,570,"2,359.85","3,348.40",210,"50,900.00",600,84.25,-,-,-,-,-,-,-,-,
,858,-231,592,22.42,"3,005.00","-1,486.15",30,"2,987.55","3,082.40",30,"51,000.00",30,276.20,286.55,30,193.05,277.15,34.09,"1,09,033",676,"24,813",
,31,-37,40,30.48,"2,903.25","-1,100.90",300,"2,227.35","3,070.35",570,"51,100.00",30,286.70,321.50,210,207.50,296.35,33.62,"4,233",-91,434,
,81,1,36,25.65,"2,918.90",-780.55,570,"1,960.00","2,973.10",30,"51,200.00",120,298.80,319.95,30,218.60,310.00,33.19,"4,185",401,659,
,45,-,-,-,-,-,480,"1,877.80","2,941.05",150,"51,300.00",60,312.60,340.15,210,284.55,319.35,33.19,"2,055",204,204,
,65,-,-,-,-,-,150,"1,771.55","2,846.70",300,"51,400.00",60,326.80,343.75,30,233.45,335.05,33.43,"4,683",246,607,
,221,-1,57,27.91,"2,579.80","-1,413.00",600,"2,541.65","2,718.55",570,"51,500.00",120,350.10,359.85,30,245.85,350.40,33.09,"56,809","-2,447","15,568",
,52,-,-,23.63,-,-,600,"1,628.95","2,631.85",570,"51,600.00",60,353.05,375.00,30,241.65,352.60,32.54,"4,990",357,879,
,92,-,-,-,-,-,540,"1,704.05","2,559.35",570,"51,700.00",300,372.15,390.85,30,269.40,386.25,32.75,"4,631",203,532,
,66,-,-,-,-,-,600,"2,292.90","2,385.65",480,"51,800.00",240,395.80,411.10,360,279.65,404.05,32.45,"8,834",504,839,
,44,-,-,26.12,-,-,600,"2,211.90","2,301.15",360,"51,900.00",240,416.50,431.35,480,295.35,425.00,32.34,"7,633",152,538,
,"2,141",688,"2,696",22.28,"2,165.95","-1,411.30",30,"2,188.85","2,199.80",120,"52,000.00",120,438.10,442.50,120,305.35,439.80,32.19,"1,04,948",48,"17,935",
,41,4,8,28.16,"2,116.30","-1,421.85",240,"2,094.80","2,138.60",360,"52,100.00",360,454.60,468.60,240,317.15,460.35,32.00,"6,745",63,582,
