CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,140","2,196.70","2,656.75","1,140","22,600.00",180,43.80,45.40,600,27.90,44.70,39.41,490,56,181,
,-,-,-,-,-,-,-,-,-,-,"22,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,140","2,131.75","2,535.90","1,140","22,700.00",180,48.25,49.80,180,27.00,45.65,38.34,209,26,28,
,-,-,-,-,-,-,"1,140","2,099.30","2,490.25","1,140","22,750.00","7,500",0.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,140","2,066.90","2,440.05","1,140","22,800.00",600,20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,140","2,034.50","2,391.05","1,140","22,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,420,"2,001.95","2,330.05","1,140","22,900.00",600,20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,480,"1,969.50","2,275.40","1,140","22,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,480,"1,937.10","2,356.50","1,140","23,000.00",180,63.65,65.30,180,44.55,64.35,36.94,"1,084",85,90,
,-,-,-,-,-,-,-,-,-,-,"23,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,100.00","1,920",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,234.30","1,140","23,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,204.05","1,140","23,200.00","1,920",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,144.65","1,140","23,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,300.00","10,320",20.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,015.60","1,140","23,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,980.85","1,140","23,400.00",900,24.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,911.80","1,140","23,450.00","3,300",0.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,825.70","1,140","23,500.00",180,100.05,102.20,180,70.60,101.00,34.40,"1,387",-91,361,
,-,-,-,-,-,-,-,-,"1,844.05","1,140","23,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,794.80","1,140","23,600.00","1,860",33.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,734.85","1,140","23,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,680.10","1,140","23,700.00","1,920",38.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,620.35","1,140","23,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,576.70","1,140","23,800.00","2,580",44.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,511.45","1,140","23,850.00",240,95.50,155.75,60,118.15,143.65,34.14,461,59,62,
,-,-,-,-,-,-,-,-,"1,476.75","1,140","23,900.00","2,220",53.30,-,-,-,-,-,-,-,-,
,2,-,-,-,-,-,60,963.10,"1,438.65",240,"23,950.00",-,-,-,-,-,-,-,-,-,-,
,38,-1,8,26.37,"1,157.15",-493.50,60,"1,196.35","1,306.35",120,"24,000.00",120,161.85,166.90,120,117.00,164.55,32.69,"1,761",-4,430,
,7,-,-,-,-,-,240,989.55,"1,379.80",240,"24,050.00",60,0.55,-,-,-,-,-,-,-,-,
