CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,360,"1,317.45","1,545.75","3,360","11,100.00",120,17.10,17.55,600,10.90,17.55,42.89,"4,538","1,240","1,788",
,-,-,-,-,-,-,360,"1,245.75","1,482.75",360,"11,175.00",480,19.60,20.50,480,12.20,20.05,43.26,217,-28,34,
,-,-,-,-,-,-,360,"1,246.35","1,461.85","3,000","11,200.00",480,20.20,21.15,480,12.25,20.90,42.08,899,52,214,
,-,-,-,-,-,-,360,"1,191.85","1,430.85",360,"11,225.00",480,21.40,22.35,480,10.55,21.55,42.80,177,19,43,
,-,-,-,-,-,-,360,"1,183.80","1,473.15","2,640","11,250.00",480,22.65,23.65,480,14.45,21.40,42.41,101,19,30,
,-,-,-,-,-,-,360,"1,173.00","1,373.10",360,"11,275.00",480,23.70,24.75,480,13.45,22.35,42.36,89,24,32,
,-,-,-,-,-,-,360,"1,150.00","1,360.05",360,"11,300.00",480,23.90,24.90,480,17.05,24.85,41.22,"1,282",114,421,
,-,-,-,-,-,-,360,"1,129.90","1,377.50","2,640","11,325.00",480,25.85,26.90,480,6.05,26.30,41.96,132,23,37,
,-,-,-,-,-,-,840,"1,076.80","1,357.85","2,640","11,350.00",480,27.20,28.30,480,9.55,26.00,41.72,116,37,41,
,-,-,-,-,-,-,840,"1,060.60","1,328.55","2,640","11,375.00",480,28.40,29.50,480,22.25,28.85,41.53,171,24,47,
,-,-,-,-,-,-,840,"1,044.40","1,301.75","2,640","11,400.00",120,28.95,29.70,480,18.90,29.00,40.18,"2,723",30,"3,074",
,-,-,-,-,-,-,360,"1,028.35","1,273.90",360,"11,425.00",480,30.95,32.10,480,20.55,32.00,41.12,211,11,59,
,-,-,-,-,-,-,720,"1,082.95","1,253.75","3,360","11,450.00",480,32.45,33.60,480,19.35,31.05,39.38,229,27,55,
,-,-,-,-,-,-,"2,640",995.90,"1,219.45","2,640","11,475.00",480,34.05,35.30,480,20.85,32.65,40.38,167,29,66,
,6,-,-,-,-,-,120,"1,074.65","1,167.45",720,"11,500.00",120,36.45,37.55,480,23.90,36.60,39.08,"9,815",790,"5,175",
,-,-,-,-,-,-,360,963.45,"1,167.40","2,640","11,525.00",480,37.40,38.75,480,22.85,35.90,38.89,183,27,55,
,-,-,-,-,-,-,"3,360",947.25,"1,143.20","3,360","11,550.00",480,39.35,40.70,480,23.95,37.75,40.13,97,44,55,
,-,-,-,-,-,-,960,931.00,"1,115.20","2,640","11,575.00",480,40.95,42.40,480,24.55,39.35,40.01,162,14,62,
,8,-3,4,-,960.00,-220.00,"2,640",903.30,"1,046.70",720,"11,600.00",480,43.20,44.70,480,30.00,44.80,38.14,"1,988",131,587,
,-,-,-,-,-,-,360,836.55,"1,064.85",360,"11,625.00",480,45.05,46.60,480,29.30,45.25,39.59,89,45,56,
,-,-,-,-,-,-,"1,080",815.30,"1,039.85","2,640","11,650.00",480,47.05,48.65,480,29.05,45.30,38.49,132,19,45,
,-,-,-,-,-,-,"1,200",790.90,"1,001.75",360,"11,675.00",480,49.25,50.90,480,31.45,48.60,39.11,204,32,87,
,-,-,-,-,-,-,720,768.25,981.30,"3,360","11,700.00",120,51.50,53.15,480,34.10,51.90,37.31,"4,825",572,"3,094",
,-,-,-,-,-,-,"1,200",746.95,960.25,"2,640","11,725.00",480,54.10,55.90,480,33.60,52.25,37.30,279,53,68,
,-,-,-,-,-,-,"1,200",722.65,925.75,360,"11,750.00",360,56.85,58.70,360,34.95,54.95,37.45,283,51,66,
,-,-,-,-,-,-,"1,320",701.65,920.85,"2,640","11,775.00",360,59.60,61.50,360,40.05,60.80,38.48,287,53,68,
,-,-,-,-,-,-,"1,320",680.75,883.35,360,"11,800.00","2,400",63.05,64.00,120,41.10,63.05,36.68,"6,569",460,"1,758",
,-,-,-,-,-,-,"1,320",661.65,864.15,"2,640","11,825.00",360,65.50,67.50,120,41.65,64.65,39.90,217,23,41,
,-,-,-,-,-,-,360,606.60,835.75,360,"11,850.00",360,68.60,70.75,360,42.80,66.95,36.79,311,62,95,
,-,-,-,-,-,-,360,581.65,834.00,360,"11,875.00",360,72.15,74.35,360,44.80,70.15,37.45,318,52,83,
,-,-,-,-,-,-,"1,560",570.05,-,-,"11,900.00",120,75.95,78.15,"1,440",52.00,78.20,35.95,"3,445",39,807,
,-,-,-,-,-,-,360,521.45,799.70,"2,640","11,925.00","3,240",39.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,360,512.45,775.85,"2,640","11,950.00","1,200",44.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,360,491.35,793.75,"2,640","11,975.00",360,55.05,102.60,360,56.75,87.25,37.22,196,34,64,
,124,61,445,26.33,653.55,-356.45,120,640.35,669.90,120,"12,000.00",480,91.00,94.95,360,60.75,92.05,35.09,"17,210",-283,"7,252",
,-,-,-,-,-,-,360,441.30,708.65,"2,640","12,025.00","2,640",39.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,360,407.25,695.45,360,"12,050.00",120,96.90,106.00,120,64.10,99.70,36.58,271,43,69,
,-,-,-,-,-,-,360,389.65,657.00,"2,640","12,075.00","1,440",57.15,-,-,-,-,-,-,-,-,
,36,4,23,22.63,517.50,-413.00,120,384.65,613.95,360,"12,100.00",120,110.60,114.65,120,72.30,111.05,34.38,"4,897",-163,"1,399",
,-,-,-,-,-,-,360,355.95,634.45,"2,640","12,125.00","2,640",81.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,360,326.15,605.75,"2,640","12,150.00","2,400",76.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,360,303.75,578.80,"2,640","12,175.00","2,400",72.00,-,-,-,-,-,-,-,-,
,48,13,42,23.83,489.70,-299.65,360,411.50,502.00,120,"12,200.00",120,133.15,137.95,120,90.45,137.90,33.56,"7,655",73,"2,679",
,-,-,-,-,-,-,360,280.50,547.90,"2,640","12,225.00","2,400",82.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,360,257.25,548.50,360,"12,250.00",120,141.85,166.60,120,95.05,147.40,35.59,268,46,75,
,-,-,-,-,-,-,-,-,-,-,"12,275.00",120,108.00,195.85,360,94.35,149.35,36.95,140,-5,102,
,62,-4,78,27.52,434.10,-290.90,120,420.10,452.80,360,"12,300.00",120,160.55,166.35,120,108.10,165.45,32.96,"5,178",-102,"1,790",
,52,41,62,28.25,400.30,-128.65,240,400.35,442.95,360,"12,325.00",120,148.00,189.30,360,104.25,164.55,34.78,237,18,104,
,40,19,61,25.16,383.30,-71.00,360,358.70,509.90,"2,640","12,350.00",120,115.65,229.15,360,113.80,176.90,35.42,331,16,184,
,65,24,78,23.10,366.60,-216.00,120,345.20,454.70,360,"12,375.00",120,165.40,205.40,360,124.20,190.90,33.83,189,15,93,
,227,84,727,27.81,350.05,-293.55,120,331.45,371.00,120,"12,400.00",120,194.00,200.10,240,131.05,200.60,32.61,"9,447",733,"2,816",
,57,17,141,24.32,334.05,-101.40,120,313.75,372.70,360,"12,425.00",120,162.60,206.95,120,127.00,200.00,33.96,258,1,99,
,116,48,260,26.72,322.65,-238.25,120,318.00,385.40,360,"12,450.00",120,190.70,235.50,360,131.85,210.40,32.43,602,-1,243,
,65,8,260,26.60,302.90,-262.20,120,304.15,354.35,360,"12,475.00",360,212.90,228.50,120,135.95,218.35,33.69,735,49,161,
,"1,160",241,"5,874",27.53,299.95,-252.25,120,288.90,302.40,240,"12,500.00",120,231.00,234.00,600,145.00,231.00,31.90,"20,503","-2,138","6,724",
,115,39,404,27.12,277.65,-257.35,120,273.80,291.70,360,"12,525.00",120,235.40,256.90,120,158.95,248.40,33.10,827,-22,116,
,190,41,696,27.21,268.30,-241.75,120,265.50,269.00,120,"12,550.00",120,250.40,256.00,120,159.30,252.15,31.69,"1,441",31,271,
,122,16,479,25.36,248.85,-232.30,120,246.80,258.75,120,"12,575.00",360,255.90,272.90,360,177.85,276.75,31.59,"1,056",-18,101,
,"1,081",482,"8,877",27.05,241.00,-227.75,120,238.50,243.00,"1,320","12,600.00",600,273.00,281.95,120,169.70,273.35,31.12,"13,614",-816,"1,895",
,151,57,898,26.88,221.55,-228.50,120,220.35,231.95,120,"12,625.00",120,279.75,297.30,360,181.55,291.30,32.54,"1,416",-27,128,
,412,229,"2,486",26.79,215.00,-215.50,120,210.85,217.80,120,"12,650.00",120,288.50,327.80,120,182.70,296.30,32.48,"3,830",-203,290,
,310,211,"2,971",25.84,202.30,-210.10,120,199.05,205.85,120,"12,675.00",120,301.50,377.20,360,188.40,308.25,33.46,"1,942",1,148,
,"1,954",842,"13,925",26.67,189.00,-206.85,120,189.00,190.75,120,"12,700.00",360,319.45,330.95,240,204.65,330.45,31.02,"13,640",-429,"1,519",
,191,119,"1,871",26.58,180.70,-193.50,120,176.30,182.50,120,"12,725.00",480,308.20,367.10,120,198.05,332.90,33.73,"1,830",19,128,
,686,271,"3,030",26.12,166.40,-192.10,120,166.45,171.50,120,"12,750.00",120,336.90,367.30,360,215.95,354.15,34.66,"1,851",-236,290,
,124,73,603,25.74,158.85,-179.65,240,156.80,159.35,240,"12,775.00",360,272.15,405.45,360,215.45,361.95,34.07,444,8,81,
,"1,604",370,"8,349",26.41,148.90,-174.85,240,146.90,149.35,240,"12,800.00",840,380.00,395.30,360,226.05,380.05,30.49,"6,190",-571,"1,200",
,82,-7,462,25.03,136.25,-166.10,240,137.55,139.85,240,"12,825.00",360,236.50,415.05,120,220.85,383.95,34.89,252,-34,92,
,190,42,"1,101",26.13,128.70,-159.00,240,128.85,131.05,240,"12,850.00",120,402.00,427.60,240,254.00,426.25,34.46,609,-95,140,
,138,7,625,25.21,119.10,-152.65,240,119.95,121.95,240,"12,875.00",120,409.30,446.00,120,227.45,408.20,40.91,377,-101,103,
,952,-54,"4,942",26.00,112.30,-146.70,360,112.30,114.20,360,"12,900.00",360,436.50,463.45,120,253.20,443.15,31.03,"3,477",-839,"1,114",
,105,30,451,25.05,105.75,-135.80,360,104.40,106.20,360,"12,925.00",120,443.70,481.25,120,258.40,457.90,36.65,227,-35,82,
,346,24,"1,568",25.80,97.00,-131.55,360,96.55,98.30,360,"12,950.00",120,467.70,502.25,120,258.25,467.40,36.40,"1,367",-430,313,
,118,21,852,25.53,89.95,-124.70,360,90.25,91.85,360,"12,975.00",360,379.55,623.30,120,275.60,495.05,37.43,204,-43,128,
,"4,960",-83,"15,849",25.75,84.55,-117.60,360,83.35,84.90,360,"13,000.00",120,514.15,531.85,120,292.50,522.20,30.82,"5,244",-998,"2,545",
,149,-52,"1,306",25.75,77.95,-110.90,360,77.80,79.25,360,"13,025.00",360,433.75,608.35,360,231.30,473.05,18.12,54,-4,232,
,381,56,"1,640",25.40,73.25,-101.00,360,71.95,73.30,360,"13,050.00",120,448.50,598.85,120,416.25,670.85,44.21,76,-43,384,
,133,-6,814,25.27,66.60,-96.75,360,66.70,68.00,360,"13,075.00",120,478.55,630.90,120,348.85,615.20,34.48,16,-1,145,
