CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"20,850.00",975,8.30,8.35,"6,175",8.30,8.35,43.55,"92,467",-,"29,081",
,-,-,-,-,-,-,-,-,-,-,"20,900.00","1,755",8.75,8.90,"1,300",8.85,8.90,42.74,"70,314",-,"10,586",
,1,-,-,-,-,-,780,"2,099.00","2,206.10",780,"20,950.00",325,9.45,9.55,"1,365",5.80,9.55,42.39,"2,67,014",-452,"75,378",
,4,-1,13,-,"1,986.45",-849.15,780,"2,071.70","2,139.65",780,"21,000.00","1,560",9.70,10.05,"1,430",5.90,9.70,41.73,"6,07,970","22,821","1,34,910",
,1,-,-,-,-,-,780,"1,993.35","2,106.50",780,"21,050.00","1,820",10.25,10.55,"1,755",6.15,10.20,41.17,"72,291","2,905","4,836",
,1,-,-,-,-,-,780,"1,946.10","2,058.90",780,"21,100.00","1,300",10.70,10.95,845,6.70,10.95,40.59,"1,08,584","2,984","8,187",
,1,-,-,-,-,-,780,"1,658.05","2,007.50",780,"21,150.00",650,11.30,11.50,"1,235",6.75,11.25,40.10,"55,955","1,696","3,342",
,-,-,-,-,-,-,780,"1,843.50","1,956.25",780,"21,200.00",65,11.70,11.90,"1,560",7.10,11.80,39.45,"1,38,251","4,822","15,995",
,-,-,-,-,-,-,780,"1,794.75","1,907.50",780,"21,250.00","1,365",12.60,12.85,"1,300",8.00,12.90,39.10,"60,626","2,176","4,046",
,1,-,1,66.89,"2,010.00",-70.80,"1,690","1,590.60","1,860.10",780,"21,300.00","1,300",13.40,13.55,130,8.35,13.55,38.53,"1,38,840","2,491","11,623",
,-,-,-,-,-,-,780,"1,688.65","1,816.35",780,"21,350.00",65,14.05,14.50,520,8.95,14.45,38.11,"60,446","1,681","3,725",
,-,-,-,-,-,-,780,"1,475.80","1,846.75",780,"21,400.00","1,560",15.35,15.55,"1,560",9.50,15.30,37.67,"1,40,888","-3,526","11,009",
,2,-,-,-,-,-,780,"1,363.30","1,710.30",780,"21,450.00",780,16.35,16.60,"1,040",10.20,16.35,37.08,"88,294","2,544","9,980",
,7,2,15,45.69,"1,588.40",-701.60,130,"1,590.70","1,663.25",390,"21,500.00",325,17.65,17.90,260,11.25,17.90,36.70,"4,32,602",366,"49,489",
,2,-,-,-,-,-,780,"1,503.10","1,611.80",780,"21,550.00","1,040",18.70,19.25,65,11.75,18.65,36.44,"87,149","1,254","5,824",
,4,2,4,47.63,"1,647.75",-195.55,390,"1,460.95","1,565.65",780,"21,600.00",260,20.05,20.70,"3,705",13.50,20.70,36.05,"1,61,305","3,798","12,792",
,3,-,-,-,-,-,780,"1,407.00","1,514.45",780,"21,650.00","1,105",22.15,22.75,"1,560",14.45,22.15,35.72,"74,879",443,"3,191",
,2,-,-,-,-,-,780,"1,353.00","1,466.80",780,"21,700.00",65,23.85,24.70,455,16.60,24.70,35.34,"1,87,794","6,279","17,372",
,2,-,-,-,-,-,780,"1,304.75","1,421.05",780,"21,750.00",65,26.15,26.60,"1,235",18.20,26.60,35.04,"1,00,573",480,"4,151",
,6,-,1,-,"1,318.00",-107.00,780,"1,253.70","1,340.25",65,"21,800.00",65,28.00,28.85,"1,040",19.00,28.05,34.73,"2,76,174","2,939","22,157",
,2,-,-,-,-,-,780,"1,222.90","1,318.45",780,"21,850.00",65,31.00,31.75,520,21.45,31.00,34.37,"1,23,264","-1,454","2,938",
,3,-2,5,40.85,"1,349.00",-431.00,390,"1,159.30","1,242.00",130,"21,900.00","1,235",33.25,34.40,"1,170",24.30,34.40,34.01,"2,50,977",-760,"14,325",
,1,-1,7,-,"1,158.90",-299.95,780,"1,122.30","1,230.55",780,"21,950.00","1,300",36.25,37.65,"1,300",26.90,37.85,33.76,"1,40,092","4,756","8,053",
,"2,170","1,456","3,925",-,"1,124.30",-628.55,130,"1,124.60","1,137.00",65,"22,000.00","1,365",40.30,40.65,130,29.00,40.65,33.33,"8,86,460","26,080","89,014",
