date,milt_nav,etf_nav,blended_nav
2022-01-21,150000.0,150000.0,300000.0
2022-01-28,150000.0,143408.86387121308,293408.86387121305
2022-02-04,150000.0,149964.78064471725,299964.7806447173
2022-02-11,150000.0,149848.11314264708,299848.1131426471
2022-02-18,150000.0,147721.20665973623,297721.2066597362
2022-02-25,150000.0,145180.80909208427,295180.8090920843
2022-03-04,150000.0,147551.2150903896,297551.2150903896
2022-03-11,150000.0,147591.64451120404,297591.64451120404
2022-03-18,150288.5,147623.99602370264,297912.49602370267
2022-03-25,150232.5,147664.44538668415,297896.94538668415
2022-04-01,150595.5,147700.2178682991,298295.7178682991
2022-04-08,151015.08,150113.04639138415,301128.12639138417
2022-04-15,152124.55,150964.42178052815,303088.97178052814
2022-04-22,154521.90000000002,150965.38136589932,305487.28136589937
2022-04-29,155089.44,148646.61878288435,303736.0587828844
2022-05-06,153649.98,148034.9863678313,301684.96636783134
2022-05-13,149337.87,148075.54834324753,297413.4183432475
2022-05-20,155859.92,148116.12143275162,303976.04143275163
2022-05-27,152709.0,148156.7056393889,300865.7056393889
2022-06-03,152422.48,148197.30096620554,300619.7809662055
2022-06-10,154986.77000000002,148237.90741624837,303224.67741624836
2022-06-17,149832.92,148278.52499256528,298111.4449925653
2022-06-24,149718.76,148319.15369820487,298037.9136982049
2022-07-01,150011.04,148359.79353621663,298370.83353621664
2022-07-08,150125.98,148400.44450965084,298526.42450965085
2022-07-15,150288.82,148441.10662155863,298729.9266215586
2022-07-22,151339.66,148481.77987499195,299821.43987499195
2022-07-29,150726.1,148522.46427300366,299248.56427300366
2022-08-05,151617.32,148826.58067696667,300443.90067696664
2022-08-12,152648.42,150279.9172489244,302928.3372489244
2022-08-19,153818.51,150932.0002010475,304750.5102010475
2022-08-26,154875.60000000003,151285.99668625323,306161.59668625327
2022-09-02,155543.06000000003,152501.54977589843,308044.60977589845
2022-09-09,155122.45,153847.91533558082,308970.36533558083
2022-09-16,154842.92000000004,152790.53188285613,307633.4518828562
2022-09-23,155243.03000000003,153791.3184997173,309034.3484997173
2022-09-30,154562.80000000005,151090.4602856762,305653.2602856762
2022-10-07,158585.44000000003,149376.11167915087,307961.5516791509
2022-10-14,155868.95000000004,147200.5889220237,303069.5389220237
2022-10-21,155989.20000000004,148923.97502739905,304913.1750273991
2022-10-28,158823.91000000003,149367.00745642156,308190.9174564216
2022-11-04,161086.77000000005,151943.22306533292,313029.993065333
2022-11-11,163208.12000000005,155996.95348348643,319205.0734834865
2022-11-18,162729.90000000002,157174.9487172227,319904.8487172227
2022-11-25,168560.28000000003,161496.99645927228,330057.2764592723
2022-12-02,172093.11000000004,162562.20177068052,334655.3117706806
2022-12-09,170979.10000000003,166091.73415559583,337070.83415559586
2022-12-16,177671.36000000004,165593.70957480895,343265.069574809
2022-12-23,163626.26000000004,156488.60327570818,320114.8632757082
2022-12-30,168101.46000000002,165010.87823108095,333112.33823108097
2023-01-06,168793.11000000002,163983.40252462914,332776.5125246291
2023-01-13,168100.04000000004,164170.87057427148,332270.9105742715
2023-01-20,168919.65000000002,163810.01933983056,332729.6693398306
2023-01-27,167102.04,157643.4474775208,324745.48747752083
2023-02-03,166196.16,156673.82861231806,322869.98861231806
2023-02-10,165995.98,156716.75765321887,322712.7376532189
2023-02-17,165861.26,156759.69845678977,322620.9584567898
2023-02-24,166562.98,156802.6510262537,323365.6310262537
2023-03-03,166756.43,156845.61536483458,323602.0453648346
2023-03-10,167782.31,156879.99531163048,324662.3053116305
2023-03-17,167964.89,156922.98084274892,324887.8708427489
2023-03-24,167236.13999999998,156965.97815201583,324202.11815201584
2023-03-31,168231.41,157000.38448186498,325231.794481865
2023-04-07,169021.85,157026.19417842387,326048.0441784239
2023-04-14,169273.71,157060.61370739102,326334.32370739104
2023-04-21,169825.06,157103.64872842468,326928.7087284247
2023-04-28,170072.49,157146.69554116722,327219.1855411672
2023-05-05,172105.16999999998,157646.8318492376,329752.0018492376
2023-05-12,171858.71999999997,158443.05822887638,330301.77822887636
2023-05-19,172419.96999999997,159180.8429199378,331600.8129199378
2023-05-26,171220.89999999997,160034.1410032719,331255.0410032719
2023-06-02,173472.16999999998,161274.8685501529,334747.0385501529
2023-06-09,175424.47999999998,160958.5323329858,336383.01233298576
2023-06-16,179857.17,162449.81869502392,342306.98869502393
2023-06-23,178585.77000000002,161422.65212411803,340008.4221241181
2023-06-30,184884.68,161845.01533744985,346729.69533744984
2023-07-07,187947.48,164081.81589673553,352029.2958967355
2023-07-14,191326.18,165417.6256273218,356743.8056273218
2023-07-21,190965.53,166518.97132630265,357484.50132630265
2023-07-28,194681.34,167851.2658769819,362532.60587698186
2023-08-04,196253.82,168100.05855318464,364353.8785531847
2023-08-11,197029.94,169280.10831801622,366310.0483180162
2023-08-18,196373.42,169096.27421972613,365469.69421972614
2023-08-25,197560.88,171497.26827470562,369058.1482747056
2023-09-01,205979.69,176006.04837712712,381985.7383771271
2023-09-08,213309.53,182012.14335278343,395321.67335278343
2023-09-15,219711.43,181318.6757221458,401030.10572214576
2023-09-22,223145.83,178550.74352668124,401696.5735266812
2023-09-29,223366.99,181160.98392137987,404527.9739213799
2023-10-06,231345.18,179726.6548986158,411071.8348986158
2023-10-13,236690.50999999995,180565.7176916405,417256.22769164044
2023-10-20,243947.11,178427.35340989844,422374.46340989845
2023-10-27,237418.65,173202.42530975983,410621.0753097598
2023-11-03,241300.96,175319.40748249018,416620.36748249014
2023-11-10,244367.44,177965.5274480993,422332.9674480993
2023-11-17,252181.79,181087.4764183691,433269.26641836914
2023-11-24,253552.84,181798.05388900163,435350.8938890016
2023-12-01,257727.07,185070.74846348332,442797.81846348336
2023-12-08,261061.61,190788.3940336124,451850.0040336124
2023-12-15,272047.09,197233.54497447383,469280.63497447385
2023-12-22,272872.06,195542.8270867219,468414.8870867219
2023-12-29,272679.08,200728.7402718222,473407.8202718222
2024-01-05,287476.14,204240.31301558303,491716.45301558304
2024-01-12,295687.75,205192.06292728687,500879.81292728684
2024-01-19,303888.55999999994,208813.5999725825,512702.1599725825
2024-01-26,313985.8,209206.12678603668,523191.9267860367
2024-02-02,324402.8,218210.1213366921,542612.9213366921
2024-02-09,328528.42000000004,219850.02348181396,548378.443481814
2024-02-16,319680.4,222943.2515258632,542623.6515258632
2024-02-23,336857.54,224482.0456881764,561339.5856881763
2024-03-01,343086.36,224348.15237257243,567434.5123725724
2024-03-08,341478.86,228340.6792856844,569819.5392856844
2024-03-15,307511.53,218662.50758913788,526174.0375891379
2024-03-22,307349.91000000003,222635.3130864268,529985.2230864268
2024-03-29,308777.29,227118.40244094332,535895.6924409433
2024-04-05,313288.78,233735.61381729256,547024.3938172925
