ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
CANFINHOME,atr_ratchet_stop,2023-07-21,777.88,2023-08-04,703.36,77,3,-9.58,-5738.04
POWERMECH,atr_ratchet_stop,2023-08-04,2496.93,2023-08-11,2127.47,25,2,-14.8,-9236.5
REFEX,atr_ratchet_stop,2023-07-21,146.56,2023-08-18,135.65,409,5,-7.44,-4462.19
TIINDIA,atr_ratchet_stop,2023-07-21,3302.79,2023-08-18,2839.01,18,5,-14.04,-8348.04
LLOYDSENGG,atr_ratchet_stop,2023-07-21,34.15,2023-08-25,40.98,1756,6,20.0,11993.48
MARKSANS,atr_ratchet_stop,2023-07-21,103.37,2023-09-22,102.83,580,10,-0.52,-313.2
HSCL,atr_ratchet_stop,2023-07-21,144.41,2023-09-22,244.99,415,10,69.65,41740.7
BECTORFOOD,atr_ratchet_stop,2023-08-18,216.57,2023-09-22,187.51,309,6,-13.42,-8979.54
LUMAXTECH,atr_ratchet_stop,2023-07-21,374.97,2023-09-29,354.4,160,11,-5.49,-3291.2
ZENTEC,atr_ratchet_stop,2023-07-21,594.06,2023-10-27,718.06,100,15,20.87,12400.0
RKFORGE,atr_ratchet_stop,2023-07-21,470.28,2023-11-03,617.34,127,16,31.27,18676.62
IDFCFIRSTB,atr_ratchet_stop,2023-07-21,82.04,2023-11-03,86.36,731,16,5.27,3157.92
GVT&D,atr_ratchet_stop,2023-09-22,395.95,2023-11-03,380.85,187,7,-3.81,-2823.7
KTKBANK,atr_ratchet_stop,2023-08-18,213.26,2023-11-10,206.2,313,13,-3.31,-2209.78
IOB,atr_ratchet_stop,2023-09-22,39.5,2023-11-10,40.1,1878,8,1.52,1126.8
MTARTECH,atr_ratchet_stop,2023-07-21,2122.85,2023-11-17,2237.0,28,18,5.38,3196.2
UCOBANK,atr_ratchet_stop,2023-09-29,41.81,2023-11-17,36.16,1788,8,-13.51,-10102.2
APOLLO,atr_ratchet_stop,2023-07-21,57.7,2023-12-08,128.83,1039,21,123.28,73904.07
INOXWIND,atr_ratchet_stop,2023-07-21,50.03,2024-01-19,110.74,1199,27,121.35,72791.29
POLYCAB,atr_ratchet_stop,2023-07-21,3834.41,2024-01-19,4034.36,15,27,5.21,2999.25
CRAFTSMAN,atr_ratchet_stop,2023-07-21,4553.91,2024-01-26,4791.27,13,28,5.21,3085.68
RBLBANK,atr_ratchet_stop,2023-07-21,211.37,2024-02-02,254.65,283,29,20.48,12248.24
TEJASNET,atr_ratchet_stop,2023-07-21,859.91,2024-02-02,773.17,69,29,-10.09,-5985.06
GRAVITA,atr_ratchet_stop,2023-11-10,1090.05,2024-02-02,936.45,73,13,-14.09,-11212.8
ZFCVINDIA,atr_ratchet_stop,2023-07-21,2099.44,2024-02-09,2473.35,28,30,17.81,10469.48
TARIL,atr_ratchet_stop,2024-02-02,187.36,2024-02-16,155.96,571,3,-16.76,-17929.4
SJVN,atr_ratchet_stop,2024-02-09,138.57,2024-02-23,116.11,794,3,-16.21,-17833.24
FACT,atr_ratchet_stop,2023-10-27,712.86,2024-03-08,733.98,114,20,2.96,2407.68
RAINBOW,atr_ratchet_stop,2023-07-21,1100.36,2024-03-15,1127.08,54,35,2.43,1442.88
STYRENIX,atr_ratchet_stop,2023-11-03,1279.34,2024-03-15,1287.11,62,20,0.61,481.74
SUZLON,atr_ratchet_stop,2023-11-10,35.95,2024-03-15,41.5,2240,19,15.44,12432.0
TARC,atr_ratchet_stop,2024-01-19,178.55,2024-03-15,153.0,586,9,-14.31,-14972.3
JAIBALAJI,atr_ratchet_stop,2023-07-21,19.4,2024-03-22,201.21,3092,36,937.16,562156.52
BEL,atr_ratchet_stop,2023-07-21,124.43,2024-03-22,186.54,482,36,49.92,29937.02
MAZDOCK,atr_ratchet_stop,2023-08-25,915.47,2024-03-22,941.78,72,31,2.87,1894.32
SWANCORP,atr_ratchet_stop,2023-11-03,377.86,2024-03-22,579.78,209,21,53.44,42201.28
NEULANDLAB,atr_ratchet_stop,2023-11-17,5292.74,2024-03-22,6073.2,15,19,14.75,11706.9
NEWGEN,atr_ratchet_stop,2023-12-08,720.49,2024-03-22,713.8,120,16,-0.93,-802.8
ELECTCAST,atr_ratchet_stop,2024-02-02,161.01,2024-03-22,155.22,664,8,-3.6,-3844.56
OLECTRA,atr_ratchet_stop,2024-02-16,2017.04,2024-03-22,1729.17,54,6,-14.27,-15544.98
INOXWIND,hard_stop_20pct,2024-02-23,149.0,2024-03-22,117.84,729,5,-20.91,-22715.64
TMPV,atr_ratchet_stop,2024-03-15,1011.23,2024-03-22,924.35,113,2,-8.59,-9817.44
BANKBARODA,atr_ratchet_stop,2024-03-15,258.58,2024-03-22,230.88,442,2,-10.71,-12243.4
CHENNPETRO,atr_ratchet_stop,2023-09-22,461.49,2024-05-17,771.68,160,35,67.21,49630.4
JBCHEPHARM,atr_ratchet_stop,2023-07-21,1252.33,2024-05-31,1642.18,47,46,31.13,18322.95
DMART,atr_ratchet_stop,2024-03-29,4315.75,2024-06-07,4392.95,24,11,1.79,1852.8
MARUTI,atr_ratchet_stop,2024-03-29,11920.56,2024-07-05,11687.16,8,15,-1.96,-1867.2
FORCEMOT,atr_ratchet_stop,2024-03-29,7136.14,2024-07-19,8386.38,14,17,17.52,17503.36
STARCEMENT,atr_ratchet_stop,2024-03-29,229.64,2024-07-19,205.74,453,17,-10.41,-10826.7
KEI,atr_ratchet_stop,2023-07-21,2442.11,2024-07-26,4003.34,24,54,63.93,37469.52
POWERINDIA,atr_ratchet_stop,2024-03-29,6947.54,2024-07-26,11152.84,14,18,60.53,58874.2
CGPOWER,atr_ratchet_stop,2024-03-29,525.79,2024-07-26,672.18,198,18,27.84,28985.22
CUMMINSIND,atr_ratchet_stop,2024-03-29,2840.95,2024-07-26,3444.94,36,18,21.26,21743.64
ABB,atr_ratchet_stop,2024-03-29,5714.58,2024-07-26,7338.34,18,18,28.41,29227.68
ANANDRATHI,atr_ratchet_stop,2023-07-21,261.86,2024-08-02,914.51,229,55,249.24,149456.85
ASTRAL,atr_ratchet_stop,2024-05-17,2164.54,2024-08-09,2090.24,52,13,-3.43,-3863.6
JWL,atr_ratchet_stop,2024-06-07,661.7,2024-08-09,560.17,181,10,-15.34,-18376.93
SOLARINDS,atr_ratchet_stop,2024-03-22,8882.89,2024-08-16,10237.87,11,22,15.25,14904.78
ORIENTCEM,atr_ratchet_stop,2024-07-26,319.45,2024-09-20,287.82,392,9,-9.9,-12398.96
INDUSTOWER,atr_ratchet_stop,2024-03-29,268.88,2024-09-27,385.4,387,27,43.34,45093.24
PFIZER,atr_ratchet_stop,2024-07-26,4726.55,2024-09-27,5286.25,26,10,11.84,14552.2
POLICYBZR,atr_ratchet_stop,2024-03-29,1160.6,2024-10-04,1660.0,89,28,43.03,44446.6
TRITURBINE,atr_ratchet_stop,2024-03-29,493.28,2024-10-11,664.11,211,29,34.63,36045.13
RVNL,atr_ratchet_stop,2024-08-09,552.99,2024-10-11,486.32,236,10,-12.06,-15734.12
PIDILITIND,atr_ratchet_stop,2024-03-29,1462.75,2024-10-18,1544.7,71,30,5.6,5818.45
BAJAJ-AUTO,atr_ratchet_stop,2024-03-15,8608.32,2024-10-25,9678.07,13,33,12.43,13906.75
SUDARSCHEM,atr_ratchet_stop,2024-03-29,623.89,2024-10-25,1031.34,166,31,65.31,67636.7
GODFRYPHLP,atr_ratchet_stop,2024-03-29,1000.58,2024-11-01,2035.09,104,32,103.39,107589.04
SUNTECK,atr_ratchet_stop,2024-07-26,586.56,2024-11-01,530.21,213,15,-9.61,-12002.55
JUSTDIAL,atr_ratchet_stop,2024-07-26,1254.6,2024-11-01,1055.0,99,15,-15.91,-19760.4
POWERMECH,atr_ratchet_stop,2024-07-26,3015.63,2024-11-01,2790.82,41,15,-7.45,-9217.21
V2RETAIL,atr_ratchet_stop,2024-08-09,96.7,2024-11-01,119.0,1353,13,23.06,30171.9
ANANTRAJ,atr_ratchet_stop,2024-09-27,727.88,2024-11-01,662.01,198,6,-9.05,-13042.26
GMRP&UI,hard_stop_20pct,2024-10-04,157.5,2024-11-01,114.91,913,5,-27.04,-38884.67
PCJEWELLER,hard_stop_20pct,2024-10-25,18.57,2024-11-01,14.23,7786,2,-23.37,-33791.24
WABAG,atr_ratchet_stop,2024-10-25,1882.85,2024-11-01,1578.08,76,2,-16.19,-23162.52
ETERNAL,atr_ratchet_stop,2023-07-21,83.2,2024-11-08,242.93,721,69,191.98,115165.33
INFY,atr_ratchet_stop,2024-07-26,1692.11,2024-11-08,1639.45,74,16,-3.11,-3896.84
TIINDIA,atr_ratchet_stop,2024-11-01,4604.12,2024-11-15,3878.04,29,3,-15.77,-21056.32
PRUDENT,atr_ratchet_stop,2024-11-08,3592.5,2024-11-15,2988.51,38,2,-16.81,-22951.62
CEMPRO,atr_ratchet_stop,2024-07-05,525.67,2024-11-22,514.37,244,21,-2.15,-2757.2
VMART,atr_ratchet_stop,2024-10-11,1121.0,2024-11-22,901.29,128,7,-19.6,-28122.88
WEBELSOLAR,hard_stop_20pct,2024-11-08,156.68,2024-11-22,118.1,893,3,-24.62,-34451.94
POLYMED,atr_ratchet_stop,2024-11-08,3144.48,2024-11-22,2720.07,44,3,-13.5,-18674.04
MFSL,atr_ratchet_stop,2024-11-01,1270.7,2024-12-06,1123.65,106,6,-11.57,-15587.3
BANCOINDIA,atr_ratchet_stop,2024-11-22,412.47,2024-12-27,483.87,324,6,17.31,23133.6
KITEX,atr_ratchet_stop,2024-11-08,212.73,2025-01-03,231.05,657,9,8.61,12036.24
TIPSMUSIC,atr_ratchet_stop,2024-11-08,902.62,2025-01-03,767.57,155,9,-14.96,-20932.75
KALYANKJIL,atr_ratchet_stop,2023-11-17,336.31,2025-01-17,598.25,246,62,77.89,64437.24
SKYGOLD,atr_ratchet_stop,2024-07-19,221.3,2025-01-17,351.0,591,27,58.61,76652.7
GRWRHITECH,atr_ratchet_stop,2024-08-16,3202.79,2025-01-17,4185.3,41,23,30.68,40282.91
ANUP,atr_ratchet_stop,2024-10-11,2636.03,2025-01-17,2982.56,54,15,13.15,18712.62
MCX,atr_ratchet_stop,2024-10-18,1283.86,2025-01-17,1096.02,115,14,-14.63,-21601.6
PPLPHARMA,atr_ratchet_stop,2024-11-01,245.84,2025-01-17,214.91,548,12,-12.58,-16949.64
SUPRIYA,atr_ratchet_stop,2024-11-29,807.78,2025-01-17,659.0,172,8,-18.42,-25590.16
SHAKTIPUMP,atr_ratchet_stop,2024-08-02,763.57,2025-01-24,1012.89,169,26,32.65,42135.08
FORTIS,atr_ratchet_stop,2024-11-29,697.14,2025-01-24,646.55,199,9,-7.26,-10067.41
GVT&D,atr_ratchet_stop,2024-01-19,630.09,2025-01-31,1741.81,166,55,176.44,184545.52
GOKULAGRO,atr_ratchet_stop,2024-05-17,76.0,2025-01-31,147.0,1498,38,93.42,106358.0
SHARDACROP,atr_ratchet_stop,2024-11-08,714.17,2025-01-31,603.43,195,13,-15.51,-21594.3
VIJAYA,atr_ratchet_stop,2024-11-29,1216.35,2025-01-31,961.71,114,10,-20.93,-29028.96
WEBELSOLAR,atr_ratchet_stop,2024-12-27,178.0,2025-01-31,135.37,806,6,-23.95,-34359.78
PGIL,atr_ratchet_stop,2025-01-03,1391.09,2025-01-31,1271.21,102,5,-8.62,-12227.76
GILLETTE,atr_ratchet_stop,2024-11-08,9648.91,2025-02-07,8314.67,14,14,-13.83,-18679.36
VIYASH,hard_stop_20pct,2024-11-15,210.8,2025-02-07,167.88,651,13,-20.36,-27940.92
AMBER,atr_ratchet_stop,2025-01-03,7404.55,2025-02-07,6538.0,19,6,-11.7,-16464.45
PARADEEP,atr_ratchet_stop,2024-12-06,111.39,2025-02-21,100.54,1264,12,-9.74,-13714.4
ASHAPURMIN,hard_stop_20pct,2025-01-24,555.1,2025-02-21,434.1,242,5,-21.8,-29282.0
LAURUSLABS,atr_ratchet_stop,2025-02-14,635.17,2025-02-21,542.27,201,2,-14.63,-18672.9
BSE,atr_ratchet_stop,2024-09-27,1325.98,2025-03-07,1529.47,108,24,15.35,21976.92
GREAVESCOT,hard_stop_20pct,2025-02-14,283.35,2025-03-07,225.4,451,4,-20.45,-26135.45
BLUEJET,atr_ratchet_stop,2025-02-07,749.18,2025-04-11,652.45,168,10,-12.91,-16250.64
REDINGTON,atr_ratchet_stop,2025-02-14,223.03,2025-04-11,169.38,574,9,-24.06,-30795.1
AVANTIFEED,atr_ratchet_stop,2025-03-21,821.88,2025-04-11,588.26,149,4,-28.43,-34809.38
AXISCADES,atr_ratchet_stop,2025-03-14,829.0,2025-04-18,808.7,150,6,-2.45,-3045.0
APOLLO,atr_ratchet_stop,2025-02-07,138.14,2025-05-02,111.9,915,13,-19.0,-24009.6
