date,nav,n_positions,invested_frac
2022-01-05,1500000.0,4,0.1589332333333334
2022-01-06,1498975.2499999998,13,0.5176510953066104
2022-01-07,1504433.53,25,0.985531550868851
2022-01-10,1533842.23,25,0.9858089576787831
2022-01-11,1541680.0,25,0.9905077058793006
2022-01-12,1530981.4900000002,25,0.9904413736576267
2022-01-13,1534743.5099999993,25,0.9904648041157054
2022-01-14,1548598.08,25,0.9932116214427957
2022-01-17,1567556.5799999998,25,0.9932937221315483
2022-01-18,1531703.1699999995,22,0.8846949046922715
2022-01-19,1536614.3599999996,24,0.9673613163422475
2022-01-20,1550208.1699999997,24,0.9676475256868244
2022-01-21,1516504.0199999996,21,0.8668568250811497
2022-01-24,1432122.5,10,0.4289113256722104
2022-01-25,1451824.7399999998,12,0.5164337535672522
2022-01-27,1459942.0899999999,19,0.7947554618416406
2022-01-28,1456494.0199999998,21,0.8742563323397649
2022-01-31,1464418.11,24,0.9902205661742329
2022-02-01,1464232.2000000002,24,0.9929457773159203
2022-02-02,1499423.4300000002,24,0.997754990396542
2022-02-03,1506419.3099999998,24,0.9999496288984773
2022-02-04,1525228.34,24,0.9999502500720647
2022-02-07,1535504.3,24,0.9999505830104156
2022-02-08,1509573.79,22,0.9174028452097065
2022-02-09,1521846.98,24,0.9977448915396212
2022-02-10,1530115.9899999998,24,0.9884680703192965
2022-02-11,1509835.6799999997,24,0.991324446644419
2022-02-14,1428779.3299999998,5,0.25536043414065906
2022-02-15,1433336.0499999998,4,0.21690619586383808
2022-02-16,1428323.63,5,0.2541443566259561
2022-02-17,1415989.54,4,0.16695434769948944
2022-02-18,1415002.95,4,0.1663735188679289
2022-02-21,1407101.19,6,0.24034216757360571
2022-02-22,1404326.2999999998,6,0.2388411154871912
2022-02-23,1404824.67,5,0.1975739150423661
2022-02-24,1395744.21,2,0.07982429674560503
2022-02-25,1400150.43,2,0.08272005458727748
2022-02-28,1404037.44,2,0.08525949991760906
2022-03-02,1402607.5199999998,6,0.24384079303952397
2022-03-03,1398469.29,11,0.4387454014095656
2022-03-04,1377158.0099999998,10,0.39374669141996277
2022-03-07,1374178.5599999998,9,0.361489230336995
2022-03-08,1367543.2499999998,10,0.3983532074762536
2022-03-09,1362496.0299999998,10,0.4027164027773351
2022-03-10,1357198.7499999998,11,0.44181565153961433
2022-03-11,1370218.7199999995,18,0.7259676396772626
2022-03-14,1386180.9400000002,24,0.9681546479783515
2022-03-15,1357895.2799999998,23,0.9301279845379538
2022-03-16,1378802.8199999996,24,0.9711614529480004
2022-03-17,1384379.6599999995,24,0.9712776262546362
2022-03-21,1390224.2599999998,24,0.9780451464715486
2022-03-22,1405740.8299999996,24,0.9804083943410823
2022-03-23,1407866.0699999998,24,0.9831168812811862
2022-03-24,1404779.1199999994,24,0.9830797812541521
2022-03-25,1397624.2599999995,24,0.9845348992439501
2022-03-28,1440675.4699999997,24,0.9875201179069151
2022-03-29,1464837.1199999999,24,0.9877259664200756
2022-03-30,1445557.4699999997,24,0.9875622655113119
2022-03-31,1456312.0599999994,24,0.9830593245241684
2022-04-01,1485938.67,24,0.9833970873104745
2022-04-04,1509594.13,24,0.9836572562719228
2022-04-05,1531507.1099999999,24,0.9838910901301662
2022-04-06,1548084.9399999992,24,0.9840635940816014
2022-04-07,1519040.5999999999,24,0.9796564423623703
2022-04-08,1528146.7299999995,24,0.970562146214847
2022-04-11,1538652.4799999995,24,0.9707631446445921
2022-04-12,1521339.4899999995,24,0.9755065057832688
2022-04-13,1536548.8199999998,24,0.9757489514716495
2022-04-18,1545876.2899999996,24,0.9792445746095247
2022-04-19,1538290.4699999995,24,0.98778670194843
2022-04-20,1570830.2899999996,24,0.9945125007743518
2022-04-21,1579849.7699999998,24,0.9945438293161256
2022-04-22,1581932.8599999994,23,0.9606182085376243
2022-04-25,1559365.5999999992,19,0.8148581897664027
2022-04-26,1555296.6099999999,23,0.9741263436560826
2022-04-27,1538085.3199999998,23,0.9817924729949313
2022-04-28,1517258.1699999995,23,0.9912692313925721
2022-04-29,1525683.0799999996,23,0.9913174432005895
2022-05-02,1535079.8899999997,22,0.9538266376481553
2022-05-04,1491082.6799999997,18,0.8018641930707694
2022-05-05,1509155.3,19,0.8442232750996536
2022-05-06,1469336.3299999998,13,0.5955088036242867
2022-05-09,1451888.2699999996,12,0.5513154121701115
2022-05-10,1425736.5099999995,9,0.42714374341160705
2022-05-11,1400874.3499999996,6,0.24914926881201027
2022-05-12,1394698.7299999995,3,0.12344154066878664
2022-05-13,1400906.6899999995,3,0.12732591062149903
2022-05-16,1405772.3399999994,4,0.1703449151659934
2022-05-17,1405002.6699999995,4,0.16989042447869518
2022-05-18,1404720.4299999995,6,0.24932256449064397
2022-05-19,1397104.8399999994,5,0.20951395458625718
2022-05-20,1400555.7299999995,7,0.29137392483482266
2022-05-23,1395361.7399999993,9,0.3678716101245546
2022-05-24,1392925.5599999996,11,0.4465992066367139
2022-05-25,1371527.8599999994,9,0.35978825832965594
2022-05-26,1371449.2199999995,11,0.43829442697120075
2022-05-27,1377744.4399999995,11,0.44117353868617326
2022-05-30,1381879.3599999994,17,0.678726122662401
2022-05-31,1389581.0299999998,20,0.8040641213992394
2022-06-01,1399238.74,22,0.8814511882368268
2022-06-02,1401551.39,24,0.9615694576850302
2022-06-03,1375363.8599999999,23,0.9239996316320253
2022-06-06,1370607.9099999997,24,0.9618396701066758
2022-06-07,1372551.9999999995,22,0.8881224317912911
2022-06-08,1358829.5699999996,22,0.890363741495558
2022-06-09,1371049.6199999996,24,0.971012894485905
2022-06-10,1363299.8699999994,23,0.9338788978245852
2022-06-13,1320836.1899999995,16,0.6661764544776746
2022-06-14,1318206.4299999997,14,0.5904884260047194
2022-06-15,1324219.4599999995,14,0.5923479405747445
2022-06-16,1297150.6799999997,9,0.38856740220804586
2022-06-17,1308818.4299999997,9,0.39401815269364765
2022-06-20,1300805.2399999998,5,0.23076177030160192
2022-06-21,1303977.7599999998,7,0.3124179817299953
2022-06-22,1302908.4099999997,6,0.2727915387390892
2022-06-23,1307187.4799999997,7,0.31516629886938646
2022-06-24,1316725.5299999998,10,0.43625865597061836
2022-06-27,1317964.3599999999,10,0.4380812012245916
2022-06-28,1322204.8399999999,13,0.5595709965787148
2022-06-29,1316965.0299999998,13,0.5535241433100164
2022-06-30,1314101.3699999999,13,0.5525511932157867
2022-07-01,1323047.7899999998,15,0.6353687722799493
2022-07-04,1331586.5599999998,20,0.8356118583834311
2022-07-05,1331233.74,22,0.9090635953983559
2022-07-06,1354815.64,24,0.9905616383347924
2022-07-07,1370190.0699999996,24,0.9906675429343903
2022-07-08,1369903.44,24,0.9906655902696326
2022-07-11,1377480.9699999997,24,0.9907169389062415
2022-07-12,1368219.2699999998,24,0.9906541003475271
2022-07-13,1360357.5499999998,24,0.9906000889251507
2022-07-14,1358227.1999999997,24,0.9905853453678444
2022-07-15,1372661.4699999995,24,0.9930118093866219
2022-07-18,1398003.71,24,0.9931384874507954
2022-07-19,1400419.3399999999,24,0.9968435168854496
2022-07-20,1399087.4900000002,24,0.996840512096924
2022-07-21,1413644.4,24,0.9968730467152843
2022-07-22,1421089.6400000001,24,0.9968894291566295
2022-07-25,1436368.98,24,0.996922517778127
2022-07-26,1415927.2699999998,23,0.9630972782945272
2022-07-27,1416005.82,23,0.9630993253968406
2022-07-28,1430231.97,23,0.9634663669278769
