ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_days,pnl_pct,pnl_rs
RENUKA,atr_ratchet_stop,2022-01-07,36.0,2022-01-12,32.7,1665,4,-9.17,-5494.5
ASIANPAINT,atr_ratchet_stop,2022-01-06,3333.22,2022-01-17,3212.2,18,8,-3.63,-2178.36
RADICO,atr_ratchet_stop,2022-01-06,1251.57,2022-01-19,1122.95,47,10,-10.28,-6045.14
NBCC,atr_ratchet_stop,2022-01-07,32.3,2022-01-19,31.5,1856,9,-2.48,-1484.8
INDIACEM,atr_ratchet_stop,2022-01-10,240.62,2022-01-19,236.13,250,8,-1.87,-1122.5
LXCHEM,atr_ratchet_stop,2022-01-12,481.08,2022-01-19,445.92,128,6,-7.31,-4500.48
SUZLON,atr_ratchet_stop,2022-01-10,10.24,2022-01-20,10.51,5876,9,2.64,1586.52
MFSL,ema100_break,2022-01-10,1041.8,2022-01-20,1000.0,57,9,-4.01,-2382.6
KAJARIACER,atr_ratchet_stop,2022-01-07,1296.38,2022-01-24,1228.61,46,12,-5.23,-3117.42
REDINGTON,atr_ratchet_stop,2022-01-10,141.15,2022-01-24,136.13,426,11,-3.56,-2138.52
PAGEIND,atr_ratchet_stop,2022-01-10,41767.44,2022-01-24,40308.86,1,11,-3.49,-1458.58
HEMIPROP,atr_ratchet_stop,2022-01-19,153.9,2022-01-24,144.45,398,4,-6.14,-3761.1
RALLIS,ema100_break,2022-01-20,263.95,2022-01-24,254.66,232,3,-3.52,-2155.28
GREAVESCOT,atr_ratchet_stop,2022-01-07,159.95,2022-01-25,193.24,374,13,20.81,12450.46
MAHSEAMLES,atr_ratchet_stop,2022-01-07,270.55,2022-01-25,245.31,221,13,-9.33,-5578.04
TRIVENI,atr_ratchet_stop,2022-01-07,236.58,2022-01-25,214.99,253,13,-9.13,-5462.27
POONAWALLA,atr_ratchet_stop,2022-01-07,248.21,2022-01-25,254.14,241,13,2.39,1429.13
GOKULAGRO,atr_ratchet_stop,2022-01-10,39.77,2022-01-25,34.8,1513,12,-12.5,-7519.61
NATIONALUM,atr_ratchet_stop,2022-01-10,89.69,2022-01-25,81.13,670,12,-9.54,-5735.2
