date,nav,n_positions,invested_frac
2022-01-21,1500000.0,0,0.0
2022-01-28,1500000.0,1,0.03996936000000002
2022-02-04,1507611.8399999999,1,0.044816496002047776
2022-02-11,1493885.04,0,0.0
2022-02-18,1493885.04,0,0.0
2022-02-25,1493885.04,0,0.0
2022-03-04,1493885.04,0,0.0
2022-03-11,1493885.04,0,0.0
2022-03-18,1493885.04,1,0.03999404130856013
2022-03-25,1493357.04,1,0.03965461601868499
2022-04-01,1503455.04,1,0.046104804038569716
2022-04-08,1508504.04,1,0.04929751464238703
2022-04-15,1508476.54,1,0.0492801830381797
2022-04-22,1518129.04,3,0.13529143741298835
2022-04-29,1515993.0,3,0.13407305970410158
2022-05-06,1503074.9,2,0.08195614203922903
2022-05-13,1486011.39,1,0.04009455136141316
2022-05-20,1507990.5899999999,1,0.05408532423269294
2022-05-27,1496207.55,1,0.046635989772943004
2022-06-03,1502235.8699999999,1,0.050461742735513265
2022-06-10,1531957.95,2,0.10885364053236576
2022-06-17,1498078.47,1,0.0349874596355423
2022-06-24,1495195.18,0,0.0
2022-07-01,1495195.18,0,0.0
2022-07-08,1495195.18,0,0.0
2022-07-15,1495195.18,1,0.03999778811486003
2022-07-22,1502152.03,1,0.04444380373403356
2022-07-29,1492510.0799999998,1,0.038270696302432954
2022-08-05,1502152.03,1,0.04444380373403356
2022-08-12,1509230.93,1,0.048925746572129954
2022-08-19,1519849.28,1,0.05557037866281062
2022-08-26,1522534.38,1,0.057235948918276616
2022-09-02,1523632.8299999998,1,0.057915626562076584
2022-09-09,1524731.28,1,0.05859432489638443
2022-09-16,1524731.2799999998,3,0.1385058749499781
2022-09-23,1531637.3299999998,2,0.10909677292861487
2022-09-30,1522904.8099999998,2,0.1039882262897311
2022-10-07,1542319.7799999998,2,0.11526736692698056
2022-10-14,1540544.1099999999,2,0.1142476017775304
2022-10-21,1549971.48,3,0.1596245758018722
2022-10-28,1565264.7,3,0.16783535717632936
2022-11-04,1568555.73,4,0.20956717298147898
2022-11-11,1550776.66,4,0.20050515849264844
2022-11-18,1536494.38,3,0.13032064588482253
2022-11-25,1548180.83,3,0.13688542442422577
2022-12-02,1551954.83,3,0.1389843221145812
2022-12-09,1572632.06,4,0.19029105892703221
2022-12-16,1598131.6400000001,6,0.283161955294246
2022-12-23,1515514.3599999999,1,0.03675715748414288
2022-12-30,1545395.96,2,0.09531982987712749
2023-01-06,1541140.0899999999,2,0.09282154875355947
2023-01-13,1535603.1999999997,2,0.08955055576857349
2023-01-20,1541647.5399999998,2,0.09312015637504276
2023-01-27,1528913.6099999996,1,0.04134251247851728
2023-02-03,1529441.3399999999,1,0.04167329490387654
2023-02-10,1532316.9299999997,1,0.043471718347456986
2023-02-17,1529509.5499999998,1,0.041716032436672316
2023-02-24,1528931.5599999998,1,0.04135376733279028
2023-03-03,1529247.4799999997,1,0.041551809521373224
2023-03-10,1538768.1599999997,1,0.04748192866168998
2023-03-17,1539733.8699999996,1,0.048079341139647666
2023-03-24,1539453.8499999996,1,0.04790619088711227
2023-03-31,1540925.7499999998,1,0.04881563566576782
2023-04-07,1544275.2199999997,1,0.05087871577710092
2023-04-14,1542713.5699999998,1,0.049917944262329976
2023-04-21,1541801.7099999997,2,0.08862782361293402
2023-04-28,1543571.5199999996,3,0.12961574984228783
2023-05-05,1565159.7099999995,4,0.18139919407968919
2023-05-12,1565314.1499999994,3,0.1382414322390174
2023-05-19,1559800.3399999994,4,0.17516788078145953
2023-05-26,1549471.5099999993,5,0.20964831421779417
2023-06-02,1575172.2499999995,5,0.22254380751057554
2023-06-09,1590628.0799999994,6,0.2700365757405717
2023-06-16,1606621.1299999994,6,0.2773029693690137
2023-06-23,1598558.4299999995,7,0.3134133483003184
2023-06-30,1610553.3099999996,7,0.31852682355481937
2023-07-07,1639896.6799999992,7,0.3307207134537281
2023-07-14,1651000.9999999995,7,0.3352221591628353
2023-07-21,1655532.4899999993,7,0.33013252430944445
2023-07-28,1705455.9399999995,7,0.3497414128447084
2023-08-04,1710507.2399999993,8,0.3915765068612046
