ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
SHARDACROP,atr_chandelier_stop,2022-02-04,555.13,2022-02-18,498.51,108,3,-10.2,-6114.96
USHAMART,atr_chandelier_stop,2022-03-25,108.63,2022-05-13,122.09,550,8,12.39,7403.0
CUPID,stop_loss_20pct,2022-04-29,3.04,2022-05-20,2.33,19975,4,-23.36,-14182.25
MRPL,atr_chandelier_stop,2022-04-29,66.53,2022-06-24,88.23,912,9,32.62,19790.4
OIL,atr_chandelier_stop,2022-06-17,164.16,2022-07-01,132.79,373,3,-19.11,-11701.01
TATAINVEST,atr_chandelier_stop,2022-09-23,271.69,2022-09-30,227.65,224,2,-16.21,-9864.96
PCJEWELLER,atr_chandelier_stop,2022-07-22,4.9,2022-11-25,7.9,12205,19,61.22,36615.0
SOUTHBANK,atr_chandelier_stop,2022-09-23,9.96,2022-12-30,15.16,6123,15,52.21,31839.6
GOKULAGRO,stop_loss_20pct,2022-10-28,69.1,2022-12-30,54.68,897,10,-20.87,-12934.74
IOB,atr_chandelier_stop,2022-11-11,22.4,2022-12-30,26.8,2800,8,19.64,12320.0
OPTIEMUS,stop_loss_20pct,2022-12-16,365.6,2022-12-30,288.26,172,3,-21.15,-13302.48
NFL,stop_loss_20pct,2022-12-23,74.63,2022-12-30,55.74,856,2,-25.31,-16169.84
FACT,atr_chandelier_stop,2022-12-23,277.78,2023-02-03,293.98,230,7,5.83,3726.0
RVNL,atr_chandelier_stop,2023-05-05,110.89,2023-05-19,121.73,556,3,9.78,6027.04
DATAMATICS,atr_chandelier_stop,2023-05-12,435.38,2023-07-28,542.88,143,12,24.69,15372.5
THANGAMAYL,atr_chandelier_stop,2023-06-02,659.0,2023-08-18,1085.12,94,12,64.66,40055.28
SUBROS,atr_chandelier_stop,2023-06-30,467.29,2023-08-18,397.68,136,8,-14.9,-9466.96
USHAMART,atr_chandelier_stop,2023-01-06,171.92,2023-10-27,300.19,359,43,74.61,46048.93
MMTC,stop_loss_20pct,2023-09-15,65.95,2023-11-03,51.6,1086,8,-21.76,-15584.1
ETHOSLTD,atr_chandelier_stop,2023-04-28,1235.7,2023-12-22,1834.45,49,35,48.45,29338.75
SKYGOLD,atr_chandelier_stop,2023-10-20,56.4,2023-12-29,92.7,1319,11,64.36,47879.7
3MINDIA,atr_chandelier_stop,2024-01-05,35234.47,2024-02-09,31401.53,2,6,-10.88,-7665.88
ALOKINDS,atr_chandelier_stop,2024-01-12,33.4,2024-03-08,29.0,2627,9,-13.17,-11558.8
HBLENGINE,atr_chandelier_stop,2023-06-16,139.62,2024-03-15,457.9,455,40,227.96,144817.4
ITI,trend_reversal_23wma,2023-09-22,196.85,2024-03-15,280.95,363,26,42.72,30528.3
ATGL,atr_chandelier_stop,2023-12-15,1178.79,2024-03-15,1009.01,69,14,-14.4,-11714.82
JAYNECOIND,trend_reversal_23wma,2023-07-28,30.35,2024-03-22,45.0,2181,35,48.27,31951.65
DBREALTY,atr_chandelier_stop,2023-08-25,136.9,2024-03-22,220.15,505,31,60.81,42041.25
COALINDIA,atr_chandelier_stop,2023-09-15,232.92,2024-03-22,360.93,307,28,54.96,39299.07
KPIGREEN,atr_chandelier_stop,2023-11-17,237.04,2024-03-22,498.48,319,19,110.29,83399.36
WOCKPHARMA,atr_chandelier_stop,2023-11-24,325.9,2024-03-22,502.1,241,18,54.07,42464.2
NIACL,atr_chandelier_stop,2023-12-01,207.83,2024-03-22,226.26,383,17,8.87,7058.69
ARE&M,atr_chandelier_stop,2023-12-08,768.91,2024-03-22,775.74,105,16,0.89,717.15
OFSS,atr_chandelier_stop,2024-01-26,6015.99,2024-04-26,6888.26,14,14,14.5,12211.78
PCJEWELLER,trend_reversal_23wma,2023-12-29,5.13,2024-05-03,5.03,15925,19,-1.95,-1592.5
ADANIGREEN,trend_reversal_23wma,2023-12-15,1554.4,2024-05-17,1710.1,52,23,10.02,8096.4
ADANIENSOL,trend_reversal_23wma,2023-12-15,1137.95,2024-05-17,990.95,72,23,-12.92,-10584.0
INOXGREEN,trend_reversal_23wma,2023-12-22,100.8,2024-05-17,122.8,832,22,21.83,18304.0
GALLANTT,atr_chandelier_stop,2023-12-29,143.98,2024-05-31,273.12,567,23,89.69,73222.38
PNCINFRA,atr_chandelier_stop,2024-05-31,568.1,2024-06-21,476.36,186,4,-16.15,-17063.64
HERITGFOOD,atr_chandelier_stop,2024-06-14,701.75,2024-06-21,571.03,149,2,-18.63,-19477.28
HINDZINC,atr_chandelier_stop,2024-04-19,387.58,2024-07-26,586.84,246,15,51.41,49017.96
BDL,atr_chandelier_stop,2024-05-31,1567.2,2024-08-02,1414.45,67,10,-9.75,-10234.25
MAPMYINDIA,trend_reversal_23wma,2024-06-28,2465.17,2024-09-06,2082.21,43,11,-15.53,-16467.28
KSB,trend_reversal_23wma,2023-08-11,521.18,2024-09-13,875.84,131,58,68.05,46460.46
IDBI,trend_reversal_23wma,2024-08-02,102.8,2024-09-13,86.55,1098,7,-15.81,-17842.5
ADANIPORTS,atr_chandelier_stop,2023-12-15,1013.19,2024-09-27,1434.94,80,42,41.63,33740.0
KIRLPNU,trend_reversal_23wma,2024-05-03,1079.96,2024-10-11,1244.02,91,24,15.19,14929.46
FACT,atr_chandelier_stop,2024-06-28,1069.51,2024-10-11,895.65,101,16,-16.26,-17559.86
PTCIL,trend_reversal_23wma,2024-06-21,14950.0,2024-10-25,13595.0,7,19,-9.06,-9485.0
PCBL,atr_chandelier_stop,2024-08-09,347.8,2024-10-25,462.39,328,12,32.95,37585.52
NEOGEN,atr_chandelier_stop,2024-09-27,2303.53,2024-11-01,1869.11,50,6,-18.86,-21721.0
SANSERA,atr_chandelier_stop,2024-06-21,1219.99,2024-11-29,1501.09,86,24,23.04,24174.6
BANCOINDIA,atr_chandelier_stop,2024-11-29,558.67,2024-12-27,483.87,217,5,-13.39,-16231.6
KITEX,atr_chandelier_stop,2024-08-23,108.82,2025-01-03,231.05,1039,20,112.32,126996.97
NETWEB,trend_reversal_23wma,2023-12-22,1295.18,2025-01-17,2525.36,64,57,94.98,78731.52
THYROCARE,trend_reversal_23wma,2024-08-02,247.65,2025-01-17,275.4,456,25,11.21,12654.0
SHAKTIPUMP,atr_chandelier_stop,2023-05-26,87.94,2025-01-24,1012.89,709,88,1051.8,655789.55
WOCKPHARMA,atr_chandelier_stop,2024-07-12,914.0,2025-02-28,1271.05,126,34,39.06,44988.3
BSE,trend_reversal_23wma,2024-09-27,1325.98,2025-03-07,1529.47,87,24,15.35,17703.63
APOLLO,atr_chandelier_stop,2025-01-10,139.44,2025-03-07,112.89,974,9,-19.04,-25859.7
AAVAS,trend_reversal_23wma,2025-03-21,1876.7,2025-05-16,1771.0,67,9,-5.63,-7081.9
KIRLOSBROS,atr_chandelier_stop,2025-07-04,2283.43,2025-08-08,1852.95,55,6,-18.85,-23676.4
HEMIPROP,atr_chandelier_stop,2025-09-12,177.65,2025-10-17,145.75,702,6,-17.96,-22393.8
TATAINVEST,atr_chandelier_stop,2025-10-03,878.52,2025-10-31,840.66,141,5,-4.31,-5338.26
SOUTHBANK,atr_chandelier_stop,2025-10-17,34.26,2026-02-06,37.55,3622,17,9.6,11916.38
BALKRISIND,atr_chandelier_stop,2026-02-13,2698.61,2026-03-06,2291.93,46,4,-15.07,-18707.28
TMB,atr_chandelier_stop,2025-11-07,490.38,2026-03-20,590.23,252,20,20.36,25162.2
THANGAMAYL,trend_reversal_23wma,2025-11-14,3390.52,2026-05-22,3629.85,36,28,7.06,8615.88
GALLANTT,atr_chandelier_stop,2026-04-24,862.1,2026-05-29,701.0,146,6,-18.69,-23520.6
NAVA,atr_chandelier_stop,2026-04-24,693.52,2026-05-29,602.37,182,6,-13.14,-16589.3
LINDEINDIA,atr_chandelier_stop,2026-02-20,6888.32,2026-06-19,7075.5,18,18,2.72,3369.24
J&KBANK,atr_chandelier_stop,2026-03-06,116.2,2026-08-07,155.0,1081,23,33.39,41942.8
NAUKRI,open_at_backtest_end,2026-07-17,1187.34,2026-08-14,1225.3,106,5,3.2,4023.76
JUSTDIAL,open_at_backtest_end,2026-07-24,766.0,2026-08-14,683.3,164,4,-10.8,-13562.8
SMLMAH,open_at_backtest_end,2026-08-07,5690.0,2026-08-14,5554.0,21,2,-2.39,-2856.0
