ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
TIMETECHNO,trend_reversal_23wma,2022-01-28,42.37,2022-02-18,35.97,1416,4,-15.11,-9062.4
SHARDACROP,atr_chandelier_stop,2022-02-04,555.13,2022-02-18,498.51,107,3,-10.2,-6058.34
GREAVESCOT,stop_loss_20pct,2022-01-28,226.43,2022-02-25,174.93,264,5,-22.74,-13596.0
TEXRAIL,stop_loss_20pct,2022-02-11,48.48,2022-02-25,36.17,1245,3,-25.39,-15325.95
ALOKINDS,stop_loss_20pct,2022-01-28,31.6,2022-03-04,23.5,1898,6,-25.63,-15373.8
ELECTCAST,trend_reversal_23wma,2022-01-28,41.54,2022-03-04,34.91,1444,6,-15.96,-9573.72
MMTC,stop_loss_20pct,2022-02-04,56.8,2022-03-04,44.1,1052,5,-22.36,-13360.4
DBREALTY,atr_chandelier_stop,2022-02-11,95.15,2022-03-04,87.4,634,4,-8.15,-4913.5
DEEPAKFERT,atr_chandelier_stop,2022-02-11,626.94,2022-03-04,512.39,96,4,-18.27,-10996.8
CCL,trend_reversal_23wma,2022-01-28,444.8,2022-03-11,378.99,134,7,-14.8,-8818.54
TARIL,stop_loss_20pct,2022-02-11,21.56,2022-03-11,16.37,2801,5,-24.07,-14537.19
INTELLECT,atr_chandelier_stop,2022-04-01,842.48,2022-05-06,755.85,71,6,-10.28,-6150.73
POWERINDIA,trend_reversal_23wma,2022-01-28,3024.08,2022-05-13,2983.43,19,16,-1.34,-772.35
NMDC,atr_chandelier_stop,2022-02-11,31.79,2022-05-13,32.68,1900,14,2.8,1691.0
CIPLA,trend_reversal_23wma,2022-03-18,1002.69,2022-05-13,896.9,57,9,-10.55,-6030.03
USHAMART,atr_chandelier_stop,2022-03-25,108.63,2022-05-13,122.09,548,8,12.39,7376.08
CUMMINSIND,atr_chandelier_stop,2022-04-01,1026.53,2022-05-13,946.4,59,7,-7.81,-4727.67
MOIL,trend_reversal_23wma,2022-04-08,175.5,2022-05-13,156.94,358,6,-10.58,-6644.48
RCF,atr_chandelier_stop,2022-04-08,89.22,2022-05-13,83.29,704,6,-6.65,-4174.72
RHIM,atr_chandelier_stop,2022-01-28,435.37,2022-05-20,544.53,137,17,25.07,14954.92
GMDCLTD,atr_chandelier_stop,2022-01-28,96.11,2022-05-20,157.59,624,17,63.97,38363.52
ADANIGREEN,atr_chandelier_stop,2022-01-28,1946.25,2022-05-20,2234.0,30,17,14.78,8632.5
BDL,atr_chandelier_stop,2022-02-04,238.07,2022-05-20,330.45,251,16,38.8,23187.38
GNFC,trend_reversal_23wma,2022-02-18,491.05,2022-05-20,549.43,119,14,11.89,6947.22
SARDAEN,atr_chandelier_stop,2022-03-18,108.91,2022-05-20,89.3,533,10,-18.01,-10452.13
LINDEINDIA,atr_chandelier_stop,2022-03-25,3242.88,2022-05-20,3048.72,18,9,-5.99,-3494.88
JINDALSTEL,atr_chandelier_stop,2022-04-01,522.98,2022-05-20,450.59,115,8,-13.84,-8324.85
COHANCE,trend_reversal_23wma,2022-04-01,598.25,2022-05-20,515.63,101,8,-13.81,-8344.62
GSFC,atr_chandelier_stop,2022-04-08,157.57,2022-05-20,126.26,398,7,-19.87,-12461.38
SPLPETRO,trend_reversal_23wma,2022-03-25,393.89,2022-06-03,345.46,151,11,-12.3,-7312.93
GAEL,trend_reversal_23wma,2022-02-04,106.3,2022-06-24,121.55,562,21,14.35,8570.5
NAVA,atr_chandelier_stop,2022-05-27,94.85,2022-06-24,76.93,628,5,-18.89,-11253.76
JKPAPER,trend_reversal_23wma,2022-03-18,250.86,2022-07-01,270.11,231,16,7.67,4446.75
MRPL,stop_loss_20pct,2022-06-17,112.48,2022-07-01,82.68,523,3,-26.49,-15585.4
OIL,atr_chandelier_stop,2022-06-17,164.16,2022-07-01,132.79,358,3,-19.11,-11230.46
KEC,trend_reversal_23wma,2022-07-22,462.21,2022-08-19,387.29,127,5,-16.21,-9514.84
VOLTAMP,atr_chandelier_stop,2022-06-10,2204.98,2022-08-26,2667.09,26,12,20.96,12014.86
PVRINOX,trend_reversal_23wma,2022-08-05,2167.0,2022-08-26,1775.05,27,4,-18.09,-10582.65
CREDITACC,trend_reversal_23wma,2022-02-18,730.26,2022-09-09,1002.05,80,30,37.22,21743.2
SHRIRAMFIN,atr_chandelier_stop,2022-07-29,274.01,2022-09-09,245.72,219,7,-10.32,-6195.51
TATAELXSI,atr_chandelier_stop,2022-08-19,9955.78,2022-09-09,8360.76,6,4,-16.02,-9570.12
TIMKEN,atr_chandelier_stop,2022-06-10,2451.07,2022-09-23,2869.9,24,16,17.09,10051.92
NAVA,atr_chandelier_stop,2022-08-26,118.25,2022-09-30,94.03,526,6,-20.48,-12739.72
RPOWER,stop_loss_20pct,2022-09-09,21.55,2022-09-30,16.5,2973,4,-23.43,-15013.65
JAMNAAUTO,trend_reversal_23wma,2022-07-08,119.25,2022-10-07,105.28,474,14,-11.71,-6621.78
ADANIENT,atr_chandelier_stop,2022-08-26,3128.31,2022-10-14,3228.13,19,8,3.19,1896.58
COROMANDEL,trend_reversal_23wma,2022-03-25,823.88,2022-10-21,932.92,72,31,13.23,7850.88
ITI,trend_reversal_23wma,2022-07-22,119.55,2022-10-21,101.45,492,14,-15.14,-8905.2
GILLETTE,trend_reversal_23wma,2022-07-29,5081.64,2022-10-21,4733.81,11,13,-6.84,-3826.13
KPIGREEN,trend_reversal_23wma,2022-06-24,82.6,2022-11-04,83.66,682,20,1.28,722.92
ABB,atr_chandelier_stop,2022-07-15,2519.14,2022-11-04,2869.88,22,17,13.92,7716.28
LUMAXTECH,atr_chandelier_stop,2022-07-15,205.65,2022-11-11,234.99,280,18,14.27,8215.2
DBREALTY,atr_chandelier_stop,2022-09-23,114.2,2022-11-11,100.8,564,8,-11.73,-7557.6
TEJASNET,atr_chandelier_stop,2022-09-09,655.34,2022-11-18,631.93,97,11,-3.57,-2270.77
PCJEWELLER,atr_chandelier_stop,2022-07-15,3.09,2022-11-25,7.9,18679,20,155.66,89845.99
SIEMENS,trend_reversal_23wma,2022-07-15,1538.96,2022-12-02,1602.36,37,21,4.12,2345.8
MAHSEAMLES,trend_reversal_23wma,2022-07-29,357.24,2022-12-16,364.19,168,21,1.95,1167.6
AXISCADES,atr_chandelier_stop,2022-11-11,325.0,2022-12-23,289.95,202,7,-10.78,-7080.1
CASTROLIND,trend_reversal_23wma,2022-07-22,90.54,2022-12-30,95.05,649,24,4.98,2926.99
SAFARI,atr_chandelier_stop,2022-07-29,554.67,2022-12-30,780.87,108,23,40.78,24429.6
RENUKA,trend_reversal_23wma,2022-09-30,57.0,2022-12-30,50.85,1136,14,-10.79,-6986.4
TARIL,atr_chandelier_stop,2022-10-07,29.75,2022-12-30,24.49,2143,13,-17.68,-11272.18
GRSE,atr_chandelier_stop,2022-10-21,447.25,2022-12-30,380.74,146,11,-14.87,-9710.46
GOKULAGRO,stop_loss_20pct,2022-10-28,69.1,2022-12-30,54.68,937,10,-20.87,-13511.54
SOUTHBANK,atr_chandelier_stop,2022-11-04,12.9,2022-12-30,15.16,5089,9,17.52,11501.14
REFEX,atr_chandelier_stop,2022-11-18,42.84,2022-12-30,44.82,1535,7,4.62,3039.3
RVNL,atr_chandelier_stop,2022-11-25,61.02,2022-12-30,59.19,1065,6,-3.0,-1948.95
UNIONBANK,atr_chandelier_stop,2022-11-25,65.39,2022-12-30,60.66,994,6,-7.23,-4701.62
UCOBANK,atr_chandelier_stop,2022-12-02,20.33,2022-12-30,27.38,3263,5,34.68,23004.15
FIEMIND,atr_chandelier_stop,2022-07-08,620.8,2023-01-13,786.79,91,28,26.74,15105.09
WESTLIFE,trend_reversal_23wma,2022-08-05,586.11,2023-01-27,690.14,103,26,17.75,10715.09
APARINDS,trend_reversal_23wma,2022-06-24,917.12,2023-02-03,1407.21,61,33,53.44,29895.49
FACT,atr_chandelier_stop,2022-12-23,277.78,2023-02-03,293.98,257,7,5.83,4163.4
APOLLO,atr_chandelier_stop,2022-10-21,23.95,2023-02-10,29.99,2727,17,25.22,16471.08
HCC,trend_reversal_23wma,2022-11-25,17.7,2023-02-10,14.75,3673,12,-16.67,-10835.35
NFL,stop_loss_20pct,2023-01-06,73.41,2023-02-10,55.36,926,6,-24.59,-16714.3
