date,nav,n_positions,invested_frac
2022-01-21,1500000.0,0,0.0
2022-01-28,1500000.0,0,0.0
2022-02-04,1500000.0,7,0.2791491133333333
2022-02-11,1483816.3,7,0.2791767552358065
2022-02-18,1470035.78,6,0.24198336859528682
2022-02-25,1441949.08,4,0.15527487281312316
2022-03-04,1447801.3600000003,2,0.09529803176866755
2022-03-11,1450769.52,6,0.25626459949337793
2022-03-18,1463099.94,11,0.46189416835052294
2022-03-25,1480166.74,15,0.6270071843392454
2022-04-01,1521823.37,19,0.7971254574701397
2022-04-08,1573765.8900000001,23,0.9636481700591439
2022-04-15,1580664.97,23,0.963806833778318
2022-04-22,1602446.1999999997,23,0.9642987889390607
2022-04-29,1553584.46,23,0.977635467594726
2022-05-06,1487468.2000000002,19,0.8236590940229847
2022-05-13,1375221.58,6,0.2806412403737875
2022-05-20,1443943.1900000002,8,0.3947723594305674
2022-05-27,1385695.08,6,0.2907614783477473
2022-06-03,1384256.65,9,0.4072976785049217
2022-06-10,1410500.27,10,0.4582452295454009
2022-06-17,1338171.5699999998,7,0.27375813999695114
2022-06-24,1333967.55,5,0.1958157228037519
2022-07-01,1346054.46,5,0.20303690387088794
2022-07-08,1362927.86,8,0.33123876417054093
2022-07-15,1385765.7600000002,9,0.38212429927551395
2022-07-22,1417283.25,13,0.5548761124496462
2022-07-29,1407943.88,16,0.6712747314900079
2022-08-05,1413481.5799999998,19,0.7924442283853462
2022-08-12,1453155.13,24,0.996966703754471
2022-08-19,1478082.9999999995,24,0.9917378523398213
2022-08-26,1532918.5999999999,24,0.9920334060790965
2022-09-02,1551896.1600000001,24,0.9992083877570778
2022-09-09,1568834.23,24,0.99921693447497
2022-09-16,1577547.09,24,0.9991542439471649
2022-09-23,1599408.8900000001,23,0.9661443547434577
2022-09-30,1580623.1099999999,23,0.9761481723495742
2022-10-07,1664079.51,23,0.9773443818198326
2022-10-14,1613743.34,22,0.9629293342273375
2022-10-21,1598138.89,23,0.9909542655582331
2022-10-28,1627436.5899999999,22,0.9607713748158998
2022-11-04,1684223.9500000004,22,0.9689539268219051
2022-11-11,1661167.3400000003,22,0.9727630570921288
2022-11-18,1632890.82,23,0.9707541744891431
2022-11-25,1651340.1,23,0.982400566667036
2022-12-02,1716192.81,23,0.9830656265247958
2022-12-09,1748590.4000000001,23,0.9904435481288242
2022-12-16,1822262.3900000004,23,0.9843066727618737
2022-12-23,1599543.1600000001,11,0.49022480268678714
2022-12-30,1703316.47,15,0.6810976353677833
2023-01-06,1702884.6300000001,20,0.8804266499251919
2023-01-13,1670353.6199999999,23,0.9999358638801285
2023-01-20,1688182.74,22,0.9606911216258496
2023-01-27,1605694.58,20,0.8761202083649058
2023-02-03,1599246.8100000005,19,0.8385805377970396
2023-02-10,1629868.0199999998,20,0.8816100214052914
2023-02-17,1609388.42,22,0.9639115894719809
2023-02-24,1632940.05,20,0.8689581224981284
2023-03-03,1619933.82,21,0.9119857007491824
2023-03-10,1645645.61,22,0.9477785013506036
2023-03-17,1619406.6800000002,20,0.879139809402293
2023-03-24,1590465.3400000003,16,0.7128723282960696
2023-03-31,1615430.4500000002,14,0.6315262907171274
2023-04-07,1644923.35,19,0.8359720652029166
2023-04-14,1645358.5699999998,23,0.9945391660129135
