ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
RCF,atr_chandelier_stop,2022-04-15,96.9,2022-05-13,83.29,62,5,-14.05,-843.82
ASHAPURMIN,stop_loss_20pct,2022-04-15,165.46,2022-05-13,125.44,36,5,-24.19,-1440.72
LINDEINDIA,atr_chandelier_stop,2022-04-08,3811.32,2022-05-20,3048.72,1,7,-20.01,-762.6
BEL,atr_chandelier_stop,2022-04-15,77.07,2022-05-20,69.72,78,6,-9.54,-573.3
SWANCORP,atr_chandelier_stop,2022-04-15,269.59,2022-05-20,268.04,22,6,-0.57,-34.1
CHENNPETRO,atr_chandelier_stop,2022-04-29,200.24,2022-06-03,225.57,30,6,12.65,759.9
GAEL,trend_reversal_23wma,2022-03-18,118.83,2022-06-24,121.55,50,15,2.29,136.0
ADANIPOWER,atr_chandelier_stop,2022-04-08,41.4,2022-06-24,53.07,145,12,28.19,1692.15
NHPC,trend_reversal_23wma,2022-04-29,31.31,2022-06-24,26.74,197,9,-14.6,-900.29
MRPL,atr_chandelier_stop,2022-04-29,66.53,2022-06-24,88.23,92,9,32.62,1996.4
TIMKEN,atr_chandelier_stop,2022-06-10,2451.07,2022-09-23,2869.9,2,16,17.09,837.66
RPOWER,stop_loss_20pct,2022-09-09,21.55,2022-09-30,16.5,288,4,-23.43,-1454.4
TATAINVEST,atr_chandelier_stop,2022-09-23,271.69,2022-09-30,227.65,22,2,-16.21,-968.88
JAYNECOIND,stop_loss_20pct,2022-09-23,33.2,2022-10-21,24.5,186,5,-26.2,-1618.2
POWERMECH,atr_chandelier_stop,2022-08-26,643.22,2022-10-28,903.92,9,10,40.53,2346.3
PCJEWELLER,atr_chandelier_stop,2022-07-22,4.9,2022-11-25,7.9,1226,19,61.22,3678.0
AXISCADES,atr_chandelier_stop,2022-11-11,325.0,2022-12-23,289.95,19,7,-10.78,-665.95
SAFARI,atr_chandelier_stop,2022-08-19,666.01,2022-12-30,780.87,9,20,17.25,1033.74
REFEX,atr_chandelier_stop,2022-09-23,34.11,2022-12-30,44.82,181,15,31.4,1938.51
SOUTHBANK,atr_chandelier_stop,2022-09-23,9.96,2022-12-30,15.16,621,15,52.21,3229.2
COCHINSHIP,atr_chandelier_stop,2022-10-14,248.71,2022-12-30,238.39,25,12,-4.15,-258.0
KTKBANK,atr_chandelier_stop,2022-11-11,130.07,2022-12-30,120.78,49,8,-7.14,-455.21
RVNL,atr_chandelier_stop,2022-11-11,45.09,2022-12-30,59.19,142,8,31.27,2002.2
UCOBANK,atr_chandelier_stop,2022-11-11,14.58,2022-12-30,27.38,441,8,87.79,5644.8
IRCON,atr_chandelier_stop,2022-11-25,53.79,2022-12-30,46.16,121,6,-14.18,-923.23
