ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
ASHAPURMIN,stop_loss_20pct,2022-04-15,165.46,2022-05-13,125.44,365,5,-24.19,-14607.3
RCF,stop_loss_20pct,2022-04-15,96.9,2022-05-20,76.35,623,6,-21.21,-12802.65
CUPID,stop_loss_20pct,2022-04-29,3.04,2022-05-20,2.33,20311,4,-23.36,-14420.81
LINDEINDIA,stop_loss_20pct,2022-04-08,3811.32,2022-06-03,2958.31,15,9,-22.38,-12795.15
GAEL,trend_reversal_23wma,2022-03-18,118.83,2022-06-24,121.55,504,15,2.29,1370.88
SWANCORP,stop_loss_20pct,2022-04-15,269.59,2022-06-24,213.96,224,11,-20.64,-12461.12
NHPC,trend_reversal_23wma,2022-04-29,31.31,2022-06-24,26.74,1972,9,-14.6,-9012.04
MRPL,trend_reversal_23wma,2022-04-29,66.53,2022-08-26,67.5,928,18,1.46,900.16
CHENNPETRO,trend_reversal_23wma,2022-04-29,200.24,2022-09-23,233.7,308,22,16.71,10305.68
RPOWER,stop_loss_20pct,2022-09-09,21.55,2022-09-30,16.5,2921,4,-23.43,-14751.05
JAYNECOIND,stop_loss_20pct,2022-09-23,33.2,2022-10-21,24.5,1881,5,-26.2,-16364.7
TIMKEN,trend_reversal_23wma,2022-06-10,2451.07,2022-11-11,2618.96,24,23,6.85,4029.36
ADANIPOWER,trend_reversal_23wma,2022-04-08,41.4,2022-11-25,67.6,1455,34,63.29,38121.0
TATAINVEST,stop_loss_20pct,2022-09-23,271.69,2022-12-16,215.55,229,13,-20.66,-12856.06
BEL,trend_reversal_23wma,2022-04-15,77.07,2022-12-23,95.59,784,37,24.03,14519.68
PCJEWELLER,trend_reversal_23wma,2022-07-22,4.9,2022-12-30,7.11,11922,24,45.1,26347.62
NFL,stop_loss_20pct,2022-12-23,74.63,2022-12-30,55.74,985,2,-25.31,-18606.65
COCHINSHIP,trend_reversal_23wma,2022-10-14,248.71,2023-01-20,237.6,257,15,-4.47,-2855.27
POWERMECH,trend_reversal_23wma,2022-08-26,643.22,2023-02-03,899.93,96,24,39.91,24644.16
CENTRALBK,stop_loss_20pct,2022-12-16,31.81,2023-03-03,24.43,2208,12,-23.2,-16295.04
IOB,trend_reversal_23wma,2022-11-11,22.4,2023-03-17,24.3,2862,19,8.48,5437.8
IRFC,trend_reversal_23wma,2022-11-25,26.05,2023-03-17,26.67,2495,17,2.38,1546.9
REFEX,trend_reversal_23wma,2022-09-23,34.11,2023-03-24,46.41,1831,27,36.06,22521.3
AXISCADES,trend_reversal_23wma,2022-11-11,325.0,2023-03-24,283.3,197,20,-12.83,-8214.9
RVNL,trend_reversal_23wma,2022-11-11,45.09,2023-03-24,61.36,1422,20,36.08,23135.94
SKIPPER,trend_reversal_23wma,2022-12-09,110.3,2023-03-24,95.76,638,16,-13.18,-9276.52
FACT,stop_loss_20pct,2022-12-23,277.78,2023-03-24,213.45,264,14,-23.16,-16983.12
APOLLO,trend_reversal_23wma,2022-10-21,23.95,2023-03-31,27.35,2592,24,14.2,8812.8
KTKBANK,trend_reversal_23wma,2022-11-11,130.07,2023-03-31,123.56,492,21,-5.0,-3202.92
UCOBANK,trend_reversal_23wma,2022-11-11,14.58,2023-03-31,23.03,4397,21,57.96,37154.65
IRCON,trend_reversal_23wma,2022-11-25,53.79,2023-03-31,50.59,1208,19,-5.95,-3865.6
LLOYDSENGG,stop_loss_20pct,2023-01-27,21.37,2023-03-31,17.13,3370,10,-19.84,-14288.8
SOUTHBANK,trend_reversal_23wma,2022-09-23,9.96,2023-04-07,14.19,6272,29,42.47,26530.56
MAXHEALTH,trend_reversal_23wma,2023-05-26,546.44,2023-09-29,540.92,121,19,-1.01,-667.92
JBMA,trend_reversal_23wma,2023-01-06,257.6,2023-10-27,605.72,276,43,135.14,96081.12
VOLTAMP,trend_reversal_23wma,2023-06-02,3718.36,2023-10-27,4345.42,17,22,16.86,10660.02
CHOLAFIN,trend_reversal_23wma,2023-05-12,985.31,2023-11-10,1137.28,66,27,15.42,10030.02
DATAMATICS,trend_reversal_23wma,2023-05-12,435.38,2023-11-17,569.39,151,28,30.78,20235.51
CHOLAHLDNG,trend_reversal_23wma,2023-05-19,783.7,2023-12-08,1037.8,83,30,32.42,21090.3
APOLLO,stop_loss_20pct,2023-11-24,158.25,2023-12-08,128.83,768,3,-18.59,-22594.56
SAFARI,trend_reversal_23wma,2022-08-19,666.01,2024-01-05,1932.01,91,73,190.09,115206.0
ZENTEC,trend_reversal_23wma,2023-03-03,265.4,2024-01-26,748.5,245,48,182.03,118359.5
THANGAMAYL,trend_reversal_23wma,2023-06-02,659.0,2024-01-26,1314.31,100,35,99.44,65531.0
ICIL,trend_reversal_23wma,2023-06-09,191.57,2024-02-16,257.25,356,37,34.29,23382.08
FORCEMOT,trend_reversal_23wma,2023-06-16,2167.82,2024-02-16,3336.98,32,36,53.93,37413.12
CREDITACC,trend_reversal_23wma,2023-05-26,1213.82,2024-02-23,1549.66,54,40,27.67,18135.36
3MINDIA,trend_reversal_23wma,2023-06-09,25003.8,2024-02-23,29735.13,2,38,18.92,9462.66
GOKEX,trend_reversal_23wma,2023-06-09,458.8,2024-03-01,834.75,148,39,81.94,55640.6
NH,trend_reversal_23wma,2023-06-09,936.37,2024-03-15,1180.85,72,41,26.11,17602.56
MINDACORP,trend_reversal_23wma,2023-04-21,264.4,2024-03-22,369.45,244,49,39.73,25632.2
AURIONPRO,trend_reversal_23wma,2023-05-26,355.56,2024-03-22,897.42,186,44,152.4,100785.96
SUZLON,trend_reversal_23wma,2023-06-16,14.15,2024-03-22,38.85,4946,41,174.56,122166.2
SKYGOLD,trend_reversal_23wma,2023-10-27,78.49,2024-03-29,96.57,1506,23,23.03,27228.48
ARE&M,trend_reversal_23wma,2023-12-08,768.91,2024-04-05,754.28,161,18,-1.9,-2355.43
NIACL,trend_reversal_23wma,2023-12-01,207.83,2024-04-19,214.46,589,21,3.19,3905.07
ABBOTINDIA,trend_reversal_23wma,2024-02-09,26765.05,2024-05-03,24737.72,5,13,-7.57,-10136.65
ETHOSLTD,trend_reversal_23wma,2023-04-28,1235.7,2024-05-10,2350.05,52,55,90.18,57946.2
JAIBALAJI,trend_reversal_23wma,2023-05-19,16.24,2024-05-17,176.4,4053,53,986.21,649128.48
MSTCLTD,stop_loss_20pct,2024-01-26,947.55,2024-05-17,735.08,155,17,-22.42,-32932.85
TATACHEM,trend_reversal_23wma,2024-03-15,1171.73,2024-05-17,1015.18,138,10,-13.36,-21603.9
HERITGFOOD,stop_loss_20pct,2024-06-14,701.75,2024-06-28,555.06,229,3,-20.9,-33592.01
EIHOTEL,trend_reversal_23wma,2024-02-16,399.49,2024-07-05,417.49,387,21,4.51,6966.0
SMLMAH,trend_reversal_23wma,2024-03-01,2117.0,2024-07-19,1999.44,75,21,-5.55,-8817.0
SCHNEIDER,trend_reversal_23wma,2023-06-02,236.8,2024-07-26,740.0,280,61,212.5,140896.0
RTNPOWER,stop_loss_20pct,2024-06-07,20.1,2024-07-26,14.97,7889,8,-25.52,-40470.57
HINDZINC,trend_reversal_23wma,2024-04-19,387.58,2024-08-23,454.99,392,19,17.39,26424.72
KIRLOSBROS,trend_reversal_23wma,2024-05-24,1825.72,2024-09-13,1623.22,86,17,-11.09,-17415.0
GRSE,trend_reversal_23wma,2024-05-31,1454.91,2024-10-04,1671.32,111,19,14.87,24021.51
ADANIPORTS,trend_reversal_23wma,2023-12-15,1013.19,2024-10-11,1397.28,121,44,37.91,46474.89
KIRLPNU,trend_reversal_23wma,2024-05-03,1079.96,2024-10-11,1244.02,147,24,15.19,24116.82
KSCL,trend_reversal_23wma,2024-05-03,878.46,2024-10-11,890.08,180,24,1.32,2091.6
ASHOKLEY,trend_reversal_23wma,2024-05-10,96.85,2024-10-11,107.16,1632,23,10.65,16825.92
MAZDOCK,trend_reversal_23wma,2024-05-31,1586.86,2024-10-11,2021.17,102,20,27.37,44299.62
RVNL,trend_reversal_23wma,2023-05-12,139.97,2024-10-18,472.04,470,76,237.24,156072.9
CROMPTON,trend_reversal_23wma,2024-05-24,388.04,2024-10-25,404.44,404,23,4.23,6625.6
EMAMILTD,trend_reversal_23wma,2024-06-14,693.44,2024-10-25,664.59,232,20,-4.16,-6693.2
FACT,trend_reversal_23wma,2024-06-28,1069.51,2024-10-25,912.39,163,18,-14.69,-25610.56
GALLANTT,trend_reversal_23wma,2024-01-05,180.22,2024-11-01,324.53,729,44,80.07,105201.99
MARICO,trend_reversal_23wma,2024-05-17,579.28,2024-11-01,627.56,257,25,8.33,12407.96
CHOLAHLDNG,trend_reversal_23wma,2024-07-05,1452.33,2024-11-22,1571.48,119,21,8.2,14178.85
GODREJIND,stop_loss_20pct,2024-09-13,1220.0,2024-11-22,934.15,150,11,-23.43,-42877.5
RPOWER,stop_loss_20pct,2024-10-04,46.25,2024-11-22,35.93,4045,8,-22.31,-41744.4
