ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
AVTNPL,atr_chandelier_stop,2022-03-25,116.15,2022-05-13,97.11,517,8,-16.39,-9843.68
GOACARBON,atr_chandelier_stop,2022-04-01,484.07,2022-05-13,438.34,123,7,-9.45,-5624.79
ASHAPURMIN,stop_loss_20pct,2022-04-15,165.46,2022-05-13,125.44,365,5,-24.19,-14607.3
SUNFLAG,atr_chandelier_stop,2022-04-29,136.46,2022-05-13,111.93,453,3,-17.98,-11112.09
LINDEINDIA,atr_chandelier_stop,2022-04-08,3811.32,2022-05-20,3048.72,15,7,-20.01,-11439.0
SWANCORP,atr_chandelier_stop,2022-04-15,269.59,2022-05-20,268.04,224,6,-0.57,-347.2
ZUARI,atr_chandelier_stop,2022-04-15,185.0,2022-05-20,162.95,326,6,-11.92,-7188.3
SATIA,atr_chandelier_stop,2022-04-22,139.48,2022-05-20,114.89,437,5,-17.63,-10745.83
TNPL,atr_chandelier_stop,2022-04-01,163.28,2022-06-03,162.72,367,10,-0.34,-205.52
SIYSIL,stop_loss_20pct,2022-04-22,602.44,2022-06-03,460.96,101,7,-23.48,-14289.48
CHENNPETRO,atr_chandelier_stop,2022-04-29,200.24,2022-06-03,225.57,309,6,12.65,7826.97
GAEL,trend_reversal_23wma,2022-03-18,118.83,2022-06-24,121.55,504,15,2.29,1370.88
APCOTEXIND,atr_chandelier_stop,2022-05-06,549.17,2022-08-12,501.52,111,15,-8.68,-5289.15
TIMKEN,atr_chandelier_stop,2022-06-10,2451.07,2022-09-23,2869.9,23,16,17.09,9633.09
VINYLINDIA,atr_chandelier_stop,2022-09-02,455.35,2022-09-30,627.98,126,5,37.91,21751.38
TATAINVEST,atr_chandelier_stop,2022-09-23,271.69,2022-09-30,227.65,221,2,-16.21,-9732.84
POWERMECH,atr_chandelier_stop,2022-08-26,643.22,2022-10-28,903.92,89,10,40.53,23202.3
LIBERTSHOE,atr_chandelier_stop,2022-10-14,335.0,2022-10-28,356.95,179,3,6.55,3929.05
EPIGRAL,trend_reversal_23wma,2022-05-06,1404.39,2022-11-04,1350.63,43,27,-3.83,-2311.68
METROBRAND,atr_chandelier_stop,2022-08-12,730.62,2022-11-25,775.8,78,16,6.18,3524.04
AXISCADES,atr_chandelier_stop,2022-11-11,325.0,2022-12-23,289.95,182,7,-10.78,-6379.1
GOACARBON,atr_chandelier_stop,2022-11-25,623.27,2022-12-23,517.62,95,5,-16.95,-10036.75
WONDERLA,trend_reversal_23wma,2022-08-19,348.65,2022-12-30,315.68,165,20,-9.46,-5440.05
COCHINSHIP,atr_chandelier_stop,2022-10-14,248.71,2022-12-30,238.39,241,12,-4.15,-2487.12
KTKBANK,atr_chandelier_stop,2022-11-11,130.07,2022-12-30,120.78,455,8,-7.14,-4226.95
HONDAPOWER,atr_chandelier_stop,2022-11-18,2067.12,2022-12-30,1967.07,28,7,-4.84,-2801.4
PANAMAPET,atr_chandelier_stop,2022-12-02,382.83,2022-12-30,311.79,155,5,-18.56,-11011.2
FACT,atr_chandelier_stop,2022-12-23,277.78,2023-02-03,293.98,212,7,5.83,3434.4
ZENTEC,atr_chandelier_stop,2023-03-03,265.4,2023-05-12,322.37,217,11,21.47,12362.49
RVNL,atr_chandelier_stop,2023-05-12,139.97,2023-05-19,121.73,428,2,-13.03,-7806.72
AUTOAXLES,trend_reversal_23wma,2023-02-10,2439.34,2023-05-26,2082.82,23,16,-14.62,-8199.96
SUNFLAG,atr_chandelier_stop,2023-01-06,112.68,2023-06-09,144.79,513,23,28.5,16472.43
STYLAMIND,atr_chandelier_stop,2023-05-19,1510.13,2023-07-21,1536.4,40,10,1.74,1050.8
DATAMATICS,atr_chandelier_stop,2023-05-12,435.38,2023-07-28,542.88,137,12,24.69,14727.5
MAXHEALTH,atr_chandelier_stop,2023-05-26,546.44,2023-08-11,541.72,110,12,-0.86,-519.2
JBMA,atr_chandelier_stop,2023-01-06,257.6,2023-08-18,601.19,224,33,133.38,76964.16
CHOLAFIN,atr_chandelier_stop,2023-05-12,985.31,2023-08-18,1034.26,60,15,4.97,2937.0
VOLTAMP,atr_chandelier_stop,2023-06-02,3718.36,2023-09-29,4805.7,16,18,29.24,17397.44
AGARIND,atr_chandelier_stop,2023-07-28,807.9,2023-09-29,888.67,87,10,10.0,7026.99
ORIENTCEM,atr_chandelier_stop,2023-08-18,188.9,2023-09-29,164.13,394,7,-13.11,-9759.38
ISGEC,atr_chandelier_stop,2023-06-09,605.4,2023-10-13,694.63,101,19,14.74,9012.23
RELIGARE,atr_chandelier_stop,2023-08-18,223.0,2023-10-20,238.95,334,10,7.15,5327.3
AGI,atr_chandelier_stop,2023-05-12,499.65,2023-11-03,886.7,119,26,77.46,46058.95
3MINDIA,atr_chandelier_stop,2023-06-09,25003.8,2023-11-03,28458.03,2,22,13.81,6908.46
FORCEMOT,atr_chandelier_stop,2023-06-16,2167.82,2023-11-03,3336.98,28,21,53.93,32736.48
GOKEX,atr_chandelier_stop,2023-06-09,458.8,2023-11-10,789.0,133,23,71.97,43916.6
KIOCL,atr_chandelier_stop,2023-09-29,339.45,2023-11-10,330.9,239,7,-2.52,-2043.45
CHOLAHLDNG,atr_chandelier_stop,2023-05-19,783.7,2023-12-01,1035.15,77,29,32.08,19361.65
APOLLO,atr_chandelier_stop,2023-11-24,158.25,2023-12-01,129.83,560,2,-17.96,-15915.2
RSYSTEMS,trend_reversal_23wma,2023-06-09,309.66,2023-12-08,448.22,198,27,44.75,27434.88
DBCORP,atr_chandelier_stop,2023-07-28,200.73,2023-12-08,236.87,354,20,18.0,12793.56
SOLARINDS,atr_chandelier_stop,2023-08-25,4366.46,2023-12-08,6298.03,17,16,44.24,32836.69
ETHOSLTD,atr_chandelier_stop,2023-04-28,1235.7,2023-12-22,1834.45,47,35,48.45,28141.25
ICIL,trend_reversal_23wma,2023-06-09,191.57,2024-02-16,257.25,320,37,34.29,21017.6
PDSL,trend_reversal_23wma,2023-10-20,578.91,2024-02-16,526.36,146,18,-9.08,-7672.3
VERANDA,trend_reversal_23wma,2023-11-24,265.7,2024-02-16,243.4,333,13,-8.39,-7425.9
MADRASFERT,atr_chandelier_stop,2023-12-15,103.0,2024-02-16,101.85,874,10,-1.12,-1005.1
CREDITACC,trend_reversal_23wma,2023-05-26,1213.82,2024-02-23,1549.66,49,40,27.67,16456.16
NRBBEARING,atr_chandelier_stop,2023-06-16,180.78,2024-02-23,313.21,345,37,73.25,45688.35
