ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
RCF,atr_chandelier_stop,2022-04-15,96.9,2022-05-13,83.29,623,5,-14.05,-8479.03
ASHAPURMIN,stop_loss_20pct,2022-04-15,165.46,2022-05-13,125.44,365,5,-24.19,-14607.3
LINDEINDIA,atr_chandelier_stop,2022-04-08,3811.32,2022-05-20,3048.72,15,7,-20.01,-11439.0
BEL,atr_chandelier_stop,2022-04-15,77.07,2022-05-20,69.72,784,6,-9.54,-5762.4
SWANCORP,atr_chandelier_stop,2022-04-15,269.59,2022-05-20,268.04,224,6,-0.57,-347.2
CUPID,stop_loss_20pct,2022-04-29,3.04,2022-05-20,2.33,20311,4,-23.36,-14420.81
CHENNPETRO,atr_chandelier_stop,2022-04-29,200.24,2022-06-03,225.57,308,6,12.65,7801.64
GAEL,trend_reversal_23wma,2022-03-18,118.83,2022-06-24,121.55,504,15,2.29,1370.88
ADANIPOWER,atr_chandelier_stop,2022-04-08,41.4,2022-06-24,53.07,1455,12,28.19,16979.85
NHPC,trend_reversal_23wma,2022-04-29,31.31,2022-06-24,26.74,1972,9,-14.6,-9012.04
MRPL,atr_chandelier_stop,2022-04-29,66.53,2022-06-24,88.23,928,9,32.62,20137.6
TIMKEN,atr_chandelier_stop,2022-06-10,2451.07,2022-09-23,2869.9,24,16,17.09,10051.92
RPOWER,stop_loss_20pct,2022-09-09,21.55,2022-09-30,16.5,2858,4,-23.43,-14432.9
TATAINVEST,atr_chandelier_stop,2022-09-23,271.69,2022-09-30,227.65,225,2,-16.21,-9909.0
JAYNECOIND,stop_loss_20pct,2022-09-23,33.2,2022-10-21,24.5,1846,5,-26.2,-16060.2
POWERMECH,atr_chandelier_stop,2022-08-26,643.22,2022-10-28,903.92,94,10,40.53,24505.8
PCJEWELLER,atr_chandelier_stop,2022-07-22,4.9,2022-11-25,7.9,12125,19,61.22,36375.0
IRFC,atr_chandelier_stop,2022-11-25,26.05,2022-12-16,29.37,2469,4,12.74,8197.08
AXISCADES,atr_chandelier_stop,2022-11-11,325.0,2022-12-23,289.95,196,7,-10.78,-6869.8
SAFARI,atr_chandelier_stop,2022-08-19,666.01,2022-12-30,780.87,90,20,17.25,10337.4
REFEX,atr_chandelier_stop,2022-09-23,34.11,2022-12-30,44.82,1796,15,31.4,19235.16
SOUTHBANK,atr_chandelier_stop,2022-09-23,9.96,2022-12-30,15.16,6153,15,52.21,31995.6
COCHINSHIP,atr_chandelier_stop,2022-10-14,248.71,2022-12-30,238.39,252,12,-4.15,-2600.64
KTKBANK,atr_chandelier_stop,2022-11-11,130.07,2022-12-30,120.78,490,8,-7.14,-4552.1
RVNL,atr_chandelier_stop,2022-11-11,45.09,2022-12-30,59.19,1414,8,31.27,19937.4
UCOBANK,atr_chandelier_stop,2022-11-11,14.58,2022-12-30,27.38,4374,8,87.79,55987.2
IOB,atr_chandelier_stop,2022-11-11,22.4,2022-12-30,26.8,2847,8,19.64,12526.8
IRCON,atr_chandelier_stop,2022-11-25,53.79,2022-12-30,46.16,1195,6,-14.18,-9117.85
CENTRALBK,atr_chandelier_stop,2022-12-16,31.81,2022-12-30,28.29,2163,3,-11.07,-7613.76
NFL,stop_loss_20pct,2022-12-23,74.63,2022-12-30,55.74,971,2,-25.31,-18342.19
SKIPPER,atr_chandelier_stop,2022-12-09,110.3,2023-02-03,100.78,624,9,-8.63,-5940.48
FACT,atr_chandelier_stop,2022-12-23,277.78,2023-02-03,293.98,260,7,5.83,4212.0
APOLLO,atr_chandelier_stop,2022-10-21,23.95,2023-02-10,29.99,2576,17,25.22,15559.04
LLOYDSENGG,stop_loss_20pct,2023-01-27,21.37,2023-03-31,17.13,3125,10,-19.84,-13250.0
ZENTEC,atr_chandelier_stop,2023-03-03,265.4,2023-05-12,322.37,246,11,21.47,14014.62
RVNL,atr_chandelier_stop,2023-05-12,139.97,2023-05-19,121.73,483,2,-13.03,-8809.92
GVT&D,atr_chandelier_stop,2023-05-05,176.27,2023-06-02,190.42,379,5,8.03,5362.85
DATAMATICS,atr_chandelier_stop,2023-05-12,435.38,2023-07-28,542.88,155,12,24.69,16662.5
MAXHEALTH,atr_chandelier_stop,2023-05-26,546.44,2023-08-11,541.72,124,12,-0.86,-585.28
JBMA,atr_chandelier_stop,2023-01-06,257.6,2023-08-18,601.19,258,33,133.38,88646.22
CHOLAFIN,atr_chandelier_stop,2023-05-12,985.31,2023-08-18,1034.26,68,15,4.97,3328.6
THANGAMAYL,atr_chandelier_stop,2023-06-02,659.0,2023-08-18,1085.12,102,12,64.66,43464.24
VOLTAMP,atr_chandelier_stop,2023-06-02,3718.36,2023-09-29,4805.7,18,18,29.24,19572.12
ORIENTCEM,atr_chandelier_stop,2023-08-18,188.9,2023-09-29,164.13,474,7,-13.11,-11740.98
RELIGARE,atr_chandelier_stop,2023-08-18,223.0,2023-10-20,238.95,401,10,7.15,6395.95
TATACOMM,atr_chandelier_stop,2023-06-23,1560.77,2023-10-27,1638.18,46,19,4.96,3560.86
3MINDIA,atr_chandelier_stop,2023-06-09,25003.8,2023-11-03,28458.03,2,22,13.81,6908.46
FORCEMOT,atr_chandelier_stop,2023-06-16,2167.82,2023-11-03,3336.98,32,21,53.93,37413.12
GOKEX,atr_chandelier_stop,2023-06-09,458.8,2023-11-10,789.0,149,23,71.97,49199.8
CHOLAHLDNG,atr_chandelier_stop,2023-05-19,783.7,2023-12-01,1035.15,86,29,32.08,21624.7
APOLLO,atr_chandelier_stop,2023-11-24,158.25,2023-12-01,129.83,805,2,-17.96,-22878.1
SOLARINDS,atr_chandelier_stop,2023-08-25,4366.46,2023-12-08,6298.03,20,16,44.24,38631.4
ETHOSLTD,atr_chandelier_stop,2023-04-28,1235.7,2023-12-22,1834.45,54,35,48.45,32332.5
SKYGOLD,atr_chandelier_stop,2023-10-20,56.4,2023-12-29,92.7,2021,11,64.36,73362.3
POLYMED,trend_reversal_23wma,2023-06-23,1148.18,2024-02-02,1415.81,62,33,23.31,16593.06
ICIL,trend_reversal_23wma,2023-06-09,191.57,2024-02-16,257.25,358,37,34.29,23513.44
MAZDOCK,trend_reversal_23wma,2023-06-23,582.57,2024-02-16,1047.13,123,35,79.74,57140.88
CREDITACC,trend_reversal_23wma,2023-05-26,1213.82,2024-02-23,1549.66,55,40,27.67,18471.2
IFCI,atr_chandelier_stop,2023-09-29,23.2,2024-03-01,46.85,4560,23,101.94,107844.0
NH,trend_reversal_23wma,2023-06-09,936.37,2024-03-15,1180.85,73,41,26.11,17847.04
SUZLON,atr_chandelier_stop,2023-06-16,14.15,2024-03-15,41.5,4909,40,193.29,134261.15
