ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
INTELLECT,atr_chandelier_stop,2022-04-01,842.48,2022-05-06,755.85,71,6,-10.28,-6150.73
YESBANK,atr_chandelier_stop,2022-04-15,15.65,2022-05-06,14.25,4036,4,-8.95,-5650.4
CIPLA,trend_reversal_23wma,2022-03-18,1002.69,2022-05-13,896.9,59,9,-10.55,-6241.61
RCF,atr_chandelier_stop,2022-04-08,89.22,2022-05-13,83.29,690,6,-6.65,-4091.7
USHAMART,atr_chandelier_stop,2022-04-08,125.93,2022-05-13,122.09,488,6,-3.05,-1873.92
CUMMINSIND,atr_chandelier_stop,2022-04-08,1069.7,2022-05-13,946.4,57,6,-11.53,-7028.1
ASHAPURMIN,stop_loss_20pct,2022-04-15,165.46,2022-05-13,125.44,381,5,-24.19,-15247.62
GNFC,trend_reversal_23wma,2022-03-18,627.8,2022-05-20,549.43,95,10,-12.48,-7445.15
SARDAEN,atr_chandelier_stop,2022-03-18,108.91,2022-05-20,89.3,550,10,-18.01,-10785.5
BDL,atr_chandelier_stop,2022-03-25,293.11,2022-05-20,330.45,205,9,12.74,7654.7
LINDEINDIA,atr_chandelier_stop,2022-03-25,3242.88,2022-05-20,3048.72,18,9,-5.99,-3494.88
JINDALSTEL,atr_chandelier_stop,2022-04-01,522.98,2022-05-20,450.59,115,8,-13.84,-8324.85
COHANCE,trend_reversal_23wma,2022-04-01,598.25,2022-05-20,515.63,100,8,-13.81,-8262.0
GSFC,atr_chandelier_stop,2022-04-08,157.57,2022-05-20,126.26,390,7,-19.87,-12210.9
HSCL,stop_loss_20pct,2022-04-08,77.88,2022-05-20,60.42,790,7,-22.42,-13793.4
RENUKA,atr_chandelier_stop,2022-04-15,50.0,2022-05-20,45.2,1263,6,-9.6,-6062.4
BEL,atr_chandelier_stop,2022-04-15,77.07,2022-05-20,69.72,819,6,-9.54,-6019.65
SWANCORP,atr_chandelier_stop,2022-04-15,269.59,2022-05-20,268.04,234,6,-0.57,-362.7
GOKULAGRO,stop_loss_20pct,2022-05-06,63.63,2022-05-20,49.99,999,3,-21.44,-13626.36
SPLPETRO,trend_reversal_23wma,2022-03-25,393.89,2022-06-03,345.46,152,11,-12.3,-7361.36
CHENNPETRO,atr_chandelier_stop,2022-05-13,235.77,2022-06-03,225.57,257,4,-4.33,-2621.4
GAEL,trend_reversal_23wma,2022-03-18,118.83,2022-06-24,121.55,504,15,2.29,1370.88
ADANIPOWER,atr_chandelier_stop,2022-04-08,41.4,2022-06-24,53.07,1487,12,28.19,17353.29
MRPL,atr_chandelier_stop,2022-05-06,71.06,2022-06-24,88.23,894,8,24.16,15349.98
NAVA,atr_chandelier_stop,2022-05-27,94.85,2022-06-24,76.93,622,5,-18.89,-11146.24
JKPAPER,trend_reversal_23wma,2022-03-25,284.13,2022-07-01,270.11,212,15,-4.93,-2972.24
OIL,atr_chandelier_stop,2022-06-17,164.16,2022-07-01,132.79,352,3,-19.11,-11042.24
HCG,trend_reversal_23wma,2022-04-15,292.7,2022-08-05,272.65,215,17,-6.85,-4310.75
VOLTAMP,atr_chandelier_stop,2022-06-10,2204.98,2022-08-26,2667.09,25,12,20.96,11552.75
SHRIRAMFIN,atr_chandelier_stop,2022-07-29,274.01,2022-09-09,245.72,211,7,-10.32,-5969.19
TIMKEN,atr_chandelier_stop,2022-06-10,2451.07,2022-09-23,2869.9,23,16,17.09,9633.09
TATAINVEST,atr_chandelier_stop,2022-09-23,271.69,2022-09-30,227.65,239,2,-16.21,-10525.56
HOMEFIRST,trend_reversal_23wma,2022-08-19,940.39,2022-10-21,798.69,63,10,-15.07,-8927.1
POWERMECH,atr_chandelier_stop,2022-08-19,552.95,2022-10-28,903.92,107,11,63.47,37553.79
ABB,atr_chandelier_stop,2022-07-15,2519.14,2022-11-04,2869.88,22,17,13.92,7716.28
LUMAXTECH,atr_chandelier_stop,2022-07-22,233.09,2022-11-11,234.99,241,17,0.82,457.9
DEEPAKFERT,atr_chandelier_stop,2022-08-19,832.28,2022-11-18,841.95,71,14,1.16,686.57
TEJASNET,atr_chandelier_stop,2022-09-09,655.34,2022-11-18,631.93,96,11,-3.57,-2247.36
PATANJALI,atr_chandelier_stop,2022-05-27,392.48,2022-11-25,401.32,150,27,2.25,1326.0
PCJEWELLER,atr_chandelier_stop,2022-07-22,4.9,2022-11-25,7.9,11485,19,61.22,34455.0
TATACHEM,trend_reversal_23wma,2022-08-19,1063.0,2022-11-25,958.49,56,15,-9.83,-5852.56
SIEMENS,trend_reversal_23wma,2022-07-15,1538.96,2022-12-02,1602.36,36,21,4.12,2282.4
ZFCVINDIA,atr_chandelier_stop,2022-08-19,1561.71,2022-12-02,1541.81,38,16,-1.27,-756.2
MAHSEAMLES,trend_reversal_23wma,2022-07-29,357.24,2022-12-16,364.19,161,21,1.95,1118.95
AXISCADES,atr_chandelier_stop,2022-11-04,238.9,2022-12-23,289.95,289,8,21.37,14753.45
BLS,atr_chandelier_stop,2022-04-15,81.09,2022-12-30,151.52,778,38,86.85,54794.54
AIAENG,trend_reversal_23wma,2022-06-10,2220.34,2022-12-30,2482.76,25,30,11.82,6560.5
TVSMOTOR,trend_reversal_23wma,2022-07-08,826.26,2022-12-30,989.05,67,26,19.7,10906.93
SAFARI,atr_chandelier_stop,2022-07-22,533.2,2022-12-30,780.87,105,24,46.45,26005.35
YESBANK,atr_chandelier_stop,2022-08-12,16.7,2022-12-30,17.6,3506,21,5.39,3155.4
TARIL,atr_chandelier_stop,2022-09-30,25.36,2022-12-30,24.49,2599,14,-3.43,-2261.13
GRSE,atr_chandelier_stop,2022-10-21,447.25,2022-12-30,380.74,150,11,-14.87,-9976.5
GOKULAGRO,stop_loss_20pct,2022-10-28,69.1,2022-12-30,54.68,989,10,-20.87,-14261.38
KTKBANK,atr_chandelier_stop,2022-11-11,130.07,2022-12-30,120.78,540,8,-7.14,-5016.6
REFEX,atr_chandelier_stop,2022-11-18,42.84,2022-12-30,44.82,1627,7,4.62,3221.46
RVNL,atr_chandelier_stop,2022-11-18,49.52,2022-12-30,59.19,1408,7,19.53,13615.36
UNIONBANK,atr_chandelier_stop,2022-11-25,65.39,2022-12-30,60.66,1055,6,-7.23,-4990.15
GODFRYPHLP,atr_chandelier_stop,2022-11-25,576.43,2022-12-30,523.18,119,6,-9.24,-6336.75
UCOBANK,atr_chandelier_stop,2022-12-02,20.33,2022-12-30,27.38,3419,5,34.68,24103.95
VBL,trend_reversal_23wma,2022-08-12,202.25,2023-01-20,226.79,289,24,12.13,7092.06
WESTLIFE,trend_reversal_23wma,2022-08-05,586.11,2023-01-27,690.14,98,26,17.75,10194.94
APARINDS,trend_reversal_23wma,2022-06-24,917.12,2023-02-03,1407.21,59,33,53.44,28915.31
SKIPPER,stop_loss_20pct,2022-12-16,126.85,2023-02-03,100.78,576,8,-20.55,-15016.32
FACT,atr_chandelier_stop,2022-12-23,277.78,2023-02-03,293.98,271,7,5.83,4390.2
HCC,trend_reversal_23wma,2022-11-25,17.7,2023-02-10,14.75,3897,12,-16.67,-11496.15
NFL,stop_loss_20pct,2023-01-06,73.41,2023-02-10,55.36,949,6,-24.59,-17129.45
ANANDRATHI,atr_chandelier_stop,2023-01-27,205.99,2023-02-10,188.14,329,3,-8.67,-5872.65
PTC,stop_loss_20pct,2023-01-27,83.19,2023-02-10,65.95,816,3,-20.72,-14067.84
SHYAMMETL,trend_reversal_23wma,2023-01-27,319.36,2023-02-17,290.47,212,4,-9.05,-6124.68
GICRE,atr_chandelier_stop,2023-01-06,164.66,2023-02-24,137.42,423,8,-16.54,-11522.52
KARURVYSYA,trend_reversal_23wma,2022-08-05,46.75,2023-03-03,78.68,1240,31,68.3,39593.2
JUSTDIAL,trend_reversal_23wma,2023-01-27,660.0,2023-03-03,588.1,102,6,-10.89,-7333.8
JAIBALAJI,trend_reversal_23wma,2022-12-30,10.76,2023-03-24,9.16,6161,13,-14.87,-9857.6
ANUP,atr_chandelier_stop,2023-01-27,524.64,2023-03-24,489.96,129,9,-6.61,-4473.72
APOLLOTYRE,trend_reversal_23wma,2022-08-26,247.04,2023-03-31,292.95,243,32,18.58,11156.13
TECHNOE,trend_reversal_23wma,2023-01-13,360.93,2023-03-31,311.05,191,12,-13.82,-9527.08
JINDALSAW,atr_chandelier_stop,2023-01-13,53.75,2023-03-31,67.97,1287,12,26.46,18301.14
LLOYDSENGG,stop_loss_20pct,2023-01-27,21.37,2023-03-31,17.13,3179,10,-19.84,-13478.96
EQUITASBNK,atr_chandelier_stop,2023-03-10,74.48,2023-03-31,62.55,855,4,-16.02,-10200.15
AHLUCONT,atr_chandelier_stop,2023-04-07,604.02,2023-04-21,520.16,106,3,-13.88,-8889.16
ZENTEC,atr_chandelier_stop,2023-02-24,238.51,2023-05-12,322.37,268,12,35.16,22474.48
DRREDDY,trend_reversal_23wma,2023-04-21,950.04,2023-05-19,870.79,68,5,-8.34,-5389.0
RVNL,atr_chandelier_stop,2023-05-12,139.97,2023-05-19,121.73,480,2,-13.03,-8755.2
PFOCUS,stop_loss_20pct,2023-04-21,99.45,2023-05-26,79.65,652,6,-19.91,-12909.6
GVT&D,atr_chandelier_stop,2023-05-05,176.27,2023-06-02,190.42,372,5,8.03,5263.8
FINCABLES,atr_chandelier_stop,2023-03-03,705.42,2023-06-09,778.09,90,15,10.3,6540.3
ACUTAAS,atr_chandelier_stop,2023-04-28,541.55,2023-07-28,584.34,119,14,7.9,5092.01
IGL,trend_reversal_23wma,2023-04-21,227.3,2023-08-04,218.37,285,16,-3.93,-2545.05
JBMA,atr_chandelier_stop,2023-01-06,257.6,2023-08-18,601.19,270,33,133.38,92769.3
MGL,trend_reversal_23wma,2023-03-17,922.49,2023-08-18,946.3,70,23,2.58,1666.7
CHOLAFIN,atr_chandelier_stop,2023-04-14,843.78,2023-08-18,1034.26,76,19,22.57,14476.48
ELECON,atr_chandelier_stop,2023-06-02,287.17,2023-09-22,376.95,240,17,31.26,21547.2
HSCL,atr_chandelier_stop,2023-05-19,120.92,2023-09-29,233.04,560,20,92.72,62787.2
REFEX,atr_chandelier_stop,2023-05-26,94.79,2023-09-29,130.51,726,19,37.68,25932.72
USHAMART,atr_chandelier_stop,2023-01-06,171.92,2023-10-27,300.19,405,43,74.61,51949.35
ZENSARTECH,atr_chandelier_stop,2023-03-03,271.01,2023-11-03,456.0,236,36,68.26,43657.64
GLENMARK,atr_chandelier_stop,2023-05-05,559.18,2023-11-03,736.74,117,27,31.75,20774.52
CEMPRO,atr_chandelier_stop,2023-06-09,167.79,2023-11-03,200.0,415,22,19.2,13367.15
UCOBANK,atr_chandelier_stop,2023-09-29,41.81,2023-11-17,36.16,2284,8,-13.51,-12904.6
CENTRALBK,atr_chandelier_stop,2023-09-29,49.25,2023-11-17,42.6,1939,8,-13.5,-12894.35
APOLLO,atr_chandelier_stop,2023-11-17,122.74,2023-12-08,128.83,834,4,4.96,5079.06
CARTRADE,atr_chandelier_stop,2023-11-17,860.0,2023-12-15,732.05,119,5,-14.88,-15226.05
ETHOSLTD,atr_chandelier_stop,2023-04-28,1235.7,2023-12-22,1834.45,52,35,48.45,31135.0
SMLMAH,atr_chandelier_stop,2023-04-28,951.69,2024-01-05,1298.66,68,37,36.46,23593.96
INOXWIND,atr_chandelier_stop,2023-12-15,90.84,2024-01-19,110.74,1181,6,21.91,23501.9
MAZDOCK,trend_reversal_23wma,2023-07-28,915.95,2024-02-16,1047.13,89,30,14.32,11675.02
SURYAROSNI,atr_chandelier_stop,2024-01-05,379.63,2024-02-16,322.2,316,7,-15.13,-18147.88
DATAMATICS,trend_reversal_23wma,2023-12-08,743.07,2024-02-23,600.87,143,12,-19.14,-20334.6
WEBELSOLAR,atr_chandelier_stop,2024-02-16,47.0,2024-03-08,40.19,3016,4,-14.49,-20538.96
PRICOLLTD,trend_reversal_23wma,2023-04-21,226.28,2024-03-15,356.34,286,48,57.48,37197.16
ALIVUS,atr_chandelier_stop,2023-04-28,447.97,2024-03-15,761.0,144,47,69.88,45076.32
IRFC,atr_chandelier_stop,2023-08-18,46.09,2024-03-15,139.25,1842,31,202.13,171600.72
ITI,trend_reversal_23wma,2023-10-27,296.5,2024-03-15,280.95,337,21,-5.24,-5240.35
RATEGAIN,atr_chandelier_stop,2023-01-20,346.0,2024-03-22,720.0,195,62,108.09,72930.0
MINDACORP,trend_reversal_23wma,2023-04-14,247.75,2024-03-22,369.45,261,50,49.12,31763.7
CHOICEIN,atr_chandelier_stop,2023-04-28,161.98,2024-03-22,253.9,400,48,56.75,36768.0
NEULANDLAB,atr_chandelier_stop,2023-05-19,2566.78,2024-03-22,6073.2,26,45,136.61,91166.92
JAIBALAJI,atr_chandelier_stop,2023-08-18,42.24,2024-03-22,201.21,2010,32,376.35,319529.7
BANCOINDIA,trend_reversal_23wma,2023-08-18,198.69,2024-03-22,271.26,427,32,36.52,30987.39
CUPID,atr_chandelier_stop,2023-11-03,6.05,2024-03-22,20.22,15986,21,234.21,226521.62
CDSL,trend_reversal_23wma,2023-11-17,896.02,2024-03-22,830.21,114,19,-7.34,-7502.34
TARC,stop_loss_20pct,2024-01-19,178.55,2024-03-22,134.4,725,10,-24.73,-32008.75
TATAINVEST,stop_loss_20pct,2024-03-15,957.25,2024-03-22,713.0,149,2,-25.52,-36393.25
ALKEM,atr_chandelier_stop,2023-11-17,4185.8,2024-03-29,4556.96,24,20,8.87,8907.84
TATACHEM,atr_chandelier_stop,2024-03-15,1171.73,2024-03-29,1009.42,121,3,-13.85,-19639.51
SONATSOFTW,trend_reversal_23wma,2023-03-10,379.17,2024-04-05,692.74,167,57,82.7,52366.19
RECLTD,trend_reversal_23wma,2023-08-18,195.41,2024-04-26,384.44,434,37,96.74,82039.02
JUSTDIAL,atr_chandelier_stop,2024-04-26,1084.0,2024-05-31,950.0,128,6,-12.36,-17152.0
MRPL,trend_reversal_23wma,2024-02-23,244.35,2024-06-07,204.69,578,16,-16.23,-22923.48
DMART,atr_chandelier_stop,2024-03-29,4315.75,2024-06-07,4392.95,30,11,1.79,2316.0
MARUTI,trend_reversal_23wma,2024-03-29,11920.56,2024-07-05,11687.16,10,15,-1.96,-2334.0
HEG,trend_reversal_23wma,2024-04-19,461.32,2024-07-19,415.82,296,14,-9.86,-13468.0
SENCO,atr_chandelier_stop,2024-04-26,485.2,2024-07-19,482.22,287,13,-0.61,-855.26
RTNPOWER,atr_chandelier_stop,2024-06-07,20.1,2024-07-19,16.29,7452,7,-18.96,-28392.12
FORCEMOT,atr_chandelier_stop,2024-03-08,6618.52,2024-07-26,8112.64,22,21,22.57,32870.64
HINDZINC,atr_chandelier_stop,2024-04-19,387.58,2024-07-26,586.84,352,15,51.41,70139.52
PURVA,atr_chandelier_stop,2024-05-03,429.0,2024-07-26,390.0,337,13,-9.09,-13143.0
LINDEINDIA,atr_chandelier_stop,2024-04-26,7432.43,2024-08-02,7929.87,18,15,6.69,8953.92
RAILTEL,atr_chandelier_stop,2024-07-19,590.08,2024-08-02,480.6,272,3,-18.55,-29778.56
ABCAPITAL,trend_reversal_23wma,2024-04-12,205.85,2024-08-09,204.0,661,18,-0.9,-1222.85
EXIDEIND,atr_chandelier_stop,2024-04-26,440.91,2024-08-16,483.14,316,17,9.58,13344.68
JWL,atr_chandelier_stop,2024-06-07,661.7,2024-08-16,556.29,226,11,-15.93,-23822.66
RVNL,atr_chandelier_stop,2024-07-19,629.26,2024-08-16,517.63,255,5,-17.74,-28465.65
HONAUT,atr_chandelier_stop,2024-04-19,42680.73,2024-08-23,51700.62,3,19,21.13,27059.67
HGINFRA,atr_chandelier_stop,2024-04-12,1094.45,2024-09-13,1473.18,124,23,34.6,46962.52
TARIL,trend_reversal_23wma,2023-09-22,85.93,2024-09-20,342.36,1131,53,298.42,290022.33
VGUARD,atr_chandelier_stop,2024-03-15,344.97,2024-09-27,452.19,413,29,31.08,44281.86
PGIL,atr_chandelier_stop,2024-08-02,963.55,2024-10-04,860.24,165,10,-10.72,-17046.15
KSCL,trend_reversal_23wma,2024-04-26,750.29,2024-10-11,890.08,186,25,18.63,26000.94
MMTC,stop_loss_20pct,2024-08-02,107.9,2024-10-11,86.3,1476,11,-20.02,-31881.6
SBILIFE,atr_chandelier_stop,2024-07-26,1635.71,2024-10-18,1733.04,94,13,5.95,9149.02
BAJAJ-AUTO,trend_reversal_23wma,2023-04-21,3990.59,2024-10-25,9678.07,16,80,142.52,90999.68
GODFRYPHLP,atr_chandelier_stop,2024-03-15,1067.21,2024-11-01,2035.09,133,34,90.69,128728.04
PCJEWELLER,atr_chandelier_stop,2024-08-02,8.9,2024-11-01,14.23,17901,14,59.89,95412.33
SUZLON,atr_chandelier_stop,2024-08-09,69.9,2024-11-01,68.0,2270,13,-2.72,-4313.0
INOXWIND,atr_chandelier_stop,2024-08-23,215.7,2024-11-01,213.0,736,11,-1.25,-1987.2
REFEX,atr_chandelier_stop,2024-09-13,409.15,2024-11-01,444.99,413,8,8.76,14801.92
RPOWER,atr_chandelier_stop,2024-10-04,46.25,2024-11-15,39.5,3801,7,-14.59,-25656.75
APARINDS,trend_reversal_23wma,2023-02-24,2350.24,2024-11-22,8847.62,27,92,276.46,175429.26
DCMSHRIRAM,trend_reversal_23wma,2024-11-22,1288.2,2024-12-13,1065.91,136,4,-17.26,-30231.44
INDIACEM,trend_reversal_23wma,2024-07-26,339.95,2024-12-20,342.2,452,22,0.66,1017.0
NEULANDLAB,atr_chandelier_stop,2024-08-16,11568.47,2024-12-27,14112.21,13,20,21.99,33068.62
JUBLPHARMA,atr_chandelier_stop,2024-09-20,1174.87,2024-12-27,1051.64,148,15,-10.49,-18238.04
BANCOINDIA,atr_chandelier_stop,2024-11-29,558.67,2024-12-27,483.87,327,5,-13.39,-24459.6
KITEX,atr_chandelier_stop,2024-09-20,172.31,2025-01-03,231.05,1011,16,34.09,59386.14
MANORAMA,atr_chandelier_stop,2024-04-26,584.38,2025-01-17,984.58,239,39,68.48,95647.8
SKYGOLD,atr_chandelier_stop,2024-07-05,172.04,2025-01-17,351.0,928,29,104.02,166074.88
GRWRHITECH,atr_chandelier_stop,2024-08-16,3202.79,2025-01-17,4185.3,49,23,30.68,48142.99
