ticker,reason,entry_date,entry_price,exit_date,exit_price,shares,hold_weeks,pnl_pct,pnl_rs
SOUTHBANK,atr_chandelier_stop,2022-12-16,17.32,2022-12-30,15.16,3464,3,-12.47,-7482.24
UNIONBANK,atr_chandelier_stop,2022-12-16,74.03,2022-12-30,60.66,810,3,-18.06,-10829.7
BANKINDIA,atr_chandelier_stop,2022-12-16,84.13,2022-12-30,68.84,713,3,-18.17,-10901.77
UCOBANK,atr_chandelier_stop,2022-12-16,22.79,2022-12-30,27.38,2632,3,20.14,12080.88
MAHABANK,atr_chandelier_stop,2022-12-16,25.24,2022-12-30,23.03,2377,3,-8.76,-5253.17
CENTRALBK,atr_chandelier_stop,2022-12-16,31.81,2022-12-30,28.29,1886,3,-11.07,-6638.72
IOB,stop_loss_20pct,2022-12-23,33.6,2022-12-30,26.8,1837,2,-20.24,-12491.6
NFL,stop_loss_20pct,2022-12-23,74.63,2022-12-30,55.74,827,2,-25.31,-15622.03
SKIPPER,stop_loss_20pct,2022-12-16,126.85,2023-02-03,100.78,472,8,-20.55,-12305.04
FACT,atr_chandelier_stop,2022-12-23,277.78,2023-02-03,293.98,222,7,5.83,3596.4
PFC,atr_chandelier_stop,2023-01-13,108.02,2023-02-03,92.64,537,4,-14.24,-8259.06
NFL,stop_loss_20pct,2023-01-06,73.41,2023-02-10,55.36,799,6,-24.59,-14421.95
IOB,stop_loss_20pct,2023-01-06,32.4,2023-02-24,25.8,1812,8,-20.37,-11959.2
UCOBANK,atr_chandelier_stop,2022-12-30,27.38,2023-03-03,24.09,2072,10,-12.02,-6816.88
SHRIPISTON,atr_chandelier_stop,2023-01-13,615.64,2023-03-17,517.8,94,10,-15.89,-9196.96
REFEX,trend_reversal_23wma,2022-12-16,55.52,2023-03-24,46.41,1080,15,-16.41,-9838.8
JINDALSAW,atr_chandelier_stop,2023-03-03,75.81,2023-03-31,67.97,731,5,-10.34,-5731.04
ZENTEC,atr_chandelier_stop,2023-03-03,265.4,2023-05-12,322.37,208,11,21.47,11849.76
RVNL,atr_chandelier_stop,2023-05-12,139.97,2023-05-19,121.73,398,2,-13.03,-7259.52
GVT&D,atr_chandelier_stop,2023-05-05,176.27,2023-06-02,190.42,312,5,8.03,4414.8
DATAMATICS,atr_chandelier_stop,2023-05-12,435.38,2023-07-28,542.88,128,12,24.69,13760.0
JINDALSAW,atr_chandelier_stop,2023-06-09,119.48,2023-08-04,158.71,475,9,32.83,18634.25
